candle_datetime,entry_datetime,entry_price,direction,body_size_points,sl_type,sl_price,tp_price,risk,rr_ratio,exit_datetime,exit_price,outcome,pnl,hit_tp,hit_sl,year,timeframe,body_filter
2018-02-06 08:30:00,2018-02-06 08:35:00,7586.626406,long,77.90768000000025,middle,7547.672566,7645.0571660000005,38.95384000000013,1.5,2018-02-06 08:40:00,7645.0571660000005,win,58.43076000000019,True,False,2018,5m,50
2018-11-06 08:30:00,2018-11-06 08:35:00,8098.563562,long,51.0127480000001,middle,8072.7673429999995,8137.257890500001,25.796219000000747,1.5,2018-11-06 08:45:00,8137.257890500001,win,38.69432850000112,True,False,2018,5m,50
2018-02-06 08:30:00,2018-02-06 08:35:00,7586.626406,long,77.90768000000025,middle,7547.672566,7664.534086000001,38.95384000000013,2.0,2018-02-06 08:45:00,7664.534086000001,win,77.90768000000025,True,False,2018,5m,50
2018-11-06 08:30:00,2018-11-06 08:35:00,8098.563562,long,51.0127480000001,middle,8072.7673429999995,8150.156000000002,25.796219000000747,2.0,2018-11-06 08:55:00,8150.156000000002,win,51.59243800000149,True,False,2018,5m,50
2018-02-06 08:30:00,2018-02-06 08:35:00,7586.626406,long,77.90768000000025,middle,7547.672566,7684.011006000001,38.95384000000013,2.5,2018-02-06 08:50:00,7684.011006000001,win,97.38460000000032,True,False,2018,5m,50
2018-11-06 08:30:00,2018-11-06 08:35:00,8098.563562,long,51.0127480000001,middle,8072.7673429999995,8163.054109500003,25.796219000000747,2.5,2018-11-06 10:00:00,8072.7673429999995,loss,-25.796219000000747,False,True,2018,5m,50
2018-02-06 08:30:00,2018-02-06 08:35:00,7586.626406,long,77.90768000000025,middle,7547.672566,7703.487926000001,38.95384000000013,3.0,2018-02-06 08:50:00,7703.487926000001,win,116.86152000000038,True,False,2018,5m,50
2018-11-06 08:30:00,2018-11-06 08:35:00,8098.563562,long,51.0127480000001,middle,8072.7673429999995,8175.9522190000025,25.796219000000747,3.0,2018-11-06 10:00:00,8072.7673429999995,loss,-25.796219000000747,False,True,2018,5m,50
2018-02-06 08:30:00,2018-02-06 08:35:00,7586.626406,long,77.90768000000025,middle,7547.672566,7722.964846000001,38.95384000000013,3.5,2018-02-06 08:50:00,7722.964846000001,win,136.33844000000045,True,False,2018,5m,50
2018-11-06 08:30:00,2018-11-06 08:35:00,8098.563562,long,51.0127480000001,middle,8072.7673429999995,8188.850328500002,25.796219000000747,3.5,2018-11-06 10:00:00,8072.7673429999995,loss,-25.796219000000747,False,True,2018,5m,50
2018-02-06 08:30:00,2018-02-06 08:35:00,7586.626406,long,77.90768000000025,middle,7547.672566,7742.441766000001,38.95384000000013,4.0,2018-02-06 09:35:00,7547.672566,loss,-38.95384000000013,False,True,2018,5m,50
2018-11-06 08:30:00,2018-11-06 08:35:00,8098.563562,long,51.0127480000001,middle,8072.7673429999995,8201.748438000002,25.796219000000747,4.0,2018-11-06 10:00:00,8072.7673429999995,loss,-25.796219000000747,False,True,2018,5m,50
2018-02-06 08:30:00,2018-02-06 08:35:00,7586.626406,long,77.90768000000025,middle,7547.672566,7761.918686000001,38.95384000000013,4.5,2018-02-06 09:35:00,7547.672566,loss,-38.95384000000013,False,True,2018,5m,50
2018-11-06 08:30:00,2018-11-06 08:35:00,8098.563562,long,51.0127480000001,middle,8072.7673429999995,8214.646547500004,25.796219000000747,4.5,2018-11-06 10:00:00,8072.7673429999995,loss,-25.796219000000747,False,True,2018,5m,50
2018-02-06 08:30:00,2018-02-06 08:35:00,7586.626406,long,77.90768000000025,middle,7547.672566,7781.395606000001,38.95384000000013,5.0,2018-02-06 09:35:00,7547.672566,loss,-38.95384000000013,False,True,2018,5m,50
2018-11-06 08:30:00,2018-11-06 08:35:00,8098.563562,long,51.0127480000001,middle,8072.7673429999995,8227.544657000004,25.796219000000747,5.0,2018-11-06 10:00:00,8072.7673429999995,loss,-25.796219000000747,False,True,2018,5m,50
2018-02-06 08:30:00,2018-02-06 08:35:00,7586.626406,long,77.90768000000025,62%,7538.3236444,7659.0805484,48.30276159999994,1.5,2018-02-06 08:40:00,7659.0805484,win,72.45414239999991,True,False,2018,5m,50
