year,timeframe,rr_ratio,direction,body_size_points,candle_high,candle_low,outcome
2018,5m,2.5,bullish,8.786579999999958,7870.725839,7853.152678,win
2018,5m,3.0,bullish,8.786579999999958,7870.725839,7853.152678,win
2018,5m,3.5,bullish,8.786579999999958,7870.725839,7853.152678,win
2018,5m,4.0,bullish,8.786579999999958,7870.725839,7853.152678,win
2018,5m,4.5,bullish,8.786579999999958,7870.725839,7853.152678,no_exit
2018,5m,5.0,bullish,8.786579999999958,7870.725839,7853.152678,no_exit
2018,5m,10.0,bullish,8.786579999999958,7870.725839,7853.152678,no_exit
2018,5m,1.5,bearish,4.393289999999979,7943.947342,7937.50385,loss
2018,5m,2.0,bearish,4.393289999999979,7943.947342,7937.50385,loss
2018,5m,2.5,bearish,4.393289999999979,7943.947342,7937.50385,loss
2018,5m,3.0,bearish,4.393289999999979,7943.947342,7937.50385,loss
2018,5m,3.5,bearish,4.393289999999979,7943.947342,7937.50385,loss
2018,5m,4.0,bearish,4.393289999999979,7943.947342,7937.50385,loss
2018,5m,4.5,bearish,4.393289999999979,7943.947342,7937.50385,loss
2018,5m,5.0,bearish,4.393289999999979,7943.947342,7937.50385,loss
2018,5m,10.0,bearish,4.393289999999979,7943.947342,7937.50385,loss
2018,5m,1.5,bullish,19.037591000000248,7996.959711,7977.336348,loss
2018,5m,2.0,bullish,19.037591000000248,7996.959711,7977.336348,loss
2018,5m,2.5,bullish,19.037591000000248,7996.959711,7977.336348,loss
2018,5m,3.0,bullish,19.037591000000248,7996.959711,7977.336348,loss
2018,5m,3.5,bullish,19.037591000000248,7996.959711,7977.336348,loss
2018,5m,4.0,bullish,19.037591000000248,7996.959711,7977.336348,loss
2018,5m,4.5,bullish,19.037591000000248,7996.959711,7977.336348,loss
2018,5m,5.0,bullish,19.037591000000248,7996.959711,7977.336348,loss
2018,5m,10.0,bullish,19.037591000000248,7996.959711,7977.336348,loss
2018,5m,1.5,bearish,17.866046000000097,7945.704658,7926.959954,loss
2018,5m,2.0,bearish,17.866046000000097,7945.704658,7926.959954,loss
2018,5m,2.5,bearish,17.866046000000097,7945.704658,7926.959954,loss
2018,5m,3.0,bearish,17.866046000000097,7945.704658,7926.959954,loss
2018,5m,3.5,bearish,17.866046000000097,7945.704658,7926.959954,loss
2018,5m,4.0,bearish,17.866046000000097,7945.704658,7926.959954,loss
2018,5m,4.5,bearish,17.866046000000097,7945.704658,7926.959954,loss
2018,5m,5.0,bearish,17.866046000000097,7945.704658,7926.959954,loss
2018,5m,10.0,bearish,17.866046000000097,7945.704658,7926.959954,loss
2018,5m,1.5,bearish,1.757315999999264,7990.516218,7977.043462,loss
2018,5m,2.0,bearish,1.757315999999264,7990.516218,7977.043462,loss
2018,5m,2.5,bearish,1.757315999999264,7990.516218,7977.043462,loss
2018,5m,3.0,bearish,1.757315999999264,7990.516218,7977.043462,loss
2018,5m,3.5,bearish,1.757315999999264,7990.516218,7977.043462,loss
2018,5m,4.0,bearish,1.757315999999264,7990.516218,7977.043462,loss
2018,5m,4.5,bearish,1.757315999999264,7990.516218,7977.043462,loss
2018,5m,5.0,bearish,1.757315999999264,7990.516218,7977.043462,loss
2018,5m,10.0,bearish,1.757315999999264,7990.516218,7977.043462,loss
2018,5m,1.5,bearish,2.343087999999625,8025.66254,8012.775555,loss
2018,5m,2.0,bearish,2.343087999999625,8025.66254,8012.775555,loss
2018,5m,2.5,bearish,2.343087999999625,8025.66254,8012.775555,loss
2018,5m,3.0,bearish,2.343087999999625,8025.66254,8012.775555,loss
2018,5m,3.5,bearish,2.343087999999625,8025.66254,8012.775555,loss
2018,5m,4.0,bearish,2.343087999999625,8025.66254,8012.775555,loss
2018,5m,4.5,bearish,2.343087999999625,8025.66254,8012.775555,loss
2018,5m,5.0,bearish,2.343087999999625,8025.66254,8012.775555,loss
2018,5m,10.0,bearish,2.343087999999625,8025.66254,8012.775555,loss
2018,5m,1.5,bearish,0.878657999999632,8017.168846,8006.624949,loss
2018,5m,2.0,bearish,0.878657999999632,8017.168846,8006.624949,loss
2018,5m,2.5,bearish,0.878657999999632,8017.168846,8006.624949,loss
2018,5m,3.0,bearish,0.878657999999632,8017.168846,8006.624949,loss
