entry_datetime,exit_datetime,type,entry_price,exit_price,stop_loss,take_profit,pnl,exit_reason,bars_held
2018-01-02 01:25:00,2018-01-02 02:00:00,short,7516.419535,7512.463483714286,7519.147560642858,7512.463483714286,-1.5439487142857615,take_profit,7
2018-01-02 02:25:00,2018-01-02 02:55:00,short,7503.239664,7507.097393,7507.097393,7497.024205999999,-9.35772900000029,stop_loss,6
2018-01-02 03:00:00,2018-01-02 04:25:00,short,7502.946778,7508.122494000001,7508.122494000001,7494.095346,-10.675716000000648,stop_loss,17
2018-01-03 01:05:00,2018-01-03 02:20:00,long,7643.653407,7646.793562,7641.333329499999,7646.793562,-2.3598449999999502,take_profit,15
2018-01-03 03:40:00,2018-01-03 04:05:00,long,7651.268443,7647.442094857142,7647.442094857142,7657.421139285714,-9.326348142857569,stop_loss,5
2018-01-04 01:00:00,2018-01-04 01:20:00,long,7730.347667,7727.368595357143,7727.368595357143,7734.805810285715,-8.47907164285698,stop_loss,4
2018-01-04 03:45:00,2018-01-04 04:35:00,long,7733.276527,7730.0777905357145,7730.0777905357145,7738.173999928571,-8.698736464285503,stop_loss,10
2018-01-04 04:35:00,2018-01-04 04:45:00,long,7732.983641,7729.753524857142,7729.753524857142,7737.943873285714,-8.730116142857696,stop_loss,2
2018-01-05 01:00:00,2018-01-05 02:00:00,long,7746.163511,7749.115381714286,7743.937575642856,7749.115381714286,-2.5481292857139124,take_profit,12
2018-01-05 02:15:00,2018-01-05 02:20:00,long,7754.071434,7750.998221178572,7750.998221178572,7758.717859642858,-8.57321282142857,stop_loss,1
2018-01-05 02:30:00,2018-01-05 03:00:00,long,7752.607004,7749.157223142857,7749.157223142857,7758.006565714286,-8.949780857143196,stop_loss,6
2018-01-05 04:20:00,2018-01-05 04:35:00,long,7758.464724,7766.123691357143,7753.885240321429,7766.123691357143,2.158967357142501,take_profit,3
2018-01-05 04:50:00,2018-01-05 05:05:00,long,7769.00862,7763.770142928572,7763.770142928572,7777.985574142856,-10.738477071427951,stop_loss,3
2018-01-08 01:50:00,2018-01-08 02:05:00,long,7818.799243,7815.977074785715,7815.977074785715,7822.943579428571,-8.322168214285739,stop_loss,3
2018-01-08 03:00:00,2018-01-08 03:35:00,long,7814.698838,7810.495921928572,7810.495921928572,7821.604670142858,-9.702916071428263,stop_loss,7
2018-01-08 03:50:00,2018-01-08 05:50:00,long,7813.82018,7810.0252125,7810.0252125,7819.910115,-9.294967499999984,stop_loss,24
2018-01-09 04:25:00,2018-01-09 05:10:00,long,7844.866098,7841.5732207857145,7841.5732207857145,7849.951852428572,-8.792877214285909,stop_loss,9
2018-01-10 03:10:00,2018-01-10 03:45:00,long,7819.970787,7814.355741357143,7814.355741357143,7829.700878285715,-11.115045642856785,stop_loss,7
2018-01-10 04:45:00,2018-01-10 07:35:00,short,7791.732387,7798.822322857142,7798.822322857142,7779.052515285714,-12.589935857142336,stop_loss,34
2018-01-11 01:10:00,2018-01-11 01:50:00,long,7825.535621,7831.248988285714,7821.928937357143,7831.248988285714,0.213367285714412,take_profit,8
2018-01-11 02:30:00,2018-01-11 03:10:00,long,7830.514683,7826.3745284285715,7826.3745284285715,7837.294992142857,-9.640154571428866,stop_loss,8
2018-01-12 01:05:00,2018-01-12 02:20:00,long,7888.799,7895.830354928572,7884.533322535714,7895.830354928572,1.531354928572,take_profit,15
