Entry_Time,Exit_Time,Direction,Entry_Price,Exit_Price,Stop_Loss,Take_Profit,SL_Type,PnL,Result,Session,Year
2018-01-02 04:31:00,2018-01-02 04:52:00,SHORT,7505.789866,7506.522081,7506.522081,7499.932146,SL_50,-0.7322149999999965,LOSS,Session_1 (02:00-05:00),2018
2018-01-02 04:31:00,2018-01-02 04:53:00,SHORT,7505.789866,7506.8881885,7506.8881885,7499.932146,SL_75,-1.0983224999999948,LOSS,Session_1 (02:00-05:00),2018
2018-01-02 04:31:00,2018-01-02 04:53:00,SHORT,7505.789866,7507.254296,7507.254296,7499.932146,SL_100,-1.464429999999993,LOSS,Session_1 (02:00-05:00),2018
2018-01-02 04:32:00,2018-01-02 04:36:00,SHORT,7504.325436,7505.204094000001,7505.204094000001,7499.932146,SL_50,-0.8786580000005415,LOSS,Session_1 (02:00-05:00),2018
2018-01-02 04:32:00,2018-01-02 04:36:00,SHORT,7504.325436,7505.643423,7505.643423,7499.932146,SL_75,-1.3179870000003575,LOSS,Session_1 (02:00-05:00),2018
2018-01-02 04:32:00,2018-01-02 04:36:00,SHORT,7504.325436,7506.082752,7506.082752,7499.932146,SL_100,-1.7573160000001735,LOSS,Session_1 (02:00-05:00),2018
2018-01-02 08:54:00,2018-01-02 08:58:00,SHORT,7582.526002,7583.990432,7583.990432,7528.634975,SL_50,-1.464429999999993,LOSS,Session_2 (08:30-11:00),2018
2018-01-02 08:54:00,2018-01-02 08:58:00,SHORT,7582.526002,7584.722647,7584.722647,7528.634975,SL_75,-2.1966449999999895,LOSS,Session_2 (08:30-11:00),2018
2018-01-02 08:54:00,2018-01-02 08:58:00,SHORT,7582.526002,7585.454862,7585.454862,7528.634975,SL_100,-2.928859999999986,LOSS,Session_2 (08:30-11:00),2018
2018-01-02 08:55:00,2018-01-02 08:56:00,SHORT,7576.375395,7579.7435845,7579.7435845,7528.634975,SL_50,-3.3681894999999713,LOSS,Session_2 (08:30-11:00),2018
2018-01-02 08:55:00,2018-01-02 08:57:00,SHORT,7576.375395,7581.42767925,7581.42767925,7528.634975,SL_75,-5.052284250000412,LOSS,Session_2 (08:30-11:00),2018
2018-01-02 08:55:00,2018-01-02 08:58:00,SHORT,7576.375395,7583.111774,7583.111774,7528.634975,SL_100,-6.736378999999943,LOSS,Session_2 (08:30-11:00),2018
2018-01-02 09:33:00,2018-01-02 09:34:00,SHORT,7607.128427,7608.299971,7608.299971,7592.19124,SL_50,-1.171544000000722,LOSS,Session_2 (08:30-11:00),2018
2018-01-02 09:33:00,2018-01-02 09:34:00,SHORT,7607.128427,7608.885743,7608.885743,7592.19124,SL_75,-1.7573160000001735,LOSS,Session_2 (08:30-11:00),2018
2018-01-02 09:33:00,2018-01-02 09:34:00,SHORT,7607.128427,7609.471515,7609.471515,7592.19124,SL_100,-2.3430880000005345,LOSS,Session_2 (08:30-11:00),2018
2018-01-02 09:37:00,2018-01-02 09:40:00,SHORT,7604.199567,7607.567756,7607.567756,7592.777012,SL_50,-3.3681890000007115,LOSS,Session_2 (08:30-11:00),2018
2018-01-02 09:37:00,2018-01-02 09:43:00,SHORT,7604.199567,7609.2518505,7609.2518505,7592.777012,SL_75,-5.052283500000158,LOSS,Session_2 (08:30-11:00),2018
2018-01-02 09:37:00,2018-01-02 09:46:00,SHORT,7604.199567,7610.935945,7610.935945,7592.777012,SL_100,-6.736378000000514,LOSS,Session_2 (08:30-11:00),2018
2018-01-02 09:38:00,2018-01-02 09:39:00,SHORT,7602.149365,7603.467352,7603.467352,7592.777012,SL_50,-1.317986999999448,LOSS,Session_2 (08:30-11:00),2018
2018-01-02 09:38:00,2018-01-02 09:39:00,SHORT,7602.149365,7604.1263455,7604.1263455,7592.777012,SL_75,-1.9769804999996268,LOSS,Session_2 (08:30-11:00),2018
2018-01-02 09:38:00,2018-01-02 09:39:00,SHORT,7602.149365,7604.785339,7604.785339,7592.777012,SL_100,-2.6359739999998055,LOSS,Session_2 (08:30-11:00),2018
2018-01-02 10:35:00,2018-01-02 10:37:00,SHORT,7615.622121,7616.500779,7616.500779,7613.571919,SL_50,-0.878657999999632,LOSS,Session_2 (08:30-11:00),2018
2018-01-02 10:35:00,2018-01-02 10:38:00,SHORT,7615.622121,7616.940108,7616.940108,7613.571919,SL_75,-1.317986999999448,LOSS,Session_2 (08:30-11:00),2018
2018-01-02 10:35:00,2018-01-02 10:38:00,SHORT,7615.622121,7617.379437,7617.379437,7613.571919,SL_100,-1.757315999999264,LOSS,Session_2 (08:30-11:00),2018
2018-01-03 02:42:00,2018-01-03 02:44:00,LONG,7647.546697,7646.814482,7646.814482,7648.425355,SL_50,-0.7322149999999965,LOSS,Session_1 (02:00-05:00),2018
2018-01-03 02:42:00,2018-01-03 02:45:00,LONG,7647.546697,7646.4483745,7646.4483745,7648.425355,SL_75,-1.0983224999999948,LOSS,Session_1 (02:00-05:00),2018
2018-01-03 02:42:00,2018-01-03 02:45:00,LONG,7647.546697,7646.082267,7646.082267,7648.425355,SL_100,-1.464429999999993,LOSS,Session_1 (02:00-05:00),2018
2018-01-03 03:15:00,2018-01-03 03:16:00,SHORT,7648.718241,7649.011127,7649.011127,7644.617837,SL_50,-0.2928860000001805,LOSS,Session_1 (02:00-05:00),2018
2018-01-03 03:15:00,2018-01-03 03:42:00,SHORT,7648.718241,7649.157569999999,7649.157569999999,7644.617837,SL_75,-0.439328999999816,LOSS,Session_1 (02:00-05:00),2018
2018-01-03 03:15:00,2018-01-03 03:42:00,SHORT,7648.718241,7649.304013,7649.304013,7644.617837,SL_100,-0.585772000000361,LOSS,Session_1 (02:00-05:00),2018
2018-01-03 03:17:00,2018-01-03 03:19:00,SHORT,7647.839583,7648.425354999999,7648.425354999999,7644.617837,SL_50,-0.5857719999994515,LOSS,Session_1 (02:00-05:00),2018
2018-01-03 03:17:00,2018-01-03 03:19:00,SHORT,7647.839583,7648.718241,7648.718241,7644.617837,SL_75,-0.878657999999632,LOSS,Session_1 (02:00-05:00),2018
2018-01-03 03:17:00,2018-01-03 03:19:00,SHORT,7647.839583,7649.011127,7649.011127,7644.617837,SL_100,-1.1715439999998125,LOSS,Session_1 (02:00-05:00),2018
2018-01-03 03:29:00,2018-01-03 03:30:00,LONG,7647.839583,7647.546697,7647.546697,7649.011127,SL_50,-0.2928860000001805,LOSS,Session_1 (02:00-05:00),2018
2018-01-03 03:29:00,2018-01-03 03:30:00,LONG,7647.839583,7647.400254,7647.400254,7649.011127,SL_75,-0.439328999999816,LOSS,Session_1 (02:00-05:00),2018
2018-01-03 03:29:00,2018-01-03 03:30:00,LONG,7647.839583,7647.253811,7647.253811,7649.011127,SL_100,-0.585772000000361,LOSS,Session_1 (02:00-05:00),2018
2018-01-03 03:34:00,2018-01-03 03:35:00,LONG,7646.960925,7646.375153,7646.375153,7649.011127,SL_50,-0.585772000000361,LOSS,Session_1 (02:00-05:00),2018
2018-01-03 03:34:00,2018-01-03 03:36:00,LONG,7646.960925,7646.082267,7646.082267,7649.011127,SL_75,-0.8786580000005415,LOSS,Session_1 (02:00-05:00),2018
2018-01-03 03:34:00,2018-01-03 03:36:00,LONG,7646.960925,7645.789381,7645.789381,7649.011127,SL_100,-1.171544000000722,LOSS,Session_1 (02:00-05:00),2018
2018-01-03 03:50:00,2018-01-03 03:53:00,SHORT,7648.425355,7649.15757,7649.15757,7644.910723,SL_50,-0.7322149999999965,LOSS,Session_1 (02:00-05:00),2018
2018-01-03 03:50:00,2018-01-03 03:53:00,SHORT,7648.425355,7649.5236775,7649.5236775,7644.910723,SL_75,-1.0983224999999948,LOSS,Session_1 (02:00-05:00),2018
2018-01-03 03:50:00,2018-01-03 03:54:00,SHORT,7648.425355,7649.889785,7649.889785,7644.910723,SL_100,-1.464429999999993,LOSS,Session_1 (02:00-05:00),2018
2018-01-03 04:19:00,2018-01-03 04:32:00,LONG,7647.253811,7646.375153,7646.375153,7650.768443,SL_50,-0.878657999999632,LOSS,Session_1 (02:00-05:00),2018
2018-01-03 04:19:00,2018-01-03 04:33:00,LONG,7647.253811,7645.935824,7645.935824,7650.768443,SL_75,-1.317986999999448,LOSS,Session_1 (02:00-05:00),2018
2018-01-03 04:19:00,2018-01-03 04:33:00,LONG,7647.253811,7645.496495,7645.496495,7650.768443,SL_100,-1.757315999999264,LOSS,Session_1 (02:00-05:00),2018
2018-01-03 04:41:00,2018-01-03 04:42:00,SHORT,7646.668039,7647.107368,7647.107368,7645.496495,SL_50,-0.439328999999816,LOSS,Session_1 (02:00-05:00),2018
2018-01-03 04:41:00,2018-01-03 04:42:00,SHORT,7646.668039,7647.327032499999,7647.327032499999,7645.496495,SL_75,-0.6589934999992693,LOSS,Session_1 (02:00-05:00),2018
2018-01-03 04:41:00,2018-01-03 04:42:00,SHORT,7646.668039,7647.546697,7647.546697,7645.496495,SL_100,-0.878657999999632,LOSS,Session_1 (02:00-05:00),2018
2018-01-03 08:54:00,2018-01-03 08:56:00,SHORT,7679.178386,7681.521473999999,7681.521473999999,7641.39609,SL_50,-2.343087999999625,LOSS,Session_2 (08:30-11:00),2018
2018-01-03 08:54:00,2018-01-03 08:58:00,SHORT,7679.178386,7682.693018,7682.693018,7641.39609,SL_75,-3.514632000000347,LOSS,Session_2 (08:30-11:00),2018
2018-01-03 08:54:00,2018-01-03 08:59:00,SHORT,7679.178386,7683.864562,7683.864562,7641.39609,SL_100,-4.6861760000001595,LOSS,Session_2 (08:30-11:00),2018
2018-01-03 09:05:00,2018-01-03 09:06:00,SHORT,7688.257853,7691.0402699999995,7691.0402699999995,7656.919049,SL_50,-2.782416999999441,LOSS,Session_2 (08:30-11:00),2018
2018-01-03 09:05:00,2018-01-03 09:36:00,SHORT,7688.257853,7692.4314785,7692.4314785,7656.919049,SL_75,-4.173625499999616,LOSS,Session_2 (08:30-11:00),2018
2018-01-03 09:05:00,2018-01-03 09:36:00,SHORT,7688.257853,7693.822687,7693.822687,7656.919049,SL_100,-5.564833999999792,LOSS,Session_2 (08:30-11:00),2018
2018-01-03 10:21:00,2018-01-03 10:23:00,SHORT,7701.730609,7702.755709999999,7702.755709999999,7691.772485,SL_50,-1.0251009999992675,LOSS,Session_2 (08:30-11:00),2018
2018-01-03 10:21:00,2018-01-03 10:24:00,SHORT,7701.730609,7703.2682605,7703.2682605,7691.772485,SL_75,-1.5376514999998108,LOSS,Session_2 (08:30-11:00),2018
2018-01-03 10:21:00,2018-01-03 10:24:00,SHORT,7701.730609,7703.780811,7703.780811,7691.772485,SL_100,-2.0502019999994445,LOSS,Session_2 (08:30-11:00),2018
2018-01-03 10:39:00,2018-01-03 10:50:00,SHORT,7702.316381,7703.341482,7703.341482,7697.044433,SL_50,-1.025101000000177,LOSS,Session_2 (08:30-11:00),2018
2018-01-03 10:39:00,2018-01-03 11:27:00,SHORT,7702.316381,7703.854032499999,7703.854032499999,7697.044433,SL_75,-1.5376514999998108,LOSS,Session_2 (08:30-11:00),2018
2018-01-03 10:39:00,2018-01-03 11:27:00,SHORT,7702.316381,7704.366583,7704.366583,7697.044433,SL_100,-2.050202000000354,LOSS,Session_2 (08:30-11:00),2018
2018-01-03 10:40:00,2018-01-03 10:43:00,SHORT,7699.973293,7701.2912799999995,7701.2912799999995,7697.044433,SL_50,-1.317986999999448,LOSS,Session_2 (08:30-11:00),2018
2018-01-03 10:40:00,2018-01-03 10:43:00,SHORT,7699.973293,7701.9502735,7701.9502735,7697.044433,SL_75,-1.9769804999996268,LOSS,Session_2 (08:30-11:00),2018
2018-01-03 10:40:00,2018-01-03 10:48:00,SHORT,7699.973293,7702.609267,7702.609267,7697.044433,SL_100,-2.6359739999998055,LOSS,Session_2 (08:30-11:00),2018
