year,timeframe,stop_loss_type,rr_ratio,total_fvgs,total_trades,wins,losses,no_exit,win_rate,total_pnl,avg_win,avg_loss,profit_factor,gross_profit,gross_loss
2018,1m,middle,1.5,7,7,3,4,0,42.857142857142854,-36.54108675000134,9.53412174999903,16.28586299999961,0.4390673870030372,28.602365249997092,65.14345199999843
2018,1m,middle,2.0,7,7,2,5,0,28.57142857142857,-41.35429849999855,14.285798999999315,13.985179299999436,0.4085982365631849,28.57159799999863,69.92589649999718
2018,1m,middle,2.5,7,7,2,5,0,28.57142857142857,-34.21139899999889,17.857248749999144,13.985179299999436,0.5107477957039811,35.71449749999829,69.92589649999718
2018,1m,middle,3.0,7,7,2,5,0,28.57142857142857,-27.068499499999234,21.428698499998973,13.985179299999436,0.6128973548447774,42.857396999997945,69.92589649999718
2018,1m,middle,3.5,7,7,2,5,0,28.57142857142857,-19.925599999999577,25.0001482499988,13.985179299999436,0.7150469139855735,50.0002964999976,69.92589649999718
2018,1m,middle,4.0,7,7,2,5,0,28.57142857142857,-12.782700499999919,28.57159799999863,13.985179299999436,0.8171964731263698,57.14319599999726,69.92589649999718
2018,1m,middle,4.5,7,7,2,5,0,28.57142857142857,-5.639801000000261,32.14304774999846,13.985179299999436,0.919346032267166,64.28609549999692,69.92589649999718
2018,1m,middle,5.0,7,7,2,5,0,28.57142857142857,1.5030984999993962,35.71449749999829,13.985179299999436,1.0214955914079622,71.42899499999658,69.92589649999718
2018,1m,middle,10.0,7,7,2,5,0,28.57142857142857,72.93209349999597,71.42899499999658,13.985179299999436,2.0429911828159244,142.85798999999315,69.92589649999718
2018,1m,edge,1.5,7,7,2,5,0,28.57142857142857,-50.67498899999828,11.1513915000005,14.595554399999855,0.30561063168660757,22.302783000001,72.97777199999928
2018,1m,edge,2.0,7,7,2,5,0,28.57142857142857,-43.240727999997944,14.868522000000667,14.595554399999855,0.40748084224881004,29.737044000001333,72.97777199999928
2018,1m,edge,2.5,7,7,2,5,0,28.57142857142857,-35.80646699999761,18.585652500000833,14.595554399999855,0.5093510528110126,37.17130500000167,72.97777199999928
2018,1m,edge,3.0,7,7,2,5,0,28.57142857142857,-28.372205999997277,22.302783000001,14.595554399999855,0.6112212633732151,44.605566000002,72.97777199999928
2018,1m,edge,3.5,7,7,2,5,0,28.57142857142857,-20.937944999996944,26.019913500001167,14.595554399999855,0.7130914739354176,52.03982700000233,72.97777199999928
2018,1m,edge,4.0,7,7,2,5,0,28.57142857142857,-13.50368399999661,29.737044000001333,14.595554399999855,0.8149616844976201,59.474088000002666,72.97777199999928
2018,1m,edge,4.5,7,7,2,5,0,28.57142857142857,-6.069422999996277,33.4541745000015,14.595554399999855,0.9168318950598227,66.908349000003,72.97777199999928
2018,1m,edge,5.0,7,7,2,5,0,28.57142857142857,1.364838000004056,37.17130500000167,14.595554399999855,1.0187021056220251,74.34261000000333,72.97777199999928
2018,1m,edge,10.0,7,7,2,5,0,28.57142857142857,75.70744800000739,74.34261000000333,14.595554399999855,2.0374042112440502,148.68522000000667,72.97777199999928
2018,5m,middle,1.5,19,19,8,11,0,42.10526315789473,-81.5582007499961,36.759826781250354,34.14880136363627,0.7828801717691161,294.07861425000283,375.63681499999893
2018,5m,middle,2.0,19,19,8,11,0,42.10526315789473,16.46800400000484,49.01310237500047,34.14880136363627,1.043840229025488,392.1048190000038,375.63681499999893
2018,5m,middle,2.5,19,19,8,11,0,42.10526315789473,114.49420875000578,61.26637796875059,34.14880136363627,1.30480028628186,490.1310237500047,375.63681499999893
2018,5m,middle,3.0,19,17,6,11,2,35.294117647058826,22.27376350000486,66.31842975000063,34.14880136363627,1.059296007767516,397.9105785000038,375.63681499999893
2018,5m,middle,3.5,19,16,4,12,3,25.0,-136.15756599998986,66.43823812500204,33.49254320833317,0.6612241786849614,265.7529525000082,401.91051849999803
2018,5m,middle,4.0,19,16,4,12,3,25.0,-98.19285849998869,75.92941500000234,33.49254320833317,0.7556847756399558,303.71766000000935,401.91051849999803
2018,5m,middle,4.5,19,16,4,12,3,25.0,-60.22815099998752,85.42059187500263,33.49254320833317,0.8501453725949504,341.6823675000105,401.91051849999803
2018,5m,middle,5.0,19,15,3,12,4,20.0,-140.45856349998667,87.15065166667046,33.49254320833317,0.6505227978998829,261.45195500001137,401.91051849999803
2018,5m,middle,10.0,19,13,1,12,6,7.6923076923076925,-383.0031234999924,18.907395000005636,33.49254320833317,0.04704379241073714,18.907395000005636,401.91051849999803
2018,5m,edge,1.5,19,19,8,11,0,42.10526315789473,-78.99714999999787,39.69843712500011,36.05314972727262,0.8008063332819888,317.5874970000009,396.58464699999877
2018,5m,edge,2.0,19,19,8,11,0,42.10526315789473,26.865349000002425,52.93124950000015,36.05314972727262,1.0677417777093183,423.4499960000012,396.58464699999877
2018,5m,edge,2.5,19,18,6,12,1,33.33333333333333,-47.463783499997135,63.76876958333355,35.839700083333206,0.8896387167730291,382.6126175000013,430.07640099999844
2018,5m,edge,3.0,19,17,5,12,2,29.411764705882355,-91.76293899999564,67.66269240000057,35.839700083333206,0.7866357261485827,338.3134620000028,430.07640099999844
2018,5m,edge,3.5,19,16,4,12,3,25.0,-147.98220399999445,70.523549250001,35.839700083333206,0.6559164751753143,282.094197000004,430.07640099999844
2018,5m,edge,4.0,19,16,4,12,3,25.0,-107.68303299999388,80.59834200000114,35.839700083333206,0.7496188287717878,322.39336800000456,430.07640099999844
2018,5m,edge,4.5,19,15,3,12,4,20.0,-180.32586549999724,83.2501785000004,35.839700083333206,0.5807120198162236,249.7505355000012,430.07640099999844
2018,5m,edge,5.0,19,15,3,12,4,20.0,-152.5758059999971,92.50019833333378,35.839700083333206,0.6452355775735817,277.50059500000134,430.07640099999844
2018,5m,edge,10.0,19,13,1,12,6,7.6923076923076925,-409.71459100000357,20.361809999994875,35.839700083333206,0.047344634471108656,20.361809999994875,430.07640099999844
2018,15m,middle,1.5,21,13,3,10,7,23.076923076923077,-253.40984850000223,47.29659599999923,39.52996364999999,0.3589423690249149,141.88978799999768,395.2996364999999
2018,15m,middle,2.0,21,13,3,10,7,23.076923076923077,-206.113252500003,63.06212799999897,39.52996364999999,0.4785898253665532,189.1863839999969,395.2996364999999
