entry_datetime,exit_datetime,type,entry_price,exit_price,stop_loss,take_profit,pnl,exit_reason,bars_held
2018-01-02 01:25:00,2018-01-02 06:25:00,short,7516.419535,7536.919535,7536.919535,7476.919535,-26.0,stop_loss,60
2018-01-03 01:05:00,2018-01-03 08:50:00,long,7643.653407,7683.153407,7623.153407,7683.153407,34.0,take_profit,93
2018-01-04 01:00:00,2018-01-05 07:20:00,long,7730.347667,7769.847667,7709.847667,7769.847667,34.0,take_profit,349
2018-01-08 01:50:00,2018-01-08 06:40:00,long,7818.799243,7798.299243,7798.299243,7858.299243,-26.0,stop_loss,58
2018-01-09 04:25:00,2018-01-09 08:40:00,long,7844.866098,7824.366098,7824.366098,7884.366098,-26.0,stop_loss,51
2018-01-10 03:10:00,2018-01-10 04:35:00,long,7819.970787,7799.470787,7799.470787,7859.470787,-26.0,stop_loss,17
2018-01-10 04:45:00,2018-01-10 08:35:00,short,7791.732387,7812.232387,7812.232387,7752.232387,-26.0,stop_loss,46
2018-01-11 01:10:00,2018-01-11 14:50:00,long,7825.535621,7865.035621,7805.035621,7865.035621,34.0,take_profit,164
2018-01-12 01:05:00,2018-01-12 07:35:00,long,7888.799,7868.299,7868.299,7928.299,-26.0,stop_loss,78
2018-01-15 03:05:00,2018-01-16 04:55:00,long,7945.618886,7985.118886,7925.118886,7985.118886,34.0,take_profit,250
2018-01-16 04:55:00,2018-01-16 10:10:00,long,7985.74427,7965.24427,7965.24427,8025.24427,-26.0,stop_loss,63
2018-01-17 01:00:00,2018-01-17 11:50:00,long,7926.28841,7965.78841,7905.78841,7965.78841,34.0,take_profit,130
2018-01-18 01:45:00,2018-01-18 07:00:00,long,7991.309104,7970.809104,7970.809104,8030.809104,-26.0,stop_loss,63
2018-01-19 01:25:00,2018-01-19 04:15:00,long,7984.865612,8024.365612,7964.365612,8024.365612,34.0,take_profit,34
2018-01-22 01:05:00,2018-01-22 09:15:00,long,8017.083074,8056.583074,7996.583074,8056.583074,34.0,take_profit,98
2018-01-23 01:50:00,2018-01-23 05:00:00,long,8152.103526,8131.603526,8131.603526,8191.603526,-26.0,stop_loss,38
2018-01-24 02:35:00,2018-01-24 10:10:00,long,8175.827293,8155.327293,8155.327293,8215.327293,-26.0,stop_loss,91
2018-01-25 02:20:00,2018-01-25 06:10:00,long,8124.865127,8164.365127,8104.365127,8164.365127,34.0,take_profit,46
2018-01-26 03:30:00,2018-01-26 12:35:00,long,8153.27507,8192.77507,8132.77507,8192.77507,34.0,take_profit,109
2018-01-29 01:05:00,2018-01-29 02:55:00,long,8233.818724,8213.318724,8213.318724,8273.318724,-26.0,stop_loss,22
2018-01-29 04:30:00,2018-01-29 08:35:00,long,8213.609589,8193.109589,8193.109589,8253.109589,-26.0,stop_loss,49
2018-01-30 01:55:00,2018-01-30 08:30:00,short,8147.296008,8107.796008,8167.796008,8107.796008,34.0,take_profit,79
2018-01-31 03:15:00,2018-01-31 08:25:00,short,8157.839904,8178.339904,8178.339904,8118.339904,-26.0,stop_loss,62
2018-02-01 01:00:00,2018-02-01 03:25:00,long,8179.927697,8159.427697,8159.427697,8219.427697,-26.0,stop_loss,29
2018-02-01 03:40:00,2018-02-01 06:05:00,long,8167.626485,8147.126485,8147.126485,8207.126485,-26.0,stop_loss,29
2018-02-02 01:15:00,2018-02-02 03:00:00,short,8115.371432,8075.871432,8135.871432,8075.871432,34.0,take_profit,21
2018-02-02 03:40:00,2018-02-02 08:35:00,short,8056.79423,8077.29423,8077.29423,8017.29423,-26.0,stop_loss,59
2018-02-05 01:45:00,2018-02-05 06:00:00,short,7912.108539,7872.608539,7932.608539,7872.608539,34.0,take_profit,51
2018-02-06 04:20:00,2018-02-06 04:35:00,short,7556.252033,7576.752033,7576.752033,7516.752033,-26.0,stop_loss,3
2018-02-07 02:00:00,2018-02-07 04:15:00,short,7727.004578,7747.504578,7747.504578,7687.504578,-26.0,stop_loss,27
2018-02-07 04:55:00,2018-02-07 05:30:00,short,7718.80377,7739.30377,7739.30377,7679.30377,-26.0,stop_loss,7
2018-02-08 01:15:00,2018-02-08 02:05:00,short,7695.665775,7716.165775,7716.165775,7656.165775,-26.0,stop_loss,10
2018-02-08 02:50:00,2018-02-08 05:05:00,short,7712.653164,7673.153164,7733.153164,7673.153164,34.0,take_profit,27
2018-02-09 03:15:00,2018-02-09 05:35:00,short,7453.449042,7413.949042,7473.949042,7413.949042,34.0,take_profit,28
2018-02-12 01:15:00,2018-02-12 02:40:00,short,7548.34411,7568.84411,7568.84411,7508.84411,-26.0,stop_loss,17
2018-02-12 03:50:00,2018-02-12 04:45:00,long,7610.557287,7590.057287,7590.057287,7650.057287,-26.0,stop_loss,11
2018-02-13 01:10:00,2018-02-13 01:30:00,long,7643.653407,7623.153407,7623.153407,7683.153407,-26.0,stop_loss,4
2018-02-13 02:20:00,2018-02-13 02:30:00,long,7626.666018,7606.166018,7606.166018,7666.166018,-26.0,stop_loss,2
2018-02-13 03:00:00,2018-02-13 05:05:00,long,7624.908702,7604.408702,7604.408702,7664.408702,-26.0,stop_loss,25
2018-02-14 01:00:00,2018-02-14 07:30:00,long,7699.301749,7678.801749,7678.801749,7738.801749,-26.0,stop_loss,78
2018-02-15 01:55:00,2018-02-15 07:30:00,long,7883.527052,7863.027052,7863.027052,7923.027052,-26.0,stop_loss,67
2018-02-16 01:00:00,2018-02-16 07:25:00,long,8006.246291,7985.746291,7985.746291,8045.746291,-26.0,stop_loss,77
2018-02-19 04:40:00,2018-02-19 08:35:00,long,7976.371918,7955.871918,7955.871918,8015.871918,-26.0,stop_loss,47
2018-02-20 01:05:00,2018-02-20 01:55:00,long,7950.305063,7929.805063,7929.805063,7989.805063,-26.0,stop_loss,10
2018-02-21 01:20:00,2018-02-21 02:05:00,long,7976.95769,7956.45769,7956.45769,8016.45769,-26.0,stop_loss,9
2018-02-21 03:50:00,2018-02-21 08:30:00,long,7956.748555,7996.248555,7936.248555,7996.248555,34.0,take_profit,56
2018-02-22 01:20:00,2018-02-22 04:20:00,short,7879.012419,7899.512419,7899.512419,7839.512419,-26.0,stop_loss,36
2018-02-26 02:00:00,2018-02-26 08:30:00,long,8097.040955,8136.540955,8076.540955,8136.540955,34.0,take_profit,78
2018-02-27 01:05:00,2018-02-27 08:50:00,long,8188.128506,8167.628506,8167.628506,8227.628506000001,-26.0,stop_loss,93
2018-02-28 01:35:00,2018-02-28 02:05:00,short,8084.618401,8105.118401,8105.118401,8045.118401,-26.0,stop_loss,6
2018-02-28 03:50:00,2018-02-28 09:15:00,long,8118.421634,8157.921634,8097.921634,8157.921634,34.0,take_profit,65
