body_datetime,entry_datetime,entry_price,direction,body_direction,body_size,body_ticks,sl_price,tp_price,risk,rr_ratio,exit_datetime,exit_price,outcome,pnl,hit_tp,hit_sl,year,timeframe
2018-02-06 08:30:00,2018-02-06 08:35:00,7586.626406,long,bullish,77.90768000000025,77.90768000000025,7538.3236444,7659.0805484,48.30276159999994,1.5,2018-02-06 08:40:00,7659.0805484,win,72.45414239999991,True,False,2018,5m
2018-11-06 08:30:00,2018-11-06 08:35:00,8098.563562,long,bullish,51.0127480000001,51.0127480000001,8066.64581324,8146.44018514,31.917748759999995,1.5,2018-11-06 08:45:00,8146.44018514,win,47.87662313999999,True,False,2018,5m
2018-02-06 08:30:00,2018-02-06 08:35:00,7586.626406,long,bullish,77.90768000000025,77.90768000000025,7538.3236444,7683.2319292,48.30276159999994,2.0,2018-02-06 08:50:00,7683.2319292,win,96.60552319999988,True,False,2018,5m
2018-11-06 08:30:00,2018-11-06 08:35:00,8098.563562,long,bullish,51.0127480000001,51.0127480000001,8066.64581324,8162.39905952,31.917748759999995,2.0,2018-11-06 13:20:00,8066.64581324,loss,-31.917748759999995,False,True,2018,5m
2018-02-06 08:30:00,2018-02-06 08:35:00,7586.626406,long,bullish,77.90768000000025,77.90768000000025,7538.3236444,7707.38331,48.30276159999994,2.5,2018-02-06 08:50:00,7707.38331,win,120.75690399999985,True,False,2018,5m
2018-11-06 08:30:00,2018-11-06 08:35:00,8098.563562,long,bullish,51.0127480000001,51.0127480000001,8066.64581324,8178.357933900001,31.917748759999995,2.5,2018-11-06 13:20:00,8066.64581324,loss,-31.917748759999995,False,True,2018,5m
2018-02-06 08:30:00,2018-02-06 08:35:00,7586.626406,long,bullish,77.90768000000025,77.90768000000025,7538.3236444,7731.5346908,48.30276159999994,3.0,2018-02-06 08:55:00,7731.5346908,win,144.90828479999982,True,False,2018,5m
2018-11-06 08:30:00,2018-11-06 08:35:00,8098.563562,long,bullish,51.0127480000001,51.0127480000001,8066.64581324,8194.31680828,31.917748759999995,3.0,2018-11-06 13:20:00,8066.64581324,loss,-31.917748759999995,False,True,2018,5m
2018-02-06 08:30:00,2018-02-06 08:35:00,7586.626406,long,bullish,77.90768000000025,77.90768000000025,7538.3236444,7755.6860716,48.30276159999994,3.5,2018-02-06 09:35:00,7538.3236444,loss,-48.30276159999994,False,True,2018,5m
2018-11-06 08:30:00,2018-11-06 08:35:00,8098.563562,long,bullish,51.0127480000001,51.0127480000001,8066.64581324,8210.27568266,31.917748759999995,3.5,2018-11-06 13:20:00,8066.64581324,loss,-31.917748759999995,False,True,2018,5m
2018-02-06 08:30:00,2018-02-06 08:35:00,7586.626406,long,bullish,77.90768000000025,77.90768000000025,7538.3236444,7779.8374524,48.30276159999994,4.0,2018-02-06 09:35:00,7538.3236444,loss,-48.30276159999994,False,True,2018,5m
2018-11-06 08:30:00,2018-11-06 08:35:00,8098.563562,long,bullish,51.0127480000001,51.0127480000001,8066.64581324,8226.23455704,31.917748759999995,4.0,2018-11-06 13:20:00,8066.64581324,loss,-31.917748759999995,False,True,2018,5m
2018-02-06 08:30:00,2018-02-06 08:35:00,7586.626406,long,bullish,77.90768000000025,77.90768000000025,7538.3236444,7803.9888332,48.30276159999994,4.5,2018-02-06 09:35:00,7538.3236444,loss,-48.30276159999994,False,True,2018,5m
2018-11-06 08:30:00,2018-11-06 08:35:00,8098.563562,long,bullish,51.0127480000001,51.0127480000001,8066.64581324,8242.19343142,31.917748759999995,4.5,2018-11-06 13:20:00,8066.64581324,loss,-31.917748759999995,False,True,2018,5m
2018-02-06 08:30:00,2018-02-06 08:35:00,7586.626406,long,bullish,77.90768000000025,77.90768000000025,7538.3236444,7828.140214,48.30276159999994,5.0,2018-02-06 09:35:00,7538.3236444,loss,-48.30276159999994,False,True,2018,5m
2018-11-06 08:30:00,2018-11-06 08:35:00,8098.563562,long,bullish,51.0127480000001,51.0127480000001,8066.64581324,8258.1523058,31.917748759999995,5.0,2018-11-06 13:20:00,8066.64581324,loss,-31.917748759999995,False,True,2018,5m
2018-02-06 08:30:00,2018-02-06 08:35:00,7586.626406,long,bullish,77.90768000000025,77.90768000000025,7538.3236444,8069.654022,48.30276159999994,10.0,2018-02-06 09:35:00,7538.3236444,loss,-48.30276159999994,False,True,2018,5m
2018-11-06 08:30:00,2018-11-06 08:35:00,8098.563562,long,bullish,51.0127480000001,51.0127480000001,8066.64581324,8417.741049600001,31.917748759999995,10.0,2018-11-06 13:20:00,8066.64581324,loss,-31.917748759999995,False,True,2018,5m
2018-02-06 08:30:00,2018-02-06 08:45:00,7626.75179,long,bullish,118.0330640000002,118.0330640000002,7553.57129032,7736.5225395200005,73.18049968000014,1.5,2018-02-06 09:30:00,7553.57129032,loss,-73.18049968000014,False,True,2018,15m
2018-04-25 08:30:00,2018-04-25 08:45:00,7541.140565,short,bearish,75.00283000000036,75.00283000000036,7588.2259986,7470.5124146,47.085433600000215,1.5,2018-04-25 09:30:00,7588.2259986,loss,-47.085433600000215,False,True,2018,15m
2018-07-30 08:30:00,2018-07-30 08:45:00,8408.845379,short,bearish,91.62814099999923,91.62814099999923,8465.36394342,8324.067532370002,56.518564419999166,1.5,2018-07-31 11:00:00,8465.36394342,loss,-56.518564419999166,False,True,2018,15m
2018-10-26 08:30:00,2018-10-26 08:45:00,7966.39417,long,bullish,92.4606049999993,92.4606049999993,7909.0685949,8052.382532649999,57.325575099999696,1.5,2018-10-26 09:00:00,7909.0685949,loss,-57.325575099999696,False,True,2018,15m
2018-11-05 08:30:00,2018-11-05 08:45:00,8004.074041,short,bearish,76.80896600000051,76.80896600000051,8051.40575492,7933.0764701200005,47.331713919999856,1.5,2018-11-05 13:15:00,8051.40575492,loss,-47.331713919999856,False,True,2018,15m
2018-11-06 08:30:00,2018-11-06 08:45:00,8128.417614,long,bullish,81.44649000000027,81.44649000000027,8078.2106352,8203.7280822,50.20697879999989,1.5,2018-11-06 10:00:00,8078.2106352,loss,-50.20697879999989,False,True,2018,15m
2018-02-06 08:30:00,2018-02-06 08:45:00,7626.75179,long,bullish,118.0330640000002,118.0330640000002,7553.57129032,7773.1127893600005,73.18049968000014,2.0,2018-02-06 09:30:00,7553.57129032,loss,-73.18049968000014,False,True,2018,15m
2018-04-25 08:30:00,2018-04-25 08:45:00,7541.140565,short,bearish,75.00283000000036,75.00283000000036,7588.2259986,7446.969697799999,47.085433600000215,2.0,2018-04-25 09:30:00,7588.2259986,loss,-47.085433600000215,False,True,2018,15m
2018-07-30 08:30:00,2018-07-30 08:45:00,8408.845379,short,bearish,91.62814099999923,91.62814099999923,8465.36394342,8295.808250160002,56.518564419999166,2.0,2018-07-31 11:00:00,8465.36394342,loss,-56.518564419999166,False,True,2018,15m
2018-10-26 08:30:00,2018-10-26 08:45:00,7966.39417,long,bullish,92.4606049999993,92.4606049999993,7909.0685949,8081.045320199999,57.325575099999696,2.0,2018-10-26 09:00:00,7909.0685949,loss,-57.325575099999696,False,True,2018,15m
