year,timeframe,body_filter,sl_type,rr_ratio,total_candles,total_trades,wins,losses,no_exit,win_rate,total_pnl,profit_factor,gross_profit,gross_loss
2018,15m,100,middle,3.0,1,1,0,1,0,0.0,-59.01653199999964,0.0,0.0,59.01653199999964
2018,15m,100,middle,3.5,1,1,0,1,0,0.0,-59.01653199999964,0.0,0.0,59.01653199999964
2018,15m,100,middle,4.0,1,1,0,1,0,0.0,-59.01653199999964,0.0,0.0,59.01653199999964
2018,15m,100,middle,4.5,1,1,0,1,0,0.0,-59.01653199999964,0.0,0.0,59.01653199999964
2018,15m,100,middle,5.0,1,1,0,1,0,0.0,-59.01653199999964,0.0,0.0,59.01653199999964
2018,15m,100,62%,1.5,1,1,0,1,0,0.0,-73.18049968000014,0.0,0.0,73.18049968000014
2018,15m,100,62%,2.0,1,1,0,1,0,0.0,-73.18049968000014,0.0,0.0,73.18049968000014
2018,15m,100,62%,2.5,1,1,0,1,0,0.0,-73.18049968000014,0.0,0.0,73.18049968000014
2018,15m,100,62%,3.0,1,1,0,1,0,0.0,-73.18049968000014,0.0,0.0,73.18049968000014
2018,15m,100,62%,3.5,1,1,0,1,0,0.0,-73.18049968000014,0.0,0.0,73.18049968000014
2018,15m,100,62%,4.0,1,1,0,1,0,0.0,-73.18049968000014,0.0,0.0,73.18049968000014
2018,15m,100,62%,4.5,1,1,0,1,0,0.0,-73.18049968000014,0.0,0.0,73.18049968000014
2018,15m,100,62%,5.0,1,1,0,1,0,0.0,-73.18049968000014,0.0,0.0,73.18049968000014
2018,15m,100,78%,1.5,1,1,0,1,0,0.0,-92.0657899200005,0.0,0.0,92.0657899200005
2018,15m,100,78%,2.0,1,1,0,1,0,0.0,-92.0657899200005,0.0,0.0,92.0657899200005
2018,15m,100,78%,2.5,1,1,0,1,0,0.0,-92.0657899200005,0.0,0.0,92.0657899200005
2018,15m,100,78%,3.0,1,1,0,1,0,0.0,-92.0657899200005,0.0,0.0,92.0657899200005
2018,15m,100,78%,3.5,1,1,0,1,0,0.0,-92.0657899200005,0.0,0.0,92.0657899200005
2018,15m,100,78%,4.0,1,1,0,1,0,0.0,-92.0657899200005,0.0,0.0,92.0657899200005
2018,15m,100,78%,4.5,1,1,0,1,0,0.0,-92.0657899200005,0.0,0.0,92.0657899200005
2018,15m,100,78%,5.0,1,1,0,1,0,0.0,-92.0657899200005,0.0,0.0,92.0657899200005
2019,15m,50,middle,1.5,8,8,5,3,0,62.5,151.39110649999884,2.7022891866616825,240.32494199999883,88.93383549999999
2019,15m,50,middle,2.0,8,8,4,4,0,50.0,132.73934550000013,2.089332294892707,254.59320599999955,121.85386049999943
2019,15m,50,middle,2.5,8,8,4,4,0,50.0,196.38764700000002,2.6116653686158835,318.24150749999944,121.85386049999943
2019,15m,50,middle,3.0,8,8,3,5,0,37.5,135.22750449999785,1.8835166846136278,288.2834759999978,153.05597149999994
2019,15m,50,middle,3.5,8,8,3,5,0,37.5,183.27475049999748,2.1974361320492326,336.3307219999974,153.05597149999994
2019,15m,50,middle,4.0,8,8,2,6,0,25.0,90.18368650000048,1.4974728537753015,271.46731999999975,181.28363349999927
2019,15m,50,middle,4.5,8,8,2,6,0,25.0,124.11710150000044,1.6846569604972141,305.4007349999997,181.28363349999927
2019,15m,50,middle,5.0,8,8,2,6,0,25.0,158.0505165000004,1.8718410672191268,339.3341499999997,181.28363349999927
2019,15m,50,62%,1.5,8,8,5,3,0,62.5,166.2047794500072,2.40434419259035,284.5552382100054,118.35045875999822
2019,15m,50,62%,2.0,8,8,5,3,0,62.5,261.056525520009,3.205792256787133,379.40698428000724,118.35045875999822
2019,15m,50,62%,2.5,8,8,4,4,0,50.0,220.49110985000834,2.4040346316042562,377.53218625000727,157.04107639999893
2019,15m,50,62%,3.0,8,8,4,4,0,50.0,295.9975471000098,2.884841557925107,453.0386235000087,157.04107639999893
2019,15m,50,62%,3.5,8,8,3,5,0,37.5,213.99363039001173,2.1142984122696897,406.03700767001055,192.04337727999882
2019,15m,50,62%,4.0,8,8,3,5,0,37.5,271.99891720001324,2.4163410425939316,464.04229448001206,192.04337727999882
2019,15m,50,62%,4.5,8,8,2,6,0,25.0,85.41509507000274,1.361141624421514,321.92921943000374,236.514124360001
2019,15m,50,62%,5.0,8,8,2,6,0,25.0,121.18500834000315,1.512379582690571,357.69913270000416,236.514124360001
2019,15m,50,78%,1.5,8,8,5,2,1,62.5,263.2923167900053,3.803367798277024,357.2123214900048,93.92000469999948
2019,15m,50,78%,2.0,8,8,4,3,1,50.0,236.33721114000582,2.6573983482403594,378.93250900000567,142.59529785999985
2019,15m,50,78%,2.5,8,8,3,4,1,37.5,176.9473038700071,1.9481159334937035,363.577754450007,186.6304505799999
2019,15m,50,78%,3.0,8,8,3,4,1,37.5,249.66285476000849,2.337739120192444,436.2933053400084,186.6304505799999
2019,15m,50,78%,3.5,8,8,2,5,1,25.0,72.94617531000586,1.3013559654779985,315.00601041000664,242.05983510000078
2019,15m,50,78%,4.0,8,8,2,5,1,25.0,117.9470339400068,1.487263960546284,360.0068690400076,242.05983510000078
2019,15m,50,78%,4.5,8,8,2,5,1,25.0,162.94789257000775,1.6731719556145697,405.00772767000853,242.05983510000078
2019,15m,50,78%,5.0,8,8,2,5,1,25.0,207.9487512000087,1.859079950682855,450.0085863000095,242.05983510000078
2020,5m,50,middle,1.5,29,29,14,15,0,48.275862068965516,140.8821457500062,1.2398895857057683,728.161269750005,587.2791239999988
2020,5m,50,middle,2.0,29,29,12,17,0,41.37931034482759,197.64260550000654,1.3044093991163694,846.9083840000058,649.2657784999992
2020,5m,50,middle,2.5,29,29,10,19,0,34.48275862068966,144.02100425000754,1.1986278278636546,869.1006962500069,725.0796919999993
2020,5m,50,middle,3.0,29,29,7,22,0,24.137931034482758,-252.11539049999556,0.7094001270104473,615.4534350000049,867.5688255000005
2020,5m,50,middle,3.5,29,29,5,24,0,17.24137931034483,-421.06963799999176,0.5462165628994448,506.83914750000804,927.9087854999998
2020,5m,50,middle,4.0,29,29,5,24,0,17.24137931034483,-348.6640454999906,0.6242475004565083,579.2447400000092,927.9087854999998
2020,5m,50,middle,4.5,29,29,4,25,0,13.793103448275861,-429.8852367499885,0.5502544156071243,525.9556912500111,955.8409279999996
2020,5m,50,middle,5.0,29,29,2,27,0,6.896551724137931,-734.114002499995,0.27764993245981595,282.17164000000594,1016.2856425000009
2020,5m,50,62%,1.5,29,29,14,15,0,48.275862068965516,173.39517009000792,1.2382854211958216,901.0736374500093,727.6784673600014
2020,5m,50,62%,2.0,29,29,10,19,0,34.48275862068966,-41.94866171999456,0.9533685646697823,857.6303759600087,899.5790376800032
2020,5m,50,62%,2.5,29,29,6,23,0,20.689655172413794,-565.9813237799945,0.4903649322608667,544.5806442000094,1110.5619679800038
2020,5m,50,62%,3.0,29,29,5,24,0,17.24137931034483,-614.2350638999942,0.46581493701637877,535.61937132001,1149.8544352200042
2020,5m,50,62%,3.5,29,29,4,25,0,13.793103448275861,-681.4421702699883,0.42476229947681093,503.184931970015,1184.6271022400033
2020,5m,50,62%,4.0,29,29,2,27,0,6.896551724137931,-984.3158384599919,0.21853556504991678,275.2627097600125,1259.5785482200044
2020,5m,50,62%,4.5,29,29,1,28,0,3.4482758620689653,-1135.3888243899955,0.12210100137847325,157.91351013000985,1293.3023345200054
2020,5m,50,62%,5.0,29,29,1,28,0,3.4482758620689653,-1117.8428788199944,0.13566777930941473,175.45945570001095,1293.3023345200054
2020,5m,50,78%,1.5,29,29,11,18,0,37.93103448275862,-205.8207284399905,0.8101117030707674,878.0835024600083,1083.9042308999988
2020,5m,50,78%,2.0,29,29,6,23,0,20.689655172413794,-850.6834607799892,0.3908126171134538,545.73984784001,1396.4233086199993
2020,5m,50,78%,2.5,29,29,5,24,0,17.24137931034483,-887.0038072799898,0.386488539211358,558.7781609000103,1445.7819681800001
2020,5m,50,78%,3.0,29,29,3,26,0,10.344827586206897,-1114.0998549399892,0.2720656151331895,416.3950332000113,1530.4948881400005
2020,5m,50,78%,3.5,29,29,2,27,0,6.896551724137931,-1285.3345874199895,0.1885355615838504,298.6345017600115,1583.969089180001
2020,5m,50,78%,4.0,29,29,1,28,0,3.4482758620689653,-1453.7026992399942,0.10606018004775153,172.47242664000805,1626.1751258800023
2020,5m,50,78%,4.5,29,29,1,28,0,3.4482758620689653,-1432.1436459099932,0.11931770255372047,194.03147997000906,1626.1751258800023
2020,5m,50,78%,5.0,29,29,1,28,0,3.4482758620689653,-1410.5845925799922,0.1325752250596894,215.59053330001007,1626.1751258800023
2020,5m,100,middle,1.5,6,6,1,5,0,16.666666666666664,-164.69065625000076,0.44411681038223977,131.57780325000022,296.268459500001
2020,5m,100,middle,2.0,6,6,1,5,0,16.666666666666664,-120.83138850000068,0.5921557471763197,175.4370710000003,296.268459500001
2020,5m,100,middle,2.5,6,6,1,5,0,16.666666666666664,-76.97212075000061,0.7401946839703997,219.29633875000036,296.268459500001
2020,5m,100,middle,3.0,6,6,0,6,0,0.0,-383.9869950000011,0.0,0.0,383.9869950000011
2020,5m,100,middle,3.5,6,6,0,6,0,0.0,-383.9869950000011,0.0,0.0,383.9869950000011
2020,5m,100,middle,4.0,6,6,0,6,0,0.0,-383.9869950000011,0.0,0.0,383.9869950000011
2020,5m,100,middle,4.5,6,6,0,6,0,0.0,-383.9869950000011,0.0,0.0,383.9869950000011
2020,5m,100,middle,5.0,6,6,0,6,0,0.0,-383.9869950000011,0.0,0.0,383.9869950000011
2020,5m,100,62%,1.5,6,6,1,5,0,16.666666666666664,-204.18218879000142,0.44338013264369913,162.64300155,366.8251903400014
2020,5m,100,62%,2.0,6,6,1,5,0,16.666666666666664,-149.96785494000142,0.5911735101915988,216.8573354,366.8251903400014
2020,5m,100,62%,2.5,6,6,0,6,0,0.0,-475.25385804000143,0.0,0.0,475.25385804000143
2020,5m,100,62%,3.0,6,6,0,6,0,0.0,-475.25385804000143,0.0,0.0,475.25385804000143
2020,5m,100,62%,3.5,6,6,0,6,0,0.0,-475.25385804000143,0.0,0.0,475.25385804000143
2020,5m,100,62%,4.0,6,6,0,6,0,0.0,-475.25385804000143,0.0,0.0,475.25385804000143
2020,5m,100,62%,4.5,6,6,0,6,0,0.0,-475.25385804000143,0.0,0.0,475.25385804000143
2020,5m,100,62%,5.0,6,6,0,6,0,0.0,-475.25385804000143,0.0,0.0,475.25385804000143
2020,5m,100,78%,1.5,6,6,1,5,0,16.666666666666664,-256.8375655099999,0.44274874771561323,204.06326594999973,460.9008314599996
2020,5m,100,78%,2.0,6,6,0,6,0,0.0,-596.9430087599994,0.0,0.0,596.9430087599994
2020,5m,100,78%,2.5,6,6,0,6,0,0.0,-596.9430087599994,0.0,0.0,596.9430087599994
2020,5m,100,78%,3.0,6,6,0,6,0,0.0,-596.9430087599994,0.0,0.0,596.9430087599994
2020,5m,100,78%,3.5,6,6,0,6,0,0.0,-596.9430087599994,0.0,0.0,596.9430087599994
2020,5m,100,78%,4.0,6,6,0,6,0,0.0,-596.9430087599994,0.0,0.0,596.9430087599994
2020,5m,100,78%,4.5,6,6,0,6,0,0.0,-596.9430087599994,0.0,0.0,596.9430087599994
2020,5m,100,78%,5.0,6,6,0,6,0,0.0,-596.9430087599994,0.0,0.0,596.9430087599994
2020,5m,150,middle,1.5,1,1,1,0,0,100.0,131.57780325000022,0.0,131.57780325000022,0.0
2020,5m,150,middle,2.0,1,1,1,0,0,100.0,175.4370710000003,0.0,175.4370710000003,0.0
2020,5m,150,middle,2.5,1,1,1,0,0,100.0,219.29633875000036,0.0,219.29633875000036,0.0
2020,5m,150,middle,3.0,1,1,0,1,0,0.0,-87.71853550000014,0.0,0.0,87.71853550000014
2020,5m,150,middle,3.5,1,1,0,1,0,0.0,-87.71853550000014,0.0,0.0,87.71853550000014
2020,5m,150,middle,4.0,1,1,0,1,0,0.0,-87.71853550000014,0.0,0.0,87.71853550000014
2020,5m,150,middle,4.5,1,1,0,1,0,0.0,-87.71853550000014,0.0,0.0,87.71853550000014
2020,5m,150,middle,5.0,1,1,0,1,0,0.0,-87.71853550000014,0.0,0.0,87.71853550000014
2020,5m,150,62%,1.5,1,1,1,0,0,100.0,162.64300155,0.0,162.64300155,0.0
2020,5m,150,62%,2.0,1,1,1,0,0,100.0,216.8573354,0.0,216.8573354,0.0
2020,5m,150,62%,2.5,1,1,0,1,0,0.0,-108.4286677,0.0,0.0,108.4286677
2020,5m,150,62%,3.0,1,1,0,1,0,0.0,-108.4286677,0.0,0.0,108.4286677
2020,5m,150,62%,3.5,1,1,0,1,0,0.0,-108.4286677,0.0,0.0,108.4286677
2020,5m,150,62%,4.0,1,1,0,1,0,0.0,-108.4286677,0.0,0.0,108.4286677
2020,5m,150,62%,4.5,1,1,0,1,0,0.0,-108.4286677,0.0,0.0,108.4286677
2020,5m,150,62%,5.0,1,1,0,1,0,0.0,-108.4286677,0.0,0.0,108.4286677
2020,5m,150,78%,1.5,1,1,1,0,0,100.0,204.06326594999973,0.0,204.06326594999973,0.0
2020,5m,150,78%,2.0,1,1,0,1,0,0.0,-136.04217729999982,0.0,0.0,136.04217729999982
2020,5m,150,78%,2.5,1,1,0,1,0,0.0,-136.04217729999982,0.0,0.0,136.04217729999982
2020,5m,150,78%,3.0,1,1,0,1,0,0.0,-136.04217729999982,0.0,0.0,136.04217729999982
2020,5m,150,78%,3.5,1,1,0,1,0,0.0,-136.04217729999982,0.0,0.0,136.04217729999982
2020,5m,150,78%,4.0,1,1,0,1,0,0.0,-136.04217729999982,0.0,0.0,136.04217729999982
2020,5m,150,78%,4.5,1,1,0,1,0,0.0,-136.04217729999982,0.0,0.0,136.04217729999982
2020,5m,150,78%,5.0,1,1,0,1,0,0.0,-136.04217729999982,0.0,0.0,136.04217729999982
2020,15m,50,middle,1.5,74,74,29,45,0,39.189189189189186,-205.28858575000504,0.8923391747485415,1701.5199982499962,1906.8085840000012
2020,15m,50,middle,2.0,74,74,20,54,0,27.027027027027028,-933.3013260000016,0.6009038059912892,1405.235948999998,2338.5372749999997
2020,15m,50,middle,2.5,74,74,17,57,0,22.972972972972975,-1019.0238882500034,0.586334956340191,1444.3795437499966,2463.403432
2020,15m,50,middle,3.0,74,74,17,57,0,22.972972972972975,-730.1479795000041,0.7036019476082291,1733.255452499996,2463.403432
2020,15m,50,middle,3.5,74,74,16,58,0,21.62162162162162,-556.9614480000046,0.7762409215961464,1932.1507344999955,2489.1121825
2020,15m,50,middle,4.0,74,74,15,59,0,20.27027027027027,-483.7533894999988,0.808768552116042,2045.921488,2529.6748774999987
2020,15m,50,middle,4.5,74,74,15,59,0,20.27027027027027,-228.01320349999878,0.9098646211305473,2301.661674,2529.6748774999987
2020,15m,50,middle,5.0,74,74,15,59,0,20.27027027027027,27.726982500001213,1.0109606901450525,2557.40186,2529.6748774999987
2020,15m,50,62%,1.5,74,74,27,47,0,36.486486486486484,-466.6334771200104,0.8093465176745812,1980.9141439799937,2447.547621100004
2020,15m,50,62%,2.0,74,74,20,54,0,27.027027027027028,-978.2592015600048,0.6553229973541025,1859.9318992399967,2838.1911008000015
2020,15m,50,62%,2.5,74,74,20,54,0,27.027027027027028,-513.2762267500057,0.8191537466926282,2324.914874049996,2838.1911008000015
2020,15m,50,62%,3.0,74,74,19,55,0,25.675675675675674,-175.80865442000595,0.9387441221308831,2694.2612969999955,2870.0699514200014
2020,15m,50,62%,3.5,74,74,18,56,0,24.324324324324326,46.58655173999796,1.015951915314349,2967.0228016799983,2920.4362499400004
2020,15m,50,62%,4.0,74,74,16,58,0,21.62162162162162,-283.99012512000354,0.907534940611114,2787.333540239997,3071.3236653600006
2020,15m,50,62%,4.5,74,74,16,58,0,21.62162162162162,64.4265674099961,1.0209768081875032,3135.7502327699967,3071.3236653600006
2020,15m,50,62%,5.0,74,74,14,60,0,18.91891891891892,-14.288395380005568,0.9954531934542992,3128.2238791999953,3142.512274580001
2020,15m,50,78%,1.5,74,74,25,49,0,33.78378378378378,-1067.5422940800017,0.6734857979150373,2201.970294540003,3269.512588620005
2020,15m,50,78%,2.0,74,74,22,52,0,29.72972972972973,-875.0516337600029,0.7463627570018324,2574.9607674800027,3450.0124012400056
2020,15m,50,78%,2.5,74,74,19,55,0,25.675675675675674,-795.3546888599994,0.7797513785759616,2815.8129258000054,3611.167614660005
2020,15m,50,78%,3.0,74,74,17,57,0,22.972972972972975,-992.6736316199958,0.7388586098981635,2808.6143650200083,3801.287996640004
2020,15m,50,78%,3.5,74,74,17,57,0,22.972972972972975,-524.5712374499944,0.8620017115478574,3276.7167591900097,3801.287996640004
2020,15m,50,78%,4.0,74,74,15,59,0,20.27027027027027,-503.5313941799932,0.870580787881937,3387.169112640011,3890.700506820004
2020,15m,50,78%,4.5,74,74,12,62,0,16.216216216216218,-889.3558267100016,0.7797441962746279,3148.4756931300044,4037.831519840006
2020,15m,50,78%,5.0,74,74,11,63,0,14.864864864864865,-863.0274480599974,0.7890810163554108,3228.721114100008,4091.7485621600053
2020,15m,100,middle,1.5,15,15,4,11,0,26.666666666666668,-300.75064399999883,0.5831579750026075,420.74725200000285,721.4978960000017
2020,15m,100,middle,2.0,15,15,2,13,0,13.333333333333334,-672.513509999998,0.24620351948610766,219.65503600000375,892.1685460000017
2020,15m,100,middle,2.5,15,15,2,13,0,13.333333333333334,-617.599750999997,0.30775439935763454,274.5687950000047,892.1685460000017
2020,15m,100,middle,3.0,15,15,2,13,0,13.333333333333334,-562.6859919999961,0.36930527922916145,329.4825540000056,892.1685460000017
2020,15m,100,middle,3.5,15,15,2,13,0,13.333333333333334,-507.77223299999514,0.43085615910068836,384.39631300000656,892.1685460000017
2020,15m,100,middle,4.0,15,15,2,13,0,13.333333333333334,-452.8584739999942,0.4924070389722153,439.3100720000075,892.1685460000017
2020,15m,100,middle,4.5,15,15,2,13,0,13.333333333333334,-397.94471499999327,0.5539579188437422,494.22383100000843,892.1685460000017
2020,15m,100,middle,5.0,15,15,2,13,0,13.333333333333334,-343.03095599999233,0.6155087987152691,549.1375900000094,892.1685460000017
2020,15m,100,62%,1.5,15,15,6,9,0,40.0,-57.6662380899993,0.9249756174619194,710.9670533700032,768.6332914600025
2020,15m,100,62%,2.0,15,15,5,10,0,33.33333333333333,-193.39113791999716,0.7834053511212601,699.480126080005,892.8712640000022
2020,15m,100,62%,2.5,15,15,5,10,0,33.33333333333333,-18.521106399995915,0.9792566889015751,874.3501576000062,892.8712640000022
2020,15m,100,62%,3.0,15,15,5,10,0,33.33333333333333,156.34892512000533,1.17510802668189,1049.2201891200075,892.8712640000022
2020,15m,100,62%,3.5,15,15,5,10,0,33.33333333333333,331.2189566400066,1.3709593644622051,1224.0902206400087,892.8712640000022
2020,15m,100,62%,4.0,15,15,3,12,0,20.0,-248.34808893999343,0.7620636897812472,795.410590480009,1043.7586794200024
2020,15m,100,62%,4.5,15,15,3,12,0,20.0,-148.9217651299923,0.8573216510039031,894.8369142900101,1043.7586794200024
2020,15m,100,62%,5.0,15,15,3,12,0,20.0,-49.49544131999119,0.9525796122265591,994.2632381000112,1043.7586794200024
2020,15m,100,78%,1.5,15,15,5,10,0,33.33333333333333,-463.25990335999904,0.5876133390930881,660.1030646400031,1123.3629680000022
2020,15m,100,78%,2.0,15,15,5,10,0,33.33333333333333,-243.225548479998,0.7834844521241174,880.1374195200042,1123.3629680000022
2020,15m,100,78%,2.5,15,15,5,10,0,33.33333333333333,-23.19119359999695,0.9793555651551468,1100.1717744000052,1123.3629680000022
2020,15m,100,78%,3.0,15,15,3,12,0,20.0,-563.6383666399934,0.5708827472776301,749.8449833400082,1313.4833499800015
2020,15m,100,78%,3.5,15,15,3,12,0,20.0,-438.664202749992,0.6660298718239017,874.8191472300095,1313.4833499800015
2020,15m,100,78%,4.0,15,15,3,12,0,20.0,-313.69003885999064,0.7611769963701734,999.7933111200109,1313.4833499800015
2020,15m,100,78%,4.5,15,15,3,12,0,20.0,-188.71587496998927,0.8563241209164452,1124.7674750100123,1313.4833499800015
2020,15m,100,78%,5.0,15,15,3,12,0,20.0,-63.74171107998791,0.9514712454627168,1249.7416389000136,1313.4833499800015
2020,15m,150,middle,1.5,3,3,1,2,0,33.33333333333333,-16.61819374999959,0.9006310791691502,150.61914375000015,167.23733749999974
2020,15m,150,middle,2.0,3,3,0,3,0,0.0,-267.65009999999984,0.0,0.0,267.65009999999984
2020,15m,150,middle,2.5,3,3,0,3,0,0.0,-267.65009999999984,0.0,0.0,267.65009999999984
2020,15m,150,middle,3.0,3,3,0,3,0,0.0,-267.65009999999984,0.0,0.0,267.65009999999984
2020,15m,150,middle,3.5,3,3,0,3,0,0.0,-267.65009999999984,0.0,0.0,267.65009999999984
2020,15m,150,middle,4.0,3,3,0,3,0,0.0,-267.65009999999984,0.0,0.0,267.65009999999984
2020,15m,150,middle,4.5,3,3,0,3,0,0.0,-267.65009999999984,0.0,0.0,267.65009999999984
2020,15m,150,middle,5.0,3,3,0,3,0,0.0,-267.65009999999984,0.0,0.0,267.65009999999984
2020,15m,150,62%,1.5,3,3,1,2,0,33.33333333333333,-21.154266170000028,0.8980572440260091,186.35695880999947,207.5112249799995
2020,15m,150,62%,2.0,3,3,0,3,0,0.0,-331.74919751999914,0.0,0.0,331.74919751999914
