outcome,exit_price,entry_price,stop_loss,take_profit,risk,pnl,exit_datetime,year,timeframe,stop_loss_type,rr_ratio,fvg_type,date
loss,7743.17398,7741.855993,7743.17398,7739.879012500001,1.317986999999448,-1.317986999999448,2018-01-04 08:33:00,2018,1m,middle,1.5,bearish,2018-01-04
loss,7767.024573500001,7786.577841,7767.024573500001,7815.9077422499995,19.553267499999492,-19.553267499999492,2018-03-26 09:11:00,2018,1m,middle,1.5,bullish,2018-03-26
win,8018.882327000001,8003.998496,7994.0759419999995,8018.882327000001,9.922554000000673,14.88383100000101,2018-05-23 08:37:00,2018,1m,middle,1.5,bullish,2018-05-23
loss,8086.443240500001,8096.803554,8086.443240500001,8112.344024249999,10.360313499999393,-10.360313499999393,2018-05-29 08:34:00,2018,1m,middle,1.5,bullish,2018-05-29
win,8646.642221499998,8640.097354,8635.734109,8646.642221499998,4.363244999998642,6.544867499997963,2018-08-23 08:33:00,2018,1m,middle,1.5,bullish,2018-08-23
win,8831.074739250002,8838.248406,8843.0308505,8831.074739250002,4.782444499998746,7.1736667499981195,2018-09-21 08:33:00,2018,1m,middle,1.5,bearish,2018-09-21
loss,7957.119125,7991.031009,7957.119125,8041.898835,33.9118840000001,-33.9118840000001,2018-11-13 08:59:00,2018,1m,middle,1.5,bullish,2018-11-13
loss,7743.17398,7741.855993,7743.17398,7739.220019000001,1.317986999999448,-1.317986999999448,2018-01-04 08:33:00,2018,1m,middle,2.0,bearish,2018-01-04
loss,7767.024573500001,7786.577841,7767.024573500001,7825.684375999999,19.553267499999492,-19.553267499999492,2018-03-26 09:11:00,2018,1m,middle,2.0,bullish,2018-03-26
win,8023.8436040000015,8003.998496,7994.0759419999995,8023.8436040000015,9.922554000000673,19.845108000001346,2018-05-23 08:41:00,2018,1m,middle,2.0,bullish,2018-05-23
loss,8086.443240500001,8096.803554,8086.443240500001,8117.524180999999,10.360313499999393,-10.360313499999393,2018-05-29 08:34:00,2018,1m,middle,2.0,bullish,2018-05-29
win,8648.823843999997,8640.097354,8635.734109,8648.823843999997,4.363244999998642,8.726489999997284,2018-08-23 08:33:00,2018,1m,middle,2.0,bullish,2018-08-23
loss,8843.0308505,8838.248406,8843.0308505,8828.683517000003,4.782444499998746,-4.782444499998746,2018-09-21 08:35:00,2018,1m,middle,2.0,bearish,2018-09-21
loss,7957.119125,7991.031009,7957.119125,8058.8547770000005,33.9118840000001,-33.9118840000001,2018-11-13 08:59:00,2018,1m,middle,2.0,bullish,2018-11-13
loss,7743.17398,7741.855993,7743.17398,7738.561025500001,1.317986999999448,-1.317986999999448,2018-01-04 08:33:00,2018,1m,middle,2.5,bearish,2018-01-04
loss,7767.024573500001,7786.577841,7767.024573500001,7835.461009749999,19.553267499999492,-19.553267499999492,2018-03-26 09:11:00,2018,1m,middle,2.5,bullish,2018-03-26
win,8028.804881000002,8003.998496,7994.0759419999995,8028.804881000002,9.922554000000673,24.806385000001683,2018-05-23 08:47:00,2018,1m,middle,2.5,bullish,2018-05-23
loss,8086.443240500001,8096.803554,8086.443240500001,8122.704337749999,10.360313499999393,-10.360313499999393,2018-05-29 08:34:00,2018,1m,middle,2.5,bullish,2018-05-29
win,8651.005466499995,8640.097354,8635.734109,8651.005466499995,4.363244999998642,10.908112499996605,2018-08-23 08:34:00,2018,1m,middle,2.5,bullish,2018-08-23
loss,8843.0308505,8838.248406,8843.0308505,8826.292294750005,4.782444499998746,-4.782444499998746,2018-09-21 08:35:00,2018,1m,middle,2.5,bearish,2018-09-21
loss,7957.119125,7991.031009,7957.119125,8075.810719000001,33.9118840000001,-33.9118840000001,2018-11-13 08:59:00,2018,1m,middle,2.5,bullish,2018-11-13
loss,7743.17398,7741.855993,7743.17398,7737.902032000002,1.317986999999448,-1.317986999999448,2018-01-04 08:33:00,2018,1m,middle,3.0,bearish,2018-01-04
loss,7767.024573500001,7786.577841,7767.024573500001,7845.237643499999,19.553267499999492,-19.553267499999492,2018-03-26 09:11:00,2018,1m,middle,3.0,bullish,2018-03-26
win,8033.766158000002,8003.998496,7994.0759419999995,8033.766158000002,9.922554000000673,29.76766200000202,2018-05-23 09:08:00,2018,1m,middle,3.0,bullish,2018-05-23
loss,8086.443240500001,8096.803554,8086.443240500001,8127.884494499998,10.360313499999393,-10.360313499999393,2018-05-29 08:34:00,2018,1m,middle,3.0,bullish,2018-05-29
win,8653.187088999995,8640.097354,8635.734109,8653.187088999995,4.363244999998642,13.089734999995926,2018-08-23 08:34:00,2018,1m,middle,3.0,bullish,2018-08-23
loss,8843.0308505,8838.248406,8843.0308505,8823.901072500004,4.782444499998746,-4.782444499998746,2018-09-21 08:35:00,2018,1m,middle,3.0,bearish,2018-09-21
loss,7957.119125,7991.031009,7957.119125,8092.766661000001,33.9118840000001,-33.9118840000001,2018-11-13 08:59:00,2018,1m,middle,3.0,bullish,2018-11-13
loss,7743.17398,7741.855993,7743.17398,7737.2430385000025,1.317986999999448,-1.317986999999448,2018-01-04 08:33:00,2018,1m,middle,3.5,bearish,2018-01-04
