Timeframe,Risk_Reward_Ratio,Total_Trades,Win_Rate_Pct,Total_Return_Pct,Profit_Factor,Sharpe_Ratio,Max_Drawdown_Pct,Avg_Win,Avg_Loss
15m,1.5,793,44.51450189155107,56.275189369999,1.3152912587528427,1.5077654712865278,-5.821225343290432,66.50468843626035,-40.565082002272746
15m,2.0,793,39.470365699873895,52.055749739998966,1.2675295605513721,1.295996734300399,-6.146300881308168,78.79718243130957,-40.53738151458332
15m,2.5,793,36.82219419924338,62.392538549999124,1.3123628845340973,1.4610783742751212,-7.111158862448942,89.77270663698596,-39.86901493612771
15m,3.0,793,35.93947036569987,82.50032129499904,1.4096979723621301,1.837087599826063,-6.498611375090683,99.60314242105225,-39.63949500098422
15m,3.5,793,34.67843631778058,87.44249237749929,1.4278102041730378,1.888469739413169,-6.430444028508056,106.12291634090877,-39.45859605405402
15m,4.0,793,34.04791929382093,88.68590110999995,1.4312372495248542,1.9021183707828921,-6.704191978160093,109.01498070370361,-39.3220930764818
15m,4.5,793,33.16519546027743,86.43802725000013,1.4174696036466599,1.8581721131834474,-7.012187260530209,111.5932672395437,-39.06646520566034
15m,5.0,793,33.0390920554855,89.19746357000007,1.4303574898491984,1.917689741915548,-6.500277502921089,113.15309626717554,-39.0327021939736
1m,1.5,725,40.827586206896555,3.8231581400000136,1.0527559696576423,0.4607672028808788,-5.847847390688439,25.774286655405394,-16.892477939393927
1m,2.0,725,36.82758620689655,13.74410662999994,1.1770266642629983,1.0992544242998101,-5.754568296512201,34.22574182022466,-16.95166463537116
1m,2.5,725,32.689655172413794,16.91155233999968,1.2035664498229066,1.1740266946148443,-5.175823085852964,42.18897735653993,-17.0238368842213
1m,3.0,725,29.793103448275858,23.964183295000186,1.2779331001921026,1.4343925206404795,-5.436520890661417,51.01251422685187,-16.939655684675806
1m,3.5,725,27.034482758620687,21.626841405000423,1.2393514419299583,1.1470617101403573,-5.436941938104275,57.13410812500014,-17.080531289224922
1m,4.0,725,25.379310344827587,27.200242300000493,1.29438080613064,1.29377858624599,-6.674563003923802,64.9991270217393,-17.079140743068358
1m,4.5,725,23.310344827586206,27.83477168500066,1.2945910698759806,1.2656207147812297,-6.635032032461805,72.37923489940856,-16.993909225719392
1m,5.0,725,21.793103448275865,28.25596931500085,1.2930179898446696,1.2703772508874676,-6.563898838556279,78.91569868354473,-17.007201870370338
5m,1.5,815,41.47239263803681,7.590743037500369,1.0508454716073665,0.24490561168742161,-14.34459513131813,46.41455241198234,-31.29778702620544
5m,2.0,815,36.07361963190184,13.476934300000492,1.082519852292644,0.3573836549455038,-11.073825494128572,60.13415441496613,-31.346925082533573
5m,2.5,815,32.02453987730061,21.75940287250046,1.1276359267137481,0.5760549741799833,-8.709007007714135,73.65503394348674,-30.772605725631767
5m,3.0,815,29.447852760736197,21.362531529999615,1.1205021892151912,0.5508131686226593,-8.192938903509125,82.76738754166654,-30.831164968695667
5m,3.5,815,28.46625766871166,32.30480115250014,1.1805823447921335,0.8455884432239192,-7.6958045206626915,91.0332574903018,-30.684795235849062
5m,4.0,815,26.993865030674847,37.1417515649997,1.2042004439835923,0.9269904766342356,-7.441841469066142,99.55929231363625,-30.56952798739497
5m,4.5,815,26.25766871165644,42.568114137499826,1.233145766696779,1.054156566216594,-7.167766585011691,105.21012077920557,-30.37962468053246
5m,5.0,815,25.52147239263804,46.78953492999946,1.254478219305689,1.1545039303456657,-6.837426750317532,110.89140899999981,-30.290707708401992
