entry_time,entry_price,exit_time,exit_price,direction,stop_loss,take_profit,exit_reason,pnl,return_pct,fvg_lower,fvg_upper,fvg_middle,cumulative_pnl,equity,is_win,streak
2022-01-07 08:45:00,18089.577341,2022-01-07 09:00:00,18016.268305,Long,18016.268305,18309.504448999996,SL,-73.30903599999874,-0.4052556597541056,18054.641003,18062.372816,18058.5069095,-73.30903599999874,9926.690964000001,False,1
2022-01-10 08:45:00,17478.764162,2022-01-10 12:30:00,17620.514056,Short,17620.514056,17053.514479999998,SL,-141.7498940000005,-0.8109835036745574,17576.986816,17589.300443,17583.143629500002,-215.05892999999924,9784.94107,False,1
2022-01-14 08:45:00,17847.313886,2022-01-14 15:45:00,17888.263855,Long,17591.304987,18615.340583,EOD,40.94996900000115,0.2294461186796496,17640.559496,17756.536681,17698.5480885,-174.1089609999981,9825.891039000002,True,2
2022-01-17 08:45:00,17842.445708,2022-01-17 11:45:00,17822.400268,Short,17878.241135,17735.059426999997,EOD,20.045439999998052,0.11234693005684919,17849.032066,17860.20024,17854.616153,-154.06352100000004,9845.936479,True,2
2022-01-20 08:45:00,17499.095965,2022-01-20 13:00:00,17367.655155,Long,17367.655155,17893.418395,SL,-131.44081000000006,-0.751129145544977,17398.009678,17437.814193,17417.9119355,-285.5043310000001,9714.495669,False,3
2022-01-28 08:45:00,15921.519876,2022-01-28 09:45:00,16118.251547,Short,16118.251547,15331.324863000002,SL,-196.73167099999955,-1.2356337368051882,15968.197114,16037.497062,16002.847088,-482.23600199999964,9517.763998,False,3
2022-01-31 08:45:00,16757.701067,2022-01-31 15:45:00,17030.605408,Long,16552.95122,17371.95060800001,EOD,272.90434099999766,1.6285309059332298,16595.905734,16622.537532,16609.221633,-209.331661000002,9790.668338999998,True,4
2022-02-01 08:45:00,17000.537248,2022-02-01 14:30:00,17131.691695,Short,17131.691695,16607.073906999998,SL,-131.1544470000008,-0.7714723663537765,17021.728142,17099.618992,17060.673566999998,-340.4861080000028,9659.513891999997,False,5
2022-02-02 08:45:00,17291.482485,2022-02-02 15:00:00,16999.391796000004,Short,17388.846048,16999.391796000004,TP,292.0906889999969,1.6892171579468647,17309.237017,17349.614259,17329.425638,-48.39541900000586,9951.604580999994,True,6
2022-02-10 08:45:00,17078.141736,2022-02-10 12:30:00,16870.814618,Long,16870.814618,17700.123090000005,SL,-207.32711800000106,-1.2139910840707233,16902.887322,16965.314548,16934.100935,-255.72253700000692,9744.277462999993,False,7
2022-02-16 08:45:00,16503.696712,2022-02-16 13:15:00,16632.560252,Short,16632.560252,16117.106092000005,SL,-128.86353999999847,-0.7808162149895818,16563.546667,16614.232993,16588.88983,-384.5860770000054,9615.413922999995,False,7
2022-02-22 08:45:00,16061.551589,2022-02-22 10:45:00,15892.883534,Long,15892.883534,16567.555754,SL,-168.6680550000001,-1.0501354994589378,15956.456213,16001.128907,15978.79256,-553.2541320000055,9446.745867999995,False,7
2022-02-23 08:45:00,15925.815327,2022-02-23 14:00:00,15501.424737000003,Short,16067.278857,15501.424737000003,TP,424.39058999999725,2.664796629159087,16014.301624,16024.324344,16019.312984,-128.86354200000824,9871.136457999992,True,8
2022-02-24 08:45:00,15280.924902,2022-02-24 15:45:00,15934.40623,Long,14969.361499,16215.615111000001,EOD,653.4813279999998,4.276451407168887,15053.838709,15142.897733,15098.368221,524.6177859999916,10524.617785999992,True,8
2022-03-03 08:45:00,16336.460474,2022-03-03 15:45:00,16103.360649,Short,16483.078546,15896.606257999996,EOD,233.09982499999933,1.4268686008880882,16397.742246,16430.674039,16414.2081425,757.7176109999909,10757.717610999991,True,8
2022-03-07 08:45:00,15662.933706,2022-03-07 15:45:00,15200.170417,Short,15862.242648,15065.00688,EOD,462.76328900000044,2.954512211353673,15784.63816,15801.247239,15792.9426995,1220.4808999999914,11220.480899999991,True,8
2022-03-11 08:45:00,15572.156502,2022-03-11 15:45:00,15236.538571,Short,15737.101832,15077.320511999998,EOD,335.6179310000007,2.15524375802989,15651.192806,15701.592768,15676.392787,1556.098830999992,11556.098830999992,True,8
2022-03-16 08:45:00,15716.770029,2022-03-16 13:00:00,15593.920122,Long,15593.920122,16085.319749999999,SL,-122.8499069999998,-0.7816485624802152,15642.029176,15700.447314,15671.238245,1433.2489239999923,11433.248923999992,False,9
2022-03-18 08:45:00,16209.028751,2022-03-18 15:45:00,16534.910325,Long,16026.901615,16755.410159,EOD,325.8815740000009,2.0104941449986384,16101.928831,16105.937919,16103.933375,1759.1304979999932,11759.130497999993,True,10
2022-03-23 08:45:00,16600.487548,2022-03-23 09:00:00,16677.519309,Short,16677.519309,16369.392265000006,SL,-77.03176099999837,-0.46403312419145804,16635.996613,16638.573884,16637.2852485,1682.0987369999948,11682.098736999995,False,11
2022-03-28 08:45:00,17052.941755,2022-03-28 10:30:00,16887.71006,Long,16887.71006,17548.636839999996,SL,-165.23169499999858,-0.9689336735789407,16915.487312,16985.932714,16950.710013,1516.8670419999962,11516.867041999996,False,11
2022-03-31 08:45:00,17212.44618,2022-03-31 15:45:00,17087.019002,Short,17296.064299,16961.59182299999,EOD,125.4271779999981,0.7287004803869086,17223.041627,17264.564323,17243.802975,1642.2942199999943,11642.294219999994,True,12
2022-04-01 08:45:00,16997.100887,2022-04-01 15:45:00,17012.564512,Short,17080.14628,16747.964708,EOD,-15.46362500000032,-0.09097801503212505,17054.373572,17057.809933,17056.0917525,1626.830594999994,11626.830594999994,False,13
2022-04-04 08:45:00,17237.646161,2022-04-04 15:45:00,17364.505157,Long,17059.24175,17772.859394,EOD,126.85899599999902,0.7359415248180242,17074.132648,17151.164408,17112.648527999998,1753.689590999993,11753.689590999993,True,14
2022-04-06 08:45:00,16615.66481,2022-04-06 13:00:00,16743.096532,Short,16743.096532,16233.369643999995,SL,-127.43172200000117,-0.766937245407764,16662.055684,16717.037461,16689.5465725,1626.2578689999918,11626.257868999992,False,15
2022-04-08 08:45:00,16406.046785,2022-04-08 10:00:00,16596.478461,Short,16596.478461,15834.751756999998,SL,-190.43167600000015,-1.160740783539099,16501.405805,16564.405757,16532.905781,1435.8261929999917,11435.826192999992,False,15
2022-04-13 08:45:00,16052.674323,2022-04-13 14:00:00,16292.360507999998,Long,15972.778928,16292.360507999998,TP,239.68618499999866,1.4931230782934428,16011.724354,16040.647059,16026.1857065,1675.5123779999903,11675.51237799999,True,16
2022-04-14 08:45:00,16167.506055,2022-04-14 15:45:00,15912.928973,Short,16311.260493,15736.242741,EOD,254.5770819999998,1.57462184417286,16209.601478,16250.837811,16230.2196445,1930.0894599999901,11930.08945999999,True,16
2022-04-20 08:45:00,16135.719715,2022-04-20 15:45:00,16116.533366,Short,16337.605927,15530.061078999996,EOD,19.18634899999961,0.11890606269123341,16192.9924,16319.278668,16256.135534000001,1949.2758089999897,11949.27580899999,True,16
2022-04-21 08:45:00,16271.169614,2022-04-21 09:00:00,16224.492376,Long,16224.492376,16411.201328000003,SL,-46.677238000000216,-0.2868708218728068,16241.674181,16266.874162,16254.274171500001,1902.5985709999895,11902.59857099999,False,17
2022-04-26 08:45:00,15198.165873,2022-04-26 15:45:00,14679.561717,Short,15405.206627,14577.043611000001,EOD,518.6041559999994,3.412281194544108,15294.097619,15380.865736,15337.4816775,2421.202726999989,12421.202726999989,True,18
2022-04-27 08:45:00,15093.070497,2022-04-27 09:15:00,14881.734292,Long,14881.734292,15727.079112000005,SL,-211.33620500000143,-1.4002200880331674,14930.12971,15074.743238,15002.436473999998,2209.8665219999875,12209.866521999988,False,19
2022-04-28 08:45:00,15046.106896,2022-04-28 11:15:00,15162.656809,Short,15162.656809,14696.457156999997,SL,-116.54991300000074,-0.7746184033225597,15075.888692,15116.838661,15096.363676500001,2093.316608999987,12093.316608999987,False,19
2022-05-04 08:45:00,14911.802451,2022-05-04 12:00:00,15024.343276,Short,15024.343276,14574.179976,SL,-112.54082500000004,-0.7547097365982939,15000.575112,15004.870563,15002.722837500001,1980.7757839999867,11980.775783999987,False,19
2022-05-05 08:45:00,15089.9205,2022-05-05 15:45:00,14772.916192,Short,15327.315776,14377.734672000002,EOD,317.0043079999996,2.1007685759510766,15189.002244,15272.047636,15230.52494,2297.7800919999863,12297.780091999986,True,20
2022-05-06 08:45:00,14375.730126,2022-05-06 09:15:00,14630.020845,Short,14630.020845,13612.857969000004,SL,-254.29071899999872,-1.7688890704764104,14471.089146,14585.348151,14528.2186485,2043.4893729999876,12043.489372999988,False,21
2022-05-10 08:45:00,14276.362019,2022-05-10 09:00:00,14321.034713,Short,14321.034713,14142.343937000003,SL,-44.672693999998955,-0.312913709672992,14277.507473,14292.398371,14284.952922,1998.8166789999887,11998.816678999989,False,21
2022-05-11 08:45:00,14188.448449,2022-05-11 11:30:00,13953.916806,Long,13953.916806,14892.043378,SL,-234.53164300000026,-1.6529759673372182,14055.003094,14093.375793,14074.1894435,1764.2850359999884,11764.285035999988,False,21
2022-05-13 08:45:00,14024.075845,2022-05-13 15:45:00,14162.389377,Long,13886.335039,14437.298262999999,EOD,138.31353200000012,0.9862577294126158,13920.698649,13933.585003,13927.141826,1902.5985679999885,11902.598567999989,True,22
2022-05-18 08:45:00,14088.507614,2022-05-18 11:15:00,13819.612360999998,Short,14178.139365,13819.612360999998,TP,268.8952530000024,1.9086141723967727,14152.653021,14155.803018,14154.2280195,2171.493820999991,12171.493820999991,True,22
2022-05-24 08:45:00,13377.753602,2022-05-24 15:45:00,13528.667125,Short,13574.771636,12786.699500000004,EOD,-150.91352299999926,-1.1280931574149893,13482.848978,13531.817123,13507.333050500001,2020.5802979999917,12020.580297999992,False,23
2022-05-25 08:45:00,13523.798947,2022-05-25 15:45:00,13623.167054,Long,13411.544486,13860.562329999995,EOD,99.36810700000024,0.7347647461295865,13437.889921,13462.517175,13450.203548000001,2119.948404999992,12119.948404999992,True,24
2022-05-26 08:45:00,13876.312319,2022-05-26 15:45:00,14040.971286,Long,13644.357948,14572.175432,EOD,164.6589669999994,1.1866190614241348,13695.044273,13771.503307,13733.27379,2284.6073719999913,12284.607371999991,True,24
2022-05-27 08:45:00,14341.652879,2022-05-27 15:45:00,14567.307255,Long,14182.148453,14820.166156999998,EOD,225.6543760000004,1.5734195905021418,14217.943881,14259.752941,14238.848410999999,2510.2617479999917,12510.261747999992,True,24
2022-05-31 08:45:00,14376.87558,2022-05-31 10:45:00,14527.789103,Short,14527.789103,13924.135011000002,SL,-150.91352299999926,-1.0496962442238738,14421.26191,14491.420949,14456.3414295,2359.3482249999925,12359.348224999992,False,25
2022-06-01 08:45:00,14668.393543,2022-06-01 09:00:00,14556.425445,Long,14556.425445,15004.297836999998,SL,-111.96809799999937,-0.7633289744495054,14596.229961,14612.839039,14604.5345,2247.380126999993,12247.380126999993,False,25
2022-06-07 08:45:00,14351.675599,2022-06-07 15:45:00,14526.070923,Long,14242.857499,14678.129899000001,EOD,174.39532399999916,1.2151565355347826,14271.780204,14315.880171,14293.8301875,2421.7754509999922,12421.775450999992,True,26
2022-06-08 08:45:00,14615.702674,2022-06-08 11:30:00,14487.125497,Long,14487.125497,15001.434204999998,SL,-128.5771769999992,-0.879719435102674,14519.484564,14523.493652,14521.489108,2293.198273999993,12293.198273999993,False,27
2022-06-17 08:45:00,12929.272914,2022-06-17 09:30:00,12764.71074,Long,12764.71074,13422.959435999996,SL,-164.56217399999878,-1.2727875348799276,12824.421668,12893.560637,12858.9911525,2128.6360999999943,12128.636099999994,False,27
2022-06-21 08:45:00,13289.538369,2022-06-21 15:45:00,13235.255707,Long,13108.119999,13833.793478999998,EOD,-54.28266199999962,-0.40846160711362794,13126.690384,13207.54298,13167.116682,2074.3534379999946,12074.353437999995,False,27
2022-06-22 08:45:00,13246.969334,2022-06-22 15:45:00,13193.258069,Long,13056.980018,13816.937281999997,EOD,-53.71126499999991,-0.40546077858082796,13130.690159,13147.546354,13139.1182565,2020.6421729999947,12020.642172999995,False,27
2022-06-23 08:45:00,13309.251546,2022-06-23 09:00:00,13351.534882,Short,13351.534882,13182.401537999998,SL,-42.28333600000042,-0.31769882666849414,13317.536794,13324.964948,13321.250871,1978.3588369999943,11978.358836999994,False,27
2022-06-24 08:45:00,13662.088847,2022-06-24 15:45:00,13865.22028,Long,13526.667891,14068.351715000006,EOD,203.13143299999865,1.4868255892260824,13548.380955,13645.51835,13596.9496525,2181.490269999993,12181.490269999993,True,28
2022-06-27 08:45:00,13787.510365,2022-06-27 15:45:00,13798.938294,Short,13938.359025,13334.964385000001,EOD,-11.427928999999494,-0.08288609544047654,13815.223092,13908.932108,13862.0776,2170.0623409999935,12170.062340999993,False,29
2022-06-28 08:45:00,13832.079287,2022-06-28 09:00:00,13779.510815,Long,13779.510815,13989.784703000003,SL,-52.56847200000084,-0.38004750341047433,13804.937956,13808.937731,13806.9378435,2117.4938689999926,12117.493868999993,False,29
2022-06-30 08:45:00,13025.553214,2022-06-30 10:15:00,13212.971246,Short,13212.971246,12463.299118,SL,-187.41803199999958,-1.4388489219679417,13108.405698,13177.544667,13142.9751825,1930.075836999993,11930.075836999993,False,29
2022-07-04 08:45:00,13197.543542,2022-07-04 11:45:00,13203.828903,Short,13232.113027,13093.835087,EOD,-6.285361000000194,-0.04762523404448408,13206.114489,13216.971021,13211.542754999999,1923.7904759999929,11923.790475999993,False,29
2022-07-07 08:45:00,13753.226578,2022-07-07 15:45:00,13850.363973,Long,13613.805847,14171.488771,EOD,97.13739499999974,0.7062880441116496,13633.804723,13724.08536,13678.9450415,2020.9278709999926,12020.927870999993,True,30
2022-07-11 08:45:00,13581.521949,2022-07-11 15:45:00,13599.806635,Short,13794.938519,12941.272239000002,EOD,-18.284686000000875,-0.13462913853588526,13629.233551,13767.225791,13698.229671000001,2002.6431849999917,12002.643184999992,False,31
2022-07-13 08:45:00,13347.249409,2022-07-13 15:45:00,13408.10313,Long,13172.1164,13872.648435999998,EOD,60.853720999999496,0.45592705384651055,13240.112577,13246.112239,13243.112408,2063.496905999991,12063.496905999991,True,32
2022-07-14 08:45:00,13218.970908,2022-07-14 10:15:00,13328.964723,Short,13328.964723,12888.989463,SL,-109.99381499999981,-0.8320906049761603,13290.109765,13293.538144,13291.8239545,1953.5030909999914,11953.503090999991,False,33
2022-07-26 08:45:00,13982.35655,2022-07-26 14:00:00,13808.366333,Short,14040.353289,13808.366333,TP,173.99021700000048,1.2443554588085546,14003.21252,14013.783354,14008.497937,2127.493307999992,12127.493307999992,True,34
2022-07-27 08:45:00,14154.06118,2022-07-27 14:15:00,14463.472351,Long,14050.924123,14463.472351,TP,309.41117099999974,2.186023976194228,14067.49462,14134.633701,14101.0641605,2436.9044789999916,12436.904478999992,True,34
2022-07-28 08:45:00,14273.483036,2022-07-28 10:00:00,14423.474601,Short,14423.474601,13823.508340999999,SL,-149.99156500000026,-1.0508406716265233,14308.623917,14382.905454,14345.7646855,2286.9129139999914,12286.912913999991,False,35
2022-07-29 08:45:00,14702.316063,2022-07-29 10:30:00,14620.606372,Long,14620.606372,14947.445136,SL,-81.70969100000002,-0.5557606750519496,14644.033626,14675.46043,14659.747028,2205.2032229999913,12205.203222999991,False,35
