entry_time,entry_price,direction,setup_class,position_size,stop_loss,tp1,tp2,exit_price_1,exit_price_2,exit_time_1,exit_time_2,exit_reason,pnl,r_multiple,winner
2024-01-12 01:45:00,18155.870203,bearish,C,1,18188.958563,18089.693482999995,18132.56293321726,18188.958563,18188.958563,2024-01-12 02:30:00,2024-01-12 02:30:00,Stop Loss,-661.7672000000312,-1.0,False
2024-02-20 02:30:00,18973.011664,bearish,C,1,19003.15199,18912.731012000007,18932.24029449779,18912.731012000007,18932.24029449779,2024-02-20 04:00:00,2024-02-20 04:00:00,Full TP2,1010.520215022043,1.6763591326486373,True
2024-02-20 03:30:00,18948.087375,bearish,B,1,19003.15199,18837.958145,18904.59571908849,18925.575115,18897.970795,2024-02-20 06:00:00,2024-02-20 05:00:00,Force Close 06:00,726.2883999999758,0.6594874040252391,True
2024-03-13 03:30:00,19542.406495,bearish,B,1,19574.282999,19478.653487,19503.06725609119,19539.233769,19520.461806,2024-03-13 06:00:00,2024-03-13 05:00:00,Force Close 06:00,251.1741500000062,0.3939800769871242,True
2024-03-26 01:45:00,19614.057226,bullish,C,1,19580.858753,19680.454172,19636.922647551823,19680.454172,19636.922647551823,2024-03-26 04:15:00,2024-03-26 04:15:00,Full TP2,892.6236755182254,1.3443745974675028,True
2024-03-26 02:00:00,19629.127675,bullish,C,1,19580.858753,19725.665519,19660.306532904902,19678.833718,19674.603416,2024-03-26 06:00:00,2024-03-26 05:00:00,Force Close 06:00,951.8178400000397,0.9859530734911106,True
2024-03-26 02:15:00,19648.428426,bullish,C,1,19580.858753,19783.567771999995,19694.340268826305,19678.833718,19674.603416,2024-03-26 06:00:00,2024-03-26 05:00:00,Force Close 06:00,565.8028200000626,0.41868104053136246,True
2024-03-26 03:45:00,19656.360241,bullish,C,1,19580.858753,19807.363216999995,19722.004356959158,19678.833718,19674.603416,2024-03-26 06:00:00,2024-03-26 05:00:00,Force Close 06:00,407.16652000006434,0.2696413877300503,True
2024-04-09 02:45:00,19371.079285,bearish,C,2,19392.380035,19328.477785000003,19346.12913799167,19328.477785000003,19346.12913799167,2024-04-09 03:00:00,2024-04-09 03:00:00,Full TP2,1351.0329401665513,1.5856635801164811,True
2024-04-15 01:30:00,19312.119458,bullish,C,1,19237.939939,19460.478496000003,19355.442143299835,19328.511876,19322.430818,2024-04-15 06:00:00,2024-04-15 05:00:00,Force Close 06:00,267.03777999999147,0.17999427847462,True
2024-05-10 02:00:00,19290.703557,bullish,C,1,19260.149021,19351.812629,19315.72491349859,19351.812629,19315.72491349859,2024-05-10 04:15:00,2024-05-10 04:15:00,Full TP2,861.3042849858903,1.4094540414325067,True
2024-05-24 03:45:00,19804.420793,bullish,B,1,19756.416264,19900.429851000004,19833.73131154175,19825.5723,19810.237458,2024-05-24 06:00:00,2024-05-24 05:00:00,Force Close 06:00,269.6817199999714,0.2808919550069559,True
2024-06-12 01:00:00,20369.430435,bullish,C,1,20343.634989,20421.021327,20381.972240212443,20377.36225,20376.569069,2024-06-12 06:00:00,2024-06-12 05:00:00,Force Close 06:00,150.70449000002554,0.29211452672697547,True
2024-06-12 01:15:00,20377.36225,bullish,C,1,20343.634989,20444.816772,20389.512222363202,20377.36225,20376.569069,2024-06-12 06:00:00,2024-06-12 05:00:00,Force Close 06:00,-7.9318099999727565,-0.011758752067018957,False
2024-08-14 03:15:00,19928.657864,bearish,C,1,19993.80664,19798.360312000004,19901.804842052527,19944.836476,19932.572044,2024-08-14 06:00:00,2024-08-14 05:00:00,Force Close 06:00,-200.92791999999463,-0.154206980035972,False
2024-09-03 03:45:00,20438.284146,bearish,C,1,20506.825212,20301.202014000006,20367.58357796722,20301.202014000006,20367.58357796722,2024-09-03 04:30:00,2024-09-03 04:30:00,Full TP2,2077.8270003277794,1.5157533443730227,True
2024-09-06 02:15:00,19660.406037,bearish,C,1,19745.647606,19489.922899000005,19581.001558145785,19559.159238,19581.339594,2024-09-06 06:00:00,2024-09-06 05:00:00,Force Close 06:00,1803.1324200000017,1.0576602713636374,True
2024-09-20 03:15:00,20687.241218,bearish,C,2,20705.229861,20651.263931999998,20665.15378227661,20651.263931999998,20665.15378227661,2024-09-20 03:30:00,2024-09-20 03:30:00,Full TP2,1161.2944344677817,1.6139272351835314,True
2024-09-20 03:30:00,20670.736812,bearish,C,1,20705.229861,20601.750713999998,20641.424518664815,20622.513001,20643.143508,2024-09-20 06:00:00,2024-09-20 05:00:00,Force Close 06:00,758.1711499999801,1.0990201967938042,True
2024-12-16 03:15:00,22506.851964,bullish,C,1,22469.006457,22582.542978000005,22530.236783541706,22549.660266,22551.723317,2024-12-16 06:00:00,2024-12-16 05:00:00,Force Close 06:00,876.7965499999627,1.1583892243799516,True
2024-12-16 03:45:00,22522.066963,bullish,C,1,22469.006457,22628.187975000004,22556.155413213328,22549.660266,22551.723317,2024-12-16 06:00:00,2024-12-16 05:00:00,Force Close 06:00,572.4965699999666,0.5394752266402709,True
