Configuration,SL_Type,TP_Value,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate,Total_PnL,Avg_Win,Avg_Loss,Profit_Factor,Max_Drawdown,Sharpe_Ratio,SL_Exits,TP_Exits,Time_Exits,Pct_SL,Pct_TP,Pct_Time
SL_100pts_TP_50pts,100pts,50pts,1195,780,415,65.27196652719665,13593.11438100001,40.670897035897426,-43.68719351084333,1.749750438334007,402.5205429999987,3.7915201003878063,99,561,535,8.284518828451883,46.945606694560674,44.76987447698745
SL_Tokyo_EQ_TP_50pts,Tokyo,TP,1195,735,460,61.50627615062761,13487.983842499994,41.51003249931971,-37.0041087923913,1.7923904929028807,627.6195475000022,3.942243168460065,333,544,318,27.866108786610877,45.52301255230125,26.610878661087867
SL_Tokyo_EQ_TP_100pts,Tokyo,TP,1195,630,565,52.719665271966534,13234.871443500004,55.68510257619048,-38.666802087610606,1.6058052376392202,714.9202185000031,2.9371786239485935,397,223,575,33.22175732217573,18.661087866108787,48.11715481171548
SL_100pts_TP_100pts,100pts,100pts,1195,679,516,56.820083682008374,12853.853936000007,53.522462472754036,-45.51918233139532,1.5472543303184434,685.2489919999971,2.753645707610071,132,225,838,11.046025104602512,18.828451882845187,70.1255230125523
SL_Tokyo_EQ_TP_200pts,Tokyo,TP,1195,605,590,50.627615062761514,12714.511856000017,59.36493572231405,-39.32419365423726,1.5480092048268412,1042.3662845000035,2.4683135456891003,408,43,744,34.14225941422594,3.5983263598326363,62.25941422594142
SL_100pts_TP_200pts,100pts,200pts,1195,657,538,54.97907949790795,12526.314195000014,56.315356123287664,-45.48861482899625,1.5118448203829575,758.1851509999942,2.4080797601011867,139,41,1015,11.631799163179917,3.430962343096234,84.93723849372385
SL_50pts_TP_50pts,50pts,50pts,1195,727,468,60.83682008368201,12516.763274999988,40.53209785969737,-36.21810228418804,1.7384489795522284,365.0465469999981,4.022177237999631,282,519,394,23.598326359832637,43.43096234309623,32.970711297071134
SL_50pts_TP_200pts,50pts,200pts,1195,603,592,50.46025104602511,12511.060697,56.69118405804312,-36.61101907094595,1.5772455673443269,639.8636799999986,2.6884060121586355,362,39,794,30.2928870292887,3.2635983263598325,66.44351464435147
SL_Tokyo_EQ_TP_150pts,Tokyo,TP,1195,608,587,50.87866108786611,12250.625348000014,57.78940999013158,-38.986943655877326,1.5353045892624237,1095.607329500006,2.499803822959299,407,84,704,34.05857740585774,7.029288702928871,58.912133891213394
SL_50pts_TP_100pts,50pts,100pts,1195,624,571,52.21757322175732,12173.808929,53.21198716826924,-36.83094757267952,1.5788652518506419,502.2990409999966,2.9770525996380357,352,203,640,29.456066945606697,16.98744769874477,53.55648535564853
SL_100pts_TP_150pts,100pts,150pts,1195,660,535,55.23012552301255,12084.840960000016,55.00622042878789,-45.26965331401866,1.4989763809104761,767.8089629999995,2.4277102707510805,137,81,977,11.464435146443515,6.7782426778242675,81.75732217573221
SL_50pts_TP_150pts,50pts,150pts,1195,605,590,50.627615062761514,11513.291033000005,54.68927987272729,-36.56563269491526,1.5336719525987768,689.8636799999986,2.627623693924354,360,71,764,30.125523012552303,5.941422594142259,63.93305439330545
