1.0R,1.5R,2.0R
-252.50732199997856,-335.8464124999873,-244.81644699998196
-255.67066899997826,-339.009759499987,-247.97979399998167
-226.33780899997782,-301.9123184999871,-210.88235299998178
-230.93904199997814,-306.51355149998744,-215.4835859999821
-236.11542899997767,-311.68993849998697,-220.65997299998162
-212.53410999997686,-335.27125749998777,-244.24129199998242
-195.27948599997762,-309.3893214999898,-209.73204399998394
-199.5931419999779,-313.7029774999901,-214.0456999999842
-216.27261199997884,-330.38244749999103,-230.72516999998516
-245.31789599997865,-359.42773149999084,-259.77045399998497
-266.31102199997804,-380.42085749999023,-280.76357999998436
-285.22498899997845,-399.33482449999065,-299.67754699998477
-265.4512969999778,-369.67428649998874,-260.13016299998344
-270.32307599997694,-374.5460654999879,-265.0019419999826
-256.5674639999761,-353.91264749998663,-237.49071799998092
-246.25075499997547,-338.4375839999866,-216.85729999997966
-252.5554109999739,-344.74223999998503,-223.1619559999781
-268.89019999997254,-361.07702899998367,-239.49674499997673
-257.14061499997297,-343.4526514999834,-215.9975749999776
-250.83595899997272,-333.995667499983,-203.3882629999771
-250.26280899997255,-333.1359424999828,-202.24196299997675
-267.7438989999737,-350.6170324999839,-219.72305299997788
-252.55540999997356,-327.83429899998373,-234.911541999978
-241.66554999997243,-338.72415899998487,-245.80140199997913
-234.50116799997159,-327.9775859999827,-231.47263799997745
-228.76966299997184,-319.3803284999831,-220.00962799997797
-235.64746899997044,-326.2581344999817,-226.88743399997657
-244.8178769999704,-335.42854249998163,-236.05784199997652
-248.25677999996878,-338.86744549998,-239.4967449999749
-245.96417799996743,-335.428542499978,-234.9115409999722
-255.4211619999678,-344.88552649997837,-244.36852499997258
-281.2129339999683,-370.67729849997886,-270.16029699997307
-251.9822589999676,-399.90797349997956,-299.3909719999738
-213.29459999996834,-341.8764849999807,-222.01565399997526
-137.92530899996746,-292.8721179999811,-173.0112869999757
-182.63104799996654,-337.5778569999802,-217.7170259999748
-205.84364299996741,-360.7904519999811,-240.92962099997567
-222.46500799996647,-377.41181699998015,-257.5509859999747
-186.06995099996675,-413.80687399997987,-293.94604299997445
-182.63104799996654,-408.64851949998047,-287.06823699997403
-179.19214499996633,-403.49016499998106,-280.1904309999736
-171.74118799996722,-410.94112199998017,-287.6413879999727
-179.76529499996832,-418.96522899998126,-295.6654949999738
-188.07597699996768,-427.2759109999806,-303.9761769999732
-192.0880309999684,-431.28796499998134,-307.9882309999739
-198.67926199996873,-437.8791959999817,-314.5794619999742
-209.5691209999677,-448.76905499998065,-325.4693209999732
-288.950464999969,-528.1503989999819,-404.85066499997447
-278.34717999996974,-538.7536839999811,-415.4539499999737
-305.571827999971,-565.9783319999824,-442.67859799997495
-388.39207499997065,-648.798578999982,-525.4988449999746
-369.19153299997197,-619.997765999984,-487.09776099997725
-345.9789379999729,-585.1788734999864,-440.67257099997914
-367.758656999973,-606.9585924999865,-462.45228999997926
-403.58056299997406,-642.7804984999875,-498.2741959999803
-411.60466999997516,-650.8046054999886,-506.2983029999814
-429.0857599999763,-668.2856954999897,-523.7793929999825
-446.52221399997507,-685.7221494999885,-541.2158469999813
-441.94871699997384,-690.2956464999897,-545.7893439999825
-447.3797439999744,-695.7266734999903,-551.2203709999831
-418.7953919999745,-652.8501454999914,-494.05166699998335
-421.9396709999746,-655.9944244999915,-497.19594599998345
-403.93152899997403,-628.9822114999897,-461.1796619999823
-409.64839899997423,-634.6990814999899,-466.89653199998247
-413.0785219999743,-638.12920449999,-470.32665499998257
-396.49959799997487,-613.2608184999899,-437.16880699998364
-428.79991499997595,-645.561135499991,-469.46912399998473
-451.3815519999771,-668.1427724999921,-492.05076099998587
-416.79448699997556,-616.2621749999889,-422.8766309999828
-370.7736809999751,-547.2309659999883,-330.8350189999819
-350.4787909999741,-516.7886309999867,-290.24523899997985
-329.61221499997373,-485.4887669999862,-248.51208699997915
-326.75377999997363,-488.3472019999863,-251.37052199997925
-339.61673799997334,-501.210159999986,-264.23347999997895
-343.90439099997275,-505.4978129999854,-268.52113299997836
-336.7583029999714,-512.6439009999867,-275.6672209999797
-356.195661999971,-532.0812599999863,-295.10457999997925
-365.34265399997093,-541.2282519999862,-304.2515719999792
-368.7727759999707,-544.658373999986,-307.68169399997896
-373.3462729999701,-549.2318709999854,-312.25519099997837
-359.6257849999711,-528.6511389999869,-325.9756789999774
-362.1983769999697,-531.2237309999855,-328.548270999976
-373.6321169999701,-542.6574709999859,-339.9820109999764
-378.20561299996916,-547.230966999985,-344.5555069999755
-368.4869329999692,-556.9496469999849,-354.2741869999754
-374.4896469999694,-562.9523609999851,-360.2769009999756
-371.6312119999693,-558.6647084999859,-363.1353359999757
-353.05138299996906,-577.2445374999861,-381.71516499997597
-348.76372999996966,-570.813057999987,-373.13985899997715
-334.4715539999688,-549.3747939999848,-387.432034999978
-343.6185459999688,-558.5217859999848,-396.57902699997794
-353.0513819999687,-567.9546219999847,-406.0118629999779
-366.48602799997025,-581.3892679999863,-419.4465089999794
-360.76915799997005,-572.813962999986,-408.012768999979
-368.4869329999692,-580.5317379999851,-415.7305439999782
-395.0703799999683,-607.1151849999842,-442.31399099997725
-410.5059299999666,-622.5507349999825,-457.7495409999756
-417.65201799996794,-629.6968229999839,-464.8956289999769
-421.0821399999695,-633.1269449999854,-468.3257509999785
-403.6456859999689,-650.563398999986,-485.7622049999791
-402.2205769999691,-648.4257354999863,-487.18731399997887
-395.38005299996985,-638.1649494999874,-473.5062659999803
-400.79546799996933,-643.5803644999869,-478.9216809999798
-404.5007519999708,-647.2856484999884,-482.6269649999813
-407.0659489999707,-649.8508454999883,-485.1921619999812
-406.21088299997064,-648.5682464999882,-486.04722799998126
-401.6505329999691,-653.1285964999897,-490.6075779999828
-405.9258609999688,-657.4039244999894,-494.88290599998254
-399.0853359999692,-647.14313699999,-481.2018559999833
-394.52498599996943,-640.3026119999904,-472.0811559999838
-358.6122319999704,-586.4334809999909,-507.99390999998286
-335.52546099997016,-551.8033244999915,-531.0806809999831
-346.641312999971,-562.9191764999923,-542.1965329999839
-326.6897829999725,-532.9918814999946,-502.293472999987
-333.8153289999718,-540.1174274999939,-509.4190189999863
-340.0858099999732,-546.3879084999953,-515.6894999999877
-326.1197389999743,-525.4388019999969,-487.75735799998984
-318.42414899997493,-513.8954169999979,-472.3661779999911
-317.56908299997485,-512.6128179999978,-473.2212439999912
-310.72855799997524,-502.35203049999836,-459.54019399999197
-296.4774649999745,-516.6031234999991,-473.79128699999274
-327.2598249999737,-547.3854834999984,-504.573646999992
-333.5303059999733,-553.6559644999979,-510.84412799999154
-373.71838799997204,-593.8440464999967,-551.0322099999903
-348.3514429999723,-555.7936289999961,-500.2983199999908
-327.25982599997224,-524.156203499997,-458.1150859999907
-291.6320939999732,-470.71460549999756,-386.85962199999267
-269.9704319999728,-492.376267499998,-408.5212839999931
-247.1686829999726,-458.1736439999986,-362.9177859999927
-258.5695569999716,-469.5745179999976,-374.3186599999917
-239.4730929999714,-488.6709819999978,-393.4151239999919
-259.7096449999717,-508.9075339999981,-413.6516759999922
-199.8550549999709,-419.1256489999978,-293.94249599999057
-209.5457979999701,-428.816391999997,-303.63323899998977
-119.19386899996971,-293.2884984999964,-393.98516799999015
-212.11099399996965,-386.20562349999636,-486.9022929999901
-334.3853709999694,-508.4800004999961,-609.1766699999898
-377.70869299996957,-551.8033224999963,-652.49999199999
-423.59721199996966,-597.6918414999964,-698.3885109999901
-386.25934799996867,-541.6850454999949,-623.7127829999881
-318.9941899999685,-440.78730849999556,-489.1824669999878
-343.5060689999682,-465.29918749999524,-513.6943459999875
-403.64568099996904,-525.4387994999961,-573.8339579999883
-390.53467499996805,-505.7722904999937,-547.6119459999863
-390.53467499996805,-505.7722904999937,-547.6119459999863
-418.4905009999675,-533.7281164999931,-575.5677719999858
-510.3453569999674,-625.582972499993,-667.4226279999857
-385.68519399996694,-438.59272799999235,-418.1023019999848
-294.4008649999687,-301.66623449999497,-509.386630999983
-275.2882079999672,-272.99724899999273,-471.16131699998004
-328.63248799996654,-326.3415289999921,-524.5055969999794
-324.63879899996755,-320.3509954999936,-516.5182189999814
-346.3188269999664,-342.03102349999244,-538.1982469999803
-412.2147029999651,-407.9268994999911,-604.0941229999789
-394.8136279999635,-381.82528699998875,-569.2919729999758
-415.9231289999643,-402.93478799998957,-590.4014739999766
-403.3715339999653,-384.107395499992,-565.2982839999786
-460.1389759999656,-440.8748374999923,-622.0657259999789
-502.3579789999658,-483.09384049999244,-664.284728999979
-446.7315899999667,-399.65425699999287,-553.0319509999808
-468.9821449999672,-421.9048119999934,-575.2825059999814
-540.5832899999659,-493.5059569999921,-646.8836509999801
-557.4138379999658,-510.33650499999203,-663.71419899998
-570.2506969999667,-523.173363999993,-676.5510579999809
-527.175903999967,-458.5611744999933,-590.4014719999814
-487.2390099999666,-398.6558334999918,-510.5276839999806
-509.7748289999672,-421.1916524999924,-533.0635029999812
-548.8559319999658,-460.27275549999104,-572.1446059999798
-514.9095719999659,-494.21911549999095,-606.0909659999797
-502.92850299996644,-506.2001844999904,-618.0720349999792
-467.841088999965,-453.56906349998826,-547.8972069999763
-461.8505549999645,-459.55959749998874,-553.8877409999768
-486.66848199996457,-484.3775244999888,-578.7056679999769
-545.1475049999644,-542.8565474999887,-637.1846909999767
-583.9433449999651,-581.6523874999893,-675.9805309999774
-599.3475759999656,-597.0566184999898,-691.3847619999779
-547.4296139999642,-648.9745804999911,-743.3027239999792
-491.8032259999636,-565.5349984999903,-632.049947999978
-515.480098999964,-589.2118714999906,-655.7268209999784
-486.95374599996467,-546.4223419999926,-684.2531739999777
-510.91588199996477,-570.3844779999927,-708.2153099999778
-519.7590509999645,-579.2276469999924,-717.0584789999775
-542.8653969999632,-602.3339929999911,-740.1648249999762
-539.7274979999638,-597.6271444999929,-733.8890269999774
-536.0190729999631,-592.0645069999919,-726.472176999976
-575.1001759999635,-631.1456099999923,-765.5532799999764
-571.1064859999642,-625.1550749999933,-769.5469699999758
-584.513871999965,-638.5624609999941,-782.9543559999765
-532.3106469999657,-560.257623499996,-678.547905999978
-557.1624399999655,-585.1094164999959,-703.3996989999778
-611.4364689999657,-639.383445499996,-757.6737279999779
-665.7104979999658,-693.6574744999962,-811.9477569999781
-642.5726229999655,-658.9506619999956,-765.6720069999774
-598.0107889999654,-592.1079109999955,-676.5483389999772
-547.7358989999648,-516.6955759999946,-575.998558999976
-462.61136999996415,-389.0087824999937,-405.74950099997477
-530.5967319999636,-456.9941444999931,-473.7348629999742
-570.5881219999646,-496.9855344999942,-513.7262529999753
-589.1555529999641,-515.5529654999937,-532.2936839999747
-588.2985939999635,-514.2675269999927,-530.5797659999735
-558.8763569999646,-470.1341714999944,-471.73529199997574
-592.2977329999649,-503.55554749999465,-505.156667999976
-563.446801999964,-460.27915099999336,-534.0075989999768
-578.5863999999638,-475.4187489999931,-549.1471969999766
-588.8699009999636,-485.702249999993,-559.4306979999765
-580.8716229999645,-473.7048329999943,-567.4289759999756
-660.8544019999645,-553.6876119999943,-647.4117549999755
-634.288692999964,-513.8390484999945,-594.2803369999747
-583.4424969999654,-564.6852444999931,-645.1265329999733
-582.8711909999656,-563.8282854999943,-643.9839209999736
-646.286108999966,-627.2432034999947,-707.398838999974
-595.7255659999646,-677.8037464999961,-757.9593819999754
-661.1400529999646,-743.2182334999961,-823.3738689999755
-680.8500949999634,-762.9282754999949,-843.0839109999743
-663.1396229999646,-780.6387474999938,-860.7943829999731
-657.4265679999644,-772.0691649999935,-849.3682729999728
-697.1323049999646,-811.7749019999937,-889.074009999973
-679.1361789999646,-784.7807129999946,-853.081757999973
-677.4222619999655,-782.209837499995,-849.6539239999747
-664.8535389999652,-763.3567529999946,-824.5164779999741
-680.8500949999652,-779.3533089999946,-840.5130339999741
-703.7023179999651,-802.2055319999945,-863.365256999974
-725.9832349999651,-824.4864489999945,-885.646173999974
-692.8475119999639,-774.7828644999918,-819.3747279999716
-674.2800809999644,-746.9317179999925,-782.2398659999726
-699.1318729999657,-771.7835099999938,-807.0916579999739
-675.7083449999664,-736.6482179999948,-760.2446019999752
-641.4300109999658,-770.9265519999954,-794.5229359999757
-606.8660239999645,-719.0805714999933,-725.394961999973
-740.5515269999651,-852.7660744999939,-859.0804649999736
-657.7122189999645,-728.507112499994,-693.4018489999726
-538.3093549999649,-549.4028164999945,-454.5961209999732
-601.1529669999654,-612.2464284999951,-517.4397329999738
-620.5773559999652,-631.6708174999949,-536.8641219999736
-617.4316709999657,-626.9522899999956,-530.5727519999746
-632.5881539999664,-642.1087729999963,-545.7292349999752
-677.4856599999657,-687.0062789999956,-590.6267409999746
-760.7033299999657,-770.2239489999956,-673.8444109999746
-787.2986669999664,-796.8192859999963,-700.4397479999752
-770.9982989999662,-813.1196539999964,-716.7401159999754
-748.9785029999657,-780.0899599999957,-738.7599119999759
-745.8328179999662,-775.3714324999964,-732.4685419999769
-796.4497509999674,-825.9883654999976,-783.085474999978
-749.2644749999672,-755.2104514999974,-688.7149229999777
-758.129587999967,-764.0755644999972,-697.5800359999776
-714.0899969999664,-698.0161779999962,-609.5008539999762
-739.8274209999654,-723.7536019999952,-635.2382779999753
-701.2212859999654,-665.8443994999961,-558.0260079999753
