Date,Timeframe,Direction,Entry Price,SL Level,SL Price,R:R,TP Price,Outcome
2018-01-03,5m,SHORT,7711.98162,25%,7716.082023999999,1.0,7707.881216,WIN
2018-01-03,5m,SHORT,7711.98162,25%,7716.082023999999,1.5,7705.831013999999,LOSS
2018-01-03,5m,SHORT,7711.98162,25%,7716.082023999999,2.0,7703.780812,LOSS
2018-01-03,5m,SHORT,7711.98162,25%,7716.082023999999,2.5,7701.7306100000005,LOSS
2018-01-03,5m,SHORT,7711.98162,25%,7716.082023999999,3.0,7699.680408,LOSS
2018-01-03,5m,SHORT,7711.98162,25%,7716.082023999999,3.5,7697.630206,LOSS
2018-01-03,5m,SHORT,7711.98162,25%,7716.082023999999,4.0,7695.580004,LOSS
2018-01-03,5m,SHORT,7711.98162,25%,7716.082023999999,4.5,7693.529802000001,LOSS
2018-01-03,5m,SHORT,7711.98162,25%,7716.082023999999,5.0,7691.479600000001,LOSS
2018-01-03,5m,SHORT,7711.98162,50%,7720.182428,1.0,7703.780811999999,LOSS
2018-01-03,5m,SHORT,7711.98162,50%,7720.182428,1.5,7699.680407999998,LOSS
2018-01-03,5m,SHORT,7711.98162,50%,7720.182428,2.0,7695.580003999999,LOSS
2018-01-03,5m,SHORT,7711.98162,50%,7720.182428,2.5,7691.479599999999,LOSS
2018-01-03,5m,SHORT,7711.98162,50%,7720.182428,3.0,7687.379195999998,LOSS
2018-01-03,5m,SHORT,7711.98162,50%,7720.182428,3.5,7683.278791999997,LOSS
2018-01-03,5m,SHORT,7711.98162,50%,7720.182428,4.0,7679.1783879999975,LOSS
2018-01-03,5m,SHORT,7711.98162,50%,7720.182428,4.5,7675.077983999998,LOSS
2018-01-03,5m,SHORT,7711.98162,50%,7720.182428,5.0,7670.977579999997,LOSS
2018-01-03,5m,SHORT,7711.98162,75%,7724.282832,1.0,7699.680407999999,LOSS
2018-01-03,5m,SHORT,7711.98162,75%,7724.282832,1.5,7693.529801999999,LOSS
2018-01-03,5m,SHORT,7711.98162,75%,7724.282832,2.0,7687.379195999999,LOSS
