timeframe,year,date,time,setup_type,direction,sl_percentage,rr_ratio,entry_price,sl_price,tp_price,risk,body_size,outcome,exit_price,exit_time,pnl,bars_held
5m,2018,2018-01-02,08:30:00,bearish_830_to_bullish_breakout,LONG,25,1.0,7554.116058,7542.25417475,7565.977941249999,11.861883249999664,12.301212999999734,WIN,7565.977941249999,2018-01-02 08:40:00,11.861883249999666,10.0
5m,2018,2018-01-02,08:30:00,bearish_830_to_bullish_breakout,LONG,25,1.5,7554.116058,7542.25417475,7571.908882874999,11.861883249999664,12.301212999999734,WIN,7571.908882874999,2018-01-02 08:45:00,17.792824874999496,15.0
5m,2018,2018-01-02,08:30:00,bearish_830_to_bullish_breakout,LONG,25,2.0,7554.116058,7542.25417475,7577.839824499999,11.861883249999664,12.301212999999734,WIN,7577.839824499999,2018-01-02 08:45:00,23.723766499999332,15.0
5m,2018,2018-01-02,08:30:00,bearish_830_to_bullish_breakout,LONG,25,2.5,7554.116058,7542.25417475,7583.770766124999,11.861883249999664,12.301212999999734,WIN,7583.770766124999,2018-01-02 08:50:00,29.654708124999157,20.0
5m,2018,2018-01-02,08:30:00,bearish_830_to_bullish_breakout,LONG,25,3.0,7554.116058,7542.25417475,7589.701707749999,11.861883249999664,12.301212999999734,WIN,7589.701707749999,2018-01-02 08:55:00,35.58564974999899,25.0
5m,2018,2018-01-02,08:30:00,bearish_830_to_bullish_breakout,LONG,25,3.5,7554.116058,7542.25417475,7595.632649374998,11.861883249999664,12.301212999999734,WIN,7595.632649374998,2018-01-02 09:00:00,41.516591374998825,30.0
5m,2018,2018-01-02,08:30:00,bearish_830_to_bullish_breakout,LONG,25,4.0,7554.116058,7542.25417475,7601.563590999998,11.861883249999664,12.301212999999734,WIN,7601.563590999998,2018-01-02 09:25:00,47.447532999998664,55.0
5m,2018,2018-01-02,08:30:00,bearish_830_to_bullish_breakout,LONG,25,4.5,7554.116058,7542.25417475,7607.494532624998,11.861883249999664,12.301212999999734,WIN,7607.494532624998,2018-01-02 09:25:00,53.37847462499849,55.0
5m,2018,2018-01-02,08:30:00,bearish_830_to_bullish_breakout,LONG,25,5.0,7554.116058,7542.25417475,7613.425474249998,11.861883249999664,12.301212999999734,WIN,7613.425474249998,2018-01-02 09:50:00,59.309416249998314,80.0
5m,2018,2018-01-02,08:30:00,bearish_830_to_bullish_breakout,LONG,50,1.0,7554.116058,7539.1788715,7569.053244499999,14.93718649999937,12.301212999999734,WIN,7569.053244499999,2018-01-02 08:40:00,14.93718649999937,10.0
