entry_time,entry_price,exit_price,exit_time,direction,pnl,outcome,r_multiple,variant,year
2018-03-23 03:15:00,7777.822647,7728.729590122585,2018-03-23 04:30:00,bearish,1963.7222750965884,win,2.67638768261314,Algo_Run,2018
2018-03-23 03:30:00,7775.487928,7725.577620661259,2018-03-23 04:45:00,bearish,1996.4122935496198,win,2.4137206497893455,Algo_Run,2018
2018-05-18 03:45:00,8075.791088,8066.786932,2018-05-18 07:00:00,bullish,-900.4155999999966,loss,-1.0,Algo_Run,2018
2018-06-28 02:30:00,8159.849543,8180.992568936465,2018-06-28 03:00:00,bullish,845.7210374586066,win,0.9454970745420362,Algo_Run,2018
2018-08-01 03:00:00,8447.241933,8460.778801426912,2018-08-01 08:00:00,bullish,1082.9494741529925,win,1.334375362137849,Algo_Run,2018
2018-08-16 03:15:00,8611.590821,8627.12886115574,2018-08-16 03:45:00,bullish,310.7608031147902,win,0.3612279532369708,Algo_Run,2018
2018-09-25 03:00:00,8791.003645,8797.641167,2018-09-25 04:15:00,bearish,-929.2530799998713,loss,-1.0,Algo_Run,2018
2018-10-11 03:00:00,8141.750491,8068.985168039306,2018-10-11 04:00:00,bearish,2910.6129184277597,win,2.922564218738687,Algo_Run,2018
2018-11-05 03:45:00,8075.086104,8091.1434858627645,2018-11-05 04:00:00,bullish,1284.590549021159,win,1.3221850292693786,Algo_Run,2018
2018-11-08 03:30:00,8356.815598,8336.670509024192,2018-11-08 03:45:00,bearish,1611.6071180645667,win,1.74191790633586,Algo_Run,2018
2018-12-12 02:30:00,7821.471591,7850.252788092376,2018-12-12 03:00:00,bullish,1151.2478836950322,win,1.506800796674737,Algo_Run,2018
2019-09-03 03:15:00,8738.825695,8704.729267,2019-09-03 04:45:00,bullish,-681.9285599999785,loss,-1.0,Algo_Run,2019
2019-10-09 02:30:00,8727.660035,8754.72442948048,2019-10-09 02:45:00,bullish,541.2878896095935,win,0.9863091282766676,Algo_Run,2019
2019-11-20 01:45:00,9514.015544,9502.0311905472,2019-11-20 02:00:00,bearish,719.0612071679425,win,0.838578559793527,Algo_Run,2019
2019-11-20 03:30:00,9491.433906,9514.215543193497,2019-11-20 08:15:00,bullish,1822.530975479749,win,1.8977544708355014,Algo_Run,2019
