entry_time,entry_price,sl_price,tp_price,exit_time,exit_price,outcome,pnl_points,risk_points,reward_points,rr_ratio,session_date,sweep_high,mss_low,year
2018-01-03 06:30:00,7643.8856215,7651.375153,7628.906558499999,2018-01-03 08:30:00,7651.375153,loss,-7.489531500000339,7.489531500000339,14.979063000000679,2.0,2018-01-03,7646.375153,7641.39609,2018
2018-01-03 06:15:00,7646.668039,7654.596899,7630.810319,2018-01-03 08:30:00,7654.596899,loss,-7.928859999999986,7.928859999999986,15.857719999999972,2.0,2018-01-03,7649.596899,7643.739179,2018
2018-01-03 06:15:00,7646.960924999999,7655.182671,7630.517432999999,2018-01-03 08:30:00,7655.182671,loss,-8.221746000000167,8.221746000000167,16.443492000000333,2.0,2018-01-03,7650.182671,7643.739179,2018
2018-01-04 04:50:00,7730.7263244999995,7739.533843,7713.111287499998,2018-01-04 07:10:00,7739.533843,loss,-8.807518500000697,8.807518500000697,17.615037000001394,2.0,2018-01-04,7734.533843,7726.918806,2018
2018-01-08 05:55:00,7809.073333,7820.077496,7787.065007000001,2018-01-08 08:55:00,7820.077496,loss,-11.004162999999608,11.004162999999608,22.008325999999215,2.0,2018-01-08,7815.077496,7803.06917,2018
2018-01-08 05:50:00,7811.416421,7820.956154,7792.336954999999,2018-01-08 09:25:00,7820.956154,loss,-9.539733000000524,9.539733000000524,19.079466000001048,2.0,2018-01-08,7815.956154,7806.876688,2018
2018-01-08 05:50:00,7811.855750500001,7821.834813,7791.897625500002,2018-01-08 09:25:00,7821.834813,loss,-9.9790624999996,9.9790624999996,19.9581249999992,2.0,2018-01-08,7816.834813,7806.876688,2018
2018-01-09 05:35:00,7843.1945534999995,7853.173616,7823.2364284999985,2018-01-09 07:35:00,7853.173616,loss,-9.97906250000051,9.97906250000051,19.95812500000102,2.0,2018-01-09,7848.173616,7838.215491,2018
2018-01-09 05:35:00,7841.8765665,7850.537642,7824.5544155,2018-01-09 07:25:00,7850.537642,loss,-8.661075500000152,8.661075500000152,17.322151000000304,2.0,2018-01-09,7845.537642,7838.215491,2018
2018-01-11 03:10:00,7829.282467999999,7838.236429,7811.374545999999,2018-01-11 06:15:00,7838.236429,loss,-8.953961000000163,8.953961000000163,17.907922000000326,2.0,2018-01-11,7833.236429,7825.328507,2018
2018-01-12 06:40:00,7889.031215,7895.934974,7875.223697,2018-01-12 07:20:00,7895.934974,loss,-6.903758999999809,6.903758999999809,13.807517999999618,2.0,2018-01-12,7890.934974,7887.127456,2018
2018-01-15 05:00:00,7945.4117725,7958.319695,7919.595927499999,2018-01-15 22:05:00,7958.319695,loss,-12.907922500000495,12.907922500000495,25.81584500000099,2.0,2018-01-15,7953.319695,7937.50385,2018
2018-01-15 05:00:00,7943.2151275,7953.926405,7921.792572499999,2018-01-15 20:50:00,7953.926405,loss,-10.711277500000506,10.711277500000506,21.42255500000101,2.0,2018-01-15,7948.926405,7937.50385,2018
2018-01-15 05:00:00,7943.2151275,7953.926405,7921.792572499999,2018-01-15 20:50:00,7953.926405,loss,-10.711277500000506,10.711277500000506,21.42255500000101,2.0,2018-01-15,7948.926405,7937.50385,2018
2018-01-15 05:00:00,7944.6795575,7956.855265,7920.328142499999,2018-01-15 21:40:00,7956.855265,loss,-12.175707500000499,12.175707500000499,24.351415000000998,2.0,2018-01-15,7951.855265,7937.50385,2018
2018-01-15 05:00:00,7945.1188865,7957.733923,7919.888813500002,2018-01-15 21:45:00,7957.733923,loss,-12.615036499999405,12.615036499999405,25.23007299999881,2.0,2018-01-15,7952.733923,7937.50385,2018
2018-01-16 06:05:00,7978.507892,7987.31541,7960.892855999999,2018-01-16 08:30:00,7987.31541,loss,-8.807518000000528,8.807518000000528,17.615036000001055,2.0,2018-01-16,7982.31541,7974.700374,2018
2018-01-16 06:05:00,7978.507892,7987.31541,7960.892855999999,2018-01-16 08:30:00,7987.31541,loss,-8.807518000000528,8.807518000000528,17.615036000001055,2.0,2018-01-16,7982.31541,7974.700374,2018
2018-01-24 05:50:00,8174.155749,8186.477899,8149.511448999998,2018-01-24 07:35:00,8186.477899,loss,-12.322150000000875,12.322150000000875,24.64430000000175,2.0,2018-01-24,8181.477899,8166.833599,2018
2018-01-24 05:50:00,8172.25199,8182.670381,8151.415207999999,2018-01-24 07:30:00,8182.670381,loss,-10.418391000000156,10.418391000000156,20.836782000000312,2.0,2018-01-24,8177.670381,8166.833599,2018
2018-01-24 05:50:00,8172.25199,8182.670381,8151.415207999999,2018-01-24 07:30:00,8182.670381,loss,-10.418391000000156,10.418391000000156,20.836782000000312,2.0,2018-01-24,8177.670381,8166.833599,2018
2018-01-26 06:10:00,8157.754132,8168.02608,8137.210236000001,2018-01-26 09:00:00,8168.02608,loss,-10.271947999999611,10.271947999999611,20.543895999999222,2.0,2018-01-26,8163.02608,8152.482184,2018
2018-01-31 03:20:00,8158.63279,8169.49051,8136.91735,2018-01-31 06:55:00,8169.49051,loss,-10.857719999999972,10.857719999999972,21.715439999999944,2.0,2018-01-31,8164.49051,8152.77507,2018
2018-02-01 02:20:00,8175.327293,8184.134811,8157.712257000001,2018-02-01 03:55:00,8157.712257000001,win,17.615035999999236,8.807517999999618,17.615035999999236,2.0,2018-02-01,8179.134811,8171.519775,2018
2018-02-05 05:40:00,7896.206921999999,7920.830285,7846.960195999998,2018-02-05 06:10:00,7846.960195999998,win,49.24672600000122,24.62336300000061,49.24672600000122,2.0,2018-02-05,7915.830285,7876.583559,2018
2018-02-05 05:40:00,7896.353365,7921.123171,7846.813752999999,2018-02-05 06:10:00,7846.813752999999,win,49.53961200000049,24.769806000000244,49.53961200000049,2.0,2018-02-05,7916.123171,7876.583559,2018
2018-02-06 05:50:00,7549.7227685,7628.530044,7392.108217499999,2018-02-06 08:35:00,7628.530044,loss,-78.80727550000029,78.80727550000029,157.61455100000057,2.0,2018-02-06,7623.530044,7475.915493,2018
2018-02-06 05:50:00,7553.0909575000005,7635.266422,7388.740028500002,2018-02-06 08:35:00,7635.266422,loss,-82.17546449999918,82.17546449999918,164.35092899999836,2.0,2018-02-06,7630.266422,7475.915493,2018
2018-02-06 05:50:00,7568.32103,7665.726567,7373.509956000001,2018-02-06 08:45:00,7665.726567,loss,-97.40553699999964,97.40553699999964,194.81107399999928,2.0,2018-02-06,7660.726567,7475.915493,2018
2018-02-08 05:40:00,7694.5549015,7732.211692,7619.241320499999,2018-02-08 07:20:00,7732.211692,loss,-37.65679050000017,37.65679050000017,75.31358100000034,2.0,2018-02-08,7727.211692,7661.898111,2018
2018-02-09 05:25:00,7450.287967,7475.057773,7400.748355,2018-02-09 06:25:00,7400.748355,win,49.53961200000049,24.769806000000244,49.53961200000049,2.0,2018-02-09,7470.057773,7430.518161,2018
2018-02-09 05:25:00,7451.020182,7476.522203,7400.01614,2018-02-09 06:25:00,7400.01614,win,51.00404200000048,25.50202100000024,51.00404200000048,2.0,2018-02-09,7471.522203,7430.518161,2018
2018-02-09 05:20:00,7443.990917499999,7468.61428,7394.7441924999985,2018-02-09 06:30:00,7394.7441924999985,win,49.24672500000088,24.62336250000044,49.24672500000088,2.0,2018-02-09,7463.61428,7424.367555,2018
2018-02-13 05:10:00,7615.6221215000005,7636.14508,7574.576204500001,2018-02-13 09:00:00,7636.14508,loss,-20.52295849999973,20.52295849999973,41.04591699999946,2.0,2018-02-13,7631.14508,7600.099163,2018
2018-02-15 06:45:00,7880.2446345,7900.035378,7840.6631475,2018-02-15 08:50:00,7900.035378,loss,-19.790743499999735,19.790743499999735,39.58148699999947,2.0,2018-02-15,7895.035378,7865.453891,2018
2018-02-15 05:05:00,7888.8847715,7901.206922,7864.2404705,2018-02-15 07:25:00,7864.2404705,win,24.64430100000027,12.322150500000134,24.64430100000027,2.0,2018-02-15,7896.206922,7881.562621,2018
2018-02-16 04:30:00,8026.6876415,8040.913551,7998.2358225,2018-02-16 05:35:00,7998.2358225,win,28.451818999999887,14.225909499999943,28.451818999999887,2.0,2018-02-16,8035.913551,8017.461732,2018
2018-02-16 04:30:00,8026.6876415,8040.913551,7998.2358225,2018-02-16 05:35:00,7998.2358225,win,28.451818999999887,14.225909499999943,28.451818999999887,2.0,2018-02-16,8035.913551,8017.461732,2018
