date,direction,tokyo_high,tokyo_low,tokyo_range,manipulation_high,manipulation_low,amplitude
2018-01-02,bearish,7525.706115,7511.647587,14.05852799999957,,7495.24597,16.401617000000442
2018-01-03,bullish,7644.324951,7634.07394,10.25101099999938,7651.939987,,7.615036000000146
2018-01-04,bullish,7731.019211,7709.638532,21.380678999999873,7734.533843,,3.514632000000347
2018-01-05,bullish,7746.835055,7731.897869,14.937185999999201,7768.801506,,21.966451000000234
2018-01-08,bearish,7820.642331,7809.805548,10.836782999999741,,7808.92689,0.8786580000005415
2018-01-09,bullish,7841.144352,7824.742735,16.401617000000442,7848.173616,,7.029263999999785
2018-01-10,bearish,7832.357771,7819.763673,12.594097999999576,,7782.860035,36.90363800000068
2018-01-11,bullish,7829.428911,7807.46246,21.966451000000234,7833.236429,,3.807517999999618
2018-01-12,bullish,7881.562621,7871.018725,10.543896000000132,7901.47887,,19.91624899999988
2018-01-15,bearish,7964.742249,7945.704658,19.037591000000248,,7940.43271,5.271947999999611
2018-01-16,bullish,7960.641845,7940.725596,19.91624899999988,7986.415814,,25.773968999999852
2018-01-17,bullish,7933.696332,7910.851223,22.845109000000775,7947.754861,,14.058528999999908
2018-01-19,bullish,7996.373939,7968.256881,28.117057999999815,8028.298514,,31.924575000000004
2018-01-22,bullish,8017.168846,8002.817431,14.351414999999179,8022.440794,,5.2719480000005206
2018-01-23,bullish,8139.009427,8117.628748,21.380678999999873,8151.603526,,12.594098999999915
2018-01-24,bullish,8164.783396,8152.189298,12.594097999999576,8184.699645,,19.91624899999988
2018-01-25,bullish,8136.373453,8115.871432,20.50202100000024,8162.147422,,25.773968999999852
2018-01-26,bullish,8149.84621,8129.344189,20.50202099999933,8165.954941,,16.10873100000026
2018-01-29,bearish,8256.163833,8229.218319,26.945514000000912,,8201.687034,27.531284999999116
2018-02-01,bearish,8186.456961,8172.984205,13.472756000000118,,8156.289702,16.694502999999713
2018-02-02,bearish,8136.666339,8098.298271,38.368068000000676,,8034.156234,64.14203699999962
2018-02-05,bullish,7906.750819,7871.311611,35.43920799999978,7923.445321,,16.694502000000284
2018-02-06,bullish,7566.417271,7334.158662,232.25860900000043,7660.726567,,94.30929599999945
2018-02-07,bearish,7807.169574,7709.638532,97.53104199999962,,7701.144837,8.493695000000116
2018-02-08,bullish,7712.567392,7647.839583,64.72780899999998,7728.676122,,16.108729999999923
2018-02-09,bullish,7460.392534,7367.254782,93.13775199999964,7472.693747,,12.301213000000644
2018-02-12,bullish,7561.438209,7537.12867,24.30953899999986,7613.571919,,52.133710000000065
2018-02-13,bearish,7675.370868,7629.68065,45.69021799999973,,7605.956883,23.723767000000407
2018-02-14,bullish,7695.287117,7675.95664,19.33047699999952,7735.119615,,39.83249799999976
2018-02-15,bullish,7887.127456,7830.014683,57.112772999999834,7896.206922,,9.079466000000139
2018-02-16,bullish,8019.219048,7991.980649,27.238398999999845,8036.499323,,17.280275000000074
2018-02-19,bearish,7989.344674,7972.357286,16.987387999999555,,7967.378223,4.979063000000679
2018-02-20,bearish,7959.177415,7921.395119,37.782296000000315,,7876.583559,44.8115600000001
2018-02-22,bullish,7888.299,7843.194554,45.10444600000028,7919.930689,,31.631688999999824
2018-02-23,bullish,7974.700374,7950.097949,24.60242500000004,7997.838369,,23.137995000000046
2018-02-26,bullish,8097.419613,8073.40296,24.01665299999968,8114.992774,,17.573161000000255
2018-02-27,bearish,8211.352273,8185.871189,25.48108400000001,,8175.327293,10.543896000000132
2018-03-01,bullish,8059.051546,8014.532872,44.51867399999992,8082.189541,,23.137995000000046
2018-03-02,bearish,7941.018482,7897.378466,43.64001600000029,,7869.554295,27.824171000000206
2018-03-05,bullish,7979.093664,7924.031093,55.06257100000039,8005.160519,,26.066855000000032
2018-03-06,bullish,8076.038934,8058.172888,17.866046000000097,8098.005385,,21.966451000000234
