date,tokyo_high,tokyo_low,tokyo_eq,manipulation_type,direction,fvg_timeframe,fvg_top,fvg_bottom,fvg_formation_time,inversion_time,entry_price,manip_candle_high,manip_candle_low,manip_candle_open,manip_candle_close,sl_type,sl_price,tp_level,tp_price,risk,reward_target,rr_ratio,result,exit_price,exit_time,pnl_r
2018-01-01,7525.706115,7511.647587,7518.676851,LOW,LONG,5m,7511.940473,7510.476042,2018-01-02 02:20:00,2018-01-02 05:05:00,7513.404903,7504.03255,7500.810804,7503.739664,7500.810804,SL-Body,7500.810804,1R,7525.999002,12.594098999999915,12.594098999999915,1.0,WIN,7525.999002,2018-01-02 06:20:00,1.0
2018-01-01,7525.706115,7511.647587,7518.676851,LOW,LONG,5m,7511.940473,7510.476042,2018-01-02 02:20:00,2018-01-02 05:05:00,7513.404903,7504.03255,7500.810804,7503.739664,7500.810804,SL-Body,7500.810804,1.5R,7532.2960514999995,12.594098999999915,18.891148499999872,1.5,WIN,7532.2960514999995,2018-01-02 06:25:00,1.5
2018-01-01,7525.706115,7511.647587,7518.676851,LOW,LONG,5m,7511.940473,7510.476042,2018-01-02 02:20:00,2018-01-02 05:05:00,7513.404903,7504.03255,7500.810804,7503.739664,7500.810804,SL-Body,7500.810804,2R,7538.5931009999995,12.594098999999915,25.18819799999983,2.0,WIN,7538.5931009999995,2018-01-02 06:30:00,2.0
2018-01-01,7525.706115,7511.647587,7518.676851,LOW,LONG,5m,7511.940473,7510.476042,2018-01-02 02:20:00,2018-01-02 05:05:00,7513.404903,7504.03255,7500.810804,7503.739664,7500.810804,SL-Wick,7500.810804,1R,7525.999002,12.594098999999915,12.594098999999915,1.0,WIN,7525.999002,2018-01-02 06:20:00,1.0
2018-01-01,7525.706115,7511.647587,7518.676851,LOW,LONG,5m,7511.940473,7510.476042,2018-01-02 02:20:00,2018-01-02 05:05:00,7513.404903,7504.03255,7500.810804,7503.739664,7500.810804,SL-Wick,7500.810804,1.5R,7532.2960514999995,12.594098999999915,18.891148499999872,1.5,WIN,7532.2960514999995,2018-01-02 06:25:00,1.5
2018-01-01,7525.706115,7511.647587,7518.676851,LOW,LONG,5m,7511.940473,7510.476042,2018-01-02 02:20:00,2018-01-02 05:05:00,7513.404903,7504.03255,7500.810804,7503.739664,7500.810804,SL-Wick,7500.810804,2R,7538.5931009999995,12.594098999999915,25.18819799999983,2.0,WIN,7538.5931009999995,2018-01-02 06:30:00,2.0
2018-01-04,7746.835055,7731.897869,7739.366462,HIGH,SHORT,5m,7751.521232,7750.349687,2018-01-05 02:10:00,2018-01-05 03:10:00,7749.471029,7753.86432,7751.521232,7751.521232,7753.571434,SL-Body,7753.571434,1R,7745.370624,4.100405000000137,4.100405000000137,1.0,LOSS,7753.571434,2018-01-05 03:30:00,-1.0
2018-01-04,7746.835055,7731.897869,7739.366462,HIGH,SHORT,5m,7751.521232,7750.349687,2018-01-05 02:10:00,2018-01-05 03:10:00,7749.471029,7753.86432,7751.521232,7751.521232,7753.571434,SL-Body,7753.571434,1.5R,7743.3204215000005,4.100405000000137,6.150607500000206,1.5,LOSS,7753.571434,2018-01-05 03:30:00,-1.0
2018-01-04,7746.835055,7731.897869,7739.366462,HIGH,SHORT,5m,7751.521232,7750.349687,2018-01-05 02:10:00,2018-01-05 03:10:00,7749.471029,7753.86432,7751.521232,7751.521232,7753.571434,SL-Body,7753.571434,2R,7741.270219,4.100405000000137,8.200810000000274,2.0,LOSS,7753.571434,2018-01-05 03:30:00,-1.0
2018-01-04,7746.835055,7731.897869,7739.366462,HIGH,SHORT,5m,7751.521232,7750.349687,2018-01-05 02:10:00,2018-01-05 03:10:00,7749.471029,7753.86432,7751.521232,7751.521232,7753.571434,SL-Wick,7753.86432,1R,7745.077738000001,4.393290999999408,4.393290999999408,1.0,LOSS,7753.86432,2018-01-05 03:30:00,-1.0
2018-01-04,7746.835055,7731.897869,7739.366462,HIGH,SHORT,5m,7751.521232,7750.349687,2018-01-05 02:10:00,2018-01-05 03:10:00,7749.471029,7753.86432,7751.521232,7751.521232,7753.571434,SL-Wick,7753.86432,1.5R,7742.881092500002,4.393290999999408,6.589936499999112,1.5,LOSS,7753.86432,2018-01-05 03:30:00,-1.0
2018-01-04,7746.835055,7731.897869,7739.366462,HIGH,SHORT,5m,7751.521232,7750.349687,2018-01-05 02:10:00,2018-01-05 03:10:00,7749.471029,7753.86432,7751.521232,7751.521232,7753.571434,SL-Wick,7753.86432,2R,7740.6844470000015,4.393290999999408,8.786581999998816,2.0,LOSS,7753.86432,2018-01-05 03:30:00,-1.0
2018-01-07,7820.642331,7809.805548,7815.2239395,LOW,LONG,5m,7818.006357,7816.834813,2018-01-08 02:10:00,2018-01-08 09:20:00,7818.299243,7811.562864,7809.512662,7811.269978,7810.098434,SL-Body,7810.098434,1R,7826.500052,8.200808999999936,8.200808999999936,1.0,WIN,7826.500052,2018-01-08 09:30:00,1.0
2018-01-07,7820.642331,7809.805548,7815.2239395,LOW,LONG,5m,7818.006357,7816.834813,2018-01-08 02:10:00,2018-01-08 09:20:00,7818.299243,7811.562864,7809.512662,7811.269978,7810.098434,SL-Body,7810.098434,1.5R,7830.6004565,8.200808999999936,12.301213499999903,1.5,WIN,7830.6004565,2018-01-08 10:10:00,1.5
2018-01-07,7820.642331,7809.805548,7815.2239395,LOW,LONG,5m,7818.006357,7816.834813,2018-01-08 02:10:00,2018-01-08 09:20:00,7818.299243,7811.562864,7809.512662,7811.269978,7810.098434,SL-Body,7810.098434,2R,7834.700861,8.200808999999936,16.40161799999987,2.0,WIN,7834.700861,2018-01-08 10:35:00,2.0
2018-01-07,7820.642331,7809.805548,7815.2239395,LOW,LONG,5m,7818.006357,7816.834813,2018-01-08 02:10:00,2018-01-08 09:20:00,7818.299243,7811.562864,7809.512662,7811.269978,7810.098434,SL-Wick,7809.512662,1R,7827.085824000001,8.786581000000297,8.786581000000297,1.0,WIN,7827.085824000001,2018-01-08 09:30:00,1.0
