trade_id,date,asian_low,sweep_low,fvg_high,fvg_low,entry_time,entry_price,stop_loss,take_profit,exit_time,exit_price,exit_type,pnl,pnl_percent,risk,reward,winner
1,2018-01-08,7809.805548,7808.92689,7813.32018,7813.027294,2018-01-08 04:10:00,7814.198838,7808.67689,7819.720786000001,2018-01-08 05:50:00,7808.67689,SL,-5.5219480000005206,-0.07066556808290575,5.5219480000005206,5.5219480000005206,False
2,2018-01-15,7945.411772,7940.43271,7944.826,7942.190026,2018-01-15 02:30:00,7946.876202,7940.18271,7953.569694000001,2018-01-15 05:00:00,7940.18271,SL,-6.693492000000333,-0.08422796366597196,6.693492000000333,6.693492000000333,False
3,2018-01-29,8226.582345,8201.687034,8218.088651,8216.917107,2018-01-29 03:10:00,8218.674423,8201.437034,8235.911812,2018-01-29 08:30:00,8201.437034,SL,-17.237388999999894,-0.20973441838456308,17.237388999999894,17.237388999999894,False
4,2018-02-01,8164.783396,8156.289702,8164.49051,8164.197624,2018-02-01 03:40:00,8165.662055,8156.039702,8175.2844079999995,2018-02-01 05:00:00,8156.039702,SL,-9.622352999999748,-0.11783922644836602,9.622352999999748,9.622352999999748,False
5,2018-02-13,7611.228831,7605.956883,7619.429639,7616.207893,2018-02-13 04:15:00,7621.772728,7605.706883,7637.838573,2018-02-13 05:05:00,7605.706883,SL,-16.06584500000008,-0.21078882267086255,16.06584500000008,16.06584500000008,False
6,2018-02-20,7921.395119,7876.583559,7888.006114,7885.077254,2018-02-20 04:30:00,7890.349202,7876.333559,7904.364845000001,2018-02-20 07:30:00,7904.364845000001,TP,14.015643000000637,0.17763019913552155,14.015643000000637,14.015643000000637,True
7,2018-03-21,8062.658296,8035.517195,8045.147908,8043.688709,2018-03-21 04:55:00,8047.190787,8035.267195,8059.114378999999,2018-03-21 06:40:00,8035.267195,SL,-11.92359199999919,-0.14817086254822492,11.92359199999919,11.92359199999919,False
8,2018-03-22,8019.174165,7933.956942,7975.398195,7971.604277,2018-03-22 03:15:00,7975.690034,7933.706942,8017.673126000001,2018-03-22 05:50:00,7933.706942,SL,-41.9830920000004,-0.5263882099357974,41.9830920000004,41.9830920000004,False
9,2018-03-28,7589.877812,7570.616385,7603.594283,7595.714608,2018-03-28 04:35:00,7608.26372,7570.366385,7646.161055,2018-03-28 06:00:00,7646.161055,TP,37.89733499999966,0.498107536682491,37.89733499999966,37.89733499999966,True
10,2018-04-04,7491.527798,7379.461313,7408.061614,7406.602414,2018-04-04 04:40:00,7413.02289,7379.211313,7446.834467000001,2018-04-04 05:15:00,7379.211313,SL,-33.8115770000004,-0.4561105166100519,33.8115770000004,33.8115770000004,False
11,2018-04-20,7892.51569,7860.705151,7889.889132,7887.554413,2018-04-20 04:55:00,7898.936166,7860.455151,7937.417181000001,2018-04-20 08:40:00,7860.455151,SL,-38.4810150000003,-0.48716705884568473,38.4810150000003,38.4810150000003,False
12,2018-04-23,7797.375914,7774.612409,7784.243122,7781.032884,2018-04-23 04:20:00,7784.534962,7774.362409,7794.707514999999,2018-04-23 05:30:00,7794.707514999999,TP,10.172552999999425,0.13067643795880515,10.172552999999425,10.172552999999425,True
13,2018-04-25,7585.208375,7559.234633,7579.955259,7578.20422,2018-04-25 04:55:00,7581.706298,7558.984633,7604.427963,2018-04-25 07:30:00,7604.427963,TP,22.72166500000003,0.299690651509329,22.72166500000003,22.72166500000003,True
14,2018-04-26,7664.005123,7657.000967,7679.472632,7673.343996,2018-04-26 04:30:00,7685.893108,7656.750967,7715.0352490000005,2018-04-26 07:45:00,7715.0352490000005,TP,29.142141000000265,0.3791640163414079,29.142141000000265,29.142141000000265,True
15,2018-05-08,7957.304127,7938.626379,7949.716292,7948.840772,2018-05-08 04:35:00,7951.175491,7938.376379,7963.974603,2018-05-08 05:50:00,7938.376379,SL,-12.799111999999695,-0.16097131819675106,12.799111999999695,12.799111999999695,False
16,2018-05-23,8016.839447,7972.771636,8004.874015,8001.080098,2018-05-23 02:50:00,8008.376093,7972.521636,8044.230549999999,2018-05-23 09:10:00,8044.230549999999,TP,35.85445699999946,0.44771195288067567,35.85445699999946,35.85445699999946,True
17,2018-05-29,8095.636194,8048.941826,8068.203253,8060.907258,2018-05-29 04:05:00,8068.203253,8048.691826,8087.714679999999,2018-05-29 05:00:00,8087.714679999999,TP,19.511426999999458,0.24183112879245483,19.511426999999458,19.511426999999458,True
18,2018-06-08,8317.799004,8262.82212,8279.111567,8278.820684,2018-06-08 03:40:00,8288.419823,8262.57212,8314.267526,2018-06-08 08:30:00,8314.267526,TP,25.847702999999456,0.3118532066664048,25.847702999999456,25.847702999999456,True
19,2018-06-13,8420.771582,8412.626858,8419.898933,8416.408337,2018-06-13 03:45:00,8420.189816,8412.376858,8428.002774,2018-06-13 04:50:00,8428.002774,TP,7.812958000000435,0.09278838328744435,7.812958000000435,7.812958000000435,True
