Date;High_829;Low_829;Open_830;High_830;Low_830;Close_830;High_831;Low_831;FVG_Type;FVG_Size;Year
2018-01-02;7545.91525;7544.45082;7545.329478;7550.601426;7541.814846;7546.793908;7547.672566;7536.835784;;0.0;2018
2018-01-03;7651.354215;7646.082267;7646.082267;7649.304013;7645.496495;7648.425355;7659.262137;7648.132469;;0.0;2018
2018-01-04;7744.491967;7741.270221;7741.270221;7743.027537;7733.948071;7739.512905;7748.006599;7737.755589;;0.0;2018
2018-01-05;7764.993988;7762.065128;7762.6509;7764.408216;7755.914522;7758.550496;7763.822444;7758.25761;;0.0;2018
2018-01-08;7805.705144;7802.483398;7803.947828;7807.46246;7802.483398;7805.412258;7805.705144;7801.018968;;0.0;2018
2018-01-09;7851.395362;7849.638046;7849.638046;7851.688248;7849.052274;7850.80959;7851.102476;7845.537642;;0.0;2018
2018-01-10;7798.968766;7796.039906;7798.968766;7801.311854;7787.839097;7790.182185;7805.412258;7789.596413;;0.0;2018
2018-01-11;7833.822201;7830.307569;7830.307569;7832.650657;7827.671595;7832.064885;7833.822201;7827.671595;;0.0;2018
2018-01-12;7864.282347;7860.181942;7860.474829;7865.161005;7853.152678;7856.374424;7863.696575;7855.788652;;0.0;2018
2018-01-15;7943.947342;7941.604254;7943.654456;7943.947342;7939.846938;7941.018482;7941.018482;7938.382508;Bearish;0.5857719999994515;2018
2018-01-16;7980.265208;7977.336348;7977.629234;7986.415814;7977.336348;7982.022524;7993.737965;7981.729638;Bullish;1.464429999999993;2018
2018-01-17;7947.754861;7943.068684;7945.704658;7945.704658;7938.089622;7941.604254;7945.411772;7937.50385;;0.0;2018
2018-01-18;7983.77984;7978.507892;7981.436752;7985.830042;7977.043462;7979.38655;7987.294472;7979.679436;;0.0;2018
2018-01-19;8020.976364;8015.704416;8018.633276;8023.319452;8014.239986;8023.026566;8025.66254;8017.754618;;0.0;2018
2018-01-22;8015.704416;8012.775555;8014.239986;8017.168846;8011.604011;8013.068442;8014.239986;8008.089379;;0.0;2018
2018-01-23;8131.394391;8126.708215;8129.637075;8131.101505;8125.536671;8129.929961;8134.616137;8125.829557;;0.0;2018
2018-01-24;8189.092936;8185.578303;8186.164075;8189.092936;8179.720583;8182.063671;8188.214278;8179.720583;;0.0;2018
2018-01-25;8172.691319;8169.762459;8170.348231;8174.155749;8168.298029;8171.226889;8172.691319;8164.783396;;0.0;2018
2018-01-26;8159.218562;8156.289702;8156.875474;8160.975878;8151.017754;8151.896412;8152.77507;8143.98849;Bearish;3.514632000000347;2018
2018-01-29;8218.381537;8215.745563;8217.502879;8218.674423;8208.423412;8212.523817;8215.452677;8207.251868;Bearish;0.29288600000109;2018
2018-01-30;8123.486469;8118.21452;8123.486469;8123.486469;8098.884043;8105.03465;8125.829557;8104.155992;;0.0;2018
2018-01-31;8176.791723;8173.862863;8174.448635;8184.699645;8172.105547;8181.185013;8183.528101;8178.549039;Bullish;1.7573160000001735;2018
2018-02-01;8100.934246;8096.248069;8099.762701;8107.670624;8096.540955;8103.863106;8120.264722;8103.277334;Bullish;2.3430880000005345;2018
2018-02-02;8061.68752;8050.850737;8061.68752;8064.030608;8049.679193;8063.444836;8069.888328;8057.001344;;0.0;2018
2018-02-05;7858.717512;7849.34516;7858.13174;7858.13174;7828.843139;7832.943543;7856.66731;7832.650657;;0.0;2018
2018-02-06;7510.768928;7494.367312;7508.718726;7509.597384;7467.128912;7471.522203;7532.442493;7470.643545;;0.0;2018
2018-02-07;7796.039906;7784.910237;7785.496009;7797.21145;7764.11533;7789.889299;7791.646615;7764.11533;;0.0;2018
2018-02-08;7730.140553;7724.868604;7730.140553;7735.119615;7719.30377;7733.362299;7737.169817;7723.989946;;0.0;2018
2018-02-09;7487.923819;7481.773213;7487.630933;7495.24597;7480.601669;7480.894555;7506.668524;7480.308783;;0.0;2018
2018-02-12;7589.26238;7583.40466;7585.747748;7600.392049;7583.697546;7598.634732;7600.977821;7581.94023;;0.0;2018
2018-02-13;7603.320909;7599.513391;7599.513391;7602.442251;7591.019696;7591.605468;7618.258095;7590.141038;;0.0;2018
2018-02-14;7643.739179;7634.366826;7639.345888;7662.190997;7634.07394;7645.789381;7660.140795;7640.810318;;0.0;2018
2018-02-15;7894.742492;7890.349202;7894.15672;7897.671352;7883.612824;7883.90571;7883.90571;7871.018725;Bearish;6.443492000000333;2018
2018-02-16;7948.047747;7942.190026;7947.461974;7961.520503;7946.29043;7958.591643;7963.863591;7955.077011;Bullish;7.029264000000694;2018
2018-02-19;7974.407488;7973.52883;7973.52883;7974.99326;7971.771514;7972.650172;7974.407488;7970.892856;;0.0;2018
2018-02-20;7907.922363;7900.893098;7905.286389;7910.851223;7902.064642;7907.922363;7919.930689;7907.629477;;0.0;2018
2018-02-21;7987.001586;7984.365612;7986.415814;7987.880244;7978.800778;7981.729638;7987.880244;7973.821716;;0.0;2018
2018-02-22;7962.399161;7958.005871;7960.056073;7967.085337;7959.470301;7961.227617;7970.59997;7956.248555;;0.0;2018
2018-02-23;7988.466016;7985.537156;7986.7087;7992.273535;7980.558094;7985.537156;7986.415814;7972.943058;;0.0;2018
2018-02-26;8124.658013;8122.022039;8123.193583;8129.637075;8122.022039;8125.829557;8127.001101;8118.21452;;0.0;2018
2018-02-27;8197.58663;8190.850252;8196.415086;8199.05106;8186.749847;8188.507164;8195.829314;8183.820987;;0.0;2018
2018-02-28;8139.595199;8135.201909;8137.544997;8142.231173;8137.252111;8139.888085;8143.109831;8136.666339;;0.0;2018
2018-03-01;8049.386307;8042.649929;8042.942815;8049.679193;8039.135297;8045.578789;8066.959468;8044.993017;;0.0;2018
2018-03-02;7817.127699;7809.805548;7817.127699;7825.328507;7808.341118;7823.278305;7843.194554;7822.985419;Bullish;5.857719999999972;2018
2018-03-05;7946.583316;7941.311368;7944.826;7953.905467;7943.068684;7952.733923;7959.763187;7949.512177;Bullish;2.928860999999415;2018
2018-03-06;8107.670624;8103.57022;8104.741764;8111.185256;8103.277334;8111.185256;8111.771028;8096.833841;;0.0;2018
2018-03-07;8040.306841;8035.913551;8040.013955;8050.557851;8032.398918;8048.214763;8059.344432;8047.921877;Bullish;7.615036000000146;2018
2018-03-08;8151.603526;8148.674666;8149.260438;8155.411044;8147.503122;8153.653728;8155.411044;8143.109831;;0.0;2018
2018-03-09;8226.672267;8224.337548;8225.213068;8229.006985;8220.251791;8228.715146;8229.882505;8224.921228;;0.0;2018
2018-03-12;8348.953145;8346.618427;8346.910267;8348.953145;8343.408189;8343.700029;8346.034747;8336.987713;Bearish;0.5836799999997311;2018
2018-03-13;8402.943509;8400.316951;8401.77615;8404.402708;8398.565912;8401.19247;8402.06799;8396.814873;;0.0;2018
2018-03-14;8297.2975;8294.087262;8294.379102;8301.966937;8292.919903;8298.173019;8301.675097;8291.460704;;0.0;2018
2018-03-15;8256.439927;8254.397048;8254.688888;8258.482806;8251.47865;8254.980728;8254.688888;8243.015296;;0.0;2018
2018-03-16;8251.47865;8244.766335;8250.311291;8264.319602;8250.019451;8259.358325;8260.525684;8253.813369;Bullish;2.3347190000004048;2018
2018-03-19;8140.871364;8135.618248;8138.828486;8140.579524;8121.609937;8121.901777;8131.82433;8121.609937;Bearish;3.793917999999394;2018
2018-03-20;8039.019272;8034.057996;8036.392714;8048.358146;8035.517195;8041.93767;8049.525505;8039.019272;;0.0;2018
2018-03-21;8040.186631;8035.809034;8039.894792;8040.186631;8031.723277;8038.143753;8047.190787;8038.143753;;0.0;2018
2018-03-22;7914.403675;7909.734239;7914.403675;7919.073112;7906.524001;7912.944476;7916.154714;7899.811685;;0.0;2018
2018-03-23;7817.51286;7811.092384;7812.259744;7832.39669;7810.508705;7829.478292;7837.649807;7827.727253;Bullish;10.2143930000002;2018
2018-03-26;7769.651132;7765.273535;7769.067452;7777.238967;7767.900093;7777.238967;7786.286001;7774.028729;Bullish;4.377596999999696;2018
2018-03-27;7960.806204;7957.595967;7960.222525;7961.098044;7943.587656;7947.381573;7951.467331;7941.836617;Bearish;6.12863600000037;2018
2018-03-28;7607.97188;7598.924846;7601.843244;7608.26372;7590.169652;7600.675885;7609.139239;7592.79621;;0.0;2018
2018-03-29;7597.757487;7593.08805;7594.255409;7605.345322;7589.002293;7602.135084;7617.894433;7594.839089;;0.0;2018
2018-04-02;7638.03138;7632.778263;7633.361943;7636.572181;7621.688351;7629.276186;7649.413132;7627.525147;;0.0;2018
2018-04-03;7540.556885;7537.346647;7537.346647;7543.475283;7532.093531;7540.556885;7542.599764;7526.256735;;0.0;2018
2018-04-04;7409.812652;7404.267696;7405.726895;7419.443366;7397.84722;7415.941288;7433.451677;7413.60657;Bullish;3.7939180000003034;2018
2018-04-05;7747.179467;7743.969229;7746.595787;7748.346826;7731.711957;7736.089554;7738.132433;7727.91804;Bearish;5.836796000000504;2018
2018-04-06;7631.319064;7624.606749;7630.151705;7635.696662;7616.435234;7630.151705;7646.494734;7631.027225;;0.0;2018
2018-04-09;7586.667574;7578.49606;7581.706298;7592.79621;7581.414458;7589.002293;7589.585972;7584.041016;;0.0;2018
2018-04-10;7689.978865;7686.476788;7687.060467;7703.111656;7686.768627;7702.527977;7703.695336;7688.227826;;0.0;2018
2018-04-11;7694.648302;7690.562545;7692.897263;7703.987176;7688.811506;7703.403496;7715.952608;7703.111656;Bullish;8.463354000000436;2018
2018-04-12;7746.303948;7742.21819;7742.80187;7749.514186;7741.634511;7743.38555;7745.136588;7736.381394;;0.0;2018
2018-04-13;7828.019093;7823.641496;7824.225176;7828.894613;7821.890457;7828.019093;7830.353812;7823.349656;;0.0;2018
2018-04-16;7802.33719;7798.835113;7800.002472;7805.547428;7798.251433;7800.586151;7802.92087;7794.457515;;0.0;2018
2018-04-17;7882.884976;7879.966578;7881.133938;7882.884976;7872.670583;7874.421622;7876.172661;7869.460345;Bearish;3.793916999999965;2018
2018-04-18;7980.067632;7973.647156;7974.522675;7976.857394;7970.436918;7972.187957;7974.522675;7967.22668;;0.0;2018
2018-04-19;7950.591811;7948.257093;7950.299971;7951.175491;7941.836617;7948.257093;7953.802049;7943.003976;;0.0;2018
2018-04-20;7896.309607;7891.056491;7892.51569;7898.936166;7891.056491;7894.266729;7895.725928;7881.425777;;0.0;2018
2018-04-23;7823.641496;7822.474137;7823.057816;7827.435413;7818.09654;7821.014938;7821.306778;7809.633185;Bearish;1.1673590000000331;2018
2018-04-24;7804.380069;7801.461671;7802.92087;7811.967904;7799.126952;7810.508705;7811.384224;7796.792234;;0.0;2018
2018-04-25;7617.310754;7612.933157;7616.727074;7617.894433;7608.55556;7612.057637;7617.602594;7605.345322;;0.0;2018
2018-04-26;7711.575011;7708.656613;7710.115812;7716.244448;7701.360618;7705.154535;7706.030055;7699.025899;Bearish;2.626557999999932;2018
2018-04-27;7886.970734;7882.009457;7884.344175;7887.262574;7879.382899;7882.884976;7885.219695;7872.378743;;0.0;2018
2018-04-30;7795.041195;7792.706477;7793.290156;7799.126952;7791.539117;7798.835113;7800.294312;7789.496239;;0.0;2018
2018-05-01;7700.485098;7696.983021;7698.734059;7703.111656;7691.729904;7695.231982;7709.240292;7692.021744;;0.0;2018
2018-05-02;7825.100695;7819.263899;7822.182297;7823.933336;7804.088229;7808.757666;7816.92918;7805.255588;Bearish;2.3347189999994953;2018
2018-05-03;7721.497564;7717.995487;7721.789404;7727.6262;7713.909729;7722.373084;7723.540443;7715.368928;;0.0;2018
2018-05-04;7725.875161;7721.497564;7723.248603;7731.128278;7722.664923;7724.415962;7737.840593;7724.707802;;0.0;2018
2018-05-07;7944.463175;7940.669258;7941.252937;7947.381573;7935.999821;7939.793738;7942.420297;7935.124302;;0.0;2018
2018-05-08;7954.385729;7951.467331;7951.75917;7958.179646;7951.175491;7951.175491;7961.098044;7951.467331;;0.0;2018
2018-05-09;7978.900272;7975.981874;7976.273714;7979.775792;7972.771636;7973.938996;7973.938996;7967.22668;Bearish;2.0428780000002007;2018
2018-05-10;8076.082927;8074.040049;8074.915568;8075.499248;8068.203253;8071.70533;8077.542126;8070.537971;;0.0;2018
