entry_time,entry_price,direction,setup_class,position_size,stop_loss,tp1,tp2,exit_price_1,exit_price_2,exit_time_1,exit_time_2,exit_reason,pnl,r_multiple,winner
2018-01-11 01:45:00,7827.378709,bullish,C,2,7805.46246,7871.211206999999,7839.809124288481,7830.307569,7827.085823,2018-01-11 06:00:00,2018-01-11 05:00:00,Force Close 06:00,52.7194800000143,0.06013743501455768,True
2018-01-17 02:15:00,7928.131498,bullish,C,2,7907.679679,7969.0351359999995,7941.4468389826,7950.976607,7945.704658,2018-01-17 06:00:00,2018-01-17 05:00:00,Force Close 06:00,808.3653799999956,0.9881338427647929,True
2018-01-17 02:30:00,7936.918078,bullish,C,1,7908.851223,7993.051788,7954.052865054523,7950.976607,7945.704658,2018-01-17 06:00:00,2018-01-17 05:00:00,Force Close 06:00,228.45108999999866,0.4069766455842637,True
2018-01-17 03:45:00,7939.554052,bullish,C,1,7908.851223,8000.959710000002,7959.517170948483,7950.976607,7945.704658,2018-01-17 06:00:00,2018-01-17 05:00:00,Force Close 06:00,175.73160999998436,0.28618146230104735,True
2018-03-27 01:45:00,7953.510209,bullish,C,1,7901.605603,8057.319421,7969.884331394563,7971.604277,7994.659622,2018-03-27 06:00:00,2018-03-27 05:00:00,Force Close 06:00,592.4348100000043,0.5706957972092146,True
2018-03-27 03:45:00,7966.93484,bullish,C,1,7931.081423,8038.641674,8001.600941149251,7971.604277,7994.659622,2018-03-27 06:00:00,2018-03-27 05:00:00,Force Close 06:00,323.94219000000703,0.45175915868772654,True
2018-04-03 02:00:00,7495.905395,bullish,B,1,7466.764293,7554.187598999999,7512.286359799428,7504.952429,7492.111477,2018-04-03 06:00:00,2018-04-03 05:00:00,Force Close 06:00,52.53116000000773,0.09013241846517758,True
2018-04-03 02:15:00,7502.034031,bullish,B,1,7466.764293,7572.573507,7523.0648820294045,7504.952429,7492.111477,2018-04-03 06:00:00,2018-04-03 05:00:00,Force Close 06:00,-70.04155999999966,-0.09929413141656984,False
2018-04-25 03:30:00,7595.422768,bearish,C,1,7626.606749,7533.054806000002,7578.30788597958,7571.200065,7585.792055,2018-04-25 06:00:00,2018-04-25 05:00:00,Force Close 06:00,338.53416000000834,0.5428013825431987,True
2018-04-25 03:45:00,7590.169652,bearish,C,1,7626.606749,7517.295458,7566.223579129747,7571.200065,7585.792055,2018-04-25 06:00:00,2018-04-25 05:00:00,Force Close 06:00,233.47183999999288,0.32037656567425354,True
2018-07-03 03:45:00,8304.418387,bullish,C,1,8255.00446,8403.246240999999,8338.201850532258,8322.162249,8311.108696,2018-07-03 06:00:00,2018-07-03 05:00:00,Force Close 06:00,244.34171000000788,0.2472397204941937,True
2018-09-06 03:45:00,8766.922336,bullish,B,1,8735.834037,8829.098933999998,8786.187880756146,8756.450548,8768.958517,2018-09-06 06:00:00,2018-09-06 05:00:00,Force Close 06:00,-84.35606999999436,-0.13567173617314476,False
2018-09-10 02:45:00,8680.530089,bullish,C,2,8659.913578,8721.763111,8690.969879891329,8706.418675,8696.819536,2018-09-10 06:00:00,2018-09-10 05:00:00,Force Close 06:00,843.5606600000392,1.0229187906722337,True
2018-09-10 03:00:00,8683.729802,bullish,C,2,8659.913578,8731.36225,8696.037272041896,8706.418675,8696.819536,2018-09-10 06:00:00,2018-09-10 05:00:00,Force Close 06:00,715.5721400000402,0.7511393703720999,True
2018-10-24 01:45:00,8245.804903,bearish,C,1,8320.556037,8096.302635,8187.781027068022,8226.385277,8206.385961,2018-10-24 06:00:00,2018-10-24 05:00:00,Force Close 06:00,588.3856800000103,0.39356304614723947,True
2018-10-24 03:45:00,8192.183548,bearish,C,1,8320.556037,7935.438570000002,8107.44303724883,8226.385277,8206.385961,2018-10-24 06:00:00,2018-10-24 05:00:00,Force Close 06:00,-484.0414199999759,-0.1885300440034228,False
2018-10-25 02:30:00,7969.292622,bullish,B,1,7921.786932,8064.304002,8005.912920163776,8064.304002,8005.912920163776,2018-10-25 04:45:00,2018-10-25 04:45:00,Full TP2,1316.3167816377609,1.3854306522416178,True
2018-10-25 02:45:00,7984.654415,bullish,B,1,7921.786932,8110.389381,8027.882120557475,8038.565615,8076.53533,2018-10-25 06:00:00,2018-10-25 05:00:00,Force Close 06:00,1457.921150000002,1.1595192621279287,True
2018-11-07 02:15:00,8153.054452,bullish,C,1,8088.158053,8282.84725,8184.166452658133,8221.457909,8233.341561,2018-11-07 06:00:00,2018-11-07 05:00:00,Force Close 06:00,1486.905659999993,1.1455995116154198,True
2018-11-07 03:00:00,8211.023484,bullish,C,1,8136.852039,8359.366373999997,8266.354189697326,8221.457909,8233.341561,2018-11-07 06:00:00,2018-11-07 05:00:00,Force Close 06:00,327.52502000001186,0.2207891594939374,True
