date,entry_time,direction,entry_price,stop_loss,take_profit,asian_high,asian_low,breakout_level,risk,result,exit_time,exit_price,pnl,pnl_points
2018-01-02,2018-01-02 08:25:00+01:00,SHORT,7539.178872,7547.107732,7495.24597,7540.643302,7495.24597,7542.107732,7.928859999999986,LOSS,2018-01-02 09:25:00+01:00,7547.107732,-7.928859999999986,-7.928859999999986
2018-01-04,2018-01-04 09:35:00+01:00,SHORT,7734.533843,7747.734651,7694.931419000001,7738.634247,7723.111288,7742.734651,13.200807999999597,LOSS,2018-01-04 10:40:00+01:00,7747.734651,-13.200807999999597,-13.200807999999597
2018-01-05,2018-01-05 08:55:00+01:00,SHORT,7767.337076,7777.316138,7737.399889999999,7768.801506,7742.148879,7772.316138,9.97906200000034,LOSS,2018-01-05 10:55:00+01:00,7777.316138,-9.97906200000034,-9.97906200000034
2018-01-08,2018-01-08 08:30:00+01:00,LONG,7797.504336,7789.575475,7821.290919000001,7820.056559,7795.74702,7794.575475,7.928861000000325,WIN,2018-01-08 10:25:00+01:00,7821.290919000001,23.786583000000974,23.786583000000974
2018-01-09,2018-01-09 08:10:00+01:00,SHORT,7845.830528,7854.052274,7821.165290000003,7848.173616,7830.014683,7849.052274,8.221745999999257,LOSS,2018-01-09 08:40:00+01:00,7854.052274,-8.221745999999257,-8.221745999999257
2018-01-10,2018-01-10 09:55:00+01:00,LONG,7783.738693,7767.609024,7832.1277,7830.307569,7779.638289,7772.609024,16.12966899999992,LOSS,2018-01-10 10:00:00+01:00,7767.609024,-16.12966899999992,-16.12966899999992
2018-01-11,2018-01-11 10:35:00+01:00,LONG,7822.985419,7813.885015,7850.286630999999,7846.709186,7821.813875,7818.885015,9.100403999999799,WIN,2018-01-11 12:30:00+01:00,7850.286630999999,27.301211999999396,27.301211999999396
2018-01-12,2018-01-12 09:35:00+01:00,LONG,7878.926647,7858.403689,7940.495521000002,7901.47887,7874.240471,7863.403689,20.52295800000047,WIN,2018-01-14 18:00:00+01:00,7940.495521000002,61.568874000001415,61.568874000001415
2018-01-16,2018-01-16 10:50:00+01:00,SHORT,7987.294472,8001.959711,7943.298754999997,7989.051788,7952.733923,7996.959711,14.665239000000838,WIN,2018-01-16 12:50:00+01:00,7943.298754999997,43.995717000002514,43.995717000002514
2018-01-17,2018-01-17 09:15:00+01:00,SHORT,7954.198353,7963.005871,7917.587601,7956.541441,7917.587601,7958.005871,8.807518000000528,WIN,2018-01-17 09:40:00+01:00,7917.587601,36.61075199999959,36.61075199999959
2018-01-18,2018-01-18 08:05:00+01:00,LONG,7973.52883,7961.206679,8010.495283000001,7994.030851,7971.478628,7966.206679,12.322151000000304,WIN,2018-01-18 14:35:00+01:00,8010.495283000001,36.96645300000091,36.96645300000091
2018-01-19,2018-01-19 09:40:00+01:00,SHORT,8025.369654,8036.813146,7977.336348,8028.298514,7977.336348,8031.813146,11.443492000000333,LOSS,2018-01-22 10:05:00+01:00,8036.813146,-11.443492000000333,-11.443492000000333
2018-01-22,2018-01-22 08:30:00+01:00,SHORT,8020.390592,8029.783882,7992.210722,8022.440794,8007.796493,8024.783882,9.393289999999979,LOSS,2018-01-22 09:55:00+01:00,8029.783882,-9.393289999999979,-9.393289999999979
2018-01-23,2018-01-23 09:55:00+01:00,SHORT,8138.423655,8160.70393,8071.582829999999,8151.603526,8106.791966,8155.70393,22.280275000000074,LOSS,2018-01-23 10:10:00+01:00,8160.70393,-22.280275000000074,-22.280275000000074
2018-01-24,2018-01-24 09:05:00+01:00,SHORT,8182.942329,8194.092936000001,8149.490507999999,8184.699645,8158.047018,8189.092936,11.150607000000491,LOSS,2018-01-24 10:10:00+01:00,8194.092936000001,-11.150607000000491,-11.150607000000491
2018-01-25,2018-01-25 09:30:00+01:00,SHORT,8167.712257,8174.469573,8112.3568,8168.590915,8112.3568,8169.469573,6.7573160000001735,LOSS,2018-01-25 09:35:00+01:00,8174.469573,-6.7573160000001735,-6.7573160000001735
2018-01-26,2018-01-26 10:05:00+01:00,SHORT,8165.369168,8174.176687,8138.946611,8168.005143,8140.473857,8169.176687,8.807518999999957,LOSS,2018-01-26 10:35:00+01:00,8174.176687,-8.807518999999957,-8.807518999999957
2018-01-29,2018-01-29 09:35:00+01:00,LONG,8215.452677,8189.65777,8292.837397999998,8238.590672,8201.687034,8194.65777,25.79490699999951,LOSS,2018-01-29 10:40:00+01:00,8189.65777,-25.79490699999951,-25.79490699999951
2018-01-30,2018-01-30 09:05:00+01:00,LONG,8131.980163,8122.586873,8164.197624,8164.197624,8130.515733,8127.586873,9.393289999999979,LOSS,2018-01-30 09:25:00+01:00,8122.586873,-9.393289999999979,-9.393289999999979
2018-01-31,2018-01-31 08:15:00+01:00,SHORT,8170.348231,8180.913065,8134.030365,8172.105547,8134.030365,8175.913065,10.564833999999792,LOSS,2018-01-31 09:30:00+01:00,8180.913065,-10.564833999999792,-10.564833999999792
2018-02-01,2018-02-01 09:55:00+01:00,LONG,8141.352515,8120.243785,8204.678704999998,8185.871189,8139.009427,8125.243785,21.108729999999923,LOSS,2018-02-01 14:10:00+01:00,8120.243785,-21.108729999999923,-21.108729999999923
2018-02-02,2018-02-02 09:55:00+01:00,LONG,8025.369654,8007.189783,8130.222847,8130.222847,8018.633276,8012.189783,18.179871000000276,LOSS,2018-02-02 10:00:00+01:00,8007.189783,-18.179871000000276,-18.179871000000276
2018-02-05,2018-02-05 09:35:00+01:00,LONG,7864.282347,7823.843139,7985.599971000002,7923.445321,7834.115087,7828.843139,40.43920800000069,LOSS,2018-02-05 14:30:00+01:00,7823.843139,-40.43920800000069,-40.43920800000069
2018-02-06,2018-02-06 09:45:00+01:00,SHORT,7653.990189,7669.534086,7380.727539,7660.726567,7380.727539,7664.534086,15.54389699999956,LOSS,2018-02-06 09:50:00+01:00,7669.534086,-15.54389699999956,-15.54389699999956
2018-02-07,2018-02-07 08:20:00+01:00,SHORT,7767.922848,7792.839097,7691.186713,7780.516947,7691.186713,7787.839097,24.91624899999988,LOSS,2018-02-07 09:25:00+01:00,7792.839097,-24.91624899999988,-24.91624899999988
2018-02-08,2018-02-08 09:30:00+01:00,SHORT,7716.667796,7749.491967,7618.195282999999,7728.676122,7661.898111,7744.491967,32.824171000000206,WIN,2018-02-08 10:50:00+01:00,7618.195282999999,98.47251300000062,98.47251300000062
2018-02-09,2018-02-09 09:00:00+01:00,SHORT,7460.978306,7479.451063,7371.940958,7472.693747,7371.940958,7474.451063,18.472757000000456,LOSS,2018-02-09 09:05:00+01:00,7479.451063,-18.472757000000456,-18.472757000000456
2018-02-12,2018-02-12 09:35:00+01:00,SHORT,7608.007085,7623.550981,7533.906924,7613.571919,7533.906924,7618.550981,15.543896000000132,LOSS,2018-02-12 09:40:00+01:00,7623.550981,-15.543896000000132,-15.543896000000132
2018-02-13,2018-02-13 09:05:00+01:00,LONG,7593.948556,7575.768686,7648.488166,7647.839583,7587.505064,7580.768686,18.179869999999937,WIN,2018-02-13 10:20:00+01:00,7648.488166,54.53960999999981,54.53960999999981
2018-02-14,2018-02-14 09:50:00+01:00,LONG,7690.015169,7558.781297,8083.716785,7735.119615,7684.74322,7563.781297,131.2338719999998,WIN,2018-02-23 15:55:00+01:00,8083.716785,393.7016159999994,393.7016159999994
2018-02-15,2018-02-15 08:30:00+01:00,LONG,7877.462217,7858.696575,7933.759143000001,7896.206922,7865.453891,7863.696575,18.765642000000298,LOSS,2018-02-15 09:35:00+01:00,7858.696575,-18.765642000000298,-18.765642000000298
2018-02-16,2018-02-16 10:25:00+01:00,LONG,7993.152193,7980.830042,8036.499323,8036.499323,7991.394877,7985.830042,12.322151000000304,LOSS,2018-02-16 11:00:00+01:00,7980.830042,-12.322151000000304,-12.322151000000304
2018-02-19,2018-02-19 08:20:00+01:00,LONG,7965.913793,7958.570705,7989.344674,7989.344674,7964.742249,7963.570705,7.343087999999625,LOSS,2018-02-19 09:30:00+01:00,7958.570705,-7.343087999999625,-7.343087999999625
2018-02-20,2018-02-20 09:50:00+01:00,SHORT,7950.390835,7965.348959,7876.583559,7951.855265,7876.583559,7960.348959,14.95812399999977,LOSS,2018-02-20 10:10:00+01:00,7965.348959,-14.95812399999977,-14.95812399999977
2018-02-21,2018-02-21 08:40:00+01:00,SHORT,7979.679436,7989.072726,7941.311368,7981.729638,7941.311368,7984.072726,9.393289999999979,LOSS,2018-02-21 09:05:00+01:00,7989.072726,-9.393289999999979,-9.393289999999979
2018-02-23,2018-02-23 08:25:00+01:00,SHORT,7996.666825,8005.767229,7961.227617,7999.009913,7961.227617,8000.767229,9.100403999999799,WIN,2018-02-23 10:15:00+01:00,7961.227617,35.43920800000069,35.43920800000069
2018-02-26,2018-02-26 08:05:00+01:00,SHORT,8127.001101,8135.515733,8085.411287,8128.172645,8085.411287,8130.515733,8.514632000000347,LOSS,2018-02-26 09:30:00+01:00,8135.515733,-8.514632000000347,-8.514632000000347
2018-02-27,2018-02-27 10:00:00+01:00,LONG,8177.084609,8162.419371,8221.080322999998,8201.97992,8174.155749,8167.419371,14.66523799999959,LOSS,2018-02-27 10:50:00+01:00,8162.419371,-14.66523799999959,-14.66523799999959
2018-02-28,2018-02-28 10:50:00+01:00,SHORT,8117.921634,8127.607811,8084.532629,8119.67895,8084.532629,8122.607811,9.686176999999589,WIN,2018-02-28 11:45:00+01:00,8084.532629,33.389005,33.389005
2018-03-01,2018-03-01 09:45:00+01:00,LONG,8002.817431,7979.951384,8082.189541,8082.189541,7993.445079,7984.951384,22.866047000000435,LOSS,2018-03-01 09:50:00+01:00,7979.951384,-22.866047000000435,-22.866047000000435
2018-03-02,2018-03-02 08:05:00+01:00,LONG,7832.357771,7812.713471,7940.43271,7940.43271,7820.056559,7817.713471,19.64429999999993,LOSS,2018-03-02 08:25:00+01:00,7812.713471,-19.64429999999993,-19.64429999999993
2018-03-05,2018-03-05 11:10:00+01:00,SHORT,7998.717027,8011.917835,7899.135782,8005.160519,7899.135782,8006.917835,13.200808000000507,LOSS,2018-03-05 11:20:00+01:00,8011.917835,-13.200808000000507,-13.200808000000507
2018-03-06,2018-03-06 10:00:00+01:00,SHORT,8104.155992,8128.193583,8032.043218999999,8114.114116,8063.444836,8123.193583,24.037591000000248,LOSS,2018-03-06 10:30:00+01:00,8128.193583,-24.037591000000248,-24.037591000000248
2018-03-07,2018-03-07 08:30:00+01:00,SHORT,8049.679193,8061.708458,7983.486954,8052.900939,7983.486954,8056.708458,12.029265000000123,LOSS,2018-03-07 09:30:00+01:00,8061.708458,-12.029265000000123,-12.029265000000123
2018-03-08,2018-03-08 08:20:00+01:00,SHORT,8154.532386,8165.682992,8112.3568,8160.390106,8112.3568,8160.682992,11.150606000000153,LOSS,2018-03-08 09:35:00+01:00,8165.682992,-11.150606000000153,-11.150606000000153
2018-03-09,2018-03-09 08:30:00+01:00,LONG,8222.00283,8152.214393,8431.368140999997,8181.437097,8162.75935,8157.214393,69.78843699999925,LOSS,2018-03-19 01:05:00+01:00,8152.214393,-69.78843699999925,-69.78843699999925
2018-03-12,2018-03-12 08:05:00+01:00,LONG,8355.373621,8348.038903,8378.137126,8378.137126,8353.622582,8353.038903,7.334718000000066,LOSS,2018-03-12 08:30:00+01:00,8348.038903,-7.334718000000066,-7.334718000000066
2018-03-13,2018-03-13 10:35:00+01:00,SHORT,8372.00849,8410.278228,8257.199276000003,8377.845286,8355.665461,8405.278228,38.26973799999905,WIN,2018-03-13 15:10:00+01:00,8257.199276000003,114.80921399999716,114.80921399999716
2018-03-14,2018-03-14 11:40:00+01:00,LONG,8233.384582,8215.251791,8313.348689,8313.348689,8230.758024,8220.251791,18.132790999999997,LOSS,2018-03-14 12:10:00+01:00,8215.251791,-18.132790999999997,-18.132790999999997
2018-03-15,2018-03-15 09:50:00+01:00,LONG,8233.968262,8211.457874,8301.499426000002,8261.401204,8228.131466,8216.457874,22.510388000000603,LOSS,2018-03-15 14:00:00+01:00,8211.457874,-22.510388000000603,-22.510388000000603
2018-03-16,2018-03-16 08:45:00+01:00,SHORT,8257.023607,8265.233844,8231.633544,8258.482806,8231.633544,8260.233844,8.210237000001143,LOSS,2018-03-16 09:40:00+01:00,8265.233844,-8.210237000001143,-8.210237000001143
2018-03-20,2018-03-20 11:55:00+01:00,LONG,8028.804879,8016.217044,8087.17284,8087.17284,8025.594641,8021.217044,12.587835000000268,WIN,2018-03-21 11:55:00+01:00,8087.17284,58.36796099999992,58.36796099999992
2018-03-21,2018-03-21 09:35:00+01:00,LONG,8037.268233,8026.723277,8082.211563,8082.211563,8033.182476,8031.723277,10.544955999999729,WIN,2018-03-21 11:50:00+01:00,8082.211563,44.94333000000006,44.94333000000006
2018-03-22,2018-03-22 09:35:00+01:00,LONG,7928.995666,7912.030234,8054.486782,8054.486782,7926.952787,7917.030234,16.965431999999964,LOSS,2018-03-22 10:40:00+01:00,7912.030234,-16.965431999999964,-16.965431999999964
2018-03-23,2018-03-23 08:55:00+01:00,SHORT,7789.788079,7812.006627,7712.74237,7794.165676,7712.74237,7807.006627,22.218547999999828,LOSS,2018-03-23 09:20:00+01:00,7812.006627,-22.218547999999828,-22.218547999999828
2018-03-26,2018-03-26 08:20:00+02:00,SHORT,7782.200244,7794.204399,7683.26655,7785.410482,7683.26655,7789.204399,12.004155000000537,LOSS,2018-03-26 09:15:00+02:00,7794.204399,-12.004155000000537,-12.004155000000537
2018-03-27,2018-03-27 10:35:00+02:00,LONG,7940.377418,7921.660947,7996.526830999999,7995.535141,7936.291661,7926.660947,18.71647099999973,LOSS,2018-03-27 10:45:00+02:00,7921.660947,-18.71647099999973,-18.71647099999973
2018-03-28,2018-03-28 08:40:00+02:00,SHORT,7666.048001,7678.635836,7570.616385,7668.674559,7570.616385,7673.635836,12.587835000000268,LOSS,2018-03-28 09:00:00+02:00,7678.635836,-12.587835000000268,-12.587835000000268
2018-03-29,2018-03-29 08:55:00+02:00,SHORT,7623.731229,7640.112982,7553.397836,7631.027225,7553.397836,7635.112982,16.381752999999662,WIN,2018-03-29 10:40:00+02:00,7553.397836,70.33339299999989,70.33339299999989
2018-04-02,2018-04-02 08:05:00+02:00,LONG,7636.864021,7624.859865,7672.876489,7668.09088,7632.486424,7629.859865,12.004155999999966,LOSS,2018-04-02 08:20:00+02:00,7624.859865,-12.004155999999966,-12.004155999999966
2018-04-03,2018-04-03 10:30:00+02:00,SHORT,7516.917861,7529.213856,7468.764293,7520.711778,7468.764293,7524.213856,12.295995000000403,LOSS,2018-04-03 10:35:00+02:00,7529.213856,-12.295995000000403,-12.295995000000403
2018-04-05,2018-04-05 10:50:00+02:00,LONG,7717.411807,7692.85854,7791.071608000001,7768.191933,7710.115812,7697.85854,24.553267000000233,LOSS,2018-04-05 11:45:00+02:00,7692.85854,-24.553267000000233,-24.553267000000233
2018-04-06,2018-04-06 11:05:00+02:00,SHORT,7666.631681,7699.648302,7567.581818000001,7670.133759,7597.465647,7694.648302,33.01662099999976,WIN,2018-04-06 14:50:00+02:00,7567.581818000001,99.04986299999928,99.04986299999928
2018-04-09,2018-04-09 10:40:00+02:00,LONG,7582.873657,7562.406147,7644.276187000001,7619.645472,7570.616385,7567.406147,20.467510000000402,WIN,2018-04-09 11:05:00+02:00,7644.276187000001,61.40253000000121,61.40253000000121
2018-04-10,2018-04-10 10:45:00+02:00,LONG,7672.468477,7659.005123,7733.462996,7733.462996,7667.79904,7664.005123,13.463354000000436,LOSS,2018-04-10 10:50:00+02:00,7659.005123,-13.463354000000436,-13.463354000000436
2018-04-11,2018-04-11 08:10:00+02:00,LONG,7658.460166,7642.953933,7706.905574,7706.905574,7652.33153,7647.953933,15.506233000000066,WIN,2018-04-11 10:30:00+02:00,7706.905574,48.4454080000005,48.4454080000005
2018-04-12,2018-04-12 08:35:00+02:00,SHORT,7741.634511,7754.806025,7692.605424,7746.012108,7692.605424,7749.806025,13.17151399999966,LOSS,2018-04-12 10:30:00+02:00,7754.806025,-13.17151399999966,-13.17151399999966
2018-04-13,2018-04-13 10:55:00+02:00,SHORT,7797.084074,7813.173986,7748.814338000002,7801.169831,7760.020418,7808.173986,16.089911999999458,WIN,2018-04-13 11:25:00+02:00,7748.814338000002,48.269735999998375,48.269735999998375
2018-04-16,2018-04-16 10:10:00+02:00,SHORT,7807.882147,7817.843423,7753.891783,7809.633185,7753.891783,7812.843423,9.961275999999998,WIN,2018-04-16 12:15:00+02:00,7753.891783,53.99036400000023,53.99036400000023
2018-04-17,2018-04-17 10:30:00+02:00,SHORT,7874.713462,7890.803375,7826.443722999998,7879.674739,7844.070282,7885.803375,16.089913000000706,LOSS,2018-04-17 10:40:00+02:00,7890.803375,-16.089913000000706,-16.089913000000706
2018-04-18,2018-04-18 08:45:00+02:00,SHORT,8000.204578,8010.749534,7968.569710000001,8000.496418,7977.149234,8005.749534,10.544955999999729,WIN,2018-04-18 10:30:00+02:00,7968.569710000001,31.634867999999187,31.634867999999187
2018-04-19,2018-04-19 09:05:00+02:00,LONG,7970.145078,7963.685879,8015.380248,8015.380248,7969.561399,7968.685879,6.459198999999899,LOSS,2018-04-19 09:20:00+02:00,7963.685879,-6.459198999999899,-6.459198999999899
2018-04-20,2018-04-20 08:10:00+02:00,SHORT,7917.030234,7930.493588,7860.705151,7923.742549,7860.705151,7925.493588,13.463354000000436,WIN,2018-04-20 10:40:00+02:00,7860.705151,56.32508299999972,56.32508299999972
2018-04-23,2018-04-23 09:35:00+02:00,SHORT,7824.225176,7831.851734,7774.612409,7824.517015,7774.612409,7826.851734,7.626557999999932,WIN,2018-04-23 10:50:00+02:00,7774.612409,49.61276699999962,49.61276699999962
2018-04-24,2018-04-24 11:00:00+02:00,LONG,7792.414637,7762.900093,7880.958268999999,7842.027404,7783.951283,7767.900093,29.51454399999966,LOSS,2018-04-24 11:15:00+02:00,7762.900093,-29.51454399999966,-29.51454399999966
2018-04-25,2018-04-25 10:45:00+02:00,LONG,7561.569351,7530.011929,7656.241617,7624.606749,7559.234633,7535.011929,31.55742199999986,LOSS,2018-04-25 10:55:00+02:00,7530.011929,-31.55742199999986,-31.55742199999986
2018-04-26,2018-04-26 08:10:00+02:00,SHORT,7700.776938,7708.695336,7657.000967,7703.111656,7657.000967,7703.695336,7.918397999999797,LOSS,2018-04-26 09:10:00+02:00,7708.695336,-7.918397999999797,-7.918397999999797
2018-04-27,2018-04-27 10:25:00+02:00,SHORT,7884.344175,7891.387054,7859.537792,7885.511535,7859.537792,7886.387054,7.04287899999963,WIN,2018-04-27 10:30:00+02:00,7859.537792,24.806383000000096,24.806383000000096
2018-04-30,2018-04-30 08:30:00+02:00,LONG,7816.92918,7807.843423,7844.186451,7835.898768,7814.010782,7812.843423,9.08575699999983,LOSS,2018-04-30 09:40:00+02:00,7807.843423,-9.08575699999983,-9.08575699999983
