Date,Entry_Time,Direction,Entry_Price,Exit_Time,Exit_Price,Exit_Type,PnL_Points
2018-01-02,2018-01-02 02:15:00,SHORT,7503.739664,2018-01-02 07:00:00,7535.66424,TIME_EXIT,-31.924576000000343
2018-01-03,2018-01-03 01:45:00,LONG,7645.203609,2018-01-03 07:00:00,7644.324951,TIME_EXIT,-0.8786580000005415
2018-01-04,2018-01-04 02:15:00,LONG,7732.776527,2018-01-04 07:00:00,7740.977335,TIME_EXIT,8.200807999999597
2018-01-05,2018-01-05 01:45:00,LONG,7747.420827,2018-01-05 07:00:00,7766.751304,TIME_EXIT,19.33047700000043
2018-01-09,2018-01-09 02:15:00,LONG,7841.730124,2018-01-09 07:00:00,7845.830528,TIME_EXIT,4.100404000000708
2018-01-10,2018-01-10 01:45:00,SHORT,7817.127699,2018-01-10 07:00:00,7791.353729,TIME_EXIT,25.77396999999928
2018-01-12,2018-01-12 01:00:00,LONG,7885.955912,2018-01-12 07:00:00,7892.985176,TIME_EXIT,7.029263999999785
2018-01-15,2018-01-15 02:00:00,SHORT,7941.89714,2018-01-15 07:00:00,7938.089622,TIME_EXIT,3.807517999999618
2018-01-16,2018-01-16 02:00:00,LONG,7963.863591,2018-01-16 07:00:00,7979.972322,TIME_EXIT,16.108730999999352
2018-01-17,2018-01-17 02:00:00,LONG,7936.625192,2018-01-17 07:00:00,7950.097949,TIME_EXIT,13.472756999999547
2018-01-19,2018-01-19 02:45:00,LONG,7997.545483,2018-01-19 07:00:00,8005.453405,TIME_EXIT,7.907922000000326
2018-01-23,2018-01-23 01:00:00,LONG,8141.938287,2018-01-23 07:00:00,8126.415329,TIME_EXIT,-15.522957999999562
2018-01-24,2018-01-24 01:00:00,LONG,8169.469573,2018-01-24 07:00:00,8174.448635,TIME_EXIT,4.9790619999994306
2018-01-25,2018-01-25 03:30:00,LONG,8141.645401,2018-01-25 07:00:00,8172.398433,TIME_EXIT,30.75303200000053
2018-01-26,2018-01-26 03:15:00,LONG,8150.724868,2018-01-26 07:00:00,8160.682992,TIME_EXIT,9.95812399999977
2018-01-29,2018-01-29 02:00:00,SHORT,8219.845967,2018-01-29 07:00:00,8213.109589,TIME_EXIT,6.736377999999604
2018-02-01,2018-02-01 03:15:00,SHORT,8160.390106,2018-02-01 07:00:00,8144.574262,TIME_EXIT,15.815843999999743
2018-02-02,2018-02-02 02:45:00,SHORT,8082.189541,2018-02-02 07:00:00,8056.122685,TIME_EXIT,26.06685599999946
2018-02-05,2018-02-05 01:00:00,LONG,7916.123171,2018-02-05 07:00:00,7859.59617,TIME_EXIT,-56.52700100000038
2018-02-06,2018-02-06 02:15:00,LONG,7595.705872,2018-02-06 05:30:00,7495.705872,CATASTROPHE_SL,-100.0
2018-02-07,2018-02-07 02:00:00,SHORT,7702.023495,2018-02-07 07:00:00,7777.295201,TIME_EXIT,-75.27170599999954
2018-02-08,2018-02-08 02:00:00,LONG,7718.717998,2018-02-08 07:00:00,7713.44605,TIME_EXIT,-5.2719480000005206
