Date,Entry_Time,Direction,Entry_Price,Exit_Time,Exit_Price,Exit_Type,PnL_Points,Risk_R
2018-01-02,2018-01-02 02:15:00,SHORT,7503.739664,2018-01-02 06:15:00,7527.706115,SL,-23.966451000000234,23.966451000000234
2018-01-03,2018-01-03 01:45:00,LONG,7645.203609,2018-01-03 07:00:00,7644.324951,FORCE_CLOSE,-0.8786580000005415,13.129668999999922
2018-01-04,2018-01-04 02:15:00,LONG,7732.776527,2018-01-04 07:00:00,7740.977335,FORCE_CLOSE,8.200807999999597,25.137995000000046
2018-01-05,2018-01-05 01:45:00,LONG,7747.420827,2018-01-05 07:00:00,7766.751304,FORCE_CLOSE,19.33047700000043,17.522957999999562
2018-01-09,2018-01-09 02:15:00,LONG,7841.730124,2018-01-09 07:00:00,7845.830528,FORCE_CLOSE,4.100404000000708,18.987388999999894
2018-01-10,2018-01-10 01:45:00,SHORT,7817.127699,2018-01-10 06:00:00,7781.496010999998,TP,35.631688000001304,17.815844000000652
2018-01-12,2018-01-12 01:00:00,LONG,7885.955912,2018-01-12 07:00:00,7892.985176,FORCE_CLOSE,7.029263999999785,17.81584500000008
2018-01-15,2018-01-15 02:00:00,SHORT,7941.89714,2018-01-15 07:00:00,7938.089622,FORCE_CLOSE,3.807517999999618,24.845108999999866
2018-01-16,2018-01-16 02:00:00,LONG,7963.863591,2018-01-16 07:00:00,7979.972322,FORCE_CLOSE,16.108730999999352,26.89531100000022
2018-01-17,2018-01-17 02:00:00,LONG,7936.625192,2018-01-17 07:00:00,7950.097949,FORCE_CLOSE,13.472756999999547,31.58148700000038
2018-01-19,2018-01-19 02:45:00,LONG,7997.545483,2018-01-19 07:00:00,8005.453405,FORCE_CLOSE,7.907922000000326,31.288601999999628
2018-01-23,2018-01-23 01:00:00,LONG,8141.938287,2018-01-23 05:00:00,8115.628748,SL,-26.30953899999986,26.30953899999986
2018-01-24,2018-01-24 01:00:00,LONG,8169.469573,2018-01-24 07:00:00,8174.448635,FORCE_CLOSE,4.9790619999994306,19.280275000000074
2018-01-25,2018-01-25 03:30:00,LONG,8141.645401,2018-01-25 07:00:00,8172.398433,FORCE_CLOSE,30.75303200000053,30.99571500000002
2018-01-26,2018-01-26 03:15:00,LONG,8150.724868,2018-01-26 07:00:00,8160.682992,FORCE_CLOSE,9.95812399999977,23.380678999999873
