Date,Direction,Entry_Price,SL,TP1,TP2,Scenario,Outcome,PnL,FVG_High,FVG_Low
2018-01-02,bearish,7512.819131,7494.74597,7518.676851,7525.706115,scenario_a,win,113.15439999999944,7511.940473,7511.3547
2018-01-02,bearish,7512.819131,7494.74597,7518.676851,7525.706115,scenario_c,win,54.57719999999972,7511.940473,7511.3547
2018-01-03,bullish,7643.153407,7652.439987,7639.1994455,7634.07394,scenario_a,win,75.07922999998846,7643.739179,7643.446293
2018-01-03,bullish,7643.153407,7652.439987,7639.1994455,7634.07394,scenario_c,win,35.53961499999423,7643.739179,7643.446293
2018-01-04,bullish,7730.433439,7735.033843,7720.3288715,7709.638532,scenario_a,loss,-96.00807999999597,7731.019211,7730.726325
2018-01-04,bullish,7730.433439,7735.033843,7720.3288715,7709.638532,scenario_b,loss,-96.00807999999597,7731.019211,7730.726325
2018-01-04,bullish,7730.433439,7735.033843,7720.3288715,7709.638532,scenario_c,loss,-96.00807999999597,7731.019211,7730.726325
2018-01-05,bullish,7751.228345,7769.301506,7739.366462,7731.897869,scenario_a,loss,-365.4632199999869,7752.39989,7751.814118
2018-01-05,bullish,7751.228345,7769.301506,7739.366462,7731.897869,scenario_b,loss,-365.4632199999869,7752.39989,7751.814118
2018-01-05,bullish,7751.228345,7769.301506,7739.366462,7731.897869,scenario_c,loss,-365.4632199999869,7752.39989,7751.814118
2018-01-08,bearish,7813.613066,7808.42689,7815.2239395,7820.642331,scenario_a,win,28.217469999995956,7813.32018,7812.734408
2018-01-08,bearish,7813.613066,7808.42689,7815.2239395,7820.642331,scenario_c,win,12.108734999997978,7813.32018,7812.734408
2018-01-09,bullish,7839.09415,7848.673616,7832.9435435,7824.742735,scenario_a,loss,-195.58932000000277,7839.972808,7839.387036
2018-01-09,bullish,7839.09415,7848.673616,7832.9435435,7824.742735,scenario_b,loss,-195.58932000000277,7839.972808,7839.387036
2018-01-09,bullish,7839.09415,7848.673616,7832.9435435,7824.742735,scenario_c,loss,-195.58932000000277,7839.972808,7839.387036
2018-01-10,bearish,7819.470787,7782.360035,7826.060722,7832.357771,scenario_a,win,127.79869999999937,7818.299243,7817.127699
2018-01-10,bearish,7819.470787,7782.360035,7826.060722,7832.357771,scenario_c,win,61.899349999999686,7818.299243,7817.127699
2018-01-11,bullish,7828.550253,7833.736429,7818.4456855,7807.46246,scenario_a,loss,-107.723519999985,7829.721797,7829.136025
2018-01-11,bullish,7828.550253,7833.736429,7818.4456855,7807.46246,scenario_b,loss,-107.723519999985,7829.721797,7829.136025
2018-01-11,bullish,7828.550253,7833.736429,7818.4456855,7807.46246,scenario_c,loss,-107.723519999985,7829.721797,7829.136025
2018-01-12,bullish,7878.633761,7901.97887,7876.2906729999995,7871.018725,scenario_a,win,42.86176000001069,7882.44128,7881.855507
2018-01-12,bullish,7878.633761,7901.97887,7876.2906729999995,7871.018725,scenario_c,win,19.430880000005345,7882.44128,7881.855507
2018-01-15,bearish,7950.683721,7939.93271,7955.2234535,7964.742249,scenario_a,loss,-219.0202200000058,7949.512177,7949.219291
2018-01-15,bearish,7950.683721,7939.93271,7955.2234535,7964.742249,scenario_b,loss,-219.0202200000058,7949.512177,7949.219291
2018-01-15,bearish,7950.683721,7939.93271,7955.2234535,7964.742249,scenario_c,loss,-219.0202200000058,7949.512177,7949.219291
2018-01-16,bullish,7960.348959,7986.915814,7950.6837205,7940.725596,scenario_a,win,189.3047699999952,7961.227617,7960.934731
2018-01-16,bullish,7960.348959,7986.915814,7950.6837205,7940.725596,scenario_c,win,92.6523849999976,7961.227617,7960.934731
2018-01-17,bullish,7934.282104,7948.254861,7922.2737775000005,7910.851223,scenario_a,win,236.1665299999877,7936.625192,7935.746534
2018-01-17,bullish,7934.282104,7948.254861,7922.2737775000005,7910.851223,scenario_c,win,116.08326499999384,7936.625192,7935.746534
2018-01-19,bullish,7991.687763,8028.798514,7982.31541,7968.256881,scenario_a,win,183.44705999999496,7994.909509,7993.152193
2018-01-19,bullish,7991.687763,8028.798514,7982.31541,7968.256881,scenario_c,win,89.72352999999748,7994.909509,7993.152193
2018-01-23,bullish,8139.009427,8152.103526,8128.3190875,8117.628748,scenario_a,win,209.80678999999873,8140.180971,8139.888085
2018-01-23,bullish,8139.009427,8152.103526,8128.3190875,8117.628748,scenario_c,win,102.90339499999936,8140.180971,8139.888085
2018-01-24,bullish,8163.611852,8185.199645,8158.486347,8152.189298,scenario_a,loss,-435.75585999999385,8168.298029,8166.540713
2018-01-24,bullish,8163.611852,8185.199645,8158.486347,8152.189298,scenario_b,loss,-435.75585999999385,8168.298029,8166.540713
2018-01-24,bullish,8163.611852,8185.199645,8158.486347,8152.189298,scenario_c,loss,-435.75585999999385,8168.298029,8166.540713
2018-01-25,bullish,8122.314925,8162.647422,8126.1224425,8115.871432,scenario_a,win,-80.15035000000717,8134.323251,8134.030365
2018-01-25,bullish,8122.314925,8162.647422,8126.1224425,8115.871432,scenario_b,win,124.86985999999524,8134.323251,8134.030365
2018-01-25,bullish,8122.314925,8162.647422,8126.1224425,8115.871432,scenario_c,win,22.35975499999404,8134.323251,8134.030365
2018-01-26,bullish,8147.796008,8166.454941,8139.5951995,8129.344189,scenario_a,loss,-377.1786599999941,8148.967552,8148.088894
2018-01-26,bullish,8147.796008,8166.454941,8139.5951995,8129.344189,scenario_b,loss,-377.1786599999941,8148.967552,8148.088894
2018-01-26,bullish,8147.796008,8166.454941,8139.5951995,8129.344189,scenario_c,loss,-377.1786599999941,8148.967552,8148.088894
2018-01-29,bearish,8231.561408,8201.187034,8242.691076,8256.163833,scenario_a,loss,-611.4874799999816,8230.096977,8229.511205
2018-01-29,bearish,8231.561408,8201.187034,8242.691076,8256.163833,scenario_b,loss,-611.4874799999816,8230.096977,8229.511205
2018-01-29,bearish,8231.561408,8201.187034,8242.691076,8256.163833,scenario_c,loss,-611.4874799999816,8230.096977,8229.511205
2018-02-01,bearish,8175.034407,8155.789702,8179.720583,8186.456961,scenario_a,loss,-388.89410000000134,8174.741521,8174.448635
2018-02-01,bearish,8175.034407,8155.789702,8179.720583,8186.456961,scenario_b,loss,-388.89410000000134,8174.741521,8174.448635
2018-02-01,bearish,8175.034407,8155.789702,8179.720583,8186.456961,scenario_c,loss,-388.89410000000134,8174.741521,8174.448635
2018-02-02,bearish,8076.038934,8033.656234,8117.4823049999995,8136.666339,scenario_a,loss,-851.6540000000023,8074.86739,8074.574504
2018-02-02,bearish,8076.038934,8033.656234,8117.4823049999995,8136.666339,scenario_b,loss,-851.6540000000023,8074.86739,8074.574504
2018-02-02,bearish,8076.038934,8033.656234,8117.4823049999995,8136.666339,scenario_c,loss,-851.6540000000023,8074.86739,8074.574504
2018-02-05,bullish,7902.9433,7923.945321,7889.031215,7871.311611,scenario_a,win,274.2416999999987,7909.972565,7907.922363
2018-02-05,bullish,7902.9433,7923.945321,7889.031215,7871.311611,scenario_c,win,135.12084999999934,7909.972565,7907.922363
2018-02-06,bullish,7542.400618,7661.226567,7450.2879665,7334.158662,scenario_a,win,1838.2530299999926,7545.329478,7543.572162
2018-02-06,bullish,7542.400618,7661.226567,7450.2879665,7334.158662,scenario_c,win,917.1265149999963,7545.329478,7543.572162
2018-02-07,bearish,7705.538127,7700.644837,7758.404053,7807.169574,scenario_a,loss,-101.86579999999958,7704.073697,7702.902153
2018-02-07,bearish,7705.538127,7700.644837,7758.404053,7807.169574,scenario_b,loss,-101.86579999999958,7704.073697,7702.902153
2018-02-07,bearish,7705.538127,7700.644837,7758.404053,7807.169574,scenario_c,loss,-101.86579999999958,7704.073697,7702.902153
2018-02-08,bullish,7711.395848,7729.176122,7680.2034875,7647.839583,scenario_a,win,619.8472100000035,7716.37491,7714.617594
2018-02-08,bullish,7711.395848,7729.176122,7680.2034875,7647.839583,scenario_c,win,307.92360500000177,7716.37491,7714.617594
2018-02-09,bullish,7441.647829,7473.193747,7413.823657999999,7367.254782,scenario_a,win,552.4834200000041,7444.283803,7442.233601
2018-02-09,bullish,7441.647829,7473.193747,7413.823657999999,7367.254782,scenario_c,win,274.24171000000206,7444.283803,7442.233601
2018-02-12,bullish,7568.467473,7614.071919,7549.2834395,7537.12867,scenario_a,win,379.6806699999943,7580.182914,7572.567877
2018-02-12,bullish,7568.467473,7614.071919,7549.2834395,7537.12867,scenario_c,win,187.84033499999714,7580.182914,7572.567877
2018-02-13,bearish,7638.174344,7605.456883,7652.525759,7675.370868,scenario_a,win,283.02830000000176,7636.709914,7636.124142
2018-02-13,bearish,7638.174344,7605.456883,7652.525759,7675.370868,scenario_c,win,139.51415000000088,7636.709914,7636.124142
2018-02-14,bullish,7646.082267,7735.619615,7685.6218785,7675.95664,scenario_a,win,-794.7922300000064,7696.751547,7696.458661
2018-02-14,bullish,7646.082267,7735.619615,7685.6218785,7675.95664,scenario_b,win,-601.4874600000112,7696.751547,7696.458661
2018-02-14,bullish,7646.082267,7735.619615,7685.6218785,7675.95664,scenario_c,loss,-698.1398450000088,7696.751547,7696.458661
2018-02-15,bullish,7885.37014,7896.706922,7858.5710695,7830.014683,scenario_a,loss,-230.73564000000624,7888.299,7887.127456
2018-02-15,bullish,7885.37014,7896.706922,7858.5710695,7830.014683,scenario_b,loss,-230.73564000000624,7888.299,7887.127456
2018-02-15,bullish,7885.37014,7896.706922,7858.5710695,7830.014683,scenario_c,loss,-230.73564000000624,7888.299,7887.127456
2018-02-16,bullish,8018.34039,8036.999323,8005.5998485,7991.980649,scenario_a,win,250.8108300000058,8018.926162,8018.633276
2018-02-16,bullish,8018.34039,8036.999323,8005.5998485,7991.980649,scenario_c,win,123.4054150000029,8018.926162,8018.633276
2018-02-19,bearish,7972.0644,7966.878223,7980.85098,7989.344674,scenario_a,win,171.73159999999916,7969.721312,7969.135539
2018-02-19,bearish,7972.0644,7966.878223,7980.85098,7989.344674,scenario_c,win,83.86579999999958,7969.721312,7969.135539
2018-02-20,bearish,7926.959954,7876.083559,7940.2862669999995,7959.177415,scenario_a,win,262.52625999999145,7925.78841,7924.616865
2018-02-20,bearish,7926.959954,7876.083559,7940.2862669999995,7959.177415,scenario_c,win,129.26312999999573,7925.78841,7924.616865
2018-02-22,bullish,7906.457933,7920.430689,7865.746777,7843.194554,scenario_a,loss,-283.45512000000235,7913.780083,7909.972565
2018-02-22,bullish,7906.457933,7920.430689,7865.746777,7843.194554,scenario_b,loss,-283.45512000000235,7913.780083,7909.972565
2018-02-22,bullish,7906.457933,7920.430689,7865.746777,7843.194554,scenario_c,loss,-283.45512000000235,7913.780083,7909.972565
2018-02-23,bullish,7972.357286,7998.338369,7962.3991614999995,7950.097949,scenario_a,win,195.162490000017,7976.164804,7974.99326
2018-02-23,bullish,7972.357286,7998.338369,7962.3991614999995,7950.097949,scenario_c,win,95.5812450000085,7976.164804,7974.99326
2018-02-26,bullish,8102.984448,8115.492774,8085.411286500001,8073.40296,scenario_a,loss,-254.1665200000025,8106.791966,8103.277334
2018-02-26,bullish,8102.984448,8115.492774,8085.411286500001,8073.40296,scenario_b,loss,-254.1665200000025,8106.791966,8103.277334
2018-02-26,bullish,8102.984448,8115.492774,8085.411286500001,8073.40296,scenario_c,loss,-254.1665200000025,8106.791966,8103.277334
2018-02-27,bearish,8187.628506,8174.827293,8198.611731,8211.352273,scenario_a,loss,-260.0242599999947,8185.578303,8185.285417
2018-02-27,bearish,8187.628506,8174.827293,8198.611731,8211.352273,scenario_b,loss,-260.0242599999947,8185.578303,8185.285417
2018-02-27,bearish,8187.628506,8174.827293,8198.611731,8211.352273,scenario_c,loss,-260.0242599999947,8185.578303,8185.285417
2018-03-01,bullish,8062.859064,8082.689541,8036.792208999999,8014.532872,scenario_a,win,517.3371000000188,8065.202152,8063.444836
2018-03-01,bullish,8062.859064,8082.689541,8036.792208999999,8014.532872,scenario_c,win,256.6685500000094,8065.202152,8063.444836
