date,type,entry_price,stop_loss,risk,tokyo_high,tokyo_low,tokyo_eq,sweep_extreme,tokyo_reference,sweep_depth,entry_datetime,outcome,profit_points
2018-01-03,short,7647.839583,7648.089583,0.25,7644.324951,7634.07394,7639.1994455,7651.939987,7644.324951,7.615036000000146,2018-01-03 03:25:00,loss,-0.25
2018-01-04,short,7727.797464,7730.390553,2.5930889999999636,7731.019211,7709.638532,7720.3288715,7734.533843,7731.019211,3.514632000000347,2018-01-04 02:50:00,loss,-2.5930889999999636
2018-01-08,long,7815.956154,7815.120382,0.835772000000361,7820.642331,7809.805548,7815.2239395,7808.92689,7809.805548,0.8786580000005415,2018-01-08 01:25:00,win,0.835772000000361
2018-01-09,short,7842.315896,7844.030326,1.714429999999993,7841.144352,7824.742735,7832.9435435,7846.4163,7841.144352,5.271947999999611,2018-01-09 03:25:00,loss,-1.714429999999993
2018-01-10,long,7818.299243,7818.049243,0.25,7832.357771,7819.763673,7826.060722,7813.027294,7819.763673,6.736378999999943,2018-01-10 03:15:00,loss,-0.25
2018-01-11,short,7827.085823,7827.628709,0.542885999999271,7829.428911,7807.46246,7818.4456855,7833.236429,7829.428911,3.807517999999618,2018-01-11 03:15:00,win,0.542885999999271
2018-01-12,short,7893.863834,7895.87115,2.0073160000001735,7881.562621,7871.018725,7876.2906729999995,7901.47887,7881.562621,19.91624899999988,2018-01-12 03:30:00,win,2.0073160000001735
2018-01-15,long,7950.097949,7947.797747,2.300202000000354,7964.742249,7945.704658,7955.2234535,7940.43271,7945.704658,5.271947999999611,2018-01-15 02:00:00,loss,-2.300202000000354
2018-01-16,short,7963.277819,7964.113591,0.835772000000361,7960.641845,7940.725596,7950.6837205,7977.336348,7960.641845,16.694502999999713,2018-01-16 02:45:00,loss,-0.835772000000361
2018-01-22,short,8012.189783,8013.318442,1.1286589999999705,8017.168846,8002.817431,8009.9931385,8022.440794,8017.168846,5.2719480000005206,2018-01-22 01:45:00,win,1.1286589999999705
2018-01-23,short,8141.645401,8143.652717,2.0073160000001735,8139.009427,8117.628748,8128.3190875,8151.603526,8139.009427,12.594098999999915,2018-01-23 02:10:00,loss,-2.0073160000001735
2018-01-24,short,8167.419371,8168.255143,0.835772000000361,8164.783396,8152.189298,8158.486347,8177.377495,8164.783396,12.594098999999915,2018-01-24 01:30:00,win,0.835772000000361
2018-01-25,long,8127.001101,8123.529355,3.4717460000001665,8136.373453,8115.871432,8126.1224425,8112.3568,8115.871432,3.514632000000347,2018-01-25 02:25:00,win,3.4717460000001665
2018-01-29,long,8223.946371,8223.110599,0.835772000000361,8256.163833,8229.218319,8242.691076,8204.615894,8229.218319,24.60242499999913,2018-01-29 02:35:00,loss,-0.835772000000361
2018-02-01,long,8177.377495,8173.905749,3.4717460000001665,8186.456961,8172.984205,8179.720583,8157.461246,8172.984205,15.5229589999999,2018-02-01 02:00:00,loss,-3.4717460000001665
2018-02-05,short,7912.608539,7915.787399,3.178859999999986,7906.750819,7871.311611,7889.031215,7923.445321,7906.750819,16.694502000000284,2018-02-05 01:45:00,loss,-3.178859999999986
2018-02-06,short,7600.684935,7601.227821,0.5428860000001805,7566.417271,7334.158662,7450.2879665,7660.726567,7566.417271,94.30929599999945,2018-02-06 03:50:00,loss,-0.5428860000001805
2018-02-07,long,7743.906195,7730.476325,13.429869999999937,7807.169574,7709.638532,7758.404053,7701.144837,7709.638532,8.493695000000116,2018-02-07 01:20:00,loss,-13.429869999999937
2018-02-08,short,7712.274506,7713.988936,1.714429999999993,7712.567392,7647.839583,7680.2034875,7728.676122,7712.567392,16.108729999999923,2018-02-08 02:35:00,loss,-1.714429999999993
2018-02-09,short,7446.919778,7448.927094,2.007315999999264,7460.392534,7367.254782,7413.823657999999,7472.693747,7460.392534,12.301213000000644,2018-02-09 02:15:00,loss,-2.007315999999264
2018-02-12,long,7554.116058,7553.573172,0.542885999999271,7561.438209,7537.12867,7549.2834395,7533.906924,7537.12867,3.2217460000001665,2018-02-12 01:35:00,loss,-0.542885999999271
2018-02-13,long,7626.166018,7617.129437,9.036581000000297,7675.370868,7629.68065,7652.525759,7605.956883,7629.68065,23.723767000000407,2018-02-13 02:20:00,loss,-9.036581000000297
2018-02-14,short,7726.918806,7729.219008,2.300202000000354,7695.287117,7675.95664,7685.6218785,7735.119615,7695.287117,39.83249799999976,2018-02-14 02:05:00,loss,-2.300202000000354
2018-02-15,short,7875.704901,7877.126445,1.4215439999998125,7887.127456,7830.014683,7858.5710695,7896.206922,7887.127456,9.079466000000139,2018-02-15 01:40:00,loss,-1.4215439999998125
2018-02-22,short,7879.512419,7883.277052,3.7646330000006856,7888.299,7843.194554,7865.746777,7893.278062,7888.299,4.97906200000034,2018-02-22 01:20:00,win,3.7646330000006856
2018-02-23,short,7982.022524,7985.49427,3.4717460000001665,7974.700374,7950.097949,7962.3991614999995,7997.838369,7974.700374,23.137995000000046,2018-02-23 02:15:00,win,3.4717460000001665
2018-02-26,short,8089.511691,8091.519007,2.0073160000001735,8097.419613,8073.40296,8085.411286500001,8114.992774,8097.419613,17.573161000000255,2018-02-26 01:15:00,loss,-2.0073160000001735
2018-02-27,long,8183.528101,8180.935013,2.593087999999625,8211.352273,8185.871189,8198.611731,8175.327293,8185.871189,10.543896000000132,2018-02-27 03:55:00,win,2.593087999999625
2018-03-01,short,8067.838126,8070.431214,2.5930880000005345,8059.051546,8014.532872,8036.792208999999,8082.189541,8059.051546,23.137995000000046,2018-03-01 02:05:00,loss,-2.5930880000005345
2018-03-02,long,7936.625192,7928.760156,7.865036000000146,7941.018482,7897.378466,7919.198474000001,7889.177658,7897.378466,8.200808000000507,2018-03-02 02:20:00,loss,-7.865036000000146
2018-03-05,long,7921.980891,7914.701627,7.279263999999785,7979.093664,7924.031093,7951.5623785,7899.135782,7924.031093,24.89531099999931,2018-03-05 02:10:00,win,7.279263999999785
2018-03-06,short,8080.725111,8083.611085,2.8859739999998055,8076.038934,8058.172888,8067.105911000001,8094.490753,8076.038934,18.451818999999887,2018-03-06 02:45:00,loss,-2.8859739999998055
2018-03-08,short,8130.222847,8132.230163,2.0073160000001735,8125.243785,8103.863106,8114.5534455,8140.473857,8125.243785,15.230072000000291,2018-03-08 03:45:00,win,2.0073160000001735
2018-03-12,short,8366.171694,8371.67481,5.503115999999864,8373.175849,8340.197951,8356.6869,8378.137126,8373.175849,4.961277000000337,2018-03-12 03:10:00,win,5.503115999999864
2018-03-14,short,8243.015296,8244.140815,1.125519000001077,8251.186811,8221.127311,8236.157061,8306.928213,8251.186811,55.74140199999965,2018-03-14 01:35:00,loss,-1.125519000001077
2018-03-15,short,8256.148087,8257.857286,1.7091990000008082,8258.482806,8203.325082,8230.903944,8261.401204,8258.482806,2.9183979999997973,2018-03-15 03:00:00,win,1.7091990000008082
2018-03-16,long,8249.143932,8240.430578,8.713354000001345,8266.070641,8236.011141,8251.040891,8231.633544,8236.011141,4.3775970000006055,2018-03-16 03:35:00,win,8.713354000001345
2018-03-19,long,8157.214393,8154.045995,3.1683979999997973,8219.959951,8173.265583,8196.612767,8087.46468,8173.265583,85.80090300000029,2018-03-19 02:05:00,loss,-3.1683979999997973
2018-03-20,short,8056.529661,8059.698059,3.168398000000707,8060.031738,8032.890636,8046.461187,8065.284855,8060.031738,5.253117000000202,2018-03-20 02:05:00,loss,-3.168398000000707
2018-03-21,long,8074.623728,8068.536932,6.086795999999595,8082.211563,8064.409335,8073.3104490000005,8042.52135,8064.409335,21.8879850000003,2018-03-21 01:50:00,loss,-6.086795999999595
