date,type,entry_price,stop_loss,risk,tokyo_high,tokyo_low,tokyo_eq,sweep_extreme,tokyo_reference,sweep_depth,entry_datetime,outcome,profit_points
2024-04-23,short,18380.65995,18383.0251,2.3651499999978114,18340.736479,18287.064529,18313.900503999997,18403.39782,18340.736479,62.661340999999084,2024-04-23 03:40:00,loss,-2.3651499999978114
2024-04-25,long,18441.470534,18431.966749,9.50378500000079,18501.75233,18452.839469,18477.2958995,18409.478879,18452.839469,43.36059000000023,2024-04-25 01:45:00,win,9.50378500000079
2024-04-26,short,18781.216621,18797.330252,16.11363100000017,18810.564338,18763.766628,18787.165483,18818.231759,18810.564338,7.667420999998285,2024-04-26 02:00:00,win,16.11363100000017
2024-04-29,short,18935.093838,18937.458989,2.36515099999815,18948.31353,18903.630971,18925.9722505,18954.658982,18948.31353,6.345452000001387,2024-04-29 01:30:00,win,2.36515099999815
2024-04-30,long,18938.530958,18936.958989,1.5719690000005357,18952.015044,18927.69081,18939.852927,18899.136275,18927.69081,28.554534999999305,2024-04-30 01:40:00,loss,-1.5719690000005357
2024-05-01,long,18490.912182,18481.672791,9.23939099999916,18538.503074,18506.511419,18522.507246499998,18459.184921,18506.511419,47.32649799999854,2024-05-01 02:05:00,win,9.23939099999916
2024-05-02,short,18546.434889,18549.857615,3.4227260000006936,18572.345486,18525.283382,18548.814434,18613.062137,18572.345486,40.71665100000246,2024-05-02 01:45:00,win,3.4227260000006936
2024-05-03,long,18768.525717,18761.665871,6.859845999999379,18811.093126,18758.743145,18784.9181355,18739.706788,18758.743145,19.036357000000862,2024-05-03 02:55:00,win,6.859845999999379
2024-05-06,short,19040.058194,19054.585461,14.527266999997664,19051.691523,19025.252138,19038.4718305,19074.958181,19051.691523,23.26665800000046,2024-05-06 02:50:00,loss,-14.527266999997664
2024-05-07,short,19217.99525,19220.3604,2.3651500000014494,19237.560394,19214.822524,19226.191459,19244.17024,19237.560394,6.609845999999379,2024-05-07 02:40:00,win,2.3651500000014494
2024-05-08,long,19248.664936,19246.035391,2.62954499999978,19264.264172,19232.536911,19248.4005415,19232.008123,19232.536911,0.5287879999996221,2024-05-08 01:40:00,loss,-2.62954499999978
2024-05-09,long,19198.165712,19197.12253,1.0431820000012522,19223.283127,19193.671016,19208.477071499998,19163.265724,19193.671016,30.405291999999463,2024-05-09 02:10:00,loss,-1.0431820000012522
2024-05-10,short,19304.980824,19312.105064,7.124240000001009,19284.622498,19262.149021,19273.3857595,19344.6399,19284.622498,60.017401999997674,2024-05-10 02:30:00,win,7.124240000001009
2024-05-13,short,19346.755051,19349.64899,2.89393900000141,19340.409599,19288.059618,19314.2346085,19354.422473,19340.409599,14.01287400000001,2024-05-13 01:15:00,win,2.89393900000141
2024-05-14,short,19344.375507,19348.32702,3.951512999999977,19342.789144,19314.234609,19328.5118765,19362.618682,19342.789144,19.829538000001776,2024-05-14 02:45:00,loss,-3.951512999999977
2024-05-15,long,19477.36561,19466.011068,11.354542000000947,19499.839086,19459.122434,19479.48076,19451.983801,19459.122434,7.138633000002301,2024-05-15 02:00:00,loss,-11.354542000000947
2024-05-16,long,19798.339735,19793.859433,4.480301999999938,19817.640485,19790.407919,19804.024202,19783.004892,19790.407919,7.403027000000293,2024-05-16 01:45:00,loss,-4.480301999999938
2024-05-17,short,19738.586726,19740.951877,2.36515099999815,19741.759452,19717.964006,19729.861728999997,19749.691268,19741.759452,7.9318160000002536,2024-05-17 01:50:00,win,2.36515099999815
2024-05-20,long,19747.576117,19743.624603,3.9515140000003157,19754.714751,19732.770062,19743.7424065,19728.53976,19732.770062,4.230301999999938,2024-05-20 01:40:00,loss,-3.9515140000003157
2024-05-21,short,19825.5723,19829.788208,4.215908000001946,19839.585174,19820.02003,19829.802602,19843.551082,19839.585174,3.9659080000019458,2024-05-21 01:45:00,win,4.215908000001946
2024-05-22,long,19890.348792,19880.845007,9.50378500000079,19907.798786,19889.291217,19898.545001500002,19867.610921,19889.291217,21.680296000002272,2024-05-22 03:00:00,loss,-9.50378500000079
2024-05-24,long,19792.787464,19792.008676,0.7787879999996221,19809.70867,19770.313987,19790.0113285,19758.416264,19770.313987,11.89772300000186,2024-05-24 03:15:00,win,0.7787879999996221
2024-05-28,short,20005.09572,20014.863898,9.768177999998443,20021.752532,19972.310883,19997.0317075,20071.987362,20021.752532,50.23483000000124,2024-05-28 02:30:00,loss,-9.768177999998443
2024-05-29,long,19971.517702,19969.945732,1.5719700000008743,20025.189652,19960.941948,19993.0658,19884.796521,19960.941948,76.14542699999947,2024-05-29 02:20:00,loss,-1.5719700000008743
