entry_datetime,entry_price,position_type,stop_loss,take_profit,exit_datetime,exit_price,exit_reason,pnl
2018-04-19 02:10:00,7991.741224,short,7999.620899,7983.861549000001,2018-04-19 02:25:00,7999.620899,stop_loss,-7.879674999999224
2018-05-04 05:45:00,7759.436739,short,7773.15321,7745.720267999999,2018-05-07 02:00:00,7773.15321,stop_loss,-13.716471000000638
2018-06-01 02:05:00,8166.553267,short,8178.518699,8154.587835,2018-06-01 04:40:00,8178.518699,stop_loss,-11.965431999999964
2018-11-23 02:20:00,7597.711129,long,7573.653981,7621.768277,2018-11-23 04:50:00,7573.653981,stop_loss,-24.05714799999987
2018-11-27 02:15:00,7695.388947,short,7729.300831,7661.477063000001,2018-11-27 03:05:00,7729.300831,stop_loss,-33.91188399999919
2019-01-28 02:25:00,7791.452439,short,7811.374258,7771.5306199999995,2019-01-29 02:00:00,7771.5306199999995,take_profit,19.92181900000014
2019-06-27 04:50:00,8796.140745,short,8845.431688,8746.849802,2019-07-01 02:00:00,8845.431688,stop_loss,-49.29094299999997
2019-09-11 02:15:00,8957.482611,short,8975.823427,8939.141795,2019-09-11 02:45:00,8975.823427,stop_loss,-18.340815999999904
2019-10-25 02:10:00,9075.817436,short,9085.821959,9065.812912999998,2019-10-28 02:00:00,9085.821959,stop_loss,-10.004523000001427
2019-11-11 03:00:00,9399.963981,short,9414.542001,9385.385961000002,2019-11-12 02:00:00,9414.542001,stop_loss,-14.578019999999015
2019-12-02 05:10:00,9642.073438,short,9657.794832,9626.352044,2019-12-02 05:35:00,9626.352044,take_profit,15.721394000000146
2020-01-06 02:25:00,9986.025801,short,10009.112572,9962.93903,2020-01-06 02:45:00,9962.93903,take_profit,23.086771000000226
2020-02-06 02:25:00,10759.290101,short,10776.391412,10742.18879,2020-02-06 03:20:00,10742.18879,take_profit,17.10131100000035
2020-04-03 02:15:00,8599.269097,short,8646.908106,8551.630088,2020-04-03 02:40:00,8646.908106,stop_loss,-47.63900900000044
2020-05-29 02:45:00,10729.331872,short,10782.676152,10675.987592000001,2020-06-01 02:00:00,10782.676152,stop_loss,-53.344279999999344
2020-06-24 02:35:00,11643.778774,short,11691.197136,11596.360412,2020-06-24 03:05:00,11596.360412,take_profit,47.41836200000034
2020-08-06 02:10:00,12695.552324,long,12664.130518,12726.97413,2020-08-06 03:40:00,12664.130518,stop_loss,-31.421806000000288
2020-08-28 02:05:00,13661.630039,short,13693.337498,13629.922579999999,2020-08-28 02:30:00,13629.922579999999,take_profit,31.70745900000111
2020-10-05 05:45:00,12977.952817,long,12961.652449,12994.253185,2020-10-05 05:55:00,12994.253185,take_profit,16.300368000000162
2020-11-11 02:05:00,13297.954782,long,13259.92059,13335.988974000002,2020-11-11 02:30:00,13335.988974000002,take_profit,38.034192000000985
2020-11-24 02:35:00,13665.713967,short,13697.742761,13633.685173,2020-11-25 02:00:00,13697.742761,stop_loss,-32.028793999999834
2020-11-27 02:05:00,13951.685339,long,13937.386771,13965.983907,2020-11-27 04:15:00,13937.386771,stop_loss,-14.29856800000016
2020-12-07 02:10:00,14308.005669,short,14334.029064,14281.982274,2020-12-07 02:40:00,14281.982274,take_profit,26.023395000000164
2020-12-30 03:00:00,14724.989886,short,14739.852642,14710.127129999999,2020-12-30 04:05:00,14739.852642,stop_loss,-14.862756000000445
2021-05-26 02:10:00,15660.347887,short,15689.807211,15630.888563,2021-05-27 02:00:00,15630.888563,take_profit,29.45932399999947
2021-08-16 05:15:00,17262.805694,short,17292.570139,17233.041248999998,2021-08-18 02:00:00,17233.041248999998,take_profit,29.764445000000705
2021-10-18 03:00:00,17280.600675,long,17244.23252,17316.96883,2021-10-18 05:10:00,17244.23252,stop_loss,-36.368155000000115
2022-01-07 02:30:00,17975.031972,short,18031.159203,17918.904741000002,2022-01-07 03:25:00,18031.159203,stop_loss,-56.127230999998574
2022-03-11 02:15:00,15517.174725,short,15590.197397,15444.152053000002,2022-03-11 02:45:00,15590.197397,stop_loss,-73.02267199999915
2022-04-08 04:00:00,16693.842024,short,16751.687435,16635.996613000003,2022-04-11 02:00:00,16635.996613000003,take_profit,57.84541099999842
2022-04-13 02:05:00,16062.124316,short,16114.242459,16010.006173,2022-04-13 02:45:00,16114.242459,stop_loss,-52.11814299999969
2022-06-02 04:00:00,14454.480067,long,14450.184616,14458.775518,2022-06-02 04:05:00,14458.775518,take_profit,4.295450999999957
2022-11-18 02:15:00,13263.154304,short,13310.579509,13215.729099,2022-11-18 02:55:00,13310.579509,stop_loss,-47.42520499999955
2023-01-10 03:10:00,12548.635522,short,12575.909663,12521.361381,2023-01-10 03:35:00,12575.909663,stop_loss,-27.274140999999872
2023-01-17 05:50:00,13008.921801,long,12997.955909,13019.887693,2023-01-18 02:00:00,13019.887693,take_profit,10.965892000000167
2023-02-28 02:50:00,13568.182283,long,13535.284607,13601.079959,2023-02-28 04:35:00,13601.079959,take_profit,32.8976760000005
2023-03-01 03:00:00,13635.664694,long,13587.302299,13684.027088999997,2023-03-02 02:00:00,13587.302299,stop_loss,-48.36239499999829
2023-03-13 02:10:00,13548.781089,short,13591.238773,13506.323405000001,2023-03-13 03:05:00,13506.323405000001,take_profit,42.45768399999906
2023-04-11 02:15:00,14643.02174,short,14661.947565,14624.095915,2023-04-11 02:25:00,14661.947565,stop_loss,-18.92582500000026
2023-05-02 02:15:00,14820.033863,short,14845.36107,14794.706656,2023-05-03 02:00:00,14794.706656,take_profit,25.32720700000027
2023-07-25 02:05:00,17137.329414,short,17153.5543,17121.104528,2023-07-25 03:00:00,17153.5543,stop_loss,-16.22488599999997
2023-09-25 02:10:00,16217.147926,long,16197.86992,16236.425932,2023-09-25 03:10:00,16197.86992,stop_loss,-19.27800600000046
2023-10-02 03:55:00,16254.074812,short,16284.213668,16223.935956000001,2023-10-02 04:45:00,16223.935956000001,take_profit,30.138855999999578
2023-11-09 02:10:00,16686.608116,short,16709.415899,16663.800333,2023-11-09 02:35:00,16709.415899,stop_loss,-22.8077830000002
2023-12-04 02:20:00,17336.086875,long,17315.994305,17356.179445,2023-12-04 02:30:00,17356.179445,take_profit,20.092570000000705
2024-07-16 05:25:00,21530.07952,long,21497.983241,21562.175798999997,2024-07-17 02:00:00,21497.983241,stop_loss,-32.096278999997594
2024-07-26 02:10:00,19963.363597,long,19920.307613,20006.419581,2024-07-26 03:10:00,20006.419581,take_profit,43.055983999998716
2024-08-30 02:05:00,20321.902517,short,20339.124911,20304.680123,2024-08-30 02:15:00,20339.124911,stop_loss,-17.22239400000035
2024-11-27 02:20:00,21593.694133,short,21642.949469,21544.438797000003,2024-11-28 02:00:00,21544.438797000003,take_profit,49.25533599999835
2025-01-23 02:30:00,22568.886448,short,22596.980283,22540.792613,2025-01-23 02:50:00,22540.792613,take_profit,28.09383499999967
2025-03-05 05:50:00,21092.80024,short,21194.092693,20991.507787000002,2025-03-06 05:00:00,20991.507787000002,take_profit,101.2924529999982
2025-06-10 02:35:00,22215.334704,short,22265.064818,22165.604590000003,2025-06-10 04:05:00,22265.064818,stop_loss,-49.73011399999814
2025-07-07 03:25:00,23148.258899,short,23176.536207,23119.981591,2025-07-07 04:50:00,23176.536207,stop_loss,-28.27730800000063
2025-07-22 03:20:00,23515.106477,short,23548.938256,23481.274698,2025-07-23 02:30:00,23481.274698,take_profit,33.8317790000001
2025-07-25 02:20:00,23600.443353,short,23625.69095,23575.195755999997,2025-07-28 02:00:00,23625.69095,stop_loss,-25.247597000001406
2025-10-30 02:10:00,26267.25,long,26190.0,26344.5,2025-10-31 02:00:00,26190.0,stop_loss,-77.25
