RR_Ratio;Total_Trades;Wins;Losses;Open;Win_Rate;Expected_Value
1.0;813;428;385;0;52.64452644526445;0.052890528905289
1.5;813;356;455;2;43.788437884378844;0.09717097170971711
2.0;813;295;512;6;36.28536285362854;0.09594095940959413
2.5;813;255;548;10;31.365313653136536;0.11008610086100867
3.0;813;222;569;22;27.30627306273063;0.11931119311193117
3.5;813;197;586;30;24.231242312423124;0.12730627306273057
4.0;813;174;598;41;21.40221402214022;0.12054120541205404
4.5;813;156;606;51;19.18819188191882;0.11808118081180818
5.0;813;140;610;63;17.22017220172202;0.11070110701107005
