entry_time,entry_price,direction,stop_loss,take_profit,session,fvg_created_at,entry_index,outcome,exit_time,exit_price,pnl
2018-01-11 08:43:00,8093.92604,SHORT,8110.157369,8077.694711000001,New York,2018-01-11 08:31:00,9518,Win,2018-01-11 08:46:00,8077.694711000001,16.231328999999278
2018-01-15 01:17:00,7948.340633,SHORT,7949.512177,7947.169089,London,2018-01-15 01:08:00,10850,Win,2018-01-15 01:19:00,7947.169089,1.1715439999998125
2018-01-15 08:35:00,7940.725596,LONG,7938.96828,7942.482912,New York,2018-01-15 08:32:00,11287,Loss,2018-01-15 08:43:00,7938.96828,-1.7573160000001735
2018-01-16 01:10:00,7958.005871,SHORT,7958.298757,7957.712985000001,London,2018-01-16 01:06:00,11977,Win,2018-01-16 01:11:00,7957.712985000001,0.292885999999271
2018-01-16 08:57:00,8012.482669,SHORT,8013.654214,8011.311124,New York,2018-01-16 08:54:00,12444,Win,2018-01-16 08:58:00,8011.311124,1.171545000000151
2018-01-17 01:29:00,7927.545726,SHORT,7930.767472,7924.32398,London,2018-01-17 01:24:00,13361,Win,2018-01-17 01:40:00,7924.32398,3.2217460000001665
2018-01-17 08:36:00,7933.11056,LONG,7921.688005,7944.533115,New York,2018-01-17 08:35:00,13788,Loss,2018-01-17 08:40:00,7921.688005,-11.422555000000102
2018-01-18 01:25:00,7987.294472,SHORT,7991.394877,7983.194066999999,London,2018-01-18 01:02:00,14722,Loss,2018-01-18 01:48:00,7991.394877,-4.100405000000137
2018-01-18 08:43:00,7987.587358,SHORT,7993.445079,7981.7296369999995,New York,2018-01-18 08:37:00,15160,Win,2018-01-18 08:52:00,7981.7296369999995,5.857721000000311
2018-01-19 01:13:00,7983.77984,SHORT,7984.658498,7982.9011820000005,London,2018-01-19 01:12:00,16074,Loss,2018-01-19 01:15:00,7984.658498,-0.878657999999632
2018-01-19 08:36:00,8019.80482,LONG,8013.068442,8026.541198000001,New York,2018-01-19 08:34:00,16517,Win,2018-01-19 08:38:00,8026.541198000001,6.736378000000514
2018-01-22 01:08:00,8016.583074,LONG,8015.997302,8017.1688460000005,London,2018-01-22 01:04:00,17429,Loss,2018-01-22 01:09:00,8015.997302,-0.585772000000361
2018-01-22 08:39:00,8013.068442,SHORT,8018.926162,8007.210722,New York,2018-01-22 08:37:00,17879,Loss,2018-01-22 08:43:00,8018.926162,-5.857719999999972
2018-01-23 01:21:00,8142.524059,LONG,8141.645401,8143.402717000001,London,2018-01-23 01:20:00,18806,Loss,2018-01-23 01:32:00,8141.645401,-0.8786580000005415
2018-01-23 08:55:00,8146.038692,SHORT,8154.532386,8137.544998,New York,2018-01-23 08:46:00,19260,Win,2018-01-23 08:56:00,8137.544998,8.493693999999778
2018-01-24 01:14:00,8169.469573,SHORT,8170.348231,8168.590915000001,London,2018-01-24 01:11:00,20159,Loss,2018-01-24 01:19:00,8170.348231,-0.878657999999632
2018-01-24 08:42:00,8177.670381,LONG,8173.862863,8181.4778989999995,New York,2018-01-24 08:38:00,20606,Win,2018-01-24 08:43:00,8181.4778989999995,3.807517999999618
2018-01-25 01:18:00,8123.779355,SHORT,8124.072241,8123.4864689999995,London,2018-01-25 01:12:00,21523,Loss,2018-01-25 01:19:00,8124.072241,-0.2928860000001805
2018-01-25 08:36:00,8171.226889,LONG,8161.56165,8180.8921279999995,New York,2018-01-25 08:32:00,21961,Loss,2018-01-25 08:38:00,8161.56165,-9.665238999999929
2018-01-26 01:16:00,8143.98849,LONG,8143.109831,8144.867149,London,2018-01-26 01:15:00,22883,Win,2018-01-26 01:17:00,8144.867149,0.8786589999999705
2018-01-26 08:35:00,8157.754132,LONG,8150.139096,8165.369168,New York,2018-01-26 08:31:00,23322,Loss,2018-01-26 08:38:00,8150.139096,-7.615036000000146
2018-01-29 01:10:00,8231.854294,SHORT,8233.318724,8230.389864,London,2018-01-29 01:09:00,24241,Loss,2018-01-29 01:19:00,8233.318724,-1.464429999999993
2018-01-29 08:36:00,8209.009184,LONG,8197.879516,8220.138852,New York,2018-01-29 08:34:00,24687,Win,2018-01-29 08:40:00,8220.138852,11.129667999999583
2018-01-30 01:17:00,8152.77507,SHORT,8156.875474,8148.674665999999,London,2018-01-30 01:07:00,25613,Win,2018-01-30 01:19:00,8148.674665999999,4.100404000000708
2018-01-30 08:39:00,8130.515733,SHORT,8138.130769,8122.900697,New York,2018-01-30 08:36:00,26055,Loss,2018-01-30 08:43:00,8138.130769,-7.615036000000146
2018-01-31 01:02:00,8148.088894,LONG,8146.91735,8149.260438000001,London,2018-01-31 01:00:00,26962,Win,2018-01-31 01:03:00,8149.260438000001,1.171544000000722
2018-01-31 08:41:00,8181.185013,SHORT,8185.871189,8176.498837,New York,2018-01-31 08:37:00,27421,Loss,2018-01-31 08:42:00,8185.871189,-4.6861760000001595
2018-02-01 01:21:00,7520.727053,LONG,7519.555509,7521.898596999999,London,2018-02-01 01:18:00,28344,Loss,2018-02-01 01:23:00,7519.555509,-1.1715439999998125
2018-02-01 08:58:00,7585.454862,LONG,7580.4758,7590.433923999999,New York,2018-02-01 08:56:00,28801,Win,2018-02-01 08:59:00,7590.433923999999,4.9790619999994306
2018-02-02 01:09:00,8124.950899,SHORT,8125.829557,8124.072241000001,London,2018-02-02 01:02:00,29671,Win,2018-02-02 01:10:00,8124.072241000001,0.878657999999632
2018-02-02 08:39:00,8060.808862,SHORT,8072.524302,8049.093422,New York,2018-02-02 08:35:00,30121,Win,2018-02-02 08:44:00,8049.093422,11.715439999999944
2018-02-03 01:03:00,7930.474586,SHORT,7932.524788,7928.424384000001,London,2018-02-03 01:01:00,30610,Loss,2018-02-03 01:04:00,7932.524788,-2.0502019999994445
2018-02-03 08:37:00,7816.24904,SHORT,7830.307569,7802.190511,New York,2018-02-03 08:31:00,31064,Loss,2018-02-03 08:39:00,7830.307569,-14.058528999999908
2018-02-04 01:14:00,7652.62337,LONG,7650.580492,7654.666248,London,2018-02-04 01:12:00,31566,Win,2018-02-04 01:21:00,7654.666248,2.0428780000002007
2018-02-04 08:40:00,7649.121293,SHORT,7660.794885,7637.447701,New York,2018-02-04 08:37:00,32012,Win,2018-02-04 08:42:00,7637.447701,11.673592000000099
2018-02-05 01:13:00,7838.233486,LONG,7836.482447,7839.984525,London,2018-02-05 01:10:00,32929,Loss,2018-02-05 01:16:00,7836.482447,-1.7510389999997642
2018-02-05 08:42:00,7792.706477,LONG,7783.075763,7802.337191,New York,2018-02-05 08:38:00,33378,Win,2018-02-05 08:44:00,7802.337191,9.630713999999898
2018-02-07 01:20:00,8180.502235,SHORT,8182.829298,8178.175172,London,2018-02-07 01:01:00,34300,Win,2018-02-07 01:21:00,8178.175172,2.3270629999997254
2018-02-07 08:34:00,8145.596276,LONG,8139.487733,8151.7048190000005,New York,2018-02-07 08:32:00,34734,Win,2018-02-07 08:35:00,8151.7048190000005,6.108543000000282
2018-02-08 01:09:00,8446.660167,LONG,8445.205752,8448.114582,London,2018-02-08 01:06:00,35650,Win,2018-02-08 01:10:00,8448.114582,1.4544150000001537
2018-02-08 09:45:00,8493.783211,SHORT,8499.019105,8488.547317,New York,2018-02-08 09:39:00,36166,Loss,2018-02-08 09:49:00,8499.019105,-5.235893999999462
2018-02-10 01:04:00,8880.565799,LONG,8878.826728,8882.30487,London,2018-02-10 01:03:00,37425,Loss,2018-02-10 01:05:00,8878.826728,-1.7390709999999672
2018-02-10 08:42:00,8877.087657,LONG,8865.783696,8888.391618,New York,2018-02-10 08:38:00,37883,Win,2018-02-10 08:46:00,8888.391618,11.303960999999617
2018-02-11 01:11:00,8237.399393,LONG,8233.921251,8240.877535,London,2018-02-11 01:10:00,38792,Win,2018-02-11 01:12:00,8240.877535,3.4781419999999343
2018-02-11 08:49:00,8203.777355,SHORT,8211.313329,8196.241381,New York,2018-02-11 08:44:00,39250,Win,2018-02-11 08:50:00,8196.241381,7.535974000000351
2018-02-13 01:10:00,7636.709914,LONG,7634.07394,7639.345888,London,2018-02-13 01:00:00,40156,Win,2018-02-13 01:11:00,7639.345888,2.6359739999998055
2018-02-13 08:35:00,7594.534328,SHORT,7610.350173,7578.718483,New York,2018-02-13 08:32:00,40601,Loss,2018-02-13 08:36:00,7610.350173,-15.815845000000081
2018-02-14 01:13:00,7701.144837,LONG,7699.973293,7702.316381,London,2018-02-14 01:11:00,41523,Loss,2018-02-14 01:14:00,7699.973293,-1.1715439999998125
2018-02-14 08:45:00,7662.776769,SHORT,7674.49221,7651.061328,New York,2018-02-14 08:43:00,41975,Loss,2018-02-14 08:47:00,7674.49221,-11.715441000000283
