Date,Year,Time,Direction,Open,High,Low,Close,Range,Entry,SL,Risk,SL_Hit,TP_1R_Hit,TP_1R_Candles,TP_1.5R_Hit,TP_1.5R_Candles,TP_2R_Hit,TP_2R_Candles,TP_2.5R_Hit,TP_2.5R_Candles,TP_3R_Hit,TP_3R_Candles,TP_3.5R_Hit,TP_3.5R_Candles,TP_4R_Hit,TP_4R_Candles,TP_4.5R_Hit,TP_4.5R_Candles,TP_5R_Hit,TP_5R_Candles
02/01/2018,2018,08:30:00,LONG,7545.329478,7550.601426,7541.814846,7546.793908,8.786579999999958,7546.793908,7542.400618,4.393289999999979,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
04/01/2018,2018,08:30:00,SHORT,7741.270221,7743.027537,7733.948071,7739.512905,9.079466000000139,7739.512905,7744.052637999999,4.5397329999996145,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
05/01/2018,2018,08:30:00,SHORT,7762.6509,7764.408216,7755.914522,7758.550496,8.493693999999778,7758.550496,7762.797343,4.2468470000003435,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
10/01/2018,2018,08:30:00,SHORT,7798.968766,7801.311854,7787.839097,7790.182185,13.472756999999547,7790.182185,7796.918563499999,6.736378499999773,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
12/01/2018,2018,08:30:00,SHORT,7860.474829,7865.161005,7853.152678,7856.374424,12.008326999999554,7856.374424,7862.378587499999,6.004163499999777,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
16/01/2018,2018,08:30:00,LONG,7977.629234,7986.415814,7977.336348,7982.022524,9.079466000000139,7982.022524,7977.482791,4.5397329999996145,True,True,1.0,True,1.0,True,1.0,True,1.0,True,2.0,True,5.0,True,7.0,True,8.0,True,9.0
18/01/2018,2018,08:30:00,SHORT,7981.436752,7985.830042,7977.043462,7979.38655,8.786579999999958,7979.38655,7983.77984,4.393289999999979,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
19/01/2018,2018,08:30:00,LONG,8018.633276,8023.319452,8014.239986,8023.026566,9.079466000000139,8023.026566,8018.486832999999,4.539733000000524,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
24/01/2018,2018,08:30:00,SHORT,8186.164075,8189.092936,8179.720583,8182.063671,9.372352999999748,8182.063671,8186.749847499999,4.686176499999419,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
26/01/2018,2018,08:30:00,SHORT,8156.875474,8160.975878,8151.017754,8151.896412,9.95812399999977,8151.896412,8156.875474,4.97906200000034,True,True,1.0,True,1.0,True,3.0,False,,False,,False,,False,,False,,False,
29/01/2018,2018,08:30:00,SHORT,8217.502879,8218.674423,8208.423412,8212.523817,10.25101100000029,8212.523817,8217.6493225,5.125505500000145,True,True,1.0,True,3.0,True,3.0,True,4.0,True,4.0,True,5.0,False,,False,,False,
30/01/2018,2018,08:30:00,SHORT,8123.486469,8123.486469,8098.884043,8105.03465,24.602426000000378,8105.03465,8117.335863,12.301213000000644,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
31/01/2018,2018,08:30:00,LONG,8174.448635,8184.699645,8172.105547,8181.185013,12.594097999999576,8181.185013,8174.8879640000005,6.297048999999788,True,True,8.0,False,,False,,False,,False,,False,,False,,False,,False,
01/02/2018,2018,08:30:00,LONG,8099.762701,8107.670624,8096.540955,8103.863106,11.129668999999922,8103.863106,8098.2982715,5.564834499999961,True,True,1.0,True,1.0,True,1.0,True,1.0,True,2.0,True,4.0,True,4.0,True,5.0,True,6.0
02/02/2018,2018,08:30:00,LONG,8061.68752,8064.030608,8049.679193,8063.444836,14.351415000000088,8063.444836,8056.2691285,7.175707499999589,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
05/02/2018,2018,08:30:00,SHORT,7858.13174,7858.13174,7828.843139,7832.943543,29.2886010000002,7832.943543,7847.5878435,14.6443005000001,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
06/02/2018,2018,08:30:00,SHORT,7508.718726,7509.597384,7467.128912,7471.522203,42.468471999999565,7471.522203,7492.756439000001,21.234236000000237,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
07/02/2018,2018,08:30:00,LONG,7785.496009,7797.21145,7764.11533,7789.889299,33.096120000000155,7789.889299,7773.341239,16.548060000000078,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
08/02/2018,2018,08:30:00,LONG,7730.140553,7735.119615,7719.30377,7733.362299,15.815844999999172,7733.362299,7725.454376500001,7.907922499999586,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
09/02/2018,2018,08:30:00,SHORT,7487.630933,7495.24597,7480.601669,7480.894555,14.644301000000269,7480.894555,7488.2167055,7.322150500000134,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
12/02/2018,2018,08:30:00,LONG,7585.747748,7600.392049,7583.697546,7598.634732,16.694502999999713,7598.634732,7590.287480500001,8.347251499999402,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
13/02/2018,2018,08:30:00,SHORT,7599.513391,7602.442251,7591.019696,7591.605468,11.422555000000102,7591.605468,7597.3167455,5.711277500000506,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
14/02/2018,2018,08:30:00,LONG,7639.345888,7662.190997,7634.07394,7645.789381,28.117056999999477,7645.789381,7631.7308525,14.058528499999738,False,True,1.0,True,3.0,True,12.0,True,12.0,True,22.0,True,23.0,True,23.0,True,39.0,True,40.0
15/02/2018,2018,08:30:00,SHORT,7894.15672,7897.671352,7883.612824,7883.90571,14.058528000000479,7883.90571,7890.934974,7.029263999999785,True,True,1.0,True,1.0,True,2.0,True,5.0,True,5.0,True,5.0,True,5.0,False,,False,
16/02/2018,2018,08:30:00,LONG,7947.461974,7961.520503,7946.29043,7958.591643,15.23007299999972,7958.591643,7950.9766065,7.615036499999405,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
20/02/2018,2018,08:30:00,LONG,7905.286389,7910.851223,7902.064642,7907.922363,8.786580999999387,7907.922363,7903.5290724999995,4.393290500000148,False,True,1.0,True,1.0,True,1.0,True,1.0,True,2.0,True,3.0,True,3.0,True,4.0,True,5.0
21/02/2018,2018,08:30:00,SHORT,7986.415814,7987.880244,7978.800778,7981.729638,9.079466000000139,7981.729638,7986.269371,4.539733000000524,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
23/02/2018,2018,08:30:00,SHORT,7986.7087,7992.273535,7980.558094,7985.537156,11.715441000000283,7985.537156,7991.3948765000005,5.857720500000141,True,True,1.0,True,1.0,True,1.0,False,,False,,False,,False,,False,,False,
27/02/2018,2018,08:30:00,SHORT,8196.415086,8199.05106,8186.749847,8188.507164,12.301212999999734,8188.507164,8194.6577705,6.150606500000322,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
01/03/2018,2018,08:30:00,LONG,8042.942815,8049.679193,8039.135297,8045.578789,10.543896000000132,8045.578789,8040.306841,5.2719480000005206,True,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,2.0,False,
02/03/2018,2018,08:30:00,LONG,7817.127699,7825.328507,7808.341118,7823.278305,16.987388999999894,7823.278305,7814.7846105,8.493694499999947,True,True,1.0,True,1.0,True,1.0,True,2.0,True,3.0,True,3.0,False,,False,,False,
05/03/2018,2018,08:30:00,LONG,7944.826,7953.905467,7943.068684,7952.733923,10.836782999999741,7952.733923,7947.3155315,5.418391499999416,True,True,1.0,True,2.0,True,3.0,True,3.0,False,,False,,False,,False,,False,
07/03/2018,2018,08:30:00,LONG,8040.013955,8050.557851,8032.398918,8048.214763,18.158932999999706,8048.214763,8039.135296500001,9.079466499999398,True,True,1.0,True,3.0,True,5.0,True,5.0,True,9.0,True,11.0,True,56.0,True,65.0,True,70.0
09/03/2018,2018,08:30:00,LONG,8225.213068,8229.006985,8220.251791,8228.715146,8.755193999999392,8228.715146,8224.337549,4.3775970000006055,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
14/03/2018,2018,08:30:00,LONG,8294.379102,8301.966937,8292.919903,8298.173019,9.047033999999258,8298.173019,8293.649502,4.523516999999629,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
16/03/2018,2018,08:30:00,LONG,8250.311291,8264.319602,8250.019451,8259.358325,14.30015099999946,8259.358325,8252.2082495,7.15007549999973,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
19/03/2018,2018,08:30:00,SHORT,8138.828486,8140.579524,8121.609937,8121.901777,18.969586999999592,8121.901777,8131.3865705,9.484793499999796,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
20/03/2018,2018,08:30:00,LONG,8036.392714,8048.358146,8035.517195,8041.93767,12.840950999999222,8041.93767,8035.5171945,6.420475500000066,True,True,1.0,True,4.0,True,4.0,False,,False,,False,,False,,False,,False,
21/03/2018,2018,08:30:00,SHORT,8039.894792,8040.186631,8031.723277,8038.143753,8.463353999999526,8038.143753,8042.37543,4.231676999999763,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
22/03/2018,2018,08:30:00,SHORT,7914.403675,7919.073112,7906.524001,7912.944476,12.549111000000266,7912.944476,7919.2190315,6.274555500000133,True,True,1.0,True,1.0,True,1.0,False,,False,,False,,False,,False,,False,
23/03/2018,2018,08:30:00,LONG,7812.259744,7832.39669,7810.508705,7829.478292,21.88798499999939,7829.478292,7818.5342995,10.943992499999695,True,True,2.0,True,4.0,False,,False,,False,,False,,False,,False,,False,
26/03/2018,2018,08:30:00,LONG,7769.067452,7777.238967,7767.900093,7777.238967,9.338874000000033,7777.238967,7772.569530000001,4.6694369999995615,True,True,1.0,True,1.0,True,2.0,True,2.0,False,,False,,False,,False,,False,
27/03/2018,2018,08:30:00,SHORT,7960.222525,7961.098044,7943.587656,7947.381573,17.510388000000603,7947.381573,7956.136767,8.755194000000301,False,True,2.0,True,3.0,True,3.0,True,5.0,True,15.0,True,16.0,True,16.0,True,43.0,True,44.0
28/03/2018,2018,08:30:00,SHORT,7601.843244,7608.26372,7590.169652,7600.675885,18.094068000000334,7600.675885,7609.722919,9.047034000000167,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
29/03/2018,2018,08:30:00,LONG,7594.255409,7605.345322,7589.002293,7602.135084,16.34302900000057,7602.135084,7593.9635695,8.17151449999983,True,True,1.0,True,1.0,False,,False,,False,,False,,False,,False,,False,
02/04/2018,2018,08:30:00,SHORT,7633.361943,7636.572181,7621.688351,7629.276186,14.883829999999762,7629.276186,7636.718101,7.441915000000336,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
03/04/2018,2018,08:30:00,LONG,7537.346647,7543.475283,7532.093531,7540.556885,11.381751999999324,7540.556885,7534.866009,5.690875999999662,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
04/04/2018,2018,08:30:00,LONG,7405.726895,7419.443366,7397.84722,7415.941288,21.596146000000772,7415.941288,7405.143215,10.798072999999931,False,True,1.0,True,1.0,True,2.0,True,3.0,True,3.0,True,4.0,True,6.0,True,7.0,True,40.0
05/04/2018,2018,08:30:00,SHORT,7746.595787,7748.346826,7731.711957,7736.089554,16.634868999999526,7736.089554,7744.4069885,8.317434499999763,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
09/04/2018,2018,08:30:00,LONG,7581.706298,7592.79621,7581.414458,7589.002293,11.381752000000233,7589.002293,7583.311416999999,5.690876000000571,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
10/04/2018,2018,08:30:00,LONG,7687.060467,7703.111656,7686.768627,7702.527977,16.34302899999966,7702.527977,7694.3564625,8.17151449999983,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
11/04/2018,2018,08:30:00,LONG,7692.897263,7703.987176,7688.811506,7703.403496,15.175669999999627,7703.403496,7695.815661000001,7.587834999999359,True,True,1.0,True,1.0,True,2.0,True,2.0,False,,False,,False,,False,,False,
17/04/2018,2018,08:30:00,SHORT,7881.133938,7882.884976,7872.670583,7874.421622,10.2143930000002,7874.421622,7879.5288185,5.1071965000001,True,True,2.0,False,,False,,False,,False,,False,,False,,False,,False,
19/04/2018,2018,08:30:00,SHORT,7950.299971,7951.175491,7941.836617,7948.257093,9.338874000000033,7948.257093,7952.926530000001,4.669437000000471,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
23/04/2018,2018,08:30:00,SHORT,7823.057816,7827.435413,7818.09654,7821.014938,9.338873000000603,7821.014938,7825.684374500001,4.669436500000302,True,True,1.0,True,1.0,True,1.0,False,,False,,False,,False,,False,,False,
24/04/2018,2018,08:30:00,LONG,7802.92087,7811.967904,7799.126952,7810.508705,12.84095200000047,7810.508705,7804.088229,6.420476000000235,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
25/04/2018,2018,08:30:00,SHORT,7616.727074,7617.894433,7608.55556,7612.057637,9.338873000000603,7612.057637,7616.7270735,4.669436500000302,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
26/04/2018,2018,08:30:00,SHORT,7710.115812,7716.244448,7701.360618,7705.154535,14.883830000000671,7705.154535,7712.59645,7.441915000000336,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
01/05/2018,2018,08:30:00,SHORT,7698.734059,7703.111656,7691.729904,7695.231982,11.381752000000233,7695.231982,7700.922858,5.690875999999662,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
02/05/2018,2018,08:30:00,SHORT,7822.182297,7823.933336,7804.088229,7808.757666,19.845107000000098,7808.757666,7818.6802195,9.922553499999594,True,True,4.0,True,5.0,True,7.0,True,7.0,False,,False,,False,,False,,False,
03/05/2018,2018,08:30:00,LONG,7721.789404,7727.6262,7713.909729,7722.373084,13.716470999999729,7722.373084,7715.5148485,6.858235499999864,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
04/05/2018,2018,08:30:00,LONG,7723.248603,7731.128278,7722.664923,7724.415962,8.463354999999865,7724.415962,7720.1842845,4.2316774999999325,True,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,False,,False,,False,,False,
07/05/2018,2018,08:30:00,SHORT,7941.252937,7947.381573,7935.999821,7939.793738,11.381751999999324,7939.793738,7945.484614,5.690875999999662,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
11/05/2018,2018,08:30:00,LONG,8118.399699,8124.820175,8116.64866,8124.236495,8.171515,8124.236495,8120.1507375,4.0857575,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
15/05/2018,2018,08:30:00,SHORT,8070.829811,8074.915568,8066.160374,8068.203253,8.755194000000301,8068.203253,8072.58085,4.3775970000006055,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
21/05/2018,2018,08:30:00,LONG,8084.254442,8092.717796,8082.503403,8092.717796,10.2143930000002,8092.717796,8087.6105995,5.1071965000001,True,True,1.0,True,1.0,True,2.0,True,2.0,True,2.0,True,2.0,True,7.0,True,8.0,True,8.0
23/05/2018,2018,08:30:00,LONG,7994.367782,8003.414816,7994.367782,8000.788258,9.047034000000167,8000.788258,7996.264740999999,4.523517000000538,False,True,2.0,True,5.0,True,6.0,True,6.0,True,6.0,True,7.0,True,7.0,True,10.0,True,11.0
24/05/2018,2018,08:30:00,SHORT,8121.609937,8122.193617,8111.395544,8112.271063,10.798072999999931,8112.271063,8117.6700995,5.399036499999966,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
25/05/2018,2018,08:30:00,LONG,8120.734418,8131.240651,8118.691539,8130.365131,12.549111999999695,8130.365131,8124.090575,6.274555999999393,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
29/05/2018,2018,08:30:00,LONG,8090.091238,8100.889311,8086.58916,8093.593316,14.30015099999946,8093.593316,8086.443240500001,7.15007549999973,True,True,1.0,False,,False,,False,,False,,False,,False,,False,,False,
31/05/2018,2018,08:30:00,SHORT,8147.58368,8149.334719,8139.412165,8144.373442,9.922554000000673,8144.373442,8149.334719,4.961277000000337,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
04/06/2018,2018,08:30:00,LONG,8292.628063,8298.756699,8288.250466,8297.2975,10.506233000000066,8297.2975,8292.0443835,5.253116500000033,True,True,3.0,True,3.0,True,5.0,True,5.0,True,6.0,True,11.0,True,14.0,True,18.0,False,
07/06/2018,2018,08:30:00,SHORT,8421.913097,8423.080456,8412.574223,8413.741582,10.506233000000066,8413.741582,8418.9946985,5.253116500000033,False,True,2.0,True,4.0,True,4.0,True,4.0,True,6.0,True,37.0,True,37.0,True,38.0,True,38.0
08/06/2018,2018,08:30:00,LONG,8306.163685,8321.2896,8306.163685,8316.635472,15.125915000000532,8316.635472,8309.0725145,7.562957500000266,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
14/06/2018,2018,08:30:00,SHORT,8455.095774,8456.841072,8448.696348,8452.186944,8.14472399999977,8452.186944,8456.259306,4.072362000000794,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
15/06/2018,2018,08:30:00,SHORT,8474.294051,8475.457583,8461.786083,8462.658732,13.67149999999856,8462.658732,8469.494481999998,6.83574999999837,True,True,1.0,True,3.0,False,,False,,False,,False,,False,,False,,False,
18/06/2018,2018,08:30:00,SHORT,8415.244805,8415.826571,8404.191251,8404.773017,11.63531999999941,8404.773017,8410.590677,5.817660000000615,True,True,2.0,True,3.0,True,4.0,True,5.0,False,,False,,False,,False,,False,
19/06/2018,2018,08:30:00,LONG,8354.159378,8363.758516,8351.832314,8363.758516,11.926202000000558,8363.758516,8357.795415,5.963100999999369,True,True,1.0,True,1.0,True,1.0,True,2.0,True,3.0,True,4.0,True,7.0,True,8.0,True,8.0
20/06/2018,2018,08:30:00,LONG,8476.911998,8483.311424,8474.294051,8479.820828,9.01737299999877,8479.820828,8475.3121415,4.508686499999385,True,True,1.0,True,1.0,True,5.0,True,5.0,True,6.0,True,12.0,True,12.0,True,28.0,True,36.0
21/06/2018,2018,08:30:00,LONG,8519.671797,8528.107404,8517.926499,8527.816521,10.180905000001076,8527.816521,8522.7260685,5.090452500000538,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
22/06/2018,2018,08:30:00,SHORT,8453.932242,8456.841072,8444.914869,8445.205752,11.926202999999077,8445.205752,8451.1688535,5.963101499999539,False,True,1.0,True,1.0,True,4.0,True,5.0,True,5.0,True,6.0,True,6.0,True,7.0,True,7.0
25/06/2018,2018,08:30:00,SHORT,8330.01609,8331.179622,8317.799004,8322.162249,13.380617999999231,8322.162249,8328.852558,6.6903089999996155,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
26/06/2018,2018,08:30:00,LONG,8244.787375,8250.314151,8239.551481,8247.987088,10.762670000000071,8247.987088,8242.605753,5.3813350000000355,True,True,1.0,True,2.0,True,2.0,False,,False,,False,,False,,False,,False,
27/06/2018,2018,08:30:00,LONG,8282.31128,8291.328653,8278.820684,8286.092759,12.50796900000023,8286.092759,8279.8387745,6.253984499999206,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
29/06/2018,2018,08:30:00,LONG,8243.042077,8257.00446,8242.460311,8255.259162,14.54414899999938,8255.259162,8247.987087500002,7.27207449999878,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
05/07/2018,2018,08:30:00,LONG,8236.933534,8247.696205,8235.479119,8243.914726,12.217086000000563,8243.914726,8237.806183,6.108543000000282,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
06/07/2018,2018,08:30:00,SHORT,8303.545738,8304.70927,8295.401014,8300.055142,9.308256000000256,8300.055142,8304.70927,4.654128000000128,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
09/07/2018,2018,08:30:00,LONG,8457.422838,8462.658732,8454.223125,8461.4952,8.435606999999436,8461.4952,8457.2773965,4.217803499999718,True,True,4.0,True,4.0,True,5.0,True,18.0,False,,False,,False,,False,,False,
11/07/2018,2018,08:30:00,LONG,8428.334539,8431.825135,8421.353348,8429.498071,10.471786999998585,8429.498071,8424.2621775,5.2358934999992925,False,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,2.0,True,5.0,True,5.0
16/07/2018,2018,08:30:00,SHORT,8603.73698,8607.809342,8599.664618,8601.409916,8.14472399999977,8601.409916,8605.482278,4.072361999998975,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
17/07/2018,2018,08:30:00,LONG,8490.001732,8505.127648,8488.547317,8502.218818,16.580330999999205,8502.218818,8493.928652499999,8.290165500000512,False,True,3.0,True,5.0,True,10.0,True,11.0,True,12.0,True,13.0,True,20.0,True,25.0,True,30.0
19/07/2018,2018,08:30:00,LONG,8585.993118,8593.556076,8581.048107,8592.97431,12.50796900000023,8592.97431,8586.720325499999,6.253984500001025,True,True,1.0,True,3.0,True,5.0,True,5.0,True,8.0,False,,False,,False,,False,
23/07/2018,2018,08:30:00,LONG,8540.324489,8553.995989,8540.324489,8553.414224,13.67149999999856,8553.414224,8546.578474000002,6.83574999999837,True,False,,False,,False,,False,,False,,False,,False,,False,,False,
25/07/2018,2018,08:30:00,LONG,8632.825279,8638.642939,8629.0438,8637.479407,9.599138999999923,8637.479407,8632.6798375,4.799569500000871,True,True,2.0,True,2.0,True,4.0,True,4.0,True,9.0,True,10.0,True,19.0,True,20.0,True,22.0
26/07/2018,2018,08:30:00,LONG,8631.370864,8644.751481,8625.553204,8643.297066,19.198276999999507,8643.297066,8633.6979275,9.599138499999754,True,True,2.0,False,,False,,False,,False,,False,,False,,False,,False,
