date,tokyo_high,tokyo_low,tokyo_eq,manipulation_type,fvg_type,fvg_top,fvg_bottom,fvg_formation_time,inversion_time,direction,entry_price,stop_loss,take_profit,tp_1r,tp_1_5r,tp_2r,reached_1R,reached_1_5R,reached_2R,would_reach_1R_without_sl,would_reach_1_5R_without_sl,would_reach_2R_without_sl,exit_price,exit_time,result,pnl,pnl_pct,risk,reward,rr_ratio,time_to_1r,time_to_1_5r,time_to_2r,time_to_sl,time_to_exit,year
2018-01-01,7525.706115,7511.647587,7518.676851,LOW,BEARISH,7508.42584,7504.618322,2018-01-02 02:30:00,2018-01-02 05:00:00,LONG,7509.304498,7506.96141,7518.676851,7511.647586000001,7512.819130000002,7513.9906740000015,True,True,True,True,True,True,7518.676851,2018-01-02 06:00:00,WIN,9.372352999999748,0.12480986757822839,2.3430880000005345,9.372352999999748,4.000000426786194,5.0,5.0,5.0,,60.0,2018
2018-01-11,7881.562621,7871.018725,7876.2906729999995,HIGH,BULLISH,7894.15672,7890.642088,2018-01-12 02:25:00,2018-01-12 04:45:00,SHORT,7890.056316,7892.69229,7876.2906729999995,7887.420342,7886.102355000001,7884.7843680000005,False,False,False,True,True,True,7892.69229,2018-01-12 04:55:00,LOSS,-2.6359739999998055,-0.03340881096950342,2.6359739999998055,13.765643000000637,5.222222601589261,,,,10.0,10.0,2018
2018-01-11,7881.562621,7871.018725,7876.2906729999995,HIGH,BULLISH,7897.671352,7895.914036,2018-01-12 02:30:00,2018-01-12 03:15:00,SHORT,7895.328264,7899.428668,7876.2906729999995,7891.22786,7889.1776580000005,7887.127456,False,False,False,True,True,True,7899.428668,2018-01-12 03:20:00,LOSS,-4.1004039999997985,-0.051934560070114384,4.1004039999997985,19.037591000000248,4.642857386735839,,,,5.0,5.0,2018
2018-01-14,7964.742249,7945.704658,7955.2234535,LOW,BEARISH,7948.047747,7945.997544,2018-01-15 02:10:00,2018-01-15 03:45:00,LONG,7948.340633,7944.240228,7955.2234535,7952.441038,7954.4912405,7956.541443,True,False,False,True,False,False,7944.240228,2018-01-15 04:45:00,LOSS,-4.100405000000137,-0.05158818914951927,4.100405000000137,6.88282049999998,1.6785708972649651,45.0,,,60.0,60.0,2018
2018-01-23,8164.783396,8152.189298,8158.486347,HIGH,BULLISH,8170.934003,8170.641117,2018-01-24 02:15:00,2018-01-24 05:45:00,SHORT,8169.176687,8171.226889,8158.486347,8167.126485000001,8166.101384000001,8165.076283000001,True,False,False,True,True,True,8171.226889,2018-01-24 06:00:00,LOSS,-2.0502019999994445,-0.02509680079832315,2.0502019999994445,10.690340000000106,5.214286202043994,5.0,,,15.0,15.0,2018
2018-02-05,7566.417271,7334.158662,7450.2879665,HIGH,BULLISH,7567.003043,7550.601426,2018-02-06 02:10:00,2018-02-06 04:05:00,SHORT,7547.37968,7564.367069,7450.2879665,7530.392291,7521.8985965,7513.404902,False,False,False,True,True,True,7564.367069,2018-02-06 04:15:00,LOSS,-16.987388999999894,-0.22507664540867373,16.987388999999894,97.09171349999997,5.715517169825249,,,,10.0,10.0,2018
2018-02-08,7460.392534,7367.254782,7413.823657999999,HIGH,BULLISH,7456.29213,7450.727296,2018-02-09 02:30:00,2018-02-09 03:15:00,SHORT,7444.283803,7464.200052,7413.823657999999,7424.367554,7414.4094295,7404.4513050000005,False,False,False,True,True,True,7464.200052,2018-02-09 04:30:00,LOSS,-19.91624899999988,-0.26753747609640777,19.91624899999988,30.46014500000092,1.5294117381240366,,,,75.0,75.0,2018
2018-03-26,7962.557243,7921.99151,7942.2743765,HIGH,BULLISH,7981.526831,7977.441073,2018-03-27 02:15:00,2018-03-27 02:40:00,SHORT,7972.479797,7980.067632,7942.2743765,7964.891962,7961.0980445,7957.304126999999,True,True,True,True,True,True,7980.067632,2018-03-27 04:15:00,LOSS,-7.587835000000268,-0.0951753430953256,7.587835000000268,30.2054205000004,3.980769283991986,5.0,20.0,35.0,95.0,95.0,2018
2018-03-27,7683.850229,7617.310754,7650.5804915,LOW,BEARISH,7625.190429,7623.731229,2018-03-28 02:30:00,2018-03-28 05:30:00,LONG,7629.276186,7620.229152,7650.5804915,7638.32322,7642.846737,7647.370254,True,True,True,True,True,True,7650.5804915,2018-03-28 06:00:00,WIN,21.304305499999828,0.279244124614259,9.047034000000167,21.304305499999828,2.3548386686730076,15.0,15.0,30.0,135.0,30.0,2018
2018-04-01,7677.137914,7648.537613,7662.8377635,LOW,BEARISH,7647.370254,7643.868176,2018-04-02 02:15:00,2018-04-02 03:15:00,LONG,7649.704972,7642.408977,7662.8377635,7657.000967000001,7660.648964500001,7664.296962000001,False,False,False,True,True,True,7642.408977,2018-04-02 04:00:00,LOSS,-7.295995000000403,-0.09537616191350813,7.295995000000403,13.132791499999257,1.8000000685305475,,,,45.0,45.0,2018
