Date;Year;FVG_Type;Entry_Price;Body_Size;SL_Level;SL_Distance;SL_Price;RR_Ratio;TP_Distance;TP_Price;Result
2018-01-15;2018;Bearish;7939.554052;2.6359739999998055;50%;1.3179869999999028;7940.872039;1.0;1.3179869999999028;7938.236065000001;SL
2018-01-15;2018;Bearish;7939.554052;2.6359739999998055;50%;1.3179869999999028;7940.872039;1.5;1.9769804999998541;7937.577071500001;SL
2018-01-15;2018;Bearish;7939.554052;2.6359739999998055;50%;1.3179869999999028;7940.872039;2.0;2.6359739999998055;7936.918078000001;SL
2018-01-15;2018;Bearish;7939.554052;2.6359739999998055;50%;1.3179869999999028;7940.872039;2.5;3.294967499999757;7936.2590845;SL
2018-01-15;2018;Bearish;7939.554052;2.6359739999998055;50%;1.3179869999999028;7940.872039;3.0;3.9539609999997083;7935.600091;SL
2018-01-15;2018;Bearish;7939.554052;2.6359739999998055;50%;1.3179869999999028;7940.872039;3.5;4.61295449999966;7934.941097500001;SL
2018-01-15;2018;Bearish;7939.554052;2.6359739999998055;50%;1.3179869999999028;7940.872039;4.0;5.271947999999611;7934.282104000001;SL
2018-01-15;2018;Bearish;7939.554052;2.6359739999998055;50%;1.3179869999999028;7940.872039;4.5;5.930941499999562;7933.623110500001;SL
2018-01-15;2018;Bearish;7939.554052;2.6359739999998055;50%;1.3179869999999028;7940.872039;5.0;6.589934999999514;7932.964117000001;SL
2018-01-15;2018;Bearish;7939.554052;2.6359739999998055;75%;1.9769804999998541;7941.5310325;1.0;1.9769804999998541;7937.577071500001;SL
2018-01-15;2018;Bearish;7939.554052;2.6359739999998055;75%;1.9769804999998541;7941.5310325;1.5;2.965470749999781;7936.588581250001;SL
2018-01-15;2018;Bearish;7939.554052;2.6359739999998055;75%;1.9769804999998541;7941.5310325;2.0;3.9539609999997083;7935.600091;SL
2018-01-15;2018;Bearish;7939.554052;2.6359739999998055;75%;1.9769804999998541;7941.5310325;2.5;4.942451249999635;7934.61160075;SL
