direction,entry_datetime,entry_price,stop_loss,risk,fvg_type,fvg_top,fvg_bottom,tp_1,tp_1.5,tp_2,tp_2.5,exit_price,exit_datetime,exit_reason,pnl,rr_hit
LONG,2018-01-02 04:00:00,7504.618322,7495.24597,9.372352000000319,bearish,7503.153892,7502.861006,7513.990674000001,7518.676850000001,7523.363026000001,7528.049202000001,7513.990674000001,2018-01-02 05:05:00,TP_1,9.372352000000319,1.0
LONG,2018-01-02 05:20:00,7514.869333,7495.24597,19.6233629999997,bearish,7513.990675,7513.697789,7534.492695999999,7544.304377499999,7554.116058999999,7563.927740499999,7534.492695999999,2018-01-02 06:25:00,TP_1,19.6233629999997,1.0
LONG,2018-01-02 06:35:00,7538.007328,7505.204094,32.803233999999975,bearish,7511.940473,7510.476042,7570.810562,7587.212179,7603.613796,7620.015412999999,7570.810562,2018-01-02 08:40:00,TP_1,32.803233999999975,1.0
LONG,2018-01-02 08:45:00,7578.425598,7528.634975,49.79062299999987,bearish,7509.597384,7509.304498,7628.216221,7653.111532499999,7678.006844,7702.9021555,7628.216221,2018-01-02 13:00:00,TP_1,49.79062299999987,1.0
LONG,2018-01-02 13:10:00,7632.316624,7612.107489,20.20913500000006,bearish,7508.42584,7504.03255,7652.525759,7662.630326500001,7672.734894,7682.8394615,7652.525759,2018-01-03 08:30:00,TP_1,20.20913500000006,1.0
LONG,2018-01-03 08:35:00,7668.63449,7638.760116,29.87437399999999,bearish,7649.011127,7648.718241,7698.508864,7713.446051000001,7728.383238,7743.320425,7698.508864,2018-01-03 09:40:00,TP_1,29.87437399999999,1.0
LONG,2018-01-03 09:55:00,7697.337319,7641.39609,55.94122900000002,bearish,7648.132469,7646.960925,7753.278548,7781.2491625,7809.219777,7837.1903915,7753.278548,2018-01-05 02:05:00,TP_1,55.94122900000002,1.0
LONG,2018-01-05 02:15:00,7753.571434,7743.027537,10.54389700000047,bearish,7730.726325,7730.433439,7764.115331000001,7769.387279500001,7774.659228000001,7779.931176500002,7764.115331000001,2018-01-05 04:30:00,TP_1,10.54389700000047,1.0
LONG,2018-01-05 04:35:00,7765.872646,7748.592371,17.280275000000074,bearish,7728.383236,7727.504578,7783.152921,7791.7930584999995,7800.433196,7809.0733335,7783.152921,2018-01-05 09:55:00,TP_1,17.280275000000074,1.0
LONG,2018-01-08 02:35:00,7813.613066,7809.512662,4.1004039999997985,bearish,7813.32018,7811.562864,7817.71347,7819.763671999999,7821.8138739999995,7823.864076,7809.512662,2018-01-08 03:35:00,STOP_LOSS,-4.1004039999997985,0.0
