entry_time,entry_price,exit_price,exit_time,direction,pnl,outcome,r_multiple,variant,year
2024-01-03 02:45:00,17910.647364,17859.478818,2024-01-03 03:30:00,bearish,1023.3709200000158,win,2.0,Conservative,2024
2024-01-12 02:15:00,18145.686085,18174.342369000005,2024-01-12 02:30:00,bullish,1719.377040000254,win,2.0,Conservative,2024
2024-01-30 02:30:00,18967.651602,18997.399946,2024-01-30 03:00:00,bullish,594.9668799999927,win,0.9291610648409584,Conservative,2024
2024-02-02 03:30:00,18885.106646,18908.010888,2024-02-02 06:15:00,bearish,-916.1696800000209,loss,-1.0,Conservative,2024
2024-02-19 02:45:00,19044.032486,19089.861017,2024-02-19 08:30:00,bullish,916.570619999984,win,1.5341469270450534,Conservative,2024
2024-03-04 03:30:00,19672.767766,19611.951110000005,2024-03-04 08:30:00,bearish,1216.3331199999084,win,2.0,Conservative,2024
2024-03-27 03:15:00,19551.395885,19590.295871000006,2024-03-27 04:00:00,bullish,1555.9994400001597,win,2.0,Conservative,2024
2024-03-28 03:15:00,19565.937547,19532.325437000007,2024-03-28 04:15:00,bearish,1344.484399999783,win,2.0,Conservative,2024
2024-04-02 03:45:00,19552.453461,19499.804995000002,2024-04-02 05:30:00,bearish,1052.9693199999747,win,2.0,Conservative,2024
2024-04-04 02:30:00,19491.642877,19537.417104999993,2024-04-04 07:30:00,bullish,1830.9691199997906,win,2.0,Conservative,2024
2024-04-12 02:15:00,19558.005732,19523.336048,2024-04-12 03:00:00,bearish,1386.7873600000166,win,2.0,Conservative,2024
2024-05-07 03:30:00,19216.937674,19198.280862,2024-05-07 06:30:00,bullish,-746.2724800000433,loss,-1.0,Conservative,2024
2024-05-08 03:45:00,19249.986905,19214.788433000005,2024-05-08 06:00:00,bearish,1407.938879999856,win,2.0,Conservative,2024
2024-05-21 03:15:00,19834.297297,19811.789727,2024-05-21 04:15:00,bearish,1800.6056000001263,win,2.0,Conservative,2024
2024-06-14 02:30:00,20765.228018,20734.937876,2024-06-14 04:00:00,bullish,-605.802840000033,loss,-1.0,Conservative,2024
2024-06-17 03:45:00,20863.625078,20809.001678000004,2024-06-17 08:30:00,bearish,1092.4679999999353,win,2.0,Conservative,2024
2024-06-25 03:15:00,20617.031716,20675.830242000007,2024-06-25 03:30:00,bullish,1175.970520000119,win,2.0,Conservative,2024
2024-06-25 03:30:00,20634.776,20729.06309400001,2024-06-25 09:00:00,bullish,1885.7418800001324,win,2.0,Conservative,2024
2024-07-18 02:15:00,21020.192293,20966.090785,2024-07-18 02:30:00,bearish,1082.0301599999948,win,2.0,Conservative,2024
2024-08-21 02:30:00,20686.704126,20752.287229999998,2024-08-21 08:45:00,bullish,1311.662079999951,win,2.0,Conservative,2024
2024-09-16 03:45:00,20386.877911,20359.392829,2024-09-16 05:00:00,bearish,1649.1049199999543,win,2.0,Conservative,2024
2024-09-18 02:30:00,20336.264712,20307.508103999997,2024-09-18 03:00:00,bearish,1725.3964800001995,win,2.0,Conservative,2024
2024-09-30 03:15:00,20858.990191,20771.436637000003,2024-09-30 06:45:00,bearish,1751.0710799999651,win,2.0,Conservative,2024
2024-10-08 02:45:00,20609.876815,20691.241217,2024-10-08 04:15:00,bullish,1627.288039999985,win,2.0,Conservative,2024
2024-10-16 02:45:00,21008.819251,20968.910693,2024-10-16 08:30:00,bullish,-798.1711599999835,loss,-1.0,Conservative,2024
2024-12-11 01:30:00,22101.462495,22128.734866,2024-12-11 03:00:00,bearish,-545.4474199999822,loss,-1.0,Conservative,2024
