Date,FVG_Time,Breakout_Time,Entry_Price,SL_Price,Risk,Hit_SL,Year,TP_1.0R,TP_1.5R,TP_2.0R,TP_2.5R,TP_3.0R,TP_3.5R
01/07/2021,09:37:00,09:38:00,16648.055427,16653.206965,5.151538000001892,True,2021,False,False,False,False,False,False
01/07/2022,09:54:00,09:55:00,13077.55029,13079.264479,1.7141890000002604,True,2022,False,False,False,False,False,False
01/07/2022,09:57:00,09:58:00,13100.691846,13108.119999,7.428153000000748,True,2022,False,False,False,False,False,False
01/07/2024,08:57:00,09:11:00,20722.45364,20732.630509,10.176868999998987,True,2024,False,False,False,False,False,False
01/07/2024,09:23:00,09:24:00,20794.735504,20803.085756,8.350252000000182,True,2024,False,False,False,False,False,False
01/07/2024,09:59:00,10:00:00,20773.337985,20777.774056,4.436071000000084,True,2024,False,False,False,False,False,False
01/07/2025,09:32:00,09:33:00,22973.798007,23000.560459,26.76245199999903,False,2025,True,True,True,True,True,True
01/08/2018,08:42:00,08:43:00,8463.531381,8464.40403,0.8726489999990008,True,2018,False,False,False,False,False,False
01/08/2018,09:10:00,09:11:00,8472.839636,8473.712285,0.8726489999990008,True,2018,False,False,False,False,False,False
01/08/2018,09:24:00,09:25:00,8492.619679,8495.237626,2.6179470000006404,True,2018,False,False,False,False,False,False
01/08/2018,09:51:00,09:52:00,8489.129083,8493.783211,4.654128000000128,False,2018,True,True,True,True,True,True
01/08/2019,08:34:00,12:34:00,9055.777922,9062.369153,6.5912310000003345,True,2019,False,False,False,False,False,False
01/08/2019,09:51:00,12:26:00,9143.469949,9151.20748,7.737530999998853,False,2019,True,True,True,True,True,True
01/08/2022,08:54:00,08:55:00,14851.736232,14853.736119,1.9998869999999442,True,2022,False,False,False,False,False,False
01/08/2022,08:57:00,08:58:00,14861.164273,14866.592539,5.428265999998985,True,2022,False,False,False,False,False,False
01/08/2022,09:06:00,09:07:00,14882.877338,14886.305716,3.428378000000521,True,2022,False,False,False,False,False,False
01/08/2022,09:31:00,09:32:00,14846.307966,14848.022155,1.7141890000002604,True,2022,False,False,False,False,False,False
01/08/2023,09:05:00,09:06:00,17373.002756,17382.627688,9.624931999998807,True,2023,False,False,False,False,False,False
01/08/2024,08:57:00,08:58:00,20507.956557,20518.133426,10.176868999998987,True,2024,False,False,False,False,False,False
01/08/2025,08:56:00,08:57:00,23109.125124,23113.16474,4.039616000001843,True,2025,False,False,False,False,False,False
01/09/2020,08:38:00,08:39:00,13898.436197,13899.293155,0.8569579999984853,True,2020,False,False,False,False,False,False
01/09/2020,08:53:00,08:54:00,13941.284114,13946.99717,5.713056000000506,True,2020,False,False,False,False,False,False
01/09/2020,09:13:00,09:14:00,13948.711087,13971.277657,22.566570000000866,True,2020,False,False,False,False,False,False
01/09/2020,09:19:00,09:20:00,13967.849823,13970.706351,2.856528000000253,True,2020,False,False,False,False,False,False
01/09/2020,09:28:00,09:30:00,14009.55513,14010.126435,0.5713049999994837,True,2020,False,False,False,False,False,False
01/09/2020,09:53:00,09:54:00,13972.705921,13990.702046,17.996124999999665,True,2020,False,False,False,False,False,False
01/09/2021,09:11:00,09:12:00,17947.674125,17948.532715,0.8585899999998219,True,2021,False,False,False,False,False,False
01/09/2021,09:47:00,09:48:00,17948.532715,17952.253271,3.720556000000215,True,2021,False,False,False,False,False,False
01/09/2021,10:00:00,10:01:00,17945.670749,17945.956946,0.28619699999762815,True,2021,False,False,False,False,False,False
01/09/2022,08:41:00,08:42:00,13944.072989,13948.64416,4.571170999999595,True,2022,False,False,False,False,False,False
01/09/2022,09:29:00,09:30:00,13892.075913,13892.361611,0.2856979999996838,True,2022,False,False,False,False,False,False
01/09/2022,09:52:00,09:53:00,13808.652033,13810.937619,2.2855859999999666,True,2022,False,False,False,False,False,False
01/09/2023,08:44:00,08:45:00,17078.754826,17108.454617,29.699790999999095,True,2023,False,False,False,False,False,False
01/09/2023,08:56:00,09:00:00,17067.479906,17084.529786,17.049879999998666,True,2023,False,False,False,False,False,False
01/09/2025,08:41:00,08:42:00,23711.785254,23712.290206,0.5049520000029588,True,2025,False,False,False,False,False,False
01/09/2025,09:44:00,09:45:00,23718.854581,23720.369437,1.5148560000016005,True,2025,False,False,False,False,False,False
01/09/2025,09:59:00,10:00:00,23721.126865,23722.641721,1.5148560000016005,True,2025,False,False,False,False,False,False
01/10/2018,09:06:00,09:07:00,8953.896624,8954.766159,0.8695349999998143,True,2018,False,False,False,False,False,False
01/10/2018,09:53:00,09:54:00,8946.650495,8947.52003,0.8695349999998143,True,2018,False,False,False,False,False,False
01/10/2019,09:46:00,09:47:00,8880.014628,8882.015533,2.0009049999989656,True,2019,False,False,False,False,False,False
01/10/2020,09:03:00,09:04:00,13189.857604,13190.429546,0.5719419999986712,True,2020,False,False,False,False,False,False
01/10/2020,09:15:00,09:16:00,13156.684924,13163.262266,6.577342000000499,True,2020,False,False,False,False,False,False
01/10/2021,08:36:00,08:37:00,16824.137381,16830.437376,6.299995000001218,True,2021,False,False,False,False,False,False
01/10/2021,08:49:00,08:50:00,16771.732875,16774.310145,2.5772699999979523,True,2021,False,False,False,False,False,False
01/10/2021,09:12:00,09:14:00,16741.378352,16749.682891,8.30453900000066,True,2021,False,False,False,False,False,False
01/10/2021,09:41:00,09:42:00,16678.378399,16680.669306,2.290906999998697,True,2021,False,False,False,False,False,False
01/10/2021,09:56:00,10:08:00,16718.182915,16720.187459,2.0045439999994414,True,2021,False,False,False,False,False,False
01/10/2024,09:13:00,09:14:00,20573.515546,20575.320715,1.805169000002934,True,2024,False,False,False,False,False,False
01/10/2025,08:44:00,08:45:00,24809.75,24820.25,10.5,True,2025,False,False,False,False,False,False
01/10/2025,08:57:00,08:58:00,24783.0,24792.25,9.25,True,2025,False,False,False,False,False,False
