entry_time,entry_price,exit_price,exit_time,direction,pnl,outcome,r_multiple,variant,year
2024-01-03 02:45:00,17910.647364,17860.647364,2024-01-03 03:15:00,bearish,2000.0,win,2.0,Silver_Bullet,2024
2024-01-12 02:15:00,18145.686085,18195.686085,2024-01-12 02:30:00,bullish,2000.0,win,2.0,Silver_Bullet,2024
2024-01-30 02:30:00,18967.651602,18942.651602,2024-01-30 07:00:00,bullish,-1000.0,loss,-1.0,Silver_Bullet,2024
2024-02-02 03:30:00,18885.106646,18910.106646,2024-02-02 06:15:00,bearish,-1000.0,loss,-1.0,Silver_Bullet,2024
2024-02-19 02:45:00,19044.032486,19019.032486,2024-02-19 17:45:00,bullish,-1000.0,loss,-1.0,Silver_Bullet,2024
2024-03-04 03:30:00,19672.767766,19622.767766,2024-03-04 08:30:00,bearish,2000.0,win,2.0,Silver_Bullet,2024
2024-03-27 03:15:00,19551.395885,19601.395885,2024-03-27 05:15:00,bullish,2000.0,win,2.0,Silver_Bullet,2024
2024-03-28 03:15:00,19565.937547,19590.937547,2024-03-28 07:30:00,bearish,-1000.0,loss,-1.0,Silver_Bullet,2024
2024-04-02 03:45:00,19552.453461,19502.453461,2024-04-02 05:30:00,bearish,2000.0,win,2.0,Silver_Bullet,2024
2024-04-04 02:30:00,19491.642877,19541.642877,2024-04-04 07:30:00,bullish,2000.0,win,2.0,Silver_Bullet,2024
2024-04-12 02:15:00,19558.005732,19508.005732,2024-04-12 03:45:00,bearish,2000.0,win,2.0,Silver_Bullet,2024
2024-05-07 03:30:00,19216.937674,19266.937674,2024-05-07 08:30:00,bullish,2000.0,win,2.0,Silver_Bullet,2024
2024-05-08 03:45:00,19249.986905,19199.986905,2024-05-08 06:30:00,bearish,2000.0,win,2.0,Silver_Bullet,2024
2024-05-21 03:15:00,19834.297297,19784.297297,2024-05-21 08:00:00,bearish,2000.0,win,2.0,Silver_Bullet,2024
2024-06-14 02:30:00,20765.228018,20740.228018,2024-06-14 04:00:00,bullish,-1000.0,loss,-1.0,Silver_Bullet,2024
2024-06-17 03:45:00,20863.625078,20813.625078,2024-06-17 08:30:00,bearish,2000.0,win,2.0,Silver_Bullet,2024
2024-06-25 03:15:00,20617.031716,20667.031716,2024-06-25 03:30:00,bullish,2000.0,win,2.0,Silver_Bullet,2024
2024-06-25 03:30:00,20634.776,20684.776,2024-06-25 03:45:00,bullish,2000.0,win,2.0,Silver_Bullet,2024
2024-07-18 02:15:00,21020.192293,20970.192293,2024-07-18 02:30:00,bearish,2000.0,win,2.0,Silver_Bullet,2024
2024-08-21 02:30:00,20686.704126,20661.704126,2024-08-21 03:15:00,bullish,-1000.0,loss,-1.0,Silver_Bullet,2024
2024-09-16 03:45:00,20386.877911,20336.877911,2024-09-16 05:00:00,bearish,2000.0,win,2.0,Silver_Bullet,2024
2024-09-18 02:30:00,20336.264712,20286.264712,2024-09-18 03:00:00,bearish,2000.0,win,2.0,Silver_Bullet,2024
2024-09-30 03:15:00,20858.990191,20808.990191,2024-09-30 04:15:00,bearish,2000.0,win,2.0,Silver_Bullet,2024
2024-10-08 02:45:00,20609.876815,20659.876815,2024-10-08 04:00:00,bullish,2000.0,win,2.0,Silver_Bullet,2024
2024-10-16 02:45:00,21008.819251,20983.819251,2024-10-16 03:15:00,bullish,-1000.0,loss,-1.0,Silver_Bullet,2024
2024-12-11 01:30:00,22101.462495,22126.462495,2024-12-11 03:00:00,bearish,-1000.0,loss,-1.0,Silver_Bullet,2024
