entry_datetime,direction,entry_price,exit_price,pnl,outcome,entry_idx,exit_idx,scenario
2018-01-02 01:45:00,SHORT,7514.869333,7534.869333,-20,LOSS,13,48,1. IFVG Base (Trigger Only)
2018-01-02 01:50:00,SHORT,7514.576447,7534.576447,-20,LOSS,14,48,1. IFVG Base (Trigger Only)
2018-01-02 01:55:00,SHORT,7514.869333,7534.869333,-20,LOSS,15,48,1. IFVG Base (Trigger Only)
2018-01-02 02:00:00,SHORT,7513.112017,7533.112017,-20,LOSS,16,48,1. IFVG Base (Trigger Only)
2018-01-02 02:00:00,SHORT,7511.940473,7531.940473,-20,LOSS,17,48,1. IFVG Base (Trigger Only)
2018-01-02 02:05:00,SHORT,7512.819131,7532.819131,-20,LOSS,18,48,1. IFVG Base (Trigger Only)
2018-01-02 02:10:00,SHORT,7511.940473,7531.940473,-20,LOSS,19,48,1. IFVG Base (Trigger Only)
2018-01-02 02:15:00,SHORT,7503.739664,7523.739664,-20,LOSS,20,48,1. IFVG Base (Trigger Only)
2018-01-02 02:15:00,SHORT,7509.89027,7529.89027,-20,LOSS,21,48,1. IFVG Base (Trigger Only)
2018-01-02 02:20:00,SHORT,7509.304498,7529.304498,-20,LOSS,22,48,1. IFVG Base (Trigger Only)
2018-01-02 02:25:00,SHORT,7503.739664,7523.739664,-20,LOSS,23,48,1. IFVG Base (Trigger Only)
2018-01-02 02:30:00,SHORT,7500.810804,7520.810804,-20,LOSS,24,48,1. IFVG Base (Trigger Only)
2018-01-02 02:30:00,SHORT,7501.982348,7521.982348,-20,LOSS,25,48,1. IFVG Base (Trigger Only)
2018-01-02 02:35:00,SHORT,7503.446778,7523.446778,-20,LOSS,26,48,1. IFVG Base (Trigger Only)
2018-01-02 02:40:00,SHORT,7501.982348,7521.982348,-20,LOSS,27,48,1. IFVG Base (Trigger Only)
2018-01-02 02:45:00,SHORT,7503.153892,7523.153892,-20,LOSS,28,48,1. IFVG Base (Trigger Only)
2018-01-02 02:45:00,SHORT,7506.668524,7526.668524,-20,LOSS,29,48,1. IFVG Base (Trigger Only)
2018-01-02 02:50:00,SHORT,7504.03255,7524.03255,-20,LOSS,30,48,1. IFVG Base (Trigger Only)
2018-01-02 02:55:00,SHORT,7506.668524,7526.668524,-20,LOSS,31,48,1. IFVG Base (Trigger Only)
2018-01-02 03:00:00,SHORT,7504.03255,7524.03255,-20,LOSS,32,48,1. IFVG Base (Trigger Only)
2018-01-03 01:30:00,SHORT,7643.153407,7663.153407,-20,LOSS,57,96,1. IFVG Base (Trigger Only)
2018-01-03 01:35:00,SHORT,7643.153407,7663.153407,-20,LOSS,58,96,1. IFVG Base (Trigger Only)
