Date,Entry_Time,Entry_Hour,Entry_Level,TP_Level,Sweep_Low,Impulse_High,Prev_Swing_High,Tokyo_High,Tokyo_Low,Entry_Price,SL_Price,TP_Price,Risk,Reward,RR_Ratio,Outcome,Exit_Price,PnL,Exit_Time,Bars_Held
2018-01-02,2018-01-02 02:05:00,2,62%,1R,7511.3547,7513.697789,,7525.706115,7511.647587,7512.24507382,7510.3547,7514.135447639999,1.8903738199996951,1.8903738199996951,1.0,Loss,7510.3547,-1.8903738199996951,2018-01-02 02:15:00,2
2018-01-02,2018-01-02 02:05:00,2,62%,1.5R,7511.3547,7513.697789,,7525.706115,7511.647587,7512.24507382,7510.3547,7515.080634549999,1.8903738199996951,2.835560729999088,1.4999999999997595,Loss,7510.3547,-1.8903738199996951,2018-01-02 02:15:00,2
2018-01-02,2018-01-02 02:05:00,2,62%,2R,7511.3547,7513.697789,,7525.706115,7511.647587,7512.24507382,7510.3547,7516.025821459999,1.8903738199996951,3.7807476399993902,2.0,Loss,7510.3547,-1.8903738199996951,2018-01-02 02:15:00,2
2018-01-02,2018-01-02 02:05:00,2,62%,2.5R,7511.3547,7513.697789,,7525.706115,7511.647587,7512.24507382,7510.3547,7516.971008369999,1.8903738199996951,4.7259345499996925,2.5000000000002407,Loss,7510.3547,-1.8903738199996951,2018-01-02 02:15:00,2
2018-01-02,2018-01-02 02:05:00,2,62%,3R,7511.3547,7513.697789,,7525.706115,7511.647587,7512.24507382,7510.3547,7517.916195279999,1.8903738199996951,5.671121459999085,3.0,Loss,7510.3547,-1.8903738199996951,2018-01-02 02:15:00,2
2018-01-02,2018-01-02 02:05:00,2,62%,3.5R,7511.3547,7513.697789,,7525.706115,7511.647587,7512.24507382,7510.3547,7518.861382189998,1.8903738199996951,6.616308369998478,3.4999999999997593,Loss,7510.3547,-1.8903738199996951,2018-01-02 02:15:00,2
2018-01-02,2018-01-02 02:05:00,2,62%,4R,7511.3547,7513.697789,,7525.706115,7511.647587,7512.24507382,7510.3547,7519.806569099998,1.8903738199996951,7.5614952799987805,4.0,Loss,7510.3547,-1.8903738199996951,2018-01-02 02:15:00,2
2018-01-02,2018-01-02 02:05:00,2,62%,4.5R,7511.3547,7513.697789,,7525.706115,7511.647587,7512.24507382,7510.3547,7520.751756009999,1.8903738199996951,8.506682189999083,4.500000000000241,Loss,7510.3547,-1.8903738199996951,2018-01-02 02:15:00,2
2018-01-02,2018-01-02 02:05:00,2,62%,Swing_High,7511.3547,7513.697789,,7525.706115,7511.647587,7512.24507382,7510.3547,7525.706115,1.8903738199996951,13.461041180000393,7.120835592191265,Loss,7510.3547,-1.8903738199996951,2018-01-02 02:15:00,2
2018-01-02,2018-01-02 02:05:00,2,80%,1R,7511.3547,7513.697789,,7525.706115,7511.647587,7511.8233178,7510.3547,7513.2919356,1.4686178000001746,1.4686178000001746,1.0,Win,7513.2919356,1.4686178000001746,2018-01-02 02:10:00,1
2018-01-02,2018-01-02 02:05:00,2,80%,1.5R,7511.3547,7513.697789,,7525.706115,7511.647587,7511.8233178,7510.3547,7514.026244500001,1.4686178000001746,2.2029267000007167,1.5000000000003098,Loss,7510.3547,-1.4686178000001746,2018-01-02 02:15:00,2
2018-01-02,2018-01-02 02:05:00,2,80%,2R,7511.3547,7513.697789,,7525.706115,7511.647587,7511.8233178,7510.3547,7514.7605534,1.4686178000001746,2.9372356000003492,2.0,Loss,7510.3547,-1.4686178000001746,2018-01-02 02:15:00,2
