Date,Time,Type,Entry_Price,Open_830,High_830,Low_830,Close_830,Max_High_Prev5,Min_Low_Prev5,Prev_Candles_Start,Prev_Candles_End
2018-01-02,08:30:00,Bullish,7546.793908,7545.329478,7550.601426,7541.814846,7546.793908,7548.84411,7543.279276,08:25:00,08:29:00
2018-01-04,08:30:00,Bearish,7739.512905,7741.270221,7743.027537,7733.948071,7739.512905,7747.127941,7741.270221,08:25:00,08:29:00
2018-01-05,08:30:00,Bearish,7758.550496,7762.6509,7764.408216,7755.914522,7758.550496,7766.751304,7760.014926,08:25:00,08:29:00
2018-01-08,08:30:00,Bullish,7805.412258,7803.947828,7807.46246,7802.483398,7805.412258,7805.705144,7798.67588,08:25:00,08:29:00
2018-01-10,08:30:00,Bearish,7790.182185,7798.968766,7801.311854,7787.839097,7790.182185,7798.968766,7792.232387,08:25:00,08:29:00
2018-01-12,08:30:00,Bearish,7856.374424,7860.474829,7865.161005,7853.152678,7856.374424,7865.161005,7858.717512,08:25:00,08:29:00
2018-01-16,08:30:00,Bullish,7982.022524,7977.629234,7986.415814,7977.336348,7982.022524,7981.729638,7973.235944,08:25:00,08:29:00
2018-01-17,08:30:00,Bearish,7941.604254,7945.704658,7945.704658,7938.089622,7941.604254,7952.148151,7943.068684,08:25:00,08:29:00
2018-01-24,08:30:00,Bearish,8182.063671,8186.164075,8189.092936,8179.720583,8182.063671,8189.092936,8184.406759,08:25:00,08:29:00
2018-01-26,08:30:00,Bearish,8151.896412,8156.875474,8160.975878,8151.017754,8151.896412,8160.09722,8155.996816,08:25:00,08:29:00
2018-01-29,08:30:00,Bearish,8212.523817,8217.502879,8218.674423,8208.423412,8212.523817,8218.381537,8210.766501,08:25:00,08:29:00
2018-01-30,08:30:00,Bearish,8105.03465,8123.486469,8123.486469,8098.884043,8105.03465,8127.001101,8116.457204,08:25:00,08:29:00
2018-01-31,08:30:00,Bullish,8181.185013,8174.448635,8184.699645,8172.105547,8181.185013,8178.549039,8171.519775,08:25:00,08:29:00
2018-02-01,08:30:00,Bullish,8103.863106,8099.762701,8107.670624,8096.540955,8103.863106,8100.934246,8093.026323,08:25:00,08:29:00
2018-02-02,08:30:00,Bullish,8063.444836,8061.68752,8064.030608,8049.679193,8063.444836,8061.68752,8040.892613,08:25:00,08:29:00
2018-02-05,08:30:00,Bearish,7832.943543,7858.13174,7858.13174,7828.843139,7832.943543,7869.847181,7849.34516,08:25:00,08:29:00
2018-02-06,08:30:00,Bearish,7471.522203,7508.718726,7509.597384,7467.128912,7471.522203,7523.070141,7494.367312,08:25:00,08:29:00
2018-02-07,08:30:00,Bullish,7789.889299,7785.496009,7797.21145,7764.11533,7789.889299,7796.039906,7777.295201,08:25:00,08:29:00
2018-02-12,08:30:00,Bullish,7598.634732,7585.747748,7600.392049,7583.697546,7598.634732,7589.26238,7571.103447,08:25:00,08:29:00
2018-02-14,08:30:00,Bullish,7645.789381,7639.345888,7662.190997,7634.07394,7645.789381,7643.739179,7626.458904,08:25:00,08:29:00
2018-02-15,08:30:00,Bearish,7883.90571,7894.15672,7897.671352,7883.612824,7883.90571,7894.742492,7885.955912,08:25:00,08:29:00
2018-02-16,08:30:00,Bullish,7958.591643,7947.461974,7961.520503,7946.29043,7958.591643,7957.712985,7941.018482,08:25:00,08:29:00
2018-02-19,08:30:00,Bearish,7972.650172,7973.52883,7974.99326,7971.771514,7972.650172,7975.286146,7972.357286,08:25:00,08:29:00
