DateTime,Position,Position_Entry_Price,Exit_Price,Exit_Reason,PnL,Cumulative_PnL
2018-01-02 06:20:00,-1,7522.1914830000005,7523.898597,Stop_Loss,-1.7071139999998195,-1.7071139999998195
2018-01-03 01:05:00,-1,7641.6889759999995,7643.39609,Stop_Loss,-1.707114000000729,-3.4142280000005485
2018-01-03 04:55:00,-1,7647.546697,7648.960925,Stop_Loss,-1.4142280000005485,-4.828456000001097
2018-01-04 02:15:00,-1,7729.115451,7730.969008,Stop_Loss,-1.8535570000003645,-6.6820130000014615
2018-01-04 03:45:00,-1,7730.579882,7732.433439,Stop_Loss,-1.8535570000003645,-8.535570000001826
2018-01-05 01:10:00,-1,7744.63841,7746.491967,Stop_Loss,-1.8535570000003645,-10.38912700000219
2018-01-08 08:00:00,0,,7802.190512,Hard_Exit_08:00,17.13383200000044,6.744704999998248
2018-01-09 01:05:00,-1,7834.993745,7836.700859,Stop_Loss,-1.7071139999998195,5.037590999998429
2018-01-09 04:30:00,-1,7844.219655,7845.780326,Stop_Loss,-1.560671000000184,3.4769199999982447
2018-01-09 06:50:00,-1,7844.658984,7846.366098,Stop_Loss,-1.707114000000729,1.7698059999975158
2018-01-16 01:05:00,-1,7958.591643,7960.298757,Stop_Loss,-1.7071139999998195,0.06269199999769626
2018-01-16 03:05:00,-1,7965.620907,7967.328021,Stop_Loss,-1.7071139999998195,-1.6444220000021232
2018-01-22 02:20:00,-1,8013.654214,8015.361328,Stop_Loss,-1.7071139999998195,-3.3515360000019427
2018-01-22 05:05:00,-1,8014.679315,8015.9471,Stop_Loss,-1.2677850000000035,-4.619321000001946
2018-01-23 01:10:00,-1,8141.059628999999,8142.766743,Stop_Loss,-1.707114000000729,-6.326435000002675
2018-01-23 02:20:00,-1,8144.4278185,8145.695603,Stop_Loss,-1.2677844999998342,-7.5942195000025094
2018-01-24 02:00:00,-1,8168.737358,8170.590915,Stop_Loss,-1.853556999999455,-9.447776500001964
2018-03-12 08:00:00,0,,8345.159228,Hard_Exit_08:00,26.849261499999557,17.401484999997592
2018-06-07 01:25:00,-1,8434.899968000002,8436.754048,Stop_Loss,-1.8540799999991577,15.547404999998435
2018-06-07 08:00:00,0,,8414.908941,Hard_Exit_08:00,27.287021999998615,42.83442699999705
2018-06-13 05:40:00,-1,8433.134108499999,8434.988667,Stop_Loss,-1.854558500001076,40.97986849999597
2018-06-15 07:45:00,-1,8509.636334499999,8469.636334499999,Take_Profit,40.0,80.97986849999597
2018-07-13 08:00:00,0,,8593.265193,Hard_Exit_08:00,19.78004300000066,100.75991149999663
2018-07-16 08:00:00,0,,8606.64581,Hard_Exit_08:00,14.107824500000788,114.86773599999742
2018-07-24 04:25:00,-1,8659.004748,8660.713865,Stop_Loss,-1.709117000000333,113.15861899999709
2018-07-27 02:05:00,-1,8662.7862265,8664.204461,Stop_Loss,-1.4182344999990164,111.74038449999807
2018-07-27 03:05:00,-1,8665.113290000001,8665.949758,Stop_Loss,-0.8364679999995133,110.90391649999856
2018-07-27 04:10:00,-1,8665.113290000001,8666.531524,Stop_Loss,-1.4182339999988471,109.48568249999971
2018-07-27 08:00:00,0,,8672.094482,Hard_Exit_08:00,10.035463500000333,119.52114600000004
2018-08-07 03:30:00,-1,8691.292759,8693.001876,Stop_Loss,-1.709117000000333,117.81202899999971
2018-08-07 08:00:00,0,,8686.638631,Hard_Exit_08:00,6.3994259999999485,124.21145499999966
2018-08-27 01:55:00,-1,8752.087303,8753.79642,Stop_Loss,-1.709117000000333,122.50233799999933
2018-08-29 08:00:00,0,,8829.171295,Hard_Exit_08:00,11.63531900000089,134.13765700000022
2018-09-04 01:05:00,-1,8937.8160905,8939.670649,Stop_Loss,-1.854558499999257,132.28309850000096
2018-10-01 04:10:00,-1,8946.5425805,8948.106256,Stop_Loss,-1.56367549999959,130.71942300000137
2018-10-01 04:50:00,-1,8945.6360365,8947.491114,Stop_Loss,-1.8550775000003341,128.86434550000104
2018-12-20 01:50:00,1,7305.5332785,7304.110723,Stop_Loss,-1.4225555000002714,127.44179000000076
2019-04-24 05:25:00,-1,9020.1421235,9021.279392,Stop_Loss,-1.1372685000005731,126.30452150000019
2019-04-25 07:00:00,-1,9057.6709305,9059.239565,Stop_Loss,-1.5686344999994617,124.73588700000073
2019-07-15 07:15:00,-1,9146.1924135,9147.475975,Stop_Loss,-1.283561499998541,123.45232550000219
2019-07-16 03:05:00,-1,9164.819804499999,9166.676517,Stop_Loss,-1.8567125000008673,121.59561300000132
2019-10-28 02:50:00,-1,9212.4506355,9214.164792,Stop_Loss,-1.714156500000172,119.88145650000115
2019-10-28 05:05:00,-1,9214.3086185,9215.022323,Stop_Loss,-0.7137044999999489,119.1677520000012
2019-11-04 01:35:00,-1,9363.9476985,9365.661855,Stop_Loss,-1.714156500000172,117.45359550000103
2019-11-04 07:20:00,-1,9391.531597500001,9392.531145,Stop_Loss,-0.9995474999996077,116.45404800000142
2019-11-05 02:40:00,-1,9419.4013405,9421.115497,Stop_Loss,-1.714156500000172,114.73989150000125
2019-11-07 04:25:00,-1,9438.409934,9440.267012,Stop_Loss,-1.8570780000009108,112.88281350000034
2019-11-12 02:45:00,-1,9440.696682,9441.410386,Stop_Loss,-0.7137039999997796,112.16910950000056
2019-11-18 01:10:00,-1,9514.444308999999,9516.015544,Stop_Loss,-1.571235000001252,110.5978744999993
2019-11-18 03:20:00,-1,9532.309529,9533.737842,Stop_Loss,-1.428313000000344,109.16956149999896
2019-11-19 04:15:00,-1,9567.7541245,9569.182437,Stop_Loss,-1.4283125000001746,107.74124899999879
2019-11-27 02:30:00,-1,9619.920566,9621.777644,Stop_Loss,-1.8570779999990918,105.8841709999997
2019-11-27 08:00:00,0,,9617.205053,Hard_Exit_08:00,17.579375499999514,123.46354649999921
2019-12-13 01:55:00,-1,9731.928815,9733.786304,Stop_Loss,-1.8574889999999868,121.60605749999922
2019-12-16 02:00:00,-1,9746.037397,9747.752375,Stop_Loss,-1.7149779999999737,119.89107949999925
2019-12-16 05:05:00,-1,9749.4576595,9751.172638,Stop_Loss,-1.714978500000143,118.17610099999911
