setup_id,variant,date,asian_low,sweep_low,fvg_high,fvg_low,trigger_candle_low,entry_time,entry_price,stop_loss,take_profit,exit_time,exit_price,exit_type,pnl,pnl_percent,risk,reward,winner,frustrated
1,A - Le Sanctuaire,2018-01-08,7809.805548,7808.92689,7813.32018,7813.027294,7812.148636,2018-01-08 04:10:00,7814.198838,7809.098434,7819.299242,2018-01-08 05:50:00,7809.098434,SL,-5.1004039999997985,-0.06527097794334112,5.1004039999997985,5.1004039999997985,False,False
1,B - Le Structurel,2018-01-08,7809.805548,7808.92689,7813.32018,7813.027294,7812.148636,2018-01-08 04:10:00,7814.198838,7812.527294,7815.870382,2018-01-08 04:15:00,7812.527294,SL,-1.6715439999998125,-0.021391111675725348,1.6715439999998125,1.6715439999998125,False,True
1,C - Le Momentum,2018-01-08,7809.805548,7808.92689,7813.32018,7813.027294,7812.148636,2018-01-08 04:10:00,7814.198838,7811.648636,7816.749040000001,2018-01-08 04:20:00,7811.648636,SL,-2.550202000000354,-0.03263548897167638,2.550202000000354,2.550202000000354,False,True
2,A - Le Sanctuaire,2018-01-15,7945.411772,7940.43271,7944.826,7942.190026,7941.604254,2018-01-15 02:30:00,7946.876202,7940.604254,7953.148150000001,2018-01-15 04:30:00,7953.148150000001,TP,6.2719480000005206,0.07892343910456352,6.2719480000005206,6.2719480000005206,True,False
2,B - Le Structurel,2018-01-15,7945.411772,7940.43271,7944.826,7942.190026,7941.604254,2018-01-15 02:30:00,7946.876202,7941.690026,7952.0623780000005,2018-01-15 02:40:00,7941.690026,SL,-5.1861760000001595,-0.0652605611082119,5.1861760000001595,5.1861760000001595,False,True
2,C - Le Momentum,2018-01-15,7945.411772,7940.43271,7944.826,7942.190026,7941.604254,2018-01-15 02:30:00,7946.876202,7941.104254,7952.648150000001,2018-01-15 04:30:00,7952.648150000001,TP,5.7719480000005206,0.07263165869562542,5.7719480000005206,5.7719480000005206,True,False
3,A - Le Sanctuaire,2018-01-29,8226.582345,8201.687034,8218.088651,8216.917107,8217.209993,2018-01-29 03:10:00,8218.674423,8208.009184,8229.339662,2018-01-29 03:45:00,8208.009184,SL,-10.665238999999929,-0.1297683598483133,10.665238999999929,10.665238999999929,False,False
3,B - Le Structurel,2018-01-29,8226.582345,8201.687034,8218.088651,8216.917107,8217.209993,2018-01-29 03:10:00,8218.674423,8216.417107,8220.931739000001,2018-01-29 03:10:00,8220.931739000001,TP,2.257316000001083,0.02746569439086154,2.257316000001083,2.257316000001083,True,False
3,C - Le Momentum,2018-01-29,8226.582345,8201.687034,8218.088651,8216.917107,8217.209993,2018-01-29 03:10:00,8218.674423,8216.709993,8220.638853,2018-01-29 03:10:00,8220.638853,TP,1.964429999999993,0.023902029681362312,1.964429999999993,1.964429999999993,True,False
4,A - Le Sanctuaire,2018-02-01,8164.783396,8156.289702,8164.49051,8164.197624,8159.511448,2018-02-01 03:40:00,8165.662055,8159.975878,8171.348231999999,2018-02-01 03:55:00,8159.975878,SL,-5.686176999999589,-0.06963522322746418,5.686176999999589,5.686176999999589,False,False
4,B - Le Structurel,2018-02-01,8164.783396,8156.289702,8164.49051,8164.197624,8159.511448,2018-02-01 03:40:00,8165.662055,8163.697624,8167.626485999999,2018-02-01 03:40:00,8167.626485999999,TP,1.964430999999422,0.024057216509426337,1.964430999999422,1.964430999999422,True,False
4,C - Le Momentum,2018-02-01,8164.783396,8156.289702,8164.49051,8164.197624,8159.511448,2018-02-01 03:40:00,8165.662055,8159.011448,8172.312661999999,2018-02-01 03:55:00,8159.011448,SL,-6.650606999999582,-0.08144602305611315,6.650606999999582,6.650606999999582,False,False
5,A - Le Sanctuaire,2018-02-13,7611.228831,7605.956883,7619.429639,7616.207893,7616.207893,2018-02-13 04:15:00,7621.772728,7609.643059,7633.902397,2018-02-13 04:20:00,7609.643059,SL,-12.129668999999922,-0.15914498415098796,12.129668999999922,12.129668999999922,False,False
5,B - Le Structurel,2018-02-13,7611.228831,7605.956883,7619.429639,7616.207893,7616.207893,2018-02-13 04:15:00,7621.772728,7615.707893,7627.837563,2018-02-13 04:20:00,7615.707893,SL,-6.06483500000013,-0.07957249863564983,6.06483500000013,6.06483500000013,False,False
5,C - Le Momentum,2018-02-13,7611.228831,7605.956883,7619.429639,7616.207893,7616.207893,2018-02-13 04:15:00,7621.772728,7615.707893,7627.837563,2018-02-13 04:20:00,7615.707893,SL,-6.06483500000013,-0.07957249863564983,6.06483500000013,6.06483500000013,False,False
6,A - Le Sanctuaire,2018-02-20,7921.395119,7876.583559,7888.006114,7885.077254,7885.663026,2018-02-20 04:30:00,7890.349202,7879.976849,7900.721555000001,2018-02-20 05:25:00,7879.976849,SL,-10.372353000000658,-0.13145619711446402,10.372353000000658,10.372353000000658,False,False
6,B - Le Structurel,2018-02-20,7921.395119,7876.583559,7888.006114,7885.077254,7885.663026,2018-02-20 04:30:00,7890.349202,7884.577254,7896.121150000001,2018-02-20 04:40:00,7884.577254,SL,-5.7719480000005206,-0.07315199685379553,5.7719480000005206,5.7719480000005206,False,True
6,C - Le Momentum,2018-02-20,7921.395119,7876.583559,7888.006114,7885.077254,7885.663026,2018-02-20 04:30:00,7890.349202,7885.163026,7895.5353780000005,2018-02-20 04:35:00,7885.163026,SL,-5.1861760000001595,-0.0657280922203747,5.1861760000001595,5.1861760000001595,False,True
7,A - Le Sanctuaire,2018-03-21,8062.658296,8035.517195,8045.147908,8043.688709,8040.770311,2018-03-21 04:55:00,8047.190787,8037.143753,8057.237820999999,2018-03-21 06:40:00,8037.143753,SL,-10.047033999999258,-0.12485144525503167,10.047033999999258,10.047033999999258,False,False
7,B - Le Structurel,2018-03-21,8062.658296,8035.517195,8045.147908,8043.688709,8040.770311,2018-03-21 04:55:00,8047.190787,8043.188709,8051.192864999999,2018-03-21 05:10:00,8043.188709,SL,-4.002077999999528,-0.04973260987504817,4.002077999999528,4.002077999999528,False,True
7,C - Le Momentum,2018-03-21,8062.658296,8035.517195,8045.147908,8043.688709,8040.770311,2018-03-21 04:55:00,8047.190787,8040.270311,8054.111262999999,2018-03-21 05:30:00,8054.111262999999,TP,6.920475999999326,0.0859986569621184,6.920475999999326,6.920475999999326,True,False
8,A - Le Sanctuaire,2018-03-22,8019.174165,7933.956942,7975.398195,7971.604277,7965.475641,2018-03-22 03:15:00,7975.690034,7935.87534,8015.504728000001,2018-03-22 04:50:00,7935.87534,SL,-39.8146940000006,-0.49920061875865773,39.8146940000006,39.8146940000006,False,False
8,B - Le Structurel,2018-03-22,8019.174165,7933.956942,7975.398195,7971.604277,7965.475641,2018-03-22 03:15:00,7975.690034,7971.104277,7980.275791,2018-03-22 03:20:00,7980.275791,TP,4.58575699999983,0.05749668029287697,4.58575699999983,4.58575699999983,True,False
