Setup Class,Num Trades,Winrate (%),Profit Factor,Max Drawdown ($),Net Profit ($),Avg R-Multiple
C,18,83.33,15.74,208.86,12837.1,0.78
B,3,100.0,0.0,0.0,1247.14,0.44
A,0,0.0,0.0,0.0,0.0,0.0
A+,0,0.0,0.0,0.0,0.0,0.0
