Timeframe;SL_Type;RR_Ratio;Total_Trades;Wins;Losses;Inconclusive;Win_Rate_%;Total_PnL;Avg_Win;Avg_Loss;Avg_Candles_To_Win;Avg_Candles_To_Loss;Win_Loss_Ratio
5m;SL75;5.0;1372;249;1076;47;18.15;5894.76;112.81;-23.61;20.3;7.1;4.78
5m;SL50;1.0;1372;591;781;0;43.08;-979.95;17.61;-14.58;1.4;1.2;1.21
5m;SL50;1.5;1372;524;847;1;38.19;645.42;25.67;-15.1;1.8;1.4;1.7
5m;SL50;2.0;1372;482;889;1;35.13;2532.63;33.62;-15.36;2.6;1.7;2.19
5m;SL50;2.5;1372;430;941;1;31.34;2731.83;40.71;-15.68;3.7;2.0;2.6
5m;SL50;3.0;1372;392;978;2;28.57;3790.06;48.83;-15.7;5.0;2.4;3.11
5m;SL50;3.5;1372;355;1015;2;25.87;4094.11;56.58;-15.76;6.2;2.9;3.59
5m;SL50;4.0;1372;326;1042;4;23.76;4727.8;64.38;-15.76;7.2;3.2;4.09
5m;SL50;4.5;1372;303;1063;6;22.08;5173.43;71.54;-15.81;8.5;3.5;4.53
5m;SL50;5.0;1372;273;1086;13;19.9;5206.14;78.77;-15.79;10.0;3.7;4.99
5m;SL25;1.0;1372;399;973;0;29.08;-3319.6;9.49;-7.3;1.0;1.0;1.3
5m;SL25;1.5;1372;388;984;0;28.28;-1809.06;14.05;-7.38;1.1;1.0;1.9
5m;SL25;2.0;1372;361;1011;0;26.31;-1069.68;18.14;-7.54;1.2;1.1;2.41
5m;SL25;2.5;1372;337;1035;0;24.56;-492.45;22.05;-7.65;1.4;1.1;2.88
5m;SL25;3.0;1372;318;1054;0;23.18;109.31;25.95;-7.73;1.6;1.1;3.36
5m;SL25;3.5;1372;301;1071;0;21.94;703.37;29.97;-7.77;1.9;1.2;3.86
5m;SL25;4.0;1372;288;1084;0;20.99;1281.34;33.82;-7.8;2.2;1.2;4.33
5m;SL25;4.5;1372;268;1104;0;19.53;1232.9;37.02;-7.87;2.6;1.3;4.7
5m;SL25;5.0;1372;253;1119;0;18.44;1413.1;40.54;-7.9;3.3;1.4;5.13
15m;SL100;1.0;1193;581;586;26;48.7;830.19;49.87;-48.6;3.7;3.7;1.03
15m;SL100;1.5;1193;482;655;56;40.4;5110.23;73.67;-48.27;5.6;4.2;1.53
15m;SL100;2.0;1193;390;705;98;32.69;6562.18;93.53;-48.11;7.7;4.8;1.94
15m;SL100;2.5;1193;308;745;140;25.82;7262.53;113.17;-47.44;10.0;5.3;2.39
15m;SL100;3.0;1193;243;766;184;20.37;7125.71;125.57;-47.19;11.7;5.5;2.66
15m;SL100;3.5;1193;191;782;220;16.01;8385.54;144.2;-46.74;11.8;5.7;3.09
15m;SL100;4.0;1193;160;789;244;13.41;9590.52;160.25;-46.59;13.0;5.8;3.44
15m;SL100;4.5;1193;128;797;268;10.73;9516.43;166.52;-46.36;14.1;5.8;3.59
15m;SL100;5.0;1193;111;800;282;9.3;9995.83;171.32;-46.27;14.5;5.9;3.7
15m;SL75;1.0;1193;545;640;8;45.68;-1065.62;39.61;-35.42;2.5;2.2;1.12
15m;SL75;1.5;1193;456;714;23;38.22;529.87;56.73;-36.25;3.5;3.0;1.56
15m;SL75;2.0;1193;396;757;40;33.19;3700.49;75.29;-36.06;4.9;3.3;2.09
15m;SL75;2.5;1193;340;792;61;28.5;5352.04;92.53;-35.97;6.9;3.6;2.57
15m;SL75;3.0;1193;290;817;86;24.31;6054.89;105.45;-36.03;8.2;3.9;2.93
15m;SL75;3.5;1193;235;844;114;19.7;5980.74;120.13;-35.72;10.2;4.1;3.36
15m;SL75;4.0;1193;201;855;137;16.85;6625.91;130.88;-35.62;11.7;4.2;3.67
15m;SL75;4.5;1193;166;867;160;13.91;7529.51;148.43;-35.39;12.2;4.4;4.19
15m;SL75;5.0;1193;143;874;176;11.99;7973.89;158.87;-35.3;13.0;4.4;4.5
15m;SL50;1.0;1193;502;690;1;42.08;-1929.18;27.86;-23.02;1.4;1.4;1.21
15m;SL50;1.5;1193;433;757;3;36.3;-941.27;40.01;-24.03;2.0;1.6;1.67
15m;SL50;2.0;1193;389;798;6;32.61;681.45;51.79;-24.45;2.7;2.0;2.12
15m;SL50;2.5;1193;348;833;12;29.17;2031.79;63.99;-24.5;3.7;2.2;2.61
15m;SL50;3.0;1193;316;856;21;26.49;3255.48;75.2;-24.59;4.6;2.4;3.06
15m;SL50;3.5;1193;283;877;33;23.72;4471.53;87.05;-24.49;6.1;2.6;3.55
15m;SL50;4.0;1193;256;891;46;21.46;5618.22;97.37;-24.48;6.9;2.7;3.98
15m;SL50;4.5;1193;234;903;56;19.61;6353.93;107.73;-24.46;8.1;2.8;4.4
15m;SL50;5.0;1193;205;919;69;17.18;6377.94;117.41;-24.38;9.9;3.0;4.82
15m;SL25;1.0;1193;337;856;0;28.25;-5139.61;14.56;-11.74;1.0;1.0;1.24
15m;SL25;1.5;1193;321;872;0;26.91;-3731.02;20.97;-12.0;1.1;1.0;1.75
15m;SL25;2.0;1193;308;885;0;25.82;-2175.86;27.65;-12.08;1.3;1.1;2.29
15m;SL25;2.5;1193;282;911;0;23.64;-1902.71;33.05;-12.32;1.4;1.1;2.68
15m;SL25;3.0;1193;264;929;0;22.13;-1083.53;39.4;-12.36;1.7;1.2;3.19
15m;SL25;3.5;1193;250;943;0;20.96;-205.18;45.88;-12.38;2.0;1.3;3.71
15m;SL25;4.0;1193;243;950;0;20.37;896.71;52.18;-12.4;2.4;1.3;4.21
15m;SL25;4.5;1193;231;961;1;19.36;1901.44;59.41;-12.37;2.9;1.4;4.8
15m;SL25;5.0;1193;223;967;3;18.69;2941.92;66.37;-12.35;3.6;1.4;5.38
