date,time,setup_type,candle_830_open,candle_830_high,candle_830_low,candle_830_close,next_candle_open,next_candle_high,next_candle_low,next_candle_close,prev5_max_high,prev5_min_low,year
2018-01-02,08:30:00,bearish_830_to_bullish_breakout,7545.329478,7550.601426,7528.634975,7533.028265,7533.028265,7554.70183,7530.392291,7554.116058,7548.84411,7535.957126,2018
2018-01-04,08:30:00,bullish_830_to_bearish_breakdown,7741.270221,7750.056801,7733.948071,7745.370625,7745.077739,7750.642573,7734.240957,7734.533843,7750.935459,7741.270221,2018
2018-01-18,08:30:00,bearish_830_to_bullish_breakout,7981.436752,7990.516218,7977.043462,7979.679436,7979.38655,7997.545483,7978.507892,7992.859307,7984.658498,7965.328021,2018
2018-01-19,08:30:00,bearish_830_to_bullish_breakout,8018.633276,8025.66254,8012.775555,8016.290188,8016.290188,8031.813146,8013.068442,8030.05583,8023.905224,8008.089379,2018
2018-02-09,08:30:00,bullish_830_to_bearish_breakdown,7487.630933,7520.141281,7480.308783,7497.589058,7498.467716,7504.618322,7451.313068,7453.656156,7492.902882,7458.049446,2018
2018-03-01,08:30:00,bullish_830_to_bearish_breakdown,8042.942815,8071.059872,8039.135297,8057.587116,8057.587116,8059.930204,8024.783882,8031.813146,8061.68752,8042.649929,2018
2018-03-06,08:30:00,bullish_830_to_bearish_breakdown,8104.741764,8113.235458,8096.833841,8109.42794,8109.42794,8112.942572,8091.269007,8092.147665,8108.842168,8098.005385,2018
2018-03-12,08:30:00,bearish_830_to_bullish_breakout,8346.910267,8348.953145,8336.987713,8339.322432,8339.322432,8359.459378,8338.738752,8358.000179,8350.412344,8343.116349,2018
2018-03-28,08:30:00,bullish_830_to_bearish_breakdown,7601.843244,7635.696662,7590.169652,7612.349477,7612.641317,7629.859865,7540.265045,7541.432404,7609.722919,7567.406147,2018
2018-04-05,08:30:00,bullish_830_to_bearish_breakdown,7746.595787,7757.6857,7727.91804,7757.39386,7757.10202,7757.97754,7717.119967,7717.411807,7754.475462,7740.175312,2018
2018-04-09,08:30:00,bullish_830_to_bearish_breakdown,7581.706298,7594.547249,7574.410302,7594.547249,7594.255409,7598.049327,7567.406147,7571.200065,7593.37989,7577.3287,2018
