Date,Direction,Entry_Time,Entry_Price,Asian_High,Asian_Low,Asian_Mid,SL_Level,SL_Distance,Exit_Time,Exit_Price,Exit_Type,PnL_Points,Result
2018-01-02,SHORT,2018-01-02 02:15:00,7503.739664,7525.706115,7511.647587,7518.676851,7518.676851,14.93718700000045,2018-01-02 06:00:00,7518.676851,STOP_LOSS,-14.93718700000045,LOSS
2018-01-03,LONG,2018-01-03 01:45:00,7645.203609,7644.324951,7634.07394,7639.1994455,7639.1994455,6.004163499999777,2018-01-03 07:00:00,7644.324951,TIME_EXIT,-0.8786580000005415,LOSS
2018-01-04,LONG,2018-01-04 02:15:00,7732.776527,7731.019211,7709.638532,7720.3288715,7720.3288715,12.44765550000011,2018-01-04 07:00:00,7740.977335,TIME_EXIT,8.200807999999597,WIN
2018-01-05,LONG,2018-01-05 01:45:00,7747.420827,7746.835055,7731.897869,7739.366462,7739.366462,8.054364999999962,2018-01-05 07:00:00,7766.751304,TIME_EXIT,19.33047700000043,WIN
2018-01-09,LONG,2018-01-09 02:15:00,7841.730124,7841.144352,7824.742735,7832.9435435,7832.9435435,8.786580500000127,2018-01-09 07:00:00,7845.830528,TIME_EXIT,4.100404000000708,WIN
2018-01-10,SHORT,2018-01-10 01:45:00,7817.127699,7832.943543,7819.763673,7826.353608,7826.353608,9.225909000000684,2018-01-10 07:00:00,7791.353729,TIME_EXIT,25.77396999999928,WIN
2018-01-12,LONG,2018-01-12 01:00:00,7885.955912,7881.562621,7870.140067,7875.851344000001,7875.851344000001,10.104567999999745,2018-01-12 07:00:00,7892.985176,TIME_EXIT,7.029263999999785,WIN
2018-01-15,SHORT,2018-01-15 02:00:00,7941.89714,7964.742249,7945.704658,7955.2234535,7955.2234535,13.326313499999742,2018-01-15 07:00:00,7938.089622,TIME_EXIT,3.807517999999618,WIN
2018-01-16,LONG,2018-01-16 02:00:00,7963.863591,7960.641845,7938.96828,7949.8050625,7949.8050625,14.058528500000648,2018-01-16 07:00:00,7979.972322,TIME_EXIT,16.108730999999352,WIN
2018-01-17,LONG,2018-01-17 02:00:00,7936.625192,7933.696332,7907.043705,7920.3700185,7920.3700185,16.255173500000637,2018-01-17 07:00:00,7950.097949,TIME_EXIT,13.472756999999547,WIN
2018-01-19,LONG,2018-01-19 02:45:00,7997.545483,7996.373939,7968.256881,7982.31541,7982.31541,15.23007299999972,2018-01-19 07:00:00,8005.453405,TIME_EXIT,7.907922000000326,WIN
2018-01-23,LONG,2018-01-23 01:00:00,8141.938287,8139.009427,8117.628748,8128.3190875,8128.3190875,13.619199499999922,2018-01-23 05:00:00,8128.3190875,STOP_LOSS,-13.619199499999922,LOSS
2018-01-24,LONG,2018-01-24 01:00:00,8169.469573,8164.783396,8152.189298,8158.486347,8158.486347,10.983226000000286,2018-01-24 07:00:00,8174.448635,TIME_EXIT,4.9790619999994306,WIN
2018-01-25,LONG,2018-01-25 03:30:00,8141.645401,8136.373453,8112.649686,8124.5115695,8124.5115695,17.13383149999936,2018-01-25 07:00:00,8172.398433,TIME_EXIT,30.75303200000053,WIN
2018-01-26,LONG,2018-01-26 03:15:00,8150.724868,8149.84621,8129.344189,8139.5951995,8139.5951995,11.129668500000662,2018-01-26 07:00:00,8160.682992,TIME_EXIT,9.95812399999977,WIN
2018-01-29,SHORT,2018-01-29 02:00:00,8219.845967,8256.163833,8229.218319,8242.691076,8242.691076,22.845108999999866,2018-01-29 07:00:00,8213.109589,TIME_EXIT,6.736377999999604,WIN
2018-02-01,SHORT,2018-02-01 03:15:00,8160.390106,8186.456961,8164.783396,8175.620178499999,8175.620178499999,15.230072499999551,2018-02-01 07:00:00,8144.574262,TIME_EXIT,15.815843999999743,WIN
2018-02-02,SHORT,2018-02-02 02:45:00,8082.189541,8148.088894,8098.298271,8123.1935825,8123.1935825,41.00404150000031,2018-02-02 07:00:00,8056.122685,TIME_EXIT,26.06685599999946,WIN
