Datetime,Open,High,Low,Close,Volume,Swing_High,Swing_Low,FVG_Bullish_Top,FVG_Bullish_Bottom,FVG_Bullish_Mean,FVG_Bearish_Top,FVG_Bearish_Bottom,FVG_Bearish_Mean,MSS_Bullish,MSS_Bearish,OB_Bullish_High,OB_Bullish_Low,OB_Bearish_High,OB_Bearish_Low
2024-01-01 12:00:00-05:00,18244.57923,18253.15533,18238.951165,18251.815314,2372,0.0,0.0,,,,,,,0,0,,,,
2024-01-01 12:15:00-05:00,18251.815314,18263.875454,18251.547311,18259.855407,1145,18263.875454,0.0,,,,,,,0,0,,,,
2024-01-01 12:30:00-05:00,18259.855407,18263.071444,18253.959339,18253.959339,805,0.0,0.0,18253.959339,18253.15533,18253.5573345,,,,0,0,,,,
2024-01-01 12:45:00-05:00,18253.691336,18257.443379,18253.423333,18255.835361,311,0.0,0.0,,,,,,,0,0,,,,
2024-01-01 13:00:00-05:00,18256.371367,18257.175376,18252.619323,18253.691336,506,0.0,0.0,,,,,,,0,0,,,,
2024-01-01 13:15:00-05:00,18253.691336,18254.763348,18244.043224,18245.38324,716,0.0,0.0,,,,,,,0,0,,,,
2024-01-01 13:30:00-05:00,18245.38324,18253.691336,18244.043224,18252.083317,640,0.0,0.0,,,,,,,0,0,,,,
2024-01-01 13:45:00-05:00,18252.35132,18254.227342,18250.475299,18253.15533,408,0.0,0.0,,,,,,,0,0,,,,
2024-01-01 14:00:00-05:00,18252.887327,18265.483472,18252.35132,18255.567358,1656,18265.483472,0.0,,,,,,,0,0,,,,
2024-01-01 14:15:00-05:00,18255.835361,18263.339448,18252.887327,18255.567358,1008,0.0,0.0,,,,,,,0,0,,,,
2024-01-01 14:30:00-05:00,18255.299355,18257.979386,18235.735128,18240.023178,1582,0.0,18235.735128,,,,,,,0,0,,,,
2024-01-01 14:45:00-05:00,18240.291181,18248.331274,18238.951165,18239.755175,1009,0.0,0.0,,,,18252.887327,18248.331274,18250.6093005,0,0,,,,
2024-01-01 15:00:00-05:00,18239.755175,18244.57923,18238.951165,18241.899199,750,0.0,0.0,,,,,,,0,0,,,,
2024-01-01 15:15:00-05:00,18242.435206,18242.435206,18235.199122,18236.539137,946,0.0,0.0,,,,,,,0,0,,,,
2024-01-01 15:30:00-05:00,18236.80714,18238.415159,18231.179075,18236.003131,899,0.0,0.0,,,,18238.951165,18238.415159,18238.683162,0,0,,,,
2024-01-01 15:45:00-05:00,18236.003131,18236.539137,18225.283007,18233.055097,946,0.0,18225.283007,,,,,,,0,0,,,,
2024-01-01 16:00:00-05:00,18233.055097,18238.147156,18233.055097,18236.539137,545,18238.147156,0.0,,,,,,,0,0,,,,
2024-01-01 16:15:00-05:00,18236.539137,18237.075144,18229.03505,18233.859106,585,0.0,0.0,,,,,,,0,0,,,,
2024-01-01 16:30:00-05:00,18234.127109,18235.199122,18227.427032,18232.519091,368,0.0,0.0,,,,,,,0,0,,,,
2024-01-01 16:45:00-05:00,18232.519091,18234.663116,18226.623023,18232.251088,526,0.0,18226.623023,,,,,,,0,0,,,,
2024-01-01 17:00:00-05:00,18231.983085,18232.787094,18227.695035,18232.787094,368,0.0,0.0,,,,,,,0,0,,,,
2024-01-01 17:15:00-05:00,18233.055097,18233.591103,18230.107063,18232.519091,259,0.0,0.0,,,,,,,0,0,,,,
2024-01-01 17:30:00-05:00,18232.787094,18238.147156,18231.983085,18234.663116,638,18238.147156,0.0,,,,,,,0,0,,,,
2024-01-01 17:45:00-05:00,18234.127109,18236.539137,18232.251088,18232.519091,261,0.0,0.0,,,,,,,0,0,,,,
2024-01-01 18:00:00-05:00,18232.787094,18241.899199,18231.447078,18241.899199,724,0.0,18231.447078,,,,,,,0,0,,,,
2024-01-01 18:15:00-05:00,18241.631196,18244.57923,18237.61115,18242.435206,747,18244.57923,0.0,18237.61115,18236.539137,18237.0751435,,,,0,0,,,,
2024-01-01 18:30:00-05:00,18241.899199,18244.311227,18240.827187,18243.775221,464,0.0,0.0,,,,,,,0,0,,,,
2024-01-01 18:45:00-05:00,18243.775221,18244.57923,18241.631196,18243.239215,297,0.0,0.0,,,,,,,0,0,,,,
2024-01-01 19:00:00-05:00,18242.971212,18245.115237,18234.931119,18235.735128,593,18245.115237,0.0,,,,,,,0,0,,,,
2024-01-01 19:15:00-05:00,18235.735128,18238.147156,18234.663116,18237.075144,291,0.0,0.0,,,,18241.631196,18238.147156,18239.889175999997,0,0,,,,
2024-01-01 19:30:00-05:00,18236.80714,18238.147156,18231.983085,18235.467125,496,0.0,0.0,,,,,,,0,0,,,,
2024-01-01 19:45:00-05:00,18235.735128,18239.219168,18227.427032,18229.03505,716,0.0,18227.427032,,,,,,,0,0,,,,
2024-01-01 20:00:00-05:00,18228.767047,18245.115237,18228.767047,18242.703209,1301,0.0,0.0,,,,,,,0,0,,,,
2024-01-01 20:15:00-05:00,18242.703209,18249.135283,18241.899199,18245.38324,1021,18249.135283,0.0,18241.899199,18239.219168,18240.5591835,,,,0,0,,,,
2024-01-01 20:30:00-05:00,18245.651243,18246.723255,18238.951165,18239.755175,808,0.0,0.0,,,,,,,0,0,,,,
2024-01-01 20:45:00-05:00,18240.023178,18245.38324,18236.80714,18242.703209,905,0.0,18236.80714,,,,,,,0,0,,,,
2024-01-01 21:00:00-05:00,18242.971212,18258.247389,18241.363193,18252.35132,1844,0.0,0.0,,,,,,,1,0,,,,
2024-01-01 21:15:00-05:00,18251.547311,18261.195423,18248.331274,18259.319401,1196,0.0,0.0,18248.331274,18245.38324,18246.857257,,,,1,0,18246.723255,18238.951165,,
2024-01-01 21:30:00-05:00,18259.587404,18263.607451,18257.979386,18259.051398,1059,18263.607451,0.0,,,,,,,0,0,,,,
2024-01-01 21:45:00-05:00,18258.783395,18258.783395,18251.815314,18253.423333,1399,0.0,0.0,,,,,,,0,0,,,,
2024-01-01 22:00:00-05:00,18253.423333,18254.763348,18225.819013,18227.695035,2852,0.0,0.0,,,,18257.979386,18254.763348,18256.371367,0,0,,,,
