entry_time,entry_price,sl_price,tp_price,exit_time,exit_price,outcome,pnl_points,risk_points,reward_points,rr_ratio,session_date,sweep_high,mss_low,equity,cumulative_pnl
2024-01-05 04:25:00,17580.065537000002,17607.979802,17557.151272,2024-01-05 04:40:00,17557.151272,win,22.91426500000307,27.914264999999432,22.91426500000307,0.8208801127310189,2024-01-05,17602.979802,17557.151272,100820.88011273101,820.8801127310144
2024-01-17 03:10:00,18052.1530025,18080.469272,18028.836733,2024-01-17 03:35:00,18080.469272,loss,-28.31626949999918,28.31626949999918,23.31626949999918,0.8234230677879322,2024-01-17,18075.469272,18028.836733,99812.6713116037,-187.328688396301
2024-03-07 02:10:00,19226.408597499998,19251.910835,19205.90636,2024-03-07 02:20:00,19251.910835,loss,-25.502237500000774,25.502237500000774,20.502237499997136,0.8039387720389833,2024-03-07,19246.910835,19205.90636,98814.54459848766,-1185.455401512343
2024-03-07 02:10:00,19232.4386675,19263.970975,19205.90636,2024-03-07 02:20:00,19263.970975,loss,-31.53230750000148,31.53230750000148,26.53230749999784,0.8414324736620241,2024-03-07,19258.970975,19205.90636,97826.39915250278,-2173.6008474972186
2024-03-07 02:10:00,19234.984697,19269.063034,19205.90636,2024-03-07 02:25:00,19269.063034,loss,-34.07833699999901,34.07833699999901,29.07833699999901,0.853279225450463,2024-03-07,19264.063034,19205.90636,96848.13516097775,-3151.8648390222515
2024-03-11 03:00:00,19318.065659,19347.587943,19293.543375,2024-03-11 03:05:00,19293.543375,win,24.522283999998763,29.522283999998763,24.522283999998763,0.8306364101097256,2024-03-11,19342.587943,19293.543375,97652.5910341371,-2347.4089658628945
2024-04-08 03:15:00,19373.5910265,19401.461094,19351.249747,2024-04-08 03:20:00,19351.249747,win,22.341279499996745,27.870067500000005,22.341279499996745,0.8016227266043306,2024-04-08,19396.461094,19350.720959,98435.39639698472,-1564.6036030152754
2024-04-08 03:15:00,19373.5910265,19401.461094,19351.249747,2024-04-08 03:20:00,19351.249747,win,22.341279499996745,27.870067500000005,22.341279499996745,0.8016227266043306,2024-04-08,19396.461094,19350.720959,99224.47690552601,-775.5230944739887
2024-04-08 03:15:00,19375.838374,19405.955789,19351.249747,2024-04-08 03:20:00,19351.249747,win,24.58862699999736,30.11741500000062,24.58862699999736,0.8164255464818894,2024-04-08,19400.955789,19350.720959,100034.57088334575,34.57088334574655
2024-04-16 04:50:00,18879.703328,18916.033998,18848.372658,2024-04-16 05:05:00,18848.372658,win,31.330669999999373,36.33066999999937,31.330669999999373,0.8623752328266975,2024-04-16,18911.033998,18848.372658,100897.24424690819,897.244246908187
2024-04-16 04:50:00,18879.703328,18916.033998,18848.372658,2024-04-16 05:05:00,18848.372658,win,31.330669999999373,36.33066999999937,31.330669999999373,0.8623752328266975,2024-04-16,18911.033998,18848.372658,101767.35709189819,1767.357091898186
2024-04-19 03:05:00,18426.4000845,18452.287198,18405.512971,2024-04-19 03:10:00,18405.512971,win,20.88711350000085,25.88711350000085,20.88711350000085,0.8068537073474864,2024-04-19,18447.287198,18405.512971,102588.47078546372,2588.4707854637236
2024-04-19 03:10:00,18415.163346,18445.148564,18390.178128,2024-04-19 03:15:00,18445.148564,loss,-29.985217999997985,29.985217999997985,24.985218000001623,0.833251170626917,2024-04-19,18440.148564,18390.178128,101562.58607760908,1562.586077609085
2024-04-19 03:10:00,18415.42774,18445.677352,18390.178128,2024-04-19 03:15:00,18445.677352,loss,-30.249611999999615,30.249611999999615,25.249611999999615,0.834708623700692,2024-04-19,18440.677352,18390.178128,100546.96021683299,546.9602168329875
2024-05-02 03:55:00,18590.7208575,18616.740168,18569.701547,2024-05-02 05:05:00,18616.740168,loss,-26.019310499999847,26.019310499999847,21.019310499999847,0.8078350308321955,2024-05-02,18611.740168,18569.701547,99541.49061466465,-458.50938533534645
2024-05-02 06:55:00,18598.784870000003,18624.143196,18578.426544,2024-05-02 07:30:00,18578.426544,win,20.358326000001398,25.35832599999776,20.358326000001398,0.8028261013760607,2024-05-02,18619.143196,18578.426544,100340.63568301799,340.6356830179866
2024-05-02 06:55:00,18598.784870000003,18624.143196,18578.426544,2024-05-02 07:30:00,18578.426544,win,20.358326000001398,25.35832599999776,20.358326000001398,0.8028261013760607,2024-05-02,18619.143196,18578.426544,101146.19649656792,1146.1964965679217
2024-05-09 04:15:00,19167.231632000003,19193.383139,19146.080125,2024-05-09 05:20:00,19193.383139,loss,-26.151506999998674,26.151506999998674,21.15150700000231,0.8088064293963397,2024-05-09,19188.383139,19146.080125,100134.73453160224,134.73453160224017
