Date,Entry_Time,Direction,Entry_Price,Exit_Time,Exit_Price,PnL_Points,Result,Asian_High,Asian_Low,Asian_Range,Volume,Volume_MA_20,Year
2018-01-02,2018-01-02 02:15:00,SHORT,7503.739664,2018-01-02 07:00:00,7535.66424,-31.924576000000343,LOSS,7525.706115,7511.647587,14.05852799999957,1034.0,267.55,2018
2018-01-03,2018-01-03 01:45:00,LONG,7645.203609,2018-01-03 07:00:00,7644.324951,-0.8786580000005415,LOSS,7644.324951,7634.07394,10.25101099999938,412.0,148.05,2018
2018-01-04,2018-01-04 02:15:00,LONG,7732.776527,2018-01-04 07:00:00,7740.977335,8.200807999999597,WIN,7731.019211,7709.638532,21.380678999999873,734.0,342.05,2018
2018-01-05,2018-01-05 01:45:00,LONG,7747.420827,2018-01-05 07:00:00,7766.751304,19.33047700000043,WIN,7746.835055,7731.897869,14.937185999999201,300.0,186.95,2018
2018-01-09,2018-01-09 02:15:00,LONG,7841.730124,2018-01-09 07:00:00,7845.830528,4.100404000000708,WIN,7841.144352,7824.742735,16.401617000000442,729.0,237.85,2018
2018-01-10,2018-01-10 01:45:00,SHORT,7817.127699,2018-01-10 07:00:00,7791.353729,25.77396999999928,WIN,7832.357771,7819.763673,12.594097999999576,801.0,344.15,2018
2018-01-11,2018-01-11 01:30:00,LONG,7829.721797,2018-01-11 07:00:00,7840.265694,10.54389699999956,WIN,7829.428911,7807.46246,21.966451000000234,371.0,345.85,2018
2018-01-12,2018-01-12 01:00:00,LONG,7885.955912,2018-01-12 07:00:00,7892.985176,7.029263999999785,WIN,7881.562621,7871.018725,10.543896000000132,736.0,334.35,2018
2018-01-15,2018-01-15 02:00:00,SHORT,7941.89714,2018-01-15 07:00:00,7938.089622,3.807517999999618,WIN,7964.742249,7945.704658,19.037591000000248,1122.0,321.1,2018
2018-01-16,2018-01-16 02:00:00,LONG,7963.863591,2018-01-16 07:00:00,7979.972322,16.108730999999352,WIN,7960.641845,7940.725596,19.91624899999988,828.0,339.95,2018
2018-01-17,2018-01-17 02:00:00,LONG,7936.625192,2018-01-17 07:00:00,7950.097949,13.472756999999547,WIN,7933.696332,7910.851223,22.845109000000775,1465.0,502.25,2018
2018-01-19,2018-01-19 02:45:00,LONG,7997.545483,2018-01-19 07:00:00,8005.453405,7.907922000000326,WIN,7996.373939,7968.256881,28.117057999999815,671.0,453.0,2018
2018-01-23,2018-01-23 01:00:00,LONG,8141.938287,2018-01-23 07:00:00,8126.415329,-15.522957999999562,LOSS,8139.009427,8117.628748,21.380678999999873,601.0,424.9,2018
2018-01-24,2018-01-24 01:00:00,LONG,8169.469573,2018-01-24 07:00:00,8174.448635,4.9790619999994306,WIN,8164.783396,8152.189298,12.594097999999576,345.0,293.7,2018
2018-01-26,2018-01-26 03:15:00,LONG,8150.724868,2018-01-26 07:00:00,8160.682992,9.95812399999977,WIN,8149.84621,8129.344189,20.50202099999933,530.0,374.1,2018
2018-01-29,2018-01-29 02:00:00,SHORT,8219.845967,2018-01-29 07:00:00,8213.109589,6.736377999999604,WIN,8256.163833,8229.218319,26.945514000000912,1726.0,513.35,2018
2018-02-01,2018-02-01 02:45:00,SHORT,8167.126485,2018-02-01 07:00:00,8144.574262,22.552222999999685,WIN,8186.456961,8172.984205,13.472756000000118,941.0,397.6,2018
2018-02-02,2018-02-02 02:45:00,SHORT,8082.189541,2018-02-02 07:00:00,8056.122685,26.06685599999946,WIN,8136.666339,8098.298271,38.368068000000676,2527.0,779.5,2018
2018-02-06,2018-02-06 02:00:00,LONG,7576.961168,2018-02-06 07:00:00,7498.760602,-78.20056599999953,LOSS,7566.417271,7334.158662,232.25860900000043,5017.0,2999.8,2018
2018-02-07,2018-02-07 02:00:00,SHORT,7702.023495,2018-02-07 07:00:00,7777.295201,-75.27170599999954,LOSS,7807.169574,7709.638532,97.53104199999962,2403.0,1217.75,2018
2018-02-09,2018-02-09 02:45:00,LONG,7462.442736,2018-02-09 07:00:00,7428.760845,-33.68189100000018,LOSS,7460.392534,7367.254782,93.13775199999964,1398.0,1181.85,2018
2018-02-12,2018-02-12 02:30:00,LONG,7580.4758,2018-02-12 07:00:00,7603.028023,22.552222999999685,WIN,7561.438209,7537.12867,24.30953899999986,2033.0,658.7,2018
2018-02-13,2018-02-13 01:30:00,SHORT,7623.530044,2018-02-13 07:00:00,7621.479842,2.050202000000354,WIN,7675.370868,7629.68065,45.69021799999973,1274.0,875.75,2018
2018-02-14,2018-02-14 01:00:00,LONG,7700.559065,2018-02-14 07:00:00,7718.425112,17.866046999999526,WIN,7695.287117,7675.95664,19.33047699999952,926.0,551.1,2018
2018-02-15,2018-02-15 02:15:00,LONG,7893.570948,2018-02-15 07:00:00,7871.897383,-21.673564999999144,LOSS,7887.127456,7830.014683,57.112772999999834,1118.0,807.05,2018
2018-02-16,2018-02-16 02:00:00,LONG,8019.80482,2018-02-16 07:00:00,7995.202395,-24.60242500000004,LOSS,8019.219048,7991.980649,27.238398999999845,1361.0,575.45,2018
2018-02-19,2018-02-19 03:00:00,SHORT,7969.428426,2018-02-19 07:00:00,7963.570705,5.857721000000311,WIN,7989.344674,7972.357286,16.987387999999555,1009.0,393.3,2018
2018-02-20,2018-02-20 03:00:00,SHORT,7917.294715,2018-02-20 07:00:00,7893.863834,23.430881000000227,WIN,7959.177415,7921.395119,37.782296000000315,1046.0,618.7,2018
2018-02-23,2018-02-23 01:00:00,LONG,7988.17313,2018-02-23 07:00:00,7997.838369,9.665238999999929,WIN,7974.700374,7950.097949,24.60242500000004,1049.0,628.4,2018
2018-02-26,2018-02-26 02:00:00,LONG,8101.227132,2018-02-26 07:00:00,8125.829557,24.60242500000004,WIN,8097.419613,8073.40296,24.01665299999968,2205.0,602.65,2018
2018-03-01,2018-03-01 01:00:00,LONG,8062.859064,2018-03-01 07:00:00,8032.106032,-30.75303200000053,LOSS,8059.051546,8014.532872,44.51867399999992,2548.0,880.65,2018
2018-03-02,2018-03-02 03:45:00,SHORT,7892.106518,2018-03-02 07:00:00,7832.064885,60.04163299999982,WIN,7941.018482,7897.378466,43.64001600000029,1399.0,1174.5,2018
2018-03-06,2018-03-06 01:00:00,LONG,8085.997059,2018-03-06 07:00:00,8108.842168,22.845108999999866,WIN,8076.038934,8058.172888,17.866046000000097,1844.0,582.8,2018
2018-03-08,2018-03-08 01:00:00,LONG,8137.837883,2018-03-08 07:00:00,8158.047018,20.20913500000006,WIN,8125.243785,8103.863106,21.380678999999873,3099.0,662.5,2018
2018-03-13,2018-03-13 02:00:00,LONG,8366.463534,2018-03-13 07:00:00,8373.467689,7.004154999998718,WIN,8364.420655,8348.077626,16.34302899999966,488.0,252.3,2018
2018-03-14,2018-03-14 02:30:00,LONG,8259.358325,2018-03-14 07:00:00,8294.087262,34.72893699999986,WIN,8251.186811,8221.127311,30.05949999999939,1417.0,503.1,2018
2018-03-15,2018-03-15 02:30:00,LONG,8260.525684,2018-03-15 07:00:00,8233.968262,-26.55742199999986,LOSS,8258.482806,8203.325082,55.1577240000006,889.0,521.1,2018
2018-03-19,2018-03-19 01:45:00,SHORT,8155.463354,2018-03-19 07:00:00,8133.575369,21.8879850000003,WIN,8219.959951,8173.265583,46.694368000000395,858.0,854.1,2018
2018-03-21,2018-03-21 03:00:00,SHORT,8063.825656,2018-03-21 07:00:00,8040.770311,23.05534499999976,WIN,8082.211563,8064.409335,17.80222799999956,1487.0,379.0,2018
2018-03-22,2018-03-22 01:30:00,SHORT,8029.680398,2018-03-22 07:00:00,7951.175491,78.50490700000046,WIN,8072.28901,8035.517195,36.77181500000006,1027.0,608.8,2018
2018-03-26,2018-03-26 01:00:00,LONG,7722.956763,2018-03-26 07:00:00,7788.912559,65.95579600000019,WIN,7718.579166,7662.254084,56.32508200000029,1962.0,1337.4,2018
2018-03-27,2018-03-27 01:30:00,LONG,7966.059321,2018-03-27 07:00:00,7975.981874,9.922553000000335,WIN,7962.557243,7921.99151,40.565733000000364,2279.0,880.1,2018
2018-03-28,2018-03-28 02:15:00,SHORT,7615.559715,2018-03-28 07:00:00,7668.38272,-52.823004999999284,LOSS,7683.850229,7620.229152,63.62107699999979,4468.0,1846.65,2018
2018-03-29,2018-03-29 01:15:00,LONG,7590.461492,2018-03-29 07:00:00,7597.757487,7.295994999999493,WIN,7589.877812,7551.646798,38.23101399999996,2502.0,992.1,2018
2018-04-02,2018-04-02 01:45:00,SHORT,7643.868176,2018-04-02 07:00:00,7642.700817,1.1673590000000331,WIN,7677.137914,7648.537613,28.60030099999949,1055.0,423.8,2018
2018-04-04,2018-04-04 01:15:00,SHORT,7502.325871,2018-04-04 07:00:00,7427.90672,74.41915100000006,WIN,7537.346647,7506.995307,30.351340000000164,946.0,657.4,2018
2018-04-05,2018-04-05 01:30:00,LONG,7743.09371,2018-04-05 07:00:00,7755.350982,12.25727199999983,WIN,7742.21819,7682.39103,59.82715999999982,1549.0,828.8,2018
2018-04-06,2018-04-06 01:30:00,LONG,7640.657938,2018-04-06 07:00:00,7627.525147,-13.132790999999997,LOSS,7635.112982,7570.616385,64.49659699999938,1245.0,1093.2,2018
2018-04-09,2018-04-09 03:30:00,LONG,7612.057637,2018-04-09 07:00:00,7577.62054,-34.437096999999994,LOSS,7609.431079,7561.861191,47.56988799999999,2344.0,994.9,2018
2018-04-17,2018-04-17 01:00:00,LONG,7865.082748,2018-04-17 07:00:00,7887.554413,22.47166500000003,WIN,7864.499069,7825.392535,39.106534000000465,814.0,570.1,2018
2018-04-19,2018-04-19 01:15:00,SHORT,7994.659622,2018-04-19 07:00:00,7968.1022,26.55742199999986,WIN,8015.380248,8004.290335,11.089913000000706,968.0,334.2,2018
2018-04-20,2018-04-20 02:00:00,SHORT,7892.51569,2018-04-20 07:00:00,7900.687205,-8.171515,LOSS,7926.660947,7897.185127,29.475820000000567,1425.0,413.5,2018
2018-04-23,2018-04-23 02:15:00,SHORT,7786.286001,2018-04-23 07:00:00,7814.886302,-28.60030099999949,LOSS,7824.517015,7798.251433,26.265581999999995,2445.0,624.25,2018
2018-04-24,2018-04-24 01:00:00,LONG,7794.749355,2018-04-24 07:00:00,7821.890457,27.1411020000005,WIN,7794.457515,7767.608253,26.849261999999726,523.0,390.8,2018
2018-04-25,2018-04-25 03:30:00,SHORT,7573.826623,2018-04-25 07:00:00,7589.002293,-15.175669999999627,LOSS,7633.070103,7585.208375,47.86172799999986,3071.0,942.4,2018
2018-04-26,2018-04-26 01:00:00,SHORT,7669.550079,2018-04-26 07:00:00,7712.15869,-42.608611000000565,LOSS,7719.162846,7693.189103,25.973743000000468,980.0,529.85,2018
2018-04-30,2018-04-30 01:00:00,LONG,7825.684375,2018-04-30 07:00:00,7818.680219,-7.004155999999966,LOSS,7824.808855,7792.706477,32.1023780000005,608.0,444.85,2018
2018-05-01,2018-05-01 02:45:00,SHORT,7719.162846,2018-05-01 07:00:00,7702.527977,16.634869000000435,WIN,7732.003797,7720.330205,11.673592000000099,575.0,353.9,2018
2018-05-03,2018-05-03 02:15:00,LONG,7753.308103,2018-05-03 07:00:00,7713.32605,-39.98205300000063,LOSS,7752.432584,7731.128278,21.304305999999997,1148.0,454.8,2018
2018-05-08,2018-05-08 03:15:00,SHORT,7956.136768,2018-05-08 07:00:00,7944.171336,11.965431999999964,WIN,7978.316593,7957.304127,21.012465999999222,1622.0,536.0,2018
2018-05-11,2018-05-11 01:15:00,SHORT,8116.9405,2018-05-11 07:00:00,8135.618248,-18.677748000000065,LOSS,8137.661126,8123.069136,14.591989999999896,768.0,261.95,2018
2018-05-14,2018-05-14 01:45:00,SHORT,8147.87552,2018-05-14 07:00:00,8141.746884,6.12863599999946,WIN,8164.802228,8151.377597,13.424630999999863,406.0,345.2,2018
2018-05-15,2018-05-15 01:00:00,SHORT,8111.103704,2018-05-15 07:00:00,8106.726107,4.377596999999696,WIN,8144.373442,8123.652816,20.720626000000266,1063.0,499.3,2018
2018-05-17,2018-05-17 01:00:00,SHORT,8077.833966,2018-05-17 07:00:00,8068.203253,9.630713000000469,WIN,8106.726107,8085.421801,21.304305999999997,674.0,522.35,2018
2018-05-21,2018-05-21 01:00:00,SHORT,8074.623728,2018-05-21 07:00:00,8073.748209,0.8755189999992581,WIN,8095.636194,8083.378923,12.257270999999491,915.0,271.55,2018
2018-05-22,2018-05-22 01:45:00,LONG,8078.709486,2018-05-22 07:00:00,8101.181151,22.47166500000003,WIN,8078.417646,8064.993015,13.424630999999863,563.0,278.8,2018
2018-05-23,2018-05-23 02:15:00,SHORT,8000.204578,2018-05-23 07:00:00,7991.741224,8.463353999999526,WIN,8061.199097,8016.839447,44.35964999999942,3733.0,762.0,2018
2018-05-24,2018-05-24 01:45:00,LONG,8118.399699,2018-05-24 07:00:00,8119.858898,1.4591990000008082,WIN,8115.481301,8084.254442,31.226858999999422,1013.0,516.4,2018
2018-05-29,2018-05-29 01:00:00,SHORT,8133.867209,2018-05-29 07:00:00,8078.709486,55.15772300000026,WIN,8159.257272,8136.785607,22.47166500000003,819.0,424.05,2018
2018-05-30,2018-05-30 01:00:00,LONG,8116.64866,2018-05-30 07:00:00,8134.742728,18.094068000000334,WIN,8112.562903,8076.374767,36.18813599999976,1980.0,657.25,2018
2018-05-31,2018-05-31 01:15:00,LONG,8163.634869,2018-05-31 07:00:00,8160.132791,-3.502078000000438,LOSS,8160.716471,8139.412165,21.304305999999997,686.0,475.2,2018
2018-06-01,2018-06-01 01:45:00,LONG,8175.016621,2018-06-01 07:00:00,8177.64318,2.6265590000002703,WIN,8165.094068,8147.0,18.094068000000334,1805.0,471.45,2018
2018-06-04,2018-06-04 02:45:00,LONG,8303.717975,2018-06-04 07:00:00,8291.460704,-12.2572710000004,LOSS,8299.924058,8271.323757,28.6003010000004,1720.0,650.35,2018
2018-06-05,2018-06-05 03:00:00,LONG,8353.038903,2018-06-05 07:00:00,8359.167538,6.128634999999122,WIN,8352.163383,8332.026437,20.136945999998716,1499.0,407.75,2018
2018-06-07,2018-06-07 01:15:00,LONG,8439.131645,2018-06-07 07:00:00,8422.204936,-16.92670899999939,LOSS,8437.964286,8418.119179,19.845107000001008,794.0,300.5,2018
