direction,sl_type,rr_ratio,smt_datetime,entry_datetime,entry_price,stop_loss,take_profit,risk,reward,exit_datetime,exit_price,pnl,outcome,variant
LONG,entry_candle,1.0,2018-01-12 03:30:00,2018-01-15 01:00:00,7947.754861,7946.583316,7948.9264060000005,1.171545000000151,1.171545000000151,2018-01-15 01:00:00,7946.583316,-1.171545000000151,LOSS,SL: Entry Candle | TP: 1.0:1 R/R
LONG,entry_candle,1.0,2018-01-12 03:45:00,2018-01-15 01:00:00,7947.754861,7946.583316,7948.9264060000005,1.171545000000151,1.171545000000151,2018-01-15 01:00:00,7946.583316,-1.171545000000151,LOSS,SL: Entry Candle | TP: 1.0:1 R/R
SHORT,entry_candle,1.0,2018-01-15 02:00:00,2018-01-15 02:05:00,7945.411772,7950.097949,7940.725595000001,4.686176999999589,4.686176999999589,2018-01-15 02:15:00,7940.725595000001,4.686176999999589,WIN,SL: Entry Candle | TP: 1.0:1 R/R
LONG,entry_candle,1.0,2018-01-15 02:15:00,2018-01-15 02:25:00,7946.876202,7941.604254,7952.148150000001,5.2719480000005206,5.2719480000005206,2018-01-15 02:30:00,7941.604254,-5.2719480000005206,LOSS,SL: Entry Candle | TP: 1.0:1 R/R
SHORT,entry_candle,1.0,2018-01-16 03:45:00,2018-01-17 01:00:00,7925.78841,7926.667068,7924.9097520000005,0.878657999999632,0.878657999999632,2018-01-17 01:00:00,7926.667068,-0.878657999999632,LOSS,SL: Entry Candle | TP: 1.0:1 R/R
LONG,entry_candle,1.0,2018-01-22 01:45:00,2018-01-22 02:15:00,8015.41153,8010.725353,8020.097707000001,4.686177000000498,4.686177000000498,2018-01-22 02:15:00,8010.725353,-4.686177000000498,LOSS,SL: Entry Candle | TP: 1.0:1 R/R
LONG,entry_candle,1.0,2018-01-22 02:00:00,2018-01-22 02:15:00,8015.41153,8010.725353,8020.097707000001,4.686177000000498,4.686177000000498,2018-01-22 02:15:00,8010.725353,-4.686177000000498,LOSS,SL: Entry Candle | TP: 1.0:1 R/R
SHORT,entry_candle,1.0,2018-01-22 02:30:00,2018-01-22 03:00:00,8013.654214,8015.997302,8011.3111260000005,2.343087999999625,2.343087999999625,2018-01-22 03:00:00,8015.997302,-2.343087999999625,LOSS,SL: Entry Candle | TP: 1.0:1 R/R
LONG,entry_candle,1.0,2018-01-25 01:45:00,2018-01-25 02:15:00,8127.001101,8118.507406,8135.494796,8.493695000000116,8.493695000000116,2018-01-25 02:15:00,8118.507406,-8.493695000000116,LOSS,SL: Entry Candle | TP: 1.0:1 R/R
SHORT,entry_candle,1.0,2018-02-06 03:00:00,2018-02-06 03:10:00,7617.672323,7656.040391,7579.304254999999,38.368068000000676,38.368068000000676,2018-02-06 03:30:00,7579.304254999999,38.368068000000676,WIN,SL: Entry Candle | TP: 1.0:1 R/R
LONG,entry_candle,1.0,2018-02-06 03:45:00,2018-02-07 01:00:00,7746.835055,7723.69706,7769.973049999999,23.137994999999137,23.137994999999137,2018-02-07 01:00:00,7723.69706,-23.137994999999137,LOSS,SL: Entry Candle | TP: 1.0:1 R/R
SHORT,entry_candle,1.0,2018-02-07 01:15:00,2018-02-07 01:30:00,7726.040148,7744.784853,7707.295443,18.744705000000067,18.744705000000067,2018-02-07 01:30:00,7744.784853,-18.744705000000067,LOSS,SL: Entry Candle | TP: 1.0:1 R/R
LONG,entry_candle,1.0,2018-02-07 02:00:00,2018-02-07 02:30:00,7737.169817,7726.918806,7747.420828,10.25101100000029,10.25101100000029,2018-02-07 02:40:00,7726.918806,-10.25101100000029,LOSS,SL: Entry Candle | TP: 1.0:1 R/R
LONG,entry_candle,1.0,2018-02-07 02:15:00,2018-02-07 02:30:00,7737.169817,7726.918806,7747.420828,10.25101100000029,10.25101100000029,2018-02-07 02:40:00,7726.918806,-10.25101100000029,LOSS,SL: Entry Candle | TP: 1.0:1 R/R
SHORT,entry_candle,1.0,2018-02-09 02:45:00,2018-02-09 03:15:00,7444.283803,7464.200052,7424.367554,19.91624899999988,19.91624899999988,2018-02-12 01:00:00,7464.200052,-19.91624899999988,LOSS,SL: Entry Candle | TP: 1.0:1 R/R
SHORT,entry_candle,1.0,2018-02-09 02:45:00,2018-02-09 03:15:00,7444.283803,7464.200052,7424.367554,19.91624899999988,19.91624899999988,2018-02-12 01:00:00,7464.200052,-19.91624899999988,LOSS,SL: Entry Candle | TP: 1.0:1 R/R
SHORT,entry_candle,1.0,2018-02-16 03:30:00,2018-02-19 01:00:00,7984.072726,7985.830042,7982.315410000001,1.757315999999264,1.757315999999264,2018-02-19 01:00:00,7985.830042,-1.757315999999264,LOSS,SL: Entry Candle | TP: 1.0:1 R/R
LONG,entry_candle,1.0,2018-02-19 03:15:00,2018-02-19 03:30:00,7972.943058,7970.014198,7975.871918,2.928859999999986,2.928859999999986,2018-02-19 03:30:00,7970.014198,-2.928859999999986,LOSS,SL: Entry Candle | TP: 1.0:1 R/R
LONG,entry_candle,1.0,2018-02-20 03:30:00,2018-02-21 01:00:00,7977.043462,7971.185742,7982.901182,5.857719999999972,5.857719999999972,2018-02-21 01:00:00,7971.185742,-5.857719999999972,LOSS,SL: Entry Candle | TP: 1.0:1 R/R
LONG,entry_candle,1.0,2018-02-20 03:45:00,2018-02-21 01:00:00,7977.043462,7971.185742,7982.901182,5.857719999999972,5.857719999999972,2018-02-21 01:00:00,7971.185742,-5.857719999999972,LOSS,SL: Entry Candle | TP: 1.0:1 R/R
LONG,entry_candle,1.0,2018-02-22 01:30:00,2018-02-22 01:45:00,7884.784368,7879.219533,7890.349202999999,5.564834999999221,5.564834999999221,2018-02-22 02:00:00,7879.219533,-5.564834999999221,LOSS,SL: Entry Candle | TP: 1.0:1 R/R
LONG,entry_candle,1.0,2018-02-26 03:30:00,2018-02-27 01:00:00,8188.80005,8185.578303,8192.021797,3.2217469999995956,3.2217469999995956,2018-02-27 01:00:00,8185.578303,-3.2217469999995956,LOSS,SL: Entry Candle | TP: 1.0:1 R/R
LONG,entry_candle,1.0,2018-02-26 03:30:00,2018-02-27 01:00:00,8188.80005,8185.578303,8192.021797,3.2217469999995956,3.2217469999995956,2018-02-27 01:00:00,8185.578303,-3.2217469999995956,LOSS,SL: Entry Candle | TP: 1.0:1 R/R
SHORT,entry_candle,1.0,2018-03-06 01:45:00,2018-03-06 02:15:00,8083.068199,8087.461489,8078.674909,4.393289999999979,4.393289999999979,2018-03-06 02:15:00,8087.461489,-4.393289999999979,LOSS,SL: Entry Candle | TP: 1.0:1 R/R
SHORT,entry_candle,1.0,2018-03-06 01:45:00,2018-03-06 02:15:00,8083.068199,8087.461489,8078.674909,4.393289999999979,4.393289999999979,2018-03-06 02:15:00,8087.461489,-4.393289999999979,LOSS,SL: Entry Candle | TP: 1.0:1 R/R
SHORT,entry_candle,1.0,2018-03-07 02:00:00,2018-03-07 02:00:00,8017.461732,8029.762944,8005.160519999999,12.301212000000305,12.301212000000305,2018-03-07 02:15:00,8029.762944,-12.301212000000305,LOSS,SL: Entry Candle | TP: 1.0:1 R/R
LONG,entry_candle,1.0,2018-03-07 03:30:00,2018-03-08 01:00:00,8137.837883,8121.14338,8154.532386,16.694502999999713,16.694502999999713,2018-03-08 01:00:00,8121.14338,-16.694502999999713,LOSS,SL: Entry Candle | TP: 1.0:1 R/R
