Entry_Time,Direction,Entry_Price,Exit_Time,Exit_Price,Exit_Reason,PnL,Is_Winner,Session,Cumulative_PnL
2018-01-02 01:15:00,SHORT,7519.848395,2018-01-02 01:25:00,7518.426851,TP,1.4215439999998125,True,London,1.4215439999998125
2018-01-02 08:30:00,SHORT,7533.028265,2018-01-02 08:35:00,7550.851426,SL,-17.823161000000255,False,New York,-16.401617000000442
2018-01-03 01:00:00,LONG,7642.274748,2018-01-03 01:55:00,7644.574949999999,TP,2.3002019999994445,True,London,-14.101415000000998
2018-01-03 08:30:00,LONG,7660.726567,2018-01-03 08:50:00,7676.206638999999,TP,15.480071999999382,True,New York,1.378656999998384
2018-01-04 03:05:00,LONG,7731.019211,2018-01-04 03:10:00,7729.304781,SL,-1.714429999999993,False,London,-0.33577300000160903
2018-01-04 08:35:00,SHORT,7734.533843,2018-01-04 08:45:00,7718.175113,TP,16.358729999999923,True,New York,16.022956999998314
2018-01-05 01:45:00,LONG,7748.592371,2018-01-05 02:05:00,7750.599687,TP,2.0073160000001735,True,London,18.030272999998488
2018-01-05 08:30:00,SHORT,7755.32875,2018-01-05 09:15:00,7769.637278,SL,-14.308528000000479,False,New York,3.721744999998009
2018-01-08 01:40:00,LONG,7816.541926,2018-01-08 01:45:00,7817.084812,TP,0.5428860000001805,True,London,4.2646309999981895
2018-01-08 08:30:00,LONG,7811.85575,2018-01-08 09:25:00,7822.942531999999,TP,11.086781999999403,True,New York,15.351412999997592
2018-01-09 01:05:00,LONG,7837.043947,2018-01-09 02:10:00,7839.3441490000005,TP,2.300202000000354,True,London,17.651614999997946
2018-01-09 08:35:00,SHORT,7836.458175,2018-01-09 08:40:00,7823.614076,TP,12.844098999999915,True,New York,30.49571399999786
2018-01-10 01:25:00,SHORT,7821.813875,2018-01-10 01:35:00,7823.528305,SL,-1.714429999999993,False,London,28.781283999997868
2018-01-10 08:30:00,LONG,7805.705144,2018-01-10 08:50:00,7787.589097,SL,-18.116046999999526,False,New York,10.665236999998342
2018-01-11 03:10:00,SHORT,7825.621393,2018-01-11 05:10:00,7829.678911,SL,-4.057517999999618,False,London,6.607718999998724
2018-01-11 08:30:00,SHORT,7829.136025,2018-01-11 08:40:00,7834.072201,SL,-4.9361760000001595,False,New York,1.6715429999985645
2018-01-12 03:20:00,SHORT,7895.62115,2018-01-12 03:35:00,7891.563632,TP,4.057517999999618,True,London,5.7290609999981825
2018-01-12 08:30:00,LONG,7869.261409,2018-01-12 09:00:00,7885.620139999999,TP,16.358730999999352,True,New York,22.087791999997535
2018-01-15 01:05:00,LONG,7952.733923,2018-01-15 01:30:00,7946.919088,SL,-5.81483500000013,False,London,16.272956999997405
2018-01-15 08:50:00,SHORT,7938.382508,2018-01-15 09:00:00,7940.68271,SL,-2.300202000000354,False,New York,13.97275499999705
2018-01-16 01:30:00,LONG,7959.177415,2018-01-16 01:35:00,7960.0131870000005,TP,0.835772000000361,True,London,14.808526999997412
2018-01-16 08:30:00,LONG,7996.666825,2018-01-16 08:45:00,8016.247302000001,TP,19.58047700000043,True,New York,34.38900399999784
2018-01-17 01:10:00,LONG,7928.131498,2018-01-17 01:25:00,7931.8961309999995,TP,3.764632999999776,True,London,38.153636999997616
2018-01-17 08:30:00,SHORT,7927.838612,2018-01-17 08:45:00,7909.7225659999995,TP,18.116046000000097,True,New York,56.26968299999771
2018-01-18 01:00:00,LONG,7992.859307,2018-01-18 01:25:00,7986.4587,SL,-6.400606999999582,False,London,49.86907599999813
2018-01-18 08:30:00,LONG,7979.679436,2018-01-18 08:35:00,7982.565410000001,TP,2.885974000000715,True,New York,52.755049999998846
