timeframe,year,date,time,setup_type,direction,sl_percentage,rr_ratio,entry_price,sl_price,tp_price,risk,body_size,outcome,exit_price,exit_time,pnl,bars_held
15m,2018,2018-01-10,08:30:00,bullish_830_to_bearish_breakdown,SHORT,25,1.0,7783.738693,7799.847424,7767.629962000001,16.108730999999352,3.514632000000347,WIN,7767.629962000001,2018-01-10 09:00:00,16.108730999999352,30.0
15m,2018,2018-01-10,08:30:00,bullish_830_to_bearish_breakdown,SHORT,25,1.5,7783.738693,7799.847424,7759.575596500001,16.108730999999352,3.514632000000347,LOSS,7799.847424,2018-01-10 09:15:00,-16.108730999999352,45.0
15m,2018,2018-01-10,08:30:00,bullish_830_to_bearish_breakdown,SHORT,25,2.0,7783.738693,7799.847424,7751.5212310000015,16.108730999999352,3.514632000000347,LOSS,7799.847424,2018-01-10 09:15:00,-16.108730999999352,45.0
15m,2018,2018-01-10,08:30:00,bullish_830_to_bearish_breakdown,SHORT,25,2.5,7783.738693,7799.847424,7743.466865500002,16.108730999999352,3.514632000000347,LOSS,7799.847424,2018-01-10 09:15:00,-16.108730999999352,45.0
15m,2018,2018-01-10,08:30:00,bullish_830_to_bearish_breakdown,SHORT,25,3.0,7783.738693,7799.847424,7735.412500000002,16.108730999999352,3.514632000000347,LOSS,7799.847424,2018-01-10 09:15:00,-16.108730999999352,45.0
15m,2018,2018-01-10,08:30:00,bullish_830_to_bearish_breakdown,SHORT,25,3.5,7783.738693,7799.847424,7727.358134500002,16.108730999999352,3.514632000000347,LOSS,7799.847424,2018-01-10 09:15:00,-16.108730999999352,45.0
15m,2018,2018-01-10,08:30:00,bullish_830_to_bearish_breakdown,SHORT,25,4.0,7783.738693,7799.847424,7719.303769000003,16.108730999999352,3.514632000000347,LOSS,7799.847424,2018-01-10 09:15:00,-16.108730999999352,45.0
15m,2018,2018-01-10,08:30:00,bullish_830_to_bearish_breakdown,SHORT,25,4.5,7783.738693,7799.847424,7711.249403500004,16.108730999999352,3.514632000000347,LOSS,7799.847424,2018-01-10 09:15:00,-16.108730999999352,45.0
15m,2018,2018-01-10,08:30:00,bullish_830_to_bearish_breakdown,SHORT,25,5.0,7783.738693,7799.847424,7703.1950380000035,16.108730999999352,3.514632000000347,LOSS,7799.847424,2018-01-10 09:15:00,-16.108730999999352,45.0
15m,2018,2018-01-10,08:30:00,bullish_830_to_bearish_breakdown,SHORT,50,1.0,7783.738693,7800.726082,7766.751304,16.987388999999894,3.514632000000347,WIN,7766.751304,2018-01-10 09:00:00,16.987388999999894,30.0
15m,2018,2018-01-10,08:30:00,bullish_830_to_bearish_breakdown,SHORT,50,1.5,7783.738693,7800.726082,7758.2576095,16.987388999999894,3.514632000000347,LOSS,7800.726082,2018-01-10 09:15:00,-16.987388999999894,45.0
15m,2018,2018-01-10,08:30:00,bullish_830_to_bearish_breakdown,SHORT,50,2.0,7783.738693,7800.726082,7749.763915,16.987388999999894,3.514632000000347,LOSS,7800.726082,2018-01-10 09:15:00,-16.987388999999894,45.0
15m,2018,2018-01-10,08:30:00,bullish_830_to_bearish_breakdown,SHORT,50,2.5,7783.738693,7800.726082,7741.2702205000005,16.987388999999894,3.514632000000347,LOSS,7800.726082,2018-01-10 09:15:00,-16.987388999999894,45.0
15m,2018,2018-01-10,08:30:00,bullish_830_to_bearish_breakdown,SHORT,50,3.0,7783.738693,7800.726082,7732.776526000001,16.987388999999894,3.514632000000347,LOSS,7800.726082,2018-01-10 09:15:00,-16.987388999999894,45.0
15m,2018,2018-01-10,08:30:00,bullish_830_to_bearish_breakdown,SHORT,50,3.5,7783.738693,7800.726082,7724.282831500001,16.987388999999894,3.514632000000347,LOSS,7800.726082,2018-01-10 09:15:00,-16.987388999999894,45.0
15m,2018,2018-01-10,08:30:00,bullish_830_to_bearish_breakdown,SHORT,50,4.0,7783.738693,7800.726082,7715.789137000001,16.987388999999894,3.514632000000347,LOSS,7800.726082,2018-01-10 09:15:00,-16.987388999999894,45.0
15m,2018,2018-01-10,08:30:00,bullish_830_to_bearish_breakdown,SHORT,50,4.5,7783.738693,7800.726082,7707.295442500001,16.987388999999894,3.514632000000347,LOSS,7800.726082,2018-01-10 09:15:00,-16.987388999999894,45.0
15m,2018,2018-01-10,08:30:00,bullish_830_to_bearish_breakdown,SHORT,50,5.0,7783.738693,7800.726082,7698.801748000001,16.987388999999894,3.514632000000347,LOSS,7800.726082,2018-01-10 09:15:00,-16.987388999999894,45.0
15m,2018,2018-01-10,08:30:00,bullish_830_to_bearish_breakdown,SHORT,75,1.0,7783.738693,7801.604740000001,7765.872646,17.866047000000435,3.514632000000347,WIN,7765.872646,2018-01-10 09:00:00,17.866047000000435,30.0
15m,2018,2018-01-10,08:30:00,bullish_830_to_bearish_breakdown,SHORT,75,1.5,7783.738693,7801.604740000001,7756.9396225,17.866047000000435,3.514632000000347,LOSS,7801.604740000001,2018-01-10 10:00:00,-17.866047000000435,90.0
15m,2018,2018-01-10,08:30:00,bullish_830_to_bearish_breakdown,SHORT,75,2.0,7783.738693,7801.604740000001,7748.006598999999,17.866047000000435,3.514632000000347,LOSS,7801.604740000001,2018-01-10 10:00:00,-17.866047000000435,90.0
