Date,Entry_Time,Direction,Entry_Price,SL_Price,Risk_R,TP_Price,Exit_Time,Exit_Price,Exit_Type,PnL_Points,PnL_R,Asian_High,Asian_Low
2018-01-02,2018-01-02 02:15:00,SHORT,7503.739664,7527.706115,23.966451000000234,7467.789987499999,2018-01-02 06:25:00,7527.706115,SL,-23.966451000000234,-1.0,7525.706115,7511.647587
2018-01-03,2018-01-03 01:45:00,LONG,7645.203609,7632.07394,13.129668999999922,7664.8981125,2018-01-03 08:35:00,7664.8981125,TP,19.694503499999882,1.5,7644.324951,7634.07394
2018-01-04,2018-01-04 02:15:00,LONG,7732.776527,7707.638532,25.137995000000046,7770.4835195,2018-01-04 15:14:00,7736.876931,FORCE_CLOSE,4.1004039999997985,0.16311579344334307,7731.019211,7709.638532
2018-01-05,2018-01-05 01:45:00,LONG,7747.420827,7729.897869,17.522957999999562,7773.705263999999,2018-01-05 07:30:00,7773.705263999999,TP,26.284436999999343,1.5,7746.835055,7731.897869
2018-01-09,2018-01-09 02:15:00,LONG,7841.730124,7822.742735,18.987388999999894,7870.2112075,2018-01-09 08:44:00,7822.742735,SL,-18.987388999999894,-1.0,7841.144352,7824.742735
2018-01-10,2018-01-10 01:45:00,SHORT,7817.127699,7834.943543,17.815844000000652,7790.403932999999,2018-01-10 04:50:00,7790.403932999999,TP,26.72376600000098,1.5,7832.943543,7819.763673
2018-01-12,2018-01-12 01:00:00,LONG,7885.955912,7868.140067,17.81584500000008,7912.679679500001,2018-01-12 07:37:00,7868.140067,SL,-17.81584500000008,-1.0,7881.562621,7870.140067
2018-01-15,2018-01-15 02:00:00,SHORT,7941.89714,7966.742249,24.845108999999866,7904.6294765,2018-01-15 11:59:00,7943.36157,FORCE_CLOSE,-1.464429999999993,-0.058942385803177635,7964.742249,7945.704658
2018-01-16,2018-01-16 02:00:00,LONG,7963.863591,7936.96828,26.89531100000022,8004.206557500001,2018-01-16 08:38:00,8004.206557500001,TP,40.34296650000033,1.5,7960.641845,7938.96828
2018-01-17,2018-01-17 02:00:00,LONG,7936.625192,7905.043705,31.58148700000038,7983.9974225000005,2018-01-17 12:43:00,7983.9974225000005,TP,47.372230500000114,1.5,7933.696332,7907.043705
2018-01-19,2018-01-19 02:45:00,LONG,7997.545483,7966.256881,31.288601999999628,8044.478385999999,2018-01-19 15:14:00,8020.097706,FORCE_CLOSE,22.552222999999685,0.720780781448783,7996.373939,7968.256881
2018-01-22,2018-01-22 02:30:00,LONG,8021.855022,8000.817431,21.03759099999934,8053.411408499998,2018-01-22 09:15:00,8053.411408499998,TP,31.556386499998553,1.5,8017.168846,8002.817431
2018-01-23,2018-01-23 01:00:00,LONG,8141.938287,8115.628748,26.30953899999986,8181.4025955,2018-01-23 05:13:00,8115.628748,SL,-26.30953899999986,-1.0,8139.009427,8117.628748
2018-01-24,2018-01-24 01:00:00,LONG,8169.469573,8150.189298,19.280275000000074,8198.3899855,2018-01-24 09:14:00,8198.3899855,TP,28.920412499999657,1.5,8164.783396,8152.189298
2018-01-25,2018-01-25 03:30:00,LONG,8141.645401,8110.649686,30.99571500000002,8188.138973499999,2018-01-25 08:57:00,8110.649686,SL,-30.99571500000002,-1.0,8136.373453,8112.649686
2018-01-26,2018-01-26 03:15:00,LONG,8150.724868,8127.344189,23.380678999999873,8185.7958865,2018-01-26 12:15:00,8185.7958865,TP,35.07101849999981,1.5,8149.84621,8129.344189
2018-01-29,2018-01-29 02:00:00,SHORT,8219.845967,8258.163833,38.31786600000123,8162.369167999997,2018-01-29 15:14:00,8192.021796,FORCE_CLOSE,27.824170999998387,0.7261409338400393,8256.163833,8229.218319
2018-02-01,2018-02-01 03:15:00,SHORT,8160.390106,8188.456961,28.066855000000032,8118.289823499999,2018-02-01 07:32:00,8118.289823499999,TP,42.1002825000005,1.5,8186.456961,8164.783396
2018-02-02,2018-02-02 02:45:00,SHORT,8082.189541,8150.088894,67.8993530000007,7980.340511499999,2018-02-02 09:05:00,7980.340511499999,TP,101.84902950000105,1.5,8148.088894,8098.298271
2018-02-05,2018-02-05 01:00:00,LONG,7916.123171,7865.504093,50.61907800000063,7992.051788000001,2018-02-05 06:02:00,7865.504093,SL,-50.61907800000063,-1.0,7906.750819,7867.504093
2018-02-06,2018-02-06 02:15:00,LONG,7595.705872,7332.158662,263.54721000000063,7991.026687000001,2018-02-06 15:14:00,7786.081781,FORCE_CLOSE,190.3759089999994,0.7223597965616823,7583.990432,7334.158662
2018-02-07,2018-02-07 02:00:00,SHORT,7702.023495,7809.169574,107.14607899999919,7541.304376500002,2018-02-07 08:41:00,7809.169574,SL,-107.14607899999919,-1.0,7807.169574,7709.638532
2018-02-08,2018-02-08 02:00:00,LONG,7718.717998,7611.864805,106.85319299999992,7878.9977875,2018-02-08 09:52:00,7611.864805,SL,-106.85319299999992,-1.0,7712.567392,7613.864805
2018-02-09,2018-02-09 02:45:00,LONG,7462.442736,7365.254782,97.18795399999999,7608.224667,2018-02-09 09:49:00,7365.254782,SL,-97.18795399999999,-1.0,7460.392534,7367.254782
2018-02-12,2018-02-12 02:30:00,LONG,7580.4758,7532.492696,47.98310399999991,7652.4504560000005,2018-02-12 09:26:00,7532.492696,SL,-47.98310399999991,-1.0,7561.438209,7534.492696
2018-02-13,2018-02-13 01:45:00,SHORT,7617.086551,7677.370868,60.284316999999646,7526.660075500001,2018-02-13 12:39:00,7677.370868,SL,-60.284316999999646,-1.0,7675.370868,7621.479842
2018-02-14,2018-02-14 01:00:00,LONG,7700.559065,7673.95664,26.60242500000004,7740.462702500001,2018-02-14 07:30:00,7673.95664,SL,-26.60242500000004,-1.0,7697.630205,7675.95664
2018-02-15,2018-02-15 02:15:00,LONG,7893.570948,7817.470787,76.10016099999939,8007.721189499998,2018-02-15 10:03:00,7817.470787,SL,-76.10016099999939,-1.0,7887.127456,7819.470787
2018-02-16,2018-02-16 02:00:00,LONG,8019.80482,7988.809104,30.995716000000357,8066.298394000001,2018-02-16 07:22:00,7988.809104,SL,-30.995716000000357,-1.0,8019.219048,7990.809104
2018-02-20,2018-02-20 03:00:00,SHORT,7917.294715,7964.399161,47.10444600000028,7846.638046,2018-02-20 09:11:00,7964.399161,SL,-47.10444600000028,-1.0,7962.399161,7921.395119
2018-02-23,2018-02-23 01:00:00,LONG,7988.17313,7944.29043,43.88270000000011,8053.99718,2018-02-23 13:50:00,8053.99718,TP,65.82405000000017,1.5,7974.700374,7946.29043
2018-02-26,2018-02-26 02:15:00,LONG,8109.42794,8069.93853,39.489409999999225,8168.662054999999,2018-02-26 11:58:00,8168.662054999999,TP,59.23411499999929,1.5,8101.812904,8071.93853
2018-02-27,2018-02-27 01:15:00,SHORT,8184.406759,8213.352273,28.945514000000003,8140.988488000001,2018-02-27 09:55:00,8140.988488000001,TP,43.41827099999955,1.5,8211.352273,8185.871189
2018-03-01,2018-03-01 01:15:00,LONG,8066.666582,8012.532872,54.133710000000065,8147.867147,2018-03-01 05:50:00,8012.532872,SL,-54.133710000000065,-1.0,8065.787924,8014.532872
2018-03-02,2018-03-02 03:45:00,SHORT,7892.106518,7943.018482,50.91196400000081,7815.738571999998,2018-03-02 07:27:00,7815.738571999998,TP,76.36794600000121,1.5,7941.018482,7897.378466
2018-03-05,2018-03-05 01:00:00,SHORT,7922.859549,7982.558094,59.698545000000195,7833.3117315,2018-03-05 03:50:00,7982.558094,SL,-59.698545000000195,-1.0,7980.558094,7924.031093
2018-03-06,2018-03-06 01:00:00,LONG,8085.997059,8054.708458,31.2886010000002,8132.929960500001,2018-03-06 10:25:00,8054.708458,SL,-31.2886010000002,-1.0,8076.038934,8056.708458
2018-03-08,2018-03-08 01:00:00,LONG,8137.837883,8098.348474,39.489408999999796,8197.071996499999,2018-03-08 15:14:00,8170.934003,FORCE_CLOSE,33.096120000000155,0.8381011728993039,8125.243785,8100.348474
2018-03-12,2018-03-12 02:15:00,LONG,8373.759529,8336.155072,37.604457000001275,8430.166214500003,2018-03-12 10:25:00,8336.155072,SL,-37.604457000001275,-1.0,8373.175849,8338.155072
2018-03-13,2018-03-13 01:00:00,LONG,8365.004335,8346.077626,18.92670899999939,8393.394398499999,2018-03-13 07:31:00,8393.394398499999,TP,28.390063499999087,1.5,8364.420655,8348.077626
2018-03-14,2018-03-14 02:30:00,LONG,8259.358325,8219.127311,40.23101399999905,8319.704845999997,2018-03-14 10:41:00,8219.127311,SL,-40.23101399999905,-1.0,8252.64601,8221.127311
2018-03-15,2018-03-15 02:30:00,LONG,8260.525684,8201.325082,59.2006020000008,8349.326587000001,2018-03-15 15:14:00,8254.105209,FORCE_CLOSE,-6.420475000000806,-0.10845286674619828,8258.482806,8203.325082
2018-03-16,2018-03-16 02:30:00,SHORT,8234.843781,8270.405359,35.561578000000736,8181.5014139999985,2018-03-16 09:21:00,8270.405359,SL,-35.561578000000736,-1.0,8268.405359,8236.011141
2018-03-19,2018-03-19 01:00:00,SHORT,8156.338874,8222.543631,66.20475700000043,8057.0317385,2018-03-19 10:02:00,8057.0317385,TP,99.30713550000019,1.5,8220.543631,8173.265583
2018-03-20,2018-03-20 01:00:00,LONG,8062.658296,8030.890636,31.767659999999523,8110.309785999999,2018-03-20 04:13:00,8030.890636,SL,-31.767659999999523,-1.0,8060.031738,8032.890636
2018-03-21,2018-03-21 03:15:00,SHORT,8054.778622,8084.211563,29.432941000000028,8010.629210499999,2018-03-21 10:54:00,8084.211563,SL,-29.432941000000028,-1.0,8082.211563,8062.658296
2018-03-22,2018-03-22 01:30:00,SHORT,8029.680398,8074.28901,44.608611999999994,7962.76748,2018-03-22 02:59:00,7962.76748,TP,66.91291799999999,1.5,8072.28901,8035.517195
2018-03-26,2018-03-26 01:00:00,LONG,7722.956763,7627.568026,95.38873700000022,7866.0398685,2018-03-26 14:29:00,7866.0398685,TP,143.08310549999987,1.5,7718.579166,7629.568026
2018-03-27,2018-03-27 01:30:00,LONG,7966.059321,7901.605603,64.45371799999975,8062.739898,2018-03-27 09:14:00,7901.605603,SL,-64.45371799999975,-1.0,7962.557243,7903.605603
2018-03-28,2018-03-28 02:15:00,SHORT,7615.559715,7685.850229,70.29051399999935,7510.123944000001,2018-03-28 09:47:00,7510.123944000001,TP,105.43577099999948,1.5,7683.850229,7620.229152
2018-03-29,2018-03-29 01:30:00,LONG,7601.551404,7549.646798,51.90460600000006,7679.408313,2018-03-29 08:46:00,7549.646798,SL,-51.90460600000006,-1.0,7591.045171,7551.646798
2018-04-02,2018-04-02 01:45:00,SHORT,7643.868176,7679.137914,35.26973799999996,7590.963569,2018-04-02 08:54:00,7590.963569,TP,52.9046070000004,1.5,7677.137914,7644.160016
2018-04-03,2018-04-03 02:00:00,LONG,7510.497385,7462.386696,48.11068900000009,7582.6634185,2018-04-03 09:05:00,7462.386696,SL,-48.11068900000009,-1.0,7509.621866,7464.386696
2018-04-04,2018-04-04 01:15:00,SHORT,7502.325871,7548.977361,46.651490000000194,7432.348636,2018-04-04 03:04:00,7432.348636,TP,69.97723500000029,1.5,7546.977361,7506.995307
2018-04-05,2018-04-05 01:30:00,LONG,7743.09371,7680.39103,62.70268000000033,7837.147730000001,2018-04-05 12:23:00,7680.39103,SL,-62.70268000000033,-1.0,7742.21819,7682.39103
2018-04-06,2018-04-06 01:30:00,LONG,7640.657938,7568.616385,72.04155300000002,7748.720267500001,2018-04-06 12:50:00,7568.616385,SL,-72.04155300000002,-1.0,7635.112982,7570.616385
2018-04-09,2018-04-09 03:30:00,LONG,7612.057637,7539.140565,72.91707200000019,7721.433245,2018-04-09 11:14:00,7721.433245,TP,109.37560800000028,1.5,7609.431079,7541.140565
2018-04-12,2018-04-12 03:45:00,SHORT,7698.734059,7740.132433,41.39837399999942,7636.636498000002,2018-04-12 05:50:00,7740.132433,SL,-41.39837399999942,-1.0,7738.132433,7702.527977
2018-04-13,2018-04-13 01:15:00,LONG,7779.281846,7755.6857,23.596145999999862,7814.676065,2018-04-13 07:18:00,7814.676065,TP,35.394218999999794,1.5,7777.530807,7757.6857
2018-04-17,2018-04-17 01:00:00,LONG,7865.082748,7821.057816,44.02493200000026,7931.120146,2018-04-17 10:00:00,7931.120146,TP,66.0373980000004,1.5,7864.499069,7823.057816
2018-04-18,2018-04-18 03:00:00,LONG,7994.075942,7966.685879,27.390063000000737,8035.1610365000015,2018-04-18 08:39:00,7966.685879,SL,-27.390063000000737,-1.0,7993.784102,7968.685879
2018-04-19,2018-04-19 01:15:00,SHORT,7994.659622,8017.380248,22.720626000000266,7960.578683,2018-04-19 07:42:00,7960.578683,TP,34.0809390000004,1.5,8015.380248,8003.706656
2018-04-20,2018-04-20 02:15:00,SHORT,7888.138093,7928.660947,40.522854000000734,7827.3538119999985,2018-04-20 09:52:00,7827.3538119999985,TP,60.7842810000011,1.5,7926.660947,7892.51569
2018-04-23,2018-04-23 02:15:00,SHORT,7786.286001,7826.517015,40.23101399999996,7725.939480000001,2018-04-23 07:32:00,7826.517015,SL,-40.23101399999996,-1.0,7824.517015,7798.251433
2018-04-24,2018-04-24 01:00:00,LONG,7794.749355,7765.608253,29.14110199999959,7838.461007999999,2018-04-24 05:26:00,7838.461007999999,TP,43.71165299999939,1.5,7794.457515,7767.608253
2018-04-25,2018-04-25 03:30:00,SHORT,7573.826623,7635.070103,61.24348000000009,7481.961402999999,2018-04-25 10:07:00,7635.070103,SL,-61.24348000000009,-1.0,7633.070103,7585.208375
2018-04-26,2018-04-26 01:00:00,SHORT,7669.550079,7721.162846,51.61276700000053,7592.130928499999,2018-04-26 07:51:00,7721.162846,SL,-51.61276700000053,-1.0,7719.162846,7693.189103
2018-04-30,2018-04-30 01:00:00,LONG,7825.684375,7782.826802,42.85757300000023,7889.970734500001,2018-04-30 10:35:00,7782.826802,SL,-42.85757300000023,-1.0,7824.808855,7784.826802
2018-05-01,2018-05-01 03:30:00,SHORT,7702.819817,7734.003797,31.1839800000007,7656.043846999999,2018-05-01 09:20:00,7734.003797,SL,-31.1839800000007,-1.0,7732.003797,7706.321894
2018-05-02,2018-05-02 04:00:00,LONG,7851.074438,7803.839268,47.235169999999925,7921.9271929999995,2018-05-02 08:32:00,7803.839268,SL,-47.235169999999925,-1.0,7848.739719,7805.839268
2018-05-03,2018-05-03 02:15:00,LONG,7753.308103,7729.128278,24.179825000000164,7789.5778405,2018-05-03 06:51:00,7729.128278,SL,-24.179825000000164,-1.0,7752.432584,7731.128278
2018-05-08,2018-05-08 03:15:00,SHORT,7956.136768,7980.316593,24.179824999999255,7919.867030500001,2018-05-08 08:53:00,7919.867030500001,TP,36.26973749999888,1.5,7978.316593,7957.304127
2018-05-09,2018-05-09 01:00:00,LONG,7968.1022,7950.63469,17.467510000000402,7994.303465000001,2018-05-09 03:56:00,7994.303465000001,TP,26.201265000000603,1.5,7966.643001,7952.63469
2018-05-11,2018-05-11 01:15:00,SHORT,8116.9405,8139.661126,22.720626000000266,8082.859560999999,2018-05-11 05:19:00,8139.661126,SL,-22.720626000000266,-1.0,8137.661126,8120.442578
2018-05-15,2018-05-15 01:00:00,SHORT,8111.103704,8146.373442,35.26973799999996,8058.199097000001,2018-05-15 08:21:00,8058.199097000001,TP,52.90460699999949,1.5,8144.373442,8123.652816
2018-05-16,2018-05-16 02:30:00,LONG,8058.280699,8024.178321,34.10237799999959,8109.434265999999,2018-05-16 11:30:00,8109.434265999999,TP,51.153566999999384,1.5,8050.984704,8026.178321
2018-05-17,2018-05-17 01:00:00,SHORT,8077.833966,8108.726107,30.892141000000265,8031.4957545,2018-05-17 09:34:00,8108.726107,SL,-30.892141000000265,-1.0,8106.726107,8085.421801
2018-05-21,2018-05-21 01:00:00,SHORT,8074.623728,8097.636194,23.01246600000013,8040.105028999999,2018-05-21 08:31:00,8097.636194,SL,-23.01246600000013,-1.0,8095.636194,8079.585005
2018-05-22,2018-05-22 01:45:00,LONG,8078.709486,8062.993015,15.716470999999729,8102.284192499999,2018-05-22 05:00:00,8102.284192499999,TP,23.574706499999593,1.5,8078.417646,8064.993015
2018-05-23,2018-05-23 02:15:00,SHORT,8000.204578,8065.533816,65.32923800000026,7902.2107209999995,2018-05-23 11:58:00,8065.533816,SL,-65.32923800000026,-1.0,8063.533816,8016.839447
2018-05-24,2018-05-24 02:15:00,LONG,8137.952966,8082.254442,55.69852399999945,8221.500752,2018-05-24 08:50:00,8082.254442,SL,-55.69852399999945,-1.0,8123.069136,8084.254442
2018-05-29,2018-05-29 01:00:00,SHORT,8133.867209,8167.677748,33.81053900000006,8083.1514005,2018-05-29 03:22:00,8083.1514005,TP,50.715808500000094,1.5,8165.677748,8136.785607
2018-05-30,2018-05-30 01:00:00,LONG,8116.64866,8074.374767,42.27389299999959,8180.059499499999,2018-05-30 15:14:00,8157.798073,FORCE_CLOSE,41.149413000000095,0.9734001313766039,8112.562903,8076.374767
2018-05-31,2018-05-31 01:15:00,LONG,8163.634869,8137.412165,26.222704000000704,8202.968925000001,2018-05-31 08:11:00,8137.412165,SL,-26.222704000000704,-1.0,8160.716471,8139.412165
2018-06-01,2018-06-01 01:45:00,LONG,8175.016621,8145.0,30.01662099999976,8220.041552499999,2018-06-01 09:20:00,8220.041552499999,TP,45.024931499999184,1.5,8165.094068,8147.0
2018-06-04,2018-06-04 02:45:00,LONG,8303.717975,8254.439927,49.278048000000126,8377.635047,2018-06-04 15:14:00,8344.575548,FORCE_CLOSE,40.85757300000114,0.8291232030944293,8299.924058,8256.439927
2018-06-05,2018-06-05 03:00:00,LONG,8353.038903,8330.026437,23.01246600000013,8387.557602,2018-06-05 15:14:00,8381.347364,FORCE_CLOSE,28.308460999998715,1.2301359185060199,8352.163383,8332.026437
