Filter_Name,Num_Trades,Winrate_%,Net_Profit_Points,Gross_Win_Points,Gross_Loss_Points,Profit_Factor,Max_Consecutive_Losses,Avg_Risk_Points
1_Baseline_No_Filter,1618,64.46,557.68,6125.72,5568.04,1.1,5,7.23
2_3Day_PD_Array,893,64.39,189.0,3373.68,3184.68,1.06,5,7.34
3_Daily_Flow,706,64.59,206.36,2640.8,2434.44,1.08,5,7.19
4_COMBO_Both_Agree,173,60.69,-170.18,600.22,770.4,0.78,5,7.92
