date,time,setup_type,candle_830_open,candle_830_high,candle_830_low,candle_830_close,next_candle_open,next_candle_high,next_candle_low,next_candle_close,prev5_max_high,prev5_min_low,year
2018-01-02,08:30:00,bullish_830_to_bearish_breakdown,7545.329478,7550.601426,7541.814846,7546.793908,7546.793908,7547.672566,7536.835784,7537.12867,7548.84411,7543.279276,2018
2018-01-09,08:30:00,bullish_830_to_bearish_breakdown,7849.638046,7851.688248,7849.052274,7850.80959,7850.80959,7851.102476,7845.537642,7848.466502,7852.27402,7848.759388,2018
2018-01-10,08:30:00,bearish_830_to_bullish_breakout,7798.968766,7801.311854,7787.839097,7790.182185,7789.889299,7805.412258,7789.596413,7805.412258,7798.968766,7792.232387,2018
2018-01-18,08:30:00,bearish_830_to_bullish_breakout,7981.436752,7985.830042,7977.043462,7979.38655,7979.679436,7987.294472,7979.679436,7986.122928,7984.658498,7975.579032,2018
2018-01-25,08:30:00,bullish_830_to_bearish_breakdown,8170.348231,8174.155749,8168.298029,8171.226889,8171.226889,8172.691319,8164.783396,8165.369168,8175.034407,8169.762459,2018
2018-02-06,08:30:00,bearish_830_to_bullish_breakout,7508.718726,7509.597384,7467.128912,7471.522203,7470.936431,7532.442493,7470.643545,7530.685177,7523.070141,7494.367312,2018
2018-02-07,08:30:00,bullish_830_to_bearish_breakdown,7785.496009,7797.21145,7764.11533,7789.889299,7790.182185,7791.646615,7764.11533,7767.922848,7796.039906,7777.295201,2018
2018-02-09,08:30:00,bearish_830_to_bullish_breakout,7487.630933,7495.24597,7480.601669,7480.894555,7480.601669,7506.668524,7480.308783,7506.082752,7492.902882,7478.258581,2018
2018-02-13,08:30:00,bearish_830_to_bullish_breakout,7599.513391,7602.442251,7591.019696,7591.605468,7591.312582,7618.258095,7590.141038,7610.935945,7603.320909,7588.969494,2018
2018-02-26,08:30:00,bullish_830_to_bearish_breakdown,8123.193583,8129.637075,8122.022039,8125.829557,8125.829557,8127.001101,8118.21452,8118.800292,8129.051303,8120.850494,2018
2018-03-15,08:30:00,bullish_830_to_bearish_breakdown,8254.688888,8258.482806,8251.47865,8254.980728,8254.397048,8254.688888,8243.015296,8246.517374,8257.023607,8252.35417,2018
2018-03-21,08:30:00,bearish_830_to_bullish_breakout,8039.894792,8040.186631,8031.723277,8038.143753,8038.435593,8047.190787,8038.143753,8042.22951,8040.186631,8035.809034,2018
2018-04-02,08:30:00,bearish_830_to_bullish_breakout,7633.361943,7636.572181,7621.688351,7629.276186,7628.400666,7649.413132,7627.525147,7642.992657,7638.03138,7630.151705,2018
2018-04-03,08:30:00,bullish_830_to_bearish_breakdown,7537.346647,7543.475283,7532.093531,7540.556885,7540.556885,7542.599764,7526.256735,7527.424094,7544.642642,7537.346647,2018
2018-04-12,08:30:00,bullish_830_to_bearish_breakdown,7742.80187,7749.514186,7741.634511,7743.38555,7743.677389,7745.136588,7736.381394,7739.299792,7751.265224,7742.21819,2018
2018-04-16,08:30:00,bullish_830_to_bearish_breakdown,7800.002472,7805.547428,7798.251433,7800.586151,7800.586151,7802.92087,7794.457515,7795.624875,7803.796389,7798.835113,2018
2018-04-20,08:30:00,bullish_830_to_bearish_breakdown,7892.51569,7898.936166,7891.056491,7894.266729,7894.266729,7895.725928,7881.425777,7884.052336,7900.103525,7889.889132,2018
2018-04-24,08:30:00,bullish_830_to_bearish_breakdown,7802.92087,7811.967904,7799.126952,7810.508705,7810.508705,7811.384224,7796.792234,7798.835113,7805.839268,7800.294312,2018
2018-05-18,08:30:00,bearish_830_to_bullish_breakout,8034.933515,8039.311112,8032.015117,8034.057996,8033.766156,8040.770311,8032.890636,8040.186631,8039.311112,8027.34568,2018
2018-05-22,08:30:00,bearish_830_to_bullish_breakout,8104.099549,8106.434267,8102.05667,8103.224029,8103.515869,8109.936345,8102.34851,8107.309787,8105.558748,8103.515869,2018
2018-06-14,08:30:00,bearish_830_to_bullish_breakout,8455.095774,8456.841072,8448.696348,8452.186944,8451.896061,8458.295487,8449.85988,8456.841072,8455.67754,8448.114582,2018
2018-06-27,08:30:00,bullish_830_to_bearish_breakdown,8282.31128,8291.328653,8278.820684,8286.092759,8285.801876,8286.383642,8274.748322,8278.238918,8286.092759,8278.529801,2018
2018-07-16,08:30:00,bearish_830_to_bullish_breakout,8603.73698,8607.809342,8599.664618,8601.409916,8601.700799,8611.881704,8601.409916,8611.299938,8607.518459,8603.155214,2018
